reconstructed_claim_id,policy_number,offset_total,interest_total,withholding_total,offset_codes,interest_codes,withholding_codes,residual_amount,offset_explains_gap,interest_explains_gap,withholding_explains_gap,decomposition_status
RC-9010444207-1-DEATH_CLAIM-C0-20220316,9010444207,0.0,37.83,0.0,,0630,,-5689.15,N,N,N,PARTIAL_DECOMPOSITION
RC-9010445719-1-DEATH_CLAIM-C0-20180329,9010445719,0.0,47.48,0.0,,0630,,-5318.21,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010446638-1-DEATH_CLAIM-C0-20201125,9010446638,0.0,598.72,0.0,,0630,,-11114.64,N,N,N,PARTIAL_DECOMPOSITION
RC-9010446852-1-DEATH_CLAIM-C0-20251222,9010446852,0.0,54.48,0.0,,0630,,-181.05,N,N,N,RESIDUAL_REMAINS
RC-9010447574-1-DEATH_CLAIM-C0-20210322,9010447574,0.0,36.21,0.0,,0630,,-4960.57,N,N,N,PARTIAL_DECOMPOSITION
RC-9010449050-1-DEATH_CLAIM-C0-20180723,9010449050,0.0,81.78,0.0,,0630,,-3804.83,N,N,N,PARTIAL_DECOMPOSITION
RC-9010449512-1-DEATH_CLAIM-C0-20200418,9010449512,0.0,23.26,0.0,,0630,,-1893.81,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010452516-1-DEATH_CLAIM-C0-20190323,9010452516,0.0,104.56,0.0,,0630,,-7331.0,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010454002-1-DEATH_CLAIM-C0-20230424,9010454002,0.0,59.95,0.0,,0630,,355.06,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010455617-1-DEATH_CLAIM-C0-20210107,9010455617,0.0,33.44,0.0,,0630,,-4026.87,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010457291-1-DEATH_CLAIM-C0-20211126,9010457291,0.0,39.02,0.0,,0630,,-4132.1,N,N,N,PARTIAL_DECOMPOSITION
RC-9010457537-1-DEATH_CLAIM-C0-20230120,9010457537,0.0,50.3,0.0,,0630,,-3387.53,N,N,N,PARTIAL_DECOMPOSITION
RC-9010457603-1-DEATH_CLAIM-C0-20181008,9010457603,0.0,39.75,0.0,,0630,,-5360.89,N,N,N,PARTIAL_DECOMPOSITION
RC-9010459164-1-DEATH_CLAIM-C0-20180513,9010459164,0.0,16.2,0.0,,0630,,-1903.47,N,N,N,PARTIAL_DECOMPOSITION
RC-9010459653-1-DEATH_CLAIM-C0-20240313,9010459653,0.0,71.41,0.0,,0630,,-6596.37,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010460652-1-DEATH_CLAIM-C0-20190706,9010460652,0.0,34.29,0.0,,0630,,-4223.68,N,N,N,PARTIAL_DECOMPOSITION
RC-9010461689-1-DEATH_CLAIM-C0-20210923,9010461689,0.0,40.41,0.0,,0630,,-4670.07,N,N,N,PARTIAL_DECOMPOSITION
RC-9010463420-1-DEATH_CLAIM-C0-20180117,9010463420,0.0,13.51,0.0,,0630,,140.86,N,N,N,RESIDUAL_REMAINS
RC-9010464265-1-DEATH_CLAIM-C0-20180624,9010464265,0.0,27.91,0.0,,0630,,-2428.48,N,N,N,PARTIAL_DECOMPOSITION
RC-9010464590-1-DEATH_CLAIM-C0-20200118,9010464590,0.0,382.67,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010464869-1-DEATH_CLAIM-C0-20200415,9010464869,0.0,35.34,0.0,,0630,,944.72,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010464870-1-DEATH_CLAIM-C0-20240121,9010464870,0.0,16.18,0.0,,0630,,783.48,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010465265-1-DEATH_CLAIM-C0-20190224,9010465265,0.0,23.26,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010465451-1-DEATH_CLAIM-C0-20201112,9010465451,0.0,66.63,0.0,,0630,,-10982.7,N,N,N,PARTIAL_DECOMPOSITION
RC-9010467190-1-DEATH_CLAIM-C0-20181119,9010467190,0.0,63.4,0.0,,0630,,-3707.95,N,N,N,PARTIAL_DECOMPOSITION
RC-9010468946-1-DEATH_CLAIM-C0-20220917,9010468946,0.0,795.71,0.0,,0630,,-7319.3,N,N,N,PARTIAL_DECOMPOSITION
RC-9010469430-1-DEATH_CLAIM-C2-20211207,9010469430,0.0,34.73,0.0,,0630,,-5459.07,N,N,N,PARTIAL_DECOMPOSITION
RC-9010473137-1-DEATH_CLAIM-C0-20190807,9010473137,0.0,23.53,0.0,,0630,,-59.45,N,N,N,RESIDUAL_REMAINS
RC-9010474519-1-DEATH_CLAIM-C0-20180423,9010474519,0.0,46.22,0.0,,0630,,-3808.03,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010475576-1-DEATH_CLAIM-C0-20211004,9010475576,0.0,29.75,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010475850-1-DEATH_CLAIM-C0-20180522,9010475850,0.0,168.43,0.0,,0630,,-1638.64,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010476803-1-DEATH_CLAIM-C0-20180107,9010476803,0.0,24.48,0.0,,0630,,932.21,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010477512-1-DEATH_CLAIM-C0-20201122,9010477512,0.0,71.99,0.0,,0630,,-2841.58,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010477513-1-DEATH_CLAIM-C0-20200430,9010477513,0.0,52.58,0.0,,0630,,-2447.45,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010478259-1-DEATH_CLAIM-C0-20190919,9010478259,0.0,8.3,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010478285-1-DEATH_CLAIM-C0-20200405,9010478285,0.0,25.96,0.0,,0630,,1571.2,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010478574-1-DEATH_CLAIM-C0-20200218,9010478574,0.0,34.56,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010479749-1-DEATH_CLAIM-C0-20260105,9010479749,0.0,66.24,0.0,,0630,,-3584.14,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010486919-1-DEATH_CLAIM-C0-20250602,9010486919,0.0,3.72,0.0,,0630,,4752.11,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010486964-1-DEATH_CLAIM-C0-20220313,9010486964,0.0,16.97,0.0,,0630,,1218.23,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010488274-1-DEATH_CLAIM-C0-20180422,9010488274,0.0,48.05,0.0,,0630,,-1490.37,N,N,N,RESIDUAL_REMAINS
RC-9010497768-1-DEATH_CLAIM-C0-20231215,9010497768,0.0,22.64,0.0,,0630,,-266.65,N,N,N,RESIDUAL_REMAINS
RC-9010498260-1-DEATH_CLAIM-C0-20240415,9010498260,0.0,24.55,0.0,,0630,,-1782.35,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010499674-1-DEATH_CLAIM-C0-20201002,9010499674,0.0,18.77,0.0,,0630,,-1929.83,N,N,N,PARTIAL_DECOMPOSITION
RC-9010499702-1-DEATH_CLAIM-C0-20220210,9010499702,0.0,59.86,0.0,,0630,,-5686.91,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010500769-1-DEATH_CLAIM-C0-20230824,9010500769,0.0,23.14,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010501836-1-DEATH_CLAIM-C0-20190107,9010501836,0.0,72.13,0.0,,0630,,-3457.48,N,N,N,PARTIAL_DECOMPOSITION
RC-9010506789-1-DEATH_CLAIM-C0-20210116,9010506789,0.0,550.41,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010515598-1-DEATH_CLAIM-C0-20230214,9010515598,0.0,26.11,0.0,,0630,,-4542.1,N,N,N,PARTIAL_DECOMPOSITION
RC-9010517231-1-DEATH_CLAIM-C0-20250803,9010517231,0.0,19.08,0.0,,0630,,-3927.23,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010518050-1-DEATH_CLAIM-C0-20210514,9010518050,0.0,44.66,0.0,,0630,,-4648.2,N,N,N,PARTIAL_DECOMPOSITION
RC-9010521651-1-DEATH_CLAIM-C0-20230502,9010521651,0.0,34.38,0.0,,0630,,-1548.51,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010526526-1-DEATH_CLAIM-C0-20180906,9010526526,0.0,112.37,0.0,,0630,,-7965.19,N,N,N,PARTIAL_DECOMPOSITION
RC-9010548366-1-DEATH_CLAIM-C0-20190404,9010548366,0.0,38.02,0.0,,0630,,-3111.42,N,N,N,PARTIAL_DECOMPOSITION
RC-9010550564-1-DEATH_CLAIM-C0-20190920,9010550564,0.0,192.38,0.0,,0630,,-2790.15,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010578820-1-DEATH_CLAIM-C0-20200118,9010578820,0.0,144.18,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010580464-1-DEATH_CLAIM-C0-20200712,9010580464,0.0,10.52,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010586005-1-DEATH_CLAIM-C0-20251007,9010586005,0.0,10.61,0.0,,0630,,-112.62,N,N,N,RESIDUAL_REMAINS
RC-9010607249-1-DEATH_CLAIM-C0-20221102,9010607249,0.0,95.15,0.0,,0630,,-3339.97,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010726104-1-DEATH_CLAIM-C0-20230501,9010726104,0.0,113.49,0.0,,0630,,-286.11,N,N,N,RESIDUAL_REMAINS
RC-9010742814-1-DEATH_CLAIM-C0-20180630,9010742814,0.0,4.71,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010743074-1-DEATH_CLAIM-C0-20181229,9010743074,0.0,32.73,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010744412-1-DEATH_CLAIM-C0-20221103,9010744412,0.0,28.57,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010745344-1-DEATH_CLAIM-C0-20180225,9010745344,0.0,170.01,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010745640-1-DEATH_CLAIM-C0-20230901,9010745640,0.0,76.12,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010747241-1-DEATH_CLAIM-C0-20180806,9010747241,0.0,52.8,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010747438-1-DEATH_CLAIM-C0-20180602,9010747438,0.0,37.72,0.0,,0630,,-5.94,N,N,N,RESIDUAL_REMAINS
RC-9010748070-1-DEATH_CLAIM-C0-20190211,9010748070,0.0,380.56,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010748404-1-DEATH_CLAIM-C0-20181106,9010748404,0.0,88.04,0.0,,0630,,10000.0,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010748517-1-DEATH_CLAIM-C0-20180508,9010748517,0.0,9.43,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010750813-1-DEATH_CLAIM-C0-20180629,9010750813,0.0,1.0,0.0,,0630,,3929.23,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010752477-1-DEATH_CLAIM-C0-20190620,9010752477,0.0,334.96,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010752703-1-DEATH_CLAIM-C0-20181206,9010752703,0.0,278.89,0.0,,0630,,-33.89,N,N,N,RESIDUAL_REMAINS
RC-9010753311-1-DEATH_CLAIM-C0-20210730,9010753311,0.0,31.0,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010753687-1-DEATH_CLAIM-C0-20240914,9010753687,0.0,20.08,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010754964-1-DEATH_CLAIM-C1-20200130,9010754964,0.0,44.89,0.0,,0630,,-11318.56,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010756020-1-DEATH_CLAIM-C0-20201217,9010756020,0.0,51.63,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010756024-1-DEATH_CLAIM-C0-20250605,9010756024,0.0,75.51,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010756033-1-DEATH_CLAIM-C0-20231027,9010756033,0.0,40.79,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010756034-1-DEATH_CLAIM-C0-20180911,9010756034,0.0,147.02,0.0,,0630,,-342.8,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010757042-1-DEATH_CLAIM-C0-20210520,9010757042,0.0,18.41,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010757508-1-DEATH_CLAIM-C0-20200305,9010757508,0.0,48.55,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010757536-1-DEATH_CLAIM-C0-20230918,9010757536,0.0,102.7,0.0,,0630,,-36.31,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010757541-1-DEATH_CLAIM-C0-20180124,9010757541,0.0,58.47,0.0,,0630,,-213.22,N,N,N,RESIDUAL_REMAINS
RC-9010757542-1-DEATH_CLAIM-C0-20180120,9010757542,0.0,56.69,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010757551-1-DEATH_CLAIM-C0-20250918,9010757551,0.0,77.49,0.0,,0630,,-29.98,N,N,N,RESIDUAL_REMAINS
RC-9010758074-1-DEATH_CLAIM-C0-20181117,9010758074,0.0,31.31,0.0,,0630,,-114.03,N,N,N,RESIDUAL_REMAINS
RC-9010759357-1-DEATH_CLAIM-C0-20180701,9010759357,0.0,20.3,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010759559-1-DEATH_CLAIM-C0-20190525,9010759559,0.0,19.36,0.0,,0630,,5000.0,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010762319-1-DEATH_CLAIM-C0-20240625,9010762319,0.0,18.86,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010763006-1-DEATH_CLAIM-C0-20231228,9010763006,0.0,290.87,0.0,,0630,,15016.39,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010763450-1-DEATH_CLAIM-C0-20230825,9010763450,0.0,15.1,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010764120-1-DEATH_CLAIM-C0-20230821,9010764120,0.0,42.65,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010764376-1-DEATH_CLAIM-C0-20230217,9010764376,0.0,148.73,0.0,,0630,,-14.84,N,N,N,RESIDUAL_REMAINS
RC-9010764812-1-DEATH_CLAIM-C0-20230809,9010764812,0.0,171.56,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010764834-1-DEATH_CLAIM-C0-20180326,9010764834,0.0,84.4,0.0,,0630,,10493.02,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010764837-1-DEATH_CLAIM-C0-20241025,9010764837,0.0,61.48,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010764842-1-DEATH_CLAIM-C0-20220511,9010764842,0.0,30.25,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010768069-1-DEATH_CLAIM-C0-20210614,9010768069,0.0,6.36,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010768503-1-DEATH_CLAIM-C0-20220417,9010768503,0.0,29.82,0.0,,0630,,-2.3,N,N,N,RESIDUAL_REMAINS
RC-9010768635-1-DEATH_CLAIM-C0-20191221,9010768635,0.0,125.42,0.0,,0630,,-44.55,N,N,N,RESIDUAL_REMAINS
RC-9010769176-1-DEATH_CLAIM-C0-20221003,9010769176,0.0,59.37,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010769227-1-DEATH_CLAIM-C0-20200419,9010769227,0.0,174.97,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010771580-1-DEATH_CLAIM-C0-20220406,9010771580,0.0,89.71,0.0,,0630,,-2485.99,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010772683-1-DEATH_CLAIM-C0-20230618,9010772683,0.0,17.47,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010773088-1-DEATH_CLAIM-C0-20190223,9010773088,0.0,25.48,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010774773-1-DEATH_CLAIM-C0-20241104,9010774773,0.0,502.17,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010776445-1-DEATH_CLAIM-C0-20240603,9010776445,0.0,118.92,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010776555-1-DEATH_CLAIM-C0-20200203,9010776555,0.0,21.99,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010776814-1-DEATH_CLAIM-C0-20201029,9010776814,0.0,46.03,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010777546-1-DEATH_CLAIM-C0-20231209,9010777546,0.0,257.93,0.0,,0630,,-82.5,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010778262-1-DEATH_CLAIM-C0-20190222,9010778262,0.0,349.66,0.0,,0630,,9324.06,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010778299-1-DEATH_CLAIM-C0-20220904,9010778299,0.0,37.1,0.0,,0630,,7494.51,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010778474-1-DEATH_CLAIM-C0-20210508,9010778474,0.0,30.92,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010778519-1-DEATH_CLAIM-C0-20240729,9010778519,0.0,293.65,0.0,,0630,,-51.22,N,N,N,RESIDUAL_REMAINS
RC-9010778834-1-DEATH_CLAIM-C0-20220624,9010778834,0.0,28.21,0.0,,0630,,-15.6,N,N,N,RESIDUAL_REMAINS
RC-9010779130-1-DEATH_CLAIM-C0-20190312,9010779130,0.0,24.28,0.0,,0630,,-133.68,N,N,N,RESIDUAL_REMAINS
RC-9010779191-1-DEATH_CLAIM-C0-20191023,9010779191,0.0,296.27,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010780000-1-DEATH_CLAIM-C0-20190802,9010780000,0.0,32.13,0.0,,0630,,-16.54,N,N,N,RESIDUAL_REMAINS
RC-9010780003-1-DEATH_CLAIM-C0-20231018,9010780003,0.0,48.26,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010780003-1-DEATH_CLAIM-C1-20240619,9010780003,0.0,191.89,0.0,,0630,,-2880.51,N,N,N,RESIDUAL_REMAINS
RC-9010780403-1-DEATH_CLAIM-C0-20190722,9010780403,0.0,97.75,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010781117-1-DEATH_CLAIM-C0-20180616,9010781117,0.0,63.11,0.0,,0630,,-225.1,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010781775-1-DEATH_CLAIM-C0-20220304,9010781775,0.0,13.2,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010782357-1-DEATH_CLAIM-C0-20231225,9010782357,0.0,161.58,0.0,,0630,,-84.63,N,N,N,RESIDUAL_REMAINS
RC-9010782592-1-DEATH_CLAIM-C0-20210427,9010782592,0.0,63.37,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010782822-1-DEATH_CLAIM-C0-20180711,9010782822,0.0,54.02,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010783086-1-DEATH_CLAIM-C0-20240518,9010783086,0.0,252.9,0.0,,0630,,-26.81,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010783502-1-DEATH_CLAIM-C0-20210919,9010783502,0.0,94.63,0.0,,0630,,7073.91,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010783883-1-DEATH_CLAIM-C0-20201008,9010783883,0.0,167.2,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010784372-1-DEATH_CLAIM-C0-20230120,9010784372,0.0,32.48,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010784767-1-DEATH_CLAIM-C0-20190623,9010784767,0.0,49.76,0.0,,0630,,-34.1,N,N,N,RESIDUAL_REMAINS
RC-9010784946-1-DEATH_CLAIM-C0-20210528,9010784946,0.0,31.11,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010786152-1-DEATH_CLAIM-C0-20220428,9010786152,0.0,18.26,0.0,,0630,,11887.46,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010786237-1-DEATH_CLAIM-C0-20241224,9010786237,0.0,127.42,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010786824-1-DEATH_CLAIM-C0-20210430,9010786824,0.0,427.36,0.0,,0630,,-118.83,N,N,N,RESIDUAL_REMAINS
RC-9010787147-1-DEATH_CLAIM-C0-20240218,9010787147,0.0,202.42,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010789348-1-DEATH_CLAIM-C0-20250516,9010789348,0.0,16.82,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010789351-1-DEATH_CLAIM-C0-20250228,9010789351,0.0,88.42,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010789992-1-DEATH_CLAIM-C0-20241206,9010789992,0.0,110.99,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010790755-1-DEATH_CLAIM-C0-20210826,9010790755,0.0,772.94,0.0,,0630,,0.0,N,N,N,MULTI_PAYOUT_DECOMPOSED
RC-9010791078-1-DEATH_CLAIM-C0-20211222,9010791078,0.0,40.93,0.0,,0630,,-49.57,N,N,N,RESIDUAL_REMAINS
RC-9010791176-1-DEATH_CLAIM-C0-20180204,9010791176,0.0,209.18,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010792038-1-DEATH_CLAIM-C0-20180506,9010792038,0.0,30.4,0.0,,0630,,-259.54,N,N,N,RESIDUAL_REMAINS
