reconstructed_claim_id,policy_number,residual_amount,unexplained_residual,gap_direction,expected_net_payment,payout_total,clearing_total,decomposition_status,residual_explained_by,confidence_level
RC-9010905677-1-DEATH_CLAIM-C0-20221226,9010905677,12338.6,12338.6,PAYOUT_SHORTFALL,12338.6,0.0,12338.6,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010786152-1-DEATH_CLAIM-C0-20220428,9010786152,11887.46,11887.46,PAYOUT_SHORTFALL,15853.08,3965.62,15848.64,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9011261439-1-DEATH_CLAIM-C1-20240529,9011261439,-11688.57,-11688.57,PAYOUT_EXCESS,0.0,11688.57,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010389651-1-DEATH_CLAIM-C0-20240727,9010389651,-11421.18,-11421.18,PAYOUT_EXCESS,10931.0,22352.18,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010389651-2-DEATH_CLAIM-C0-20240727,9010389651,11421.18,11421.18,PAYOUT_SHORTFALL,11421.18,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011212602-1-DEATH_CLAIM-C0-20201022,9011212602,11334.39,11334.39,PAYOUT_SHORTFALL,25000.0,13665.61,11393.09,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010754964-1-DEATH_CLAIM-C1-20200130,9010754964,-11318.56,-11318.56,PAYOUT_EXCESS,44.89,11363.45,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010754964-1-DEATH_CLAIM-C0-20191105,9010754964,11287.98,11287.98,PAYOUT_SHORTFALL,11287.98,0.0,11349.14,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010429064-1-DEATH_CLAIM-C0-20240110,9010429064,-11257.89,-11257.89,PAYOUT_EXCESS,11453.18,22711.07,154.1,PARTIAL_DECOMPOSITION,none,MODERATE_CONFIDENCE
RC-9010446638-1-DEATH_CLAIM-C0-20201125,9010446638,-11114.64,-11114.64,PAYOUT_EXCESS,14981.72,26096.36,67.79,PARTIAL_DECOMPOSITION,none,MODERATE_CONFIDENCE
RC-9010429064-2-DEATH_CLAIM-C0-20240110,9010429064,11103.79,11103.79,PAYOUT_SHORTFALL,11103.79,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010446638-2-DEATH_CLAIM-C0-20201125,9010446638,11046.85,11046.85,PAYOUT_SHORTFALL,11046.85,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011109994-1-DEATH_CLAIM-C0-20200305,9011109994,11036.01,11036.01,PAYOUT_SHORTFALL,17000.0,5963.99,11036.01,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010465451-1-DEATH_CLAIM-C0-20201112,9010465451,-10982.7,-10982.7,PAYOUT_EXCESS,12899.63,23882.33,32.9,PARTIAL_DECOMPOSITION,none,MODERATE_CONFIDENCE
RC-9010936713-1-DEATH_CLAIM-C0-20200103,9010936713,10956.01,10956.01,PAYOUT_SHORTFALL,10956.01,0.0,11280.45,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010465451-2-DEATH_CLAIM-C0-20201112,9010465451,10949.8,10949.8,PAYOUT_SHORTFALL,10949.8,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010832681-1-DEATH_CLAIM-C1-20220401,9010832681,-10860.9,-10860.9,PAYOUT_EXCESS,0.0,10860.9,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010832681-1-DEATH_CLAIM-C0-20220109,9010832681,10860.9,10860.9,PAYOUT_SHORTFALL,32651.5,21790.6,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010834430-1-DEATH_CLAIM-C0-20181204,9010834430,10839.54,10839.54,PAYOUT_SHORTFALL,25000.0,14160.46,10906.16,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010426961-1-DEATH_CLAIM-C0-20260125,9010426961,-10739.15,-10739.15,PAYOUT_EXCESS,11304.0,22043.15,3.39,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010426961-2-DEATH_CLAIM-C0-20260125,9010426961,10735.76,10735.76,PAYOUT_SHORTFALL,10735.76,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010764834-1-DEATH_CLAIM-C1-20180612,9010764834,-10493.02,-10493.02,PAYOUT_EXCESS,0.0,10493.02,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010764834-1-DEATH_CLAIM-C0-20180326,9010764834,10493.02,10493.02,PAYOUT_SHORTFALL,31563.46,21070.44,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010741943-1-DEATH_CLAIM-C0-20250718,9010741943,10484.45,10484.45,PAYOUT_SHORTFALL,50000.0,39515.55,50030.48,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010411499-1-DEATH_CLAIM-C1-20210930,9010411499,-10467.29,-10467.29,PAYOUT_EXCESS,0.0,10467.29,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010429965-1-DEATH_CLAIM-C0-20251105,9010429965,-10431.31,-10431.31,PAYOUT_EXCESS,10624.0,21055.31,13.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010429965-2-DEATH_CLAIM-C0-20251105,9010429965,10418.31,10418.31,PAYOUT_SHORTFALL,10418.31,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011175626-1-DEATH_CLAIM-C0-20180125,9011175626,-10325.54,-10325.54,PAYOUT_EXCESS,10000.0,20325.54,129.76,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010429958-1-DEATH_CLAIM-C0-20260221,9010429958,-10161.84,-10161.84,PAYOUT_EXCESS,10122.0,20283.84,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010429958-2-DEATH_CLAIM-C0-20260221,9010429958,10161.84,10161.84,PAYOUT_SHORTFALL,10161.84,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011101315-1-DEATH_CLAIM-C1-20181220,9011101315,-10080.36,-10080.36,PAYOUT_EXCESS,0.0,10080.36,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010748404-1-DEATH_CLAIM-C1-20190131,9010748404,-10000.0,-10000.0,PAYOUT_EXCESS,0.0,10000.0,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010748404-1-DEATH_CLAIM-C0-20181106,9010748404,10000.0,10000.0,PAYOUT_SHORTFALL,30088.04,20088.04,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011103062-1-DEATH_CLAIM-C0-20191112,9011103062,9987.05,9987.05,PAYOUT_SHORTFALL,15000.0,5012.95,5038.85,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010454002-2-DEATH_CLAIM-C0-20230424,9010454002,9887.28,9887.28,PAYOUT_SHORTFALL,9887.28,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010778262-1-DEATH_CLAIM-C1-20190604,9010778262,-9858.54,-9858.54,PAYOUT_EXCESS,0.0,9858.54,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010395382-2-DEATH_CLAIM-C0-20240528,9010395382,9795.0,9795.0,PAYOUT_SHORTFALL,9795.0,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010785049-1-DEATH_CLAIM-C0-20200503,9010785049,9348.94,9348.94,PAYOUT_SHORTFALL,25000.0,15651.06,9425.44,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010778262-1-DEATH_CLAIM-C0-20190222,9010778262,9324.06,9324.06,PAYOUT_SHORTFALL,29102.32,19778.26,356.32,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,-9256.93,-9256.93,PAYOUT_EXCESS,10189.69,19446.62,9256.93,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010905677-1-DEATH_CLAIM-C1-20230405,9010905677,-9250.46,-9250.46,PAYOUT_EXCESS,3.49,9253.95,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010439836-1-DEATH_CLAIM-C0-20250602,9010439836,-9046.05,-9046.05,PAYOUT_EXCESS,10000.0,19046.05,192.59,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010748300-1-DEATH_CLAIM-C0-20200327,9010748300,9022.12,9022.12,PAYOUT_SHORTFALL,25000.0,15977.88,9022.12,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010469985-1-DEATH_CLAIM-C0-20190105,9010469985,-8978.7,-8978.7,PAYOUT_EXCESS,30000.0,38978.7,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010469985-2-DEATH_CLAIM-C0-20190105,9010469985,8978.7,8978.7,PAYOUT_SHORTFALL,8978.7,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010439836-2-DEATH_CLAIM-C0-20250602,9010439836,8853.46,8853.46,PAYOUT_SHORTFALL,8853.46,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011246246-1-DEATH_CLAIM-C1-20230322,9011246246,-8483.41,-8483.41,PAYOUT_EXCESS,0.0,8483.41,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010412522-1-DEATH_CLAIM-C0-20190718,9010412522,-8435.43,-8435.43,PAYOUT_EXCESS,12000.0,20435.43,8.65,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010412522-2-DEATH_CLAIM-C0-20190718,9010412522,8426.78,8426.78,PAYOUT_SHORTFALL,8426.78,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010749053-1-DEATH_CLAIM-C0-20220701,9010749053,8343.65,8343.65,PAYOUT_SHORTFALL,11978.17,3634.52,8372.95,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9011185059-1-DEATH_CLAIM-C0-20250721,9011185059,8209.63,8209.63,PAYOUT_SHORTFALL,25000.0,16790.37,8225.53,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,-8205.6,-8205.6,PAYOUT_EXCESS,0.0,8205.6,4102.8,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010438821-2-DEATH_CLAIM-C0-20190402,9010438821,8192.73,8192.73,PAYOUT_SHORTFALL,8192.73,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011200251-1-DEATH_CLAIM-C1-20201022,9011200251,8000.0,8000.0,PAYOUT_SHORTFALL,16129.96,8129.96,8259.92,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010526526-1-DEATH_CLAIM-C0-20180906,9010526526,-7965.19,-7965.19,PAYOUT_EXCESS,11104.82,19070.01,217.97,PARTIAL_DECOMPOSITION,none,MODERATE_CONFIDENCE
RC-9010526526-2-DEATH_CLAIM-C0-20180906,9010526526,7747.22,7747.22,PAYOUT_SHORTFALL,7747.22,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010382931-2-DEATH_CLAIM-C0-20220210,9010382931,7603.4,7603.4,PAYOUT_SHORTFALL,7603.4,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011206462-1-DEATH_CLAIM-C0-20230114,9011206462,7542.26,7542.26,PAYOUT_SHORTFALL,25157.38,17615.12,10130.74,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,7507.83,7507.83,PAYOUT_SHORTFALL,7507.83,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010803025-1-DEATH_CLAIM-C0-20211027,9010803025,7500.22,7500.22,PAYOUT_SHORTFALL,25000.0,17499.78,7897.14,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010778299-1-DEATH_CLAIM-C0-20220904,9010778299,7494.51,7494.51,PAYOUT_SHORTFALL,9006.69,1512.18,9127.06,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,-7425.04,-7425.04,PAYOUT_EXCESS,10082.31,17507.35,13.59,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010429259-2-DEATH_CLAIM-C0-20200707,9010429259,7411.45,7411.45,PAYOUT_SHORTFALL,7411.45,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010801734-1-DEATH_CLAIM-C1-20210526,9010801734,-7347.34,-7347.34,PAYOUT_EXCESS,0.0,7347.34,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010452516-1-DEATH_CLAIM-C0-20190323,9010452516,-7331.0,-7331.0,PAYOUT_EXCESS,9214.56,16545.56,34.84,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010468946-1-DEATH_CLAIM-C0-20220917,9010468946,-7319.3,-7319.3,PAYOUT_EXCESS,9464.71,16784.01,232.29,PARTIAL_DECOMPOSITION,none,MODERATE_CONFIDENCE
RC-9010841471-1-DEATH_CLAIM-C0-20200128,9010841471,-7315.24,-7315.24,PAYOUT_EXCESS,7315.24,14630.48,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010837522-1-DEATH_CLAIM-C0-20180414,9010837522,7305.39,7305.39,PAYOUT_SHORTFALL,7305.39,0.0,7305.39,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010452516-2-DEATH_CLAIM-C0-20190323,9010452516,7296.16,7296.16,PAYOUT_SHORTFALL,7296.16,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,-7290.3,-7290.3,PAYOUT_EXCESS,10000.0,17290.3,365.1,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011195139-1-DEATH_CLAIM-C0-20201011,9011195139,7261.95,7261.95,PAYOUT_SHORTFALL,20000.0,12738.05,20136.84,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010417200-1-DEATH_CLAIM-C0-20200521,9010417200,7239.79,7239.79,PAYOUT_SHORTFALL,10522.97,3283.18,13091.24,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010411727-1-DEATH_CLAIM-C0-20190315,9010411727,-7235.67,-7235.67,PAYOUT_EXCESS,10000.0,17235.67,7235.67,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010550564-2-DEATH_CLAIM-C0-20190920,9010550564,7212.44,7212.44,PAYOUT_SHORTFALL,7212.44,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010468946-2-DEATH_CLAIM-C0-20220917,9010468946,7087.01,7087.01,PAYOUT_SHORTFALL,7087.01,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,-7079.91,-7079.91,PAYOUT_EXCESS,8009.0,15088.91,6.13,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010783502-1-DEATH_CLAIM-C0-20210919,9010783502,7073.91,7073.91,PAYOUT_SHORTFALL,21316.36,14242.45,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010783502-1-DEATH_CLAIM-C1-20220131,9010783502,-7073.91,-7073.91,PAYOUT_EXCESS,0.0,7073.91,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010398274-2-DEATH_CLAIM-C0-20240313,9010398274,7073.78,7073.78,PAYOUT_SHORTFALL,7073.78,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010463161-1-DEATH_CLAIM-C0-20220117,9010463161,-7041.2,-7041.2,PAYOUT_EXCESS,20000.0,27041.2,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010463161-2-DEATH_CLAIM-C0-20220117,9010463161,7041.2,7041.2,PAYOUT_SHORTFALL,7041.2,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010426657-1-DEATH_CLAIM-C0-20220923,9010426657,7017.5,7017.5,PAYOUT_SHORTFALL,7502.0,484.5,12882.41,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010385491-2-DEATH_CLAIM-C0-20190501,9010385491,6999.06,6999.06,PAYOUT_SHORTFALL,6999.06,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010454002-1-DEATH_CLAIM-C1-20230719,9010454002,-6809.47,-6809.47,PAYOUT_EXCESS,0.0,6809.47,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9010456928-1-DEATH_CLAIM-C0-20250224,9010456928,-6796.38,-6796.38,PAYOUT_EXCESS,8225.0,15021.38,56.79,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,-6777.05,-6777.05,PAYOUT_EXCESS,5000.0,11777.05,6777.05,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010860471-1-DEATH_CLAIM-C0-20231207,9010860471,6742.2,6742.2,PAYOUT_SHORTFALL,25000.0,18257.8,6780.1,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010456928-2-DEATH_CLAIM-C0-20250224,9010456928,6739.59,6739.59,PAYOUT_SHORTFALL,6739.59,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010846459-1-DEATH_CLAIM-C0-20181231,9010846459,-6663.21,-6663.21,PAYOUT_EXCESS,19029.86,25693.07,239.95,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
