reconstructed_claim_id,policy_number,layer_name,layer_label,layer_codes,layer_total,event_count,codes_present,exclude_from_financial_rollup,decomposition_status
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,funding,Funding Layer,0530|0519,5000.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,payout,Payout Layer,0094|0567|1900,7770.08,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,funding,Funding Layer,0530|0519,2765.73,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,clearing,Clearing/Lifecycle Layer,0038,1575.62,1,0038,Y,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,funding,Funding Layer,0530|0519,3580.0,1,0530,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,interest,Interest Layer,0630,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,offset,Offset Layer,0411|0412,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,payout,Payout Layer,0094|0567|1900,4469.37,3,0094,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,withholding,Withholding Layer,0810|0820,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,funding,Funding Layer,0530|0519,2464.99,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,clearing,Clearing/Lifecycle Layer,0038,5.81,1,0038,Y,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,funding,Funding Layer,0530|0519,6865.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,payout,Payout Layer,0094|0567|1900,12890.67,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,funding,Funding Layer,0530|0519,6019.86,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,clearing,Clearing/Lifecycle Layer,0038,22.33,3,0038,Y,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,funding,Funding Layer,0530|0519,6430.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,payout,Payout Layer,0094|0567|1900,12834.01,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,funding,Funding Layer,0530|0519,6381.68,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,funding,Funding Layer,0530|0519,4348.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,payout,Payout Layer,0094|0567|1900,8353.43,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,funding,Funding Layer,0530|0519,4005.43,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,funding,Funding Layer,0530|0519,9924.0,3,0530,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,interest,Interest Layer,0630,85.54,1,0630,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,offset,Offset Layer,0411|0412,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,payout,Payout Layer,0094|0567|1900,11706.76,2,0094,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,withholding,Withholding Layer,0810|0820,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,funding,Funding Layer,0530|0519,0.0,0,,N,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,interest,Interest Layer,0630,0.0,0,,N,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,offset,Offset Layer,0411|0412,0.0,0,,N,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,payout,Payout Layer,0094|0567|1900,5810.61,1,0094,N,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,RESIDUAL_REMAINS
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,withholding,Withholding Layer,0810|0820,0.0,0,,N,RESIDUAL_REMAINS
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,funding,Funding Layer,0530|0519,7507.83,3,0530,N,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,funding,Funding Layer,0530|0519,5000.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,payout,Payout Layer,0094|0567|1900,6715.85,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,funding,Funding Layer,0530|0519,1715.85,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,funding,Funding Layer,0530|0519,5000.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,payout,Payout Layer,0094|0567|1900,7174.45,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,funding,Funding Layer,0530|0519,2174.45,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,funding,Funding Layer,0530|0519,5000.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,payout,Payout Layer,0094|0567|1900,7807.24,1,0094,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,funding,Funding Layer,0530|0519,2807.24,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,clearing,Clearing/Lifecycle Layer,0038,365.1,2,0038,Y,PARTIAL_DECOMPOSITION
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,funding,Funding Layer,0530|0519,10000.0,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,payout,Payout Layer,0094|0567|1900,17290.3,1,0094,N,PARTIAL_DECOMPOSITION
