INVENTORY_ID,SOURCE_FULL_PATH,SOURCE_RELATIVE_PATH,FILENAME,EXTENSION,FILE_SIZE_BYTES,LAST_MODIFIED_UTC,SOURCE_SHA256,CATEGORY,PROBABLE_PURPOSE,PROBABLE_SOURCE_AUTHORITY,ORIGINAL_OR_GENERATED,CURRENT_OR_HISTORICAL,APPROVAL_STATUS,PROPOSED_DESTINATION_RELATIVE_PATH,MIGRATION_ACTION,CLASSIFICATION_CONFIDENCE,CLASSIFICATION_BASIS,DUPLICATE_GROUP_ID,CASE_COLLISION_STATUS,FILENAME_COLLISION_STATUS,PATH_LENGTH_RISK,HARDCODED_PATH_INDICATOR,CSO_REFERENCE_INDICATOR,QLA_CORE_REFERENCE_INDICATOR,SENSITIVE_DATA_INDICATOR,DEPENDS_ON,RISK,COPY_APPROVED,NOTES,STAGE2B_REVIEW_STATUS,STAGE2B_DECISION,CANONICAL_FILE_INDICATOR,FINAL_DESTINATION_RELATIVE_PATH,COPY_RESULT,DESTINATION_SHA256,COPY_VERIFICATION_STATUS,COPY_TIMESTAMP_UTC
CIT-INV-00012,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y780.png,CFIC_Cash_Values/_dev_p7mn/cash_y780.png,cash_y780.png,.png,10072,2026-07-11T22:19:24Z,7e27c88efc8d7070f1a1c0585d1d13bacb8e322f84d443b3fb809ca71eb8c4f1,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y780.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00013,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y790.png,CFIC_Cash_Values/_dev_p7mn/cash_y790.png,cash_y790.png,.png,10470,2026-07-11T22:19:24Z,161e5992f0b47989c7b8d55037dc7e44452af508857ef58c22bb529c1fe40447,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y790.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00014,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y800.png,CFIC_Cash_Values/_dev_p7mn/cash_y800.png,cash_y800.png,.png,10929,2026-07-11T22:19:24Z,33cdb3711b69ba0149da81fbc8219e8207209a7a6947e0172d387d629b642897,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y800.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00015,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y810.png,CFIC_Cash_Values/_dev_p7mn/cash_y810.png,cash_y810.png,.png,11074,2026-07-11T22:19:24Z,a4c5d67fa04c4c4d9cbb10598d3b9402bb80fa4a7a59498dcbc0b0cb0c68d36b,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y810.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00016,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y820.png,CFIC_Cash_Values/_dev_p7mn/cash_y820.png,cash_y820.png,.png,11051,2026-07-11T22:19:24Z,de59ce2e17af2723cf3c85154538be71935d4a95149add640430aab46234d72b,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y820.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00017,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y830.png,CFIC_Cash_Values/_dev_p7mn/cash_y830.png,cash_y830.png,.png,10388,2026-07-11T22:19:24Z,c6e779cf5591302a9e8ef4eccdfc837120e82277f63d971ecc3f119ba7c5432d,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y830.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00018,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y840.png,CFIC_Cash_Values/_dev_p7mn/cash_y840.png,cash_y840.png,.png,10116,2026-07-11T22:19:24Z,ab76b95c8bd8baf7bd3ddda3579cb8856fc8cf371fd24b89bd30a77c10ad7166,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y840.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00019,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y850.png,CFIC_Cash_Values/_dev_p7mn/cash_y850.png,cash_y850.png,.png,9565,2026-07-11T22:19:24Z,1423916f20823fdcaec953e08867884b3824530b93a493bd60ca3b0bb6816c18,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y850.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00020,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y860.png,CFIC_Cash_Values/_dev_p7mn/cash_y860.png,cash_y860.png,.png,9841,2026-07-11T22:19:24Z,2bec10057f2d13f9b5b63985c1c4dd8be264f7d9a2b7a7b9ffb6aff5e2a08f8b,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y860.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00021,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y870.png,CFIC_Cash_Values/_dev_p7mn/cash_y870.png,cash_y870.png,.png,10566,2026-07-11T22:19:24Z,9aa06dabd63a26d73ed2e22159aea728b4c0dc2119e4e62bbb47aebea55bebda,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y870.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00022,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y880.png,CFIC_Cash_Values/_dev_p7mn/cash_y880.png,cash_y880.png,.png,10749,2026-07-11T22:19:24Z,d3e464726b068e537570020628d0350d959a08d72082a035c63934b986d04d70,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y880.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00023,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y890.png,CFIC_Cash_Values/_dev_p7mn/cash_y890.png,cash_y890.png,.png,10765,2026-07-11T22:19:24Z,378e0a03c228ddae15df9883f576310b7e211da5c05b55f248e46386ad447912,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y890.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00024,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\crop_test.png,CFIC_Cash_Values/_dev_p7mn/crop_test.png,crop_test.png,.png,3248343,2026-07-11T21:54:56Z,0a8875d6b8db55bc9a7f86b46e4ca6a3c841a392840823b228cabeb076026160,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/crop_test.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00025,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_18.pdf,CFIC_Cash_Values/_dev_p7mn/P7MN_18.pdf,P7MN_18.pdf,.pdf,3231572,2026-07-11T21:54:03Z,36c16fd982b5fc394e89b41ca974356fd74f1d3b536336e4596c9080c39e7129,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_18.pdf,EXCLUDE_GENERATED,HIGH,dev or sample path segment,DUP-0001,NONE,FILENAME_COLLISION,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00026,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_18_p0.png,CFIC_Cash_Values/_dev_p7mn/P7MN_18_p0.png,P7MN_18_p0.png,.png,4177075,2026-07-11T21:54:03Z,b0de309a07b4f9b8553c445bf7866d52661ab4375f2512eeb37de7394d091398,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_18_p0.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,FILENAME_COLLISION,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00027,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_18_p1.png,CFIC_Cash_Values/_dev_p7mn/P7MN_18_p1.png,P7MN_18_p1.png,.png,3361386,2026-07-11T21:54:04Z,38f00acf115332fe50aac5bf561a37ac22e05b2c893fd6cb210d65a8a59fa2a3,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_18_p1.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00028,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_30.pdf,CFIC_Cash_Values/_dev_p7mn/P7MN_30.pdf,P7MN_30.pdf,.pdf,3102502,2026-07-11T21:54:04Z,2e224da2cb2d690573f83f6a89e94b63ca2db3a2bb789b9dc3b31985d9b7f847,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_30.pdf,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00029,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_30_p0.png,CFIC_Cash_Values/_dev_p7mn/P7MN_30_p0.png,P7MN_30_p0.png,.png,3564998,2026-07-11T21:54:05Z,4febfcea3ded8a8e119a4273abc94b62e8539db2cf2d8ec7616d57f80823f860,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_30_p0.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00030,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_30_p1.png,CFIC_Cash_Values/_dev_p7mn/P7MN_30_p1.png,P7MN_30_p1.png,.png,3024274,2026-07-11T21:54:05Z,ddfb601476495cf7dce43191da7eba21b00fc0eed195bad9ea10db8b933aae2a,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_30_p1.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00031,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_50.pdf,CFIC_Cash_Values/_dev_p7mn/P7MN_50.pdf,P7MN_50.pdf,.pdf,2928355,2026-07-11T21:54:05Z,dad25bb9af87dbbb2c4ff8fa8bc8c8d7e868cac30e890c34a2b2c3ea27d50589,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_50.pdf,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00032,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_50_p0.png,CFIC_Cash_Values/_dev_p7mn/P7MN_50_p0.png,P7MN_50_p0.png,.png,3526744,2026-07-11T21:54:06Z,17ec42a4b514d30661bef6deeab457ef12e2b831f0d9d8f262f645739a8faecd,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_50_p0.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00033,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\P7MN_50_p1.png,CFIC_Cash_Values/_dev_p7mn/P7MN_50_p1.png,P7MN_50_p1.png,.png,2678985,2026-07-11T21:54:07Z,361420ad2880168720f96a7cdd68d93127d177fce663c0196d8a09193ffe0a6c,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_50_p1.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00034,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_sample_pdfs\802M_Directions.pdf,CFIC_Cash_Values/_sample_pdfs/802M_Directions.pdf,802M_Directions.pdf,.pdf,260310,2025-09-15T19:15:56Z,2989966d658af1ba1a27ffa7ef9384851d9ef56879b9d39e7ac08c1712451032,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_sample_pdfs/802M_Directions.pdf,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00035,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_sample_pdfs\P7MN_18.pdf,CFIC_Cash_Values/_sample_pdfs/P7MN_18.pdf,P7MN_18.pdf,.pdf,3231572,2025-09-15T19:43:30Z,36c16fd982b5fc394e89b41ca974356fd74f1d3b536336e4596c9080c39e7129,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_sample_pdfs/P7MN_18.pdf,EXCLUDE_GENERATED,HIGH,dev or sample path segment,DUP-0001,NONE,FILENAME_COLLISION,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00036,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_sample_pdfs\P7MN_18_p0.png,CFIC_Cash_Values/_sample_pdfs/P7MN_18_p0.png,P7MN_18_p0.png,.png,2425299,2026-07-11T21:39:54Z,cb9a03252a738423eb8deebf75152cd38136585a6b553f8b1dfef6967175d77b,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_sample_pdfs/P7MN_18_p0.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,FILENAME_COLLISION,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
