ASSET_ID,CURRENT_RELATIVE_PATH,FILENAME,LANGUAGE_OR_FORMAT,PROBABLE_ROLE,CURRENT_LIFECYCLE_STATUS,PRIMARY_ENTRY_POINT_INDICATOR,IMPORTED_MODULES,LOCAL_DEPENDENCIES,EXTERNAL_DEPENDENCIES,QLA_CORE_DEPENDENCIES,INPUT_PATHS,OUTPUT_PATHS,CONFIGURATION_INPUTS,SOURCE_DATA_DEPENDENCIES,GENERATED_OUTPUT_DEPENDENCIES,WRITES_FILES,MODIFIES_DATA,SAFE_TO_EXECUTE,CITIZENS_SPECIFIC,APPEARS_REUSABLE,APPEARS_HISTORICAL,HAS_TESTS,HAS_DOCUMENTATION,KNOWN_ISSUES,RECOMMENDED_DISPOSITION
CIT-TECH-0011,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_dbf_reader.py,cfic_dbf_reader.py,py,Archived issue/dev script,historical,N,__future__;pathlib;struct,,__future__;pathlib;struct,N,,,,,,N,N,HISTORICAL_ONLY,Y,Y,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0012,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,emit_cfic_reserve_rates.py,py,Archived issue/dev script,historical,N,__future__;argparse;pathlib;subprocess;sys,,__future__;argparse;pathlib;subprocess;sys,N,,,,,,N,N,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0013,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,extract_cfic_plans_dbf.py,py,Archived issue/dev script,historical,N,cfic_dbf_reader;__future__;argparse;csv;pathlib;sys,cfic_dbf_reader,__future__;argparse;csv;pathlib;sys,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0014,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,extract_cfic_reserve_dbf.py,py,Archived issue/dev script,historical,N,cfic_crosswalk;cfic_dbf_reader;qla_core;__future__;argparse;csv;pathlib;sys,cfic_crosswalk;cfic_dbf_reader;qla_core,__future__;argparse;csv;pathlib;sys,Y,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0015,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,validate_cfic_reserve_rates.py,py,Archived issue/dev script,historical,N,__future__;argparse;csv;pathlib;sys,,__future__;argparse;csv;pathlib;sys,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0016,config/controlled_status_values.yaml,controlled_status_values.yaml,yaml,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0017,conversion/orchestration/build_cfic_assumption_template.py,build_cfic_assumption_template.py,py,Legacy conversion orchestration,blocked_pending_engine,N,__future__;csv;pathlib,,__future__;csv;pathlib,N,,,,,,Y,Y,BLOCKED_BY_ENGINE,Y,N,N,N,N,Legacy CFIC_Rates paths; qla_core via sys.path,REFACTOR_LATER
CIT-TECH-0018,conversion/orchestration/cfic_rate_publish.py,cfic_rate_publish.py,py,Legacy conversion orchestration,blocked_pending_engine,N,cfic_paths;qla_core;__future__;csv;datetime;json;pathlib;re;sys,cfic_paths;qla_core,__future__;csv;datetime;json;pathlib;re;sys,Y,,,,,,Y,Y,BLOCKED_BY_ENGINE,Y,N,N,N,N,Legacy CFIC_Rates paths; qla_core via sys.path,REFACTOR_LATER
CIT-TECH-0019,conversion/orchestration/cfic_reserve_build.py,cfic_reserve_build.py,py,Legacy conversion orchestration,blocked_pending_engine,N,cfic_paths;qla_core;__future__;csv;pathlib;sys,cfic_paths;qla_core,__future__;csv;pathlib;sys,Y,,,,,,Y,Y,BLOCKED_BY_ENGINE,Y,N,N,N,N,Legacy CFIC_Rates paths; qla_core via sys.path,REFACTOR_LATER
CIT-TECH-0020,conversion/orchestration/legacy_cfic_paths.py,legacy_cfic_paths.py,py,Legacy path constants (pre-migration layout),needs_refactor,N,__future__;pathlib,,__future__;pathlib,N,,,,,,N,N,DO_NOT_EXECUTE,Y,N,N,N,N,Legacy CFIC_Rates paths; qla_core via sys.path,REFACTOR_LATER
CIT-TECH-0021,conversion/orchestration/package_cfic_rates.py,package_cfic_rates.py,py,Legacy conversion orchestration,blocked_pending_engine,Y,cfic_paths;cfic_rate_publish;cfic_reserve_build;__future__;argparse;pathlib;subprocess;sys,cfic_paths;cfic_rate_publish;cfic_reserve_build,__future__;argparse;pathlib;subprocess;sys,N,,,,,,Y,Y,BLOCKED_BY_ENGINE,Y,N,N,N,N,Legacy CFIC_Rates paths; qla_core via sys.path,REFACTOR_LATER
CIT-TECH-0022,issues/closed/legacy_CFIC_Issue_01/requirements-cfic-ocr.txt,requirements-cfic-ocr.txt,txt,Requirements / package,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0023,issues/closed/legacy_CFIC_Issue_02/requirements-cfic-pdf.txt,requirements-cfic-pdf.txt,txt,Requirements / package,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0024,manifests/post_stage2a_source_snapshot.json,post_stage2a_source_snapshot.json,json,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0025,manifests/preflight_source_snapshot.json,preflight_source_snapshot.json,json,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0026,manifests/stage2b_post_source_snapshot.json,stage2b_post_source_snapshot.json,json,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0027,manifests/stage2b_preflight.json,stage2b_preflight.json,json,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0028,reports/audit/emit_summary.json,emit_summary.json,json,Configuration / metadata,active_config,N,,,,N,,,,,,N,N,SAFE_READ_ONLY,Y,N,N,N,N,,RETAIN_ACTIVE
CIT-TECH-0029,tools/inventory/cfic_inventory_core.py,cfic_inventory_core.py,py,Migration / inventory utility,active_tooling,N,__future__;collections;csv;dataclasses;datetime;hashlib;json;pathlib;re;typing,,__future__;collections;csv;dataclasses;datetime;hashlib;json;pathlib;re;typing,N,,,,,,Y,Y,SAFE_READ_ONLY,Y,Y,N,N,Y,,RETAIN_ACTIVE
CIT-TECH-0030,tools/inventory/legacy__build_plan_rate_inventory.py,legacy__build_plan_rate_inventory.py,py,Migration / inventory utility,active_tooling,N,__future__;collections;csv;openpyxl;pathlib;re,,__future__;collections;csv;openpyxl;pathlib;re,N,,,,,,Y,Y,SAFE_READ_ONLY,Y,Y,N,N,Y,,RETAIN_ACTIVE
CIT-TECH-0031,tools/inventory/run_stage2a_inventory.py,run_stage2a_inventory.py,py,Migration / inventory utility,active_tooling,Y,cfic_inventory_core;__future__;collections;datetime;json;pathlib;shutil;subprocess;sys,cfic_inventory_core,__future__;collections;datetime;json;pathlib;shutil;subprocess;sys,N,,,,,,Y,Y,SAFE_READ_ONLY,Y,Y,N,N,Y,,RETAIN_ACTIVE
CIT-TECH-0032,tools/migration/run_stage2b_migration.py,run_stage2b_migration.py,py,Migration / inventory utility,active_tooling,Y,__future__;collections;csv;datetime;hashlib;json;pathlib;shutil;sys,,__future__;collections;csv;datetime;hashlib;json;pathlib;shutil;sys,N,,,,,,Y,Y,SAFE_READ_ONLY,Y,N,N,N,Y,,RETAIN_ACTIVE
CIT-TECH-0033,tools/reporting/_build_rate_load_tracker.py,_build_rate_load_tracker.py,py,Tracker / inventory builder,diagnostic,Y,__future__;collections;csv;datetime;openpyxl;pathlib;re,,__future__;collections;csv;datetime;openpyxl;pathlib;re,N,,,,,,Y,Y,NOT_READY,Y,N,N,N,Y,,REFACTOR_LATER
CIT-TECH-0034,tools/reporting/run_stage3_architecture_analysis.py,run_stage3_architecture_analysis.py,py,Tracker / inventory builder,diagnostic,Y,__future__;ast;collections;csv;datetime;hashlib;json;openpyxl;pathlib;re,,__future__;ast;collections;csv;datetime;hashlib;json;openpyxl;pathlib;re,Y,,,,,,Y,Y,NOT_READY,Y,N,N,N,Y,,REFACTOR_LATER
