MPOLICY,PN,POLICY_BILL_DAY,PAID_TO_DATE,BILLED_TO_DATE,MBILLDAY_before,MBILLDAY_after,MSTATUS,MISSDT,MPAIDTO
010428259C,9010428259,              0,    20020801,      20020801,0,1,44,19720901,20020801
010428688C,9010428688,              0,    20030201,      20030201,0,1,44,19720901,20030201
010429066C,9010429066,              0,    20260901,      20260901,0,1,22,19720901,20260901
010429417C,9010429417,              0,    20160815,      20260815,0,15,41,19720815,20160815
010431301C,9010431301,              0,    20270125,      20270125,0,25,22,19720925,20270125
010432631C,9010432631,              0,    20260701,      20260701,0,1,22,19721101,20260701
010433471C,9010433471,              0,    19780801,      20260801,0,1,45,19721201,19780801
010434418C,9010434418,              0,    20261110,      20261110,0,10,22,19721110,20261110
010435244C,9010435244,              0,    20270701,      20270701,0,1,22,19730101,20270701
010436406C,9010436406,              0,    19781201,      20261201,0,1,45,19721201,19781201
010436541C,9010436541,              0,    20260701,      20260801,0,1,22,19730201,20260701
010436712C,9010436712,              0,    19860201,      20270201,0,1,45,19730201,19860201
010436782C,9010436782,              0,    20260710,      20270110,0,10,22,19730110,20260710
010438523C,9010438523,              0,    20260715,      20260715,0,15,22,19730315,20260715
010438524C,9010438524,              0,    20010515,      20010515,0,15,44,19730315,20010515
010438525C,9010438525,              0,    20110615,      20110915,0,15,44,19730315,20110615
010438556C,9010438556,              0,    20270309,      20270309,0,9,22,19730309,20270309
010439435C,9010439435,              0,    20240401,      20261001,0,1,41,19730401,20240401
010440000C,9010440000,              0,    20040326,      20270326,0,26,41,19730326,20040326
010441084C,9010441084,              0,    20270101,      20270101,0,1,22,19730601,20270101
010442216C,9010442216,              0,    20260701,      20260701,0,1,22,19730701,20260701
010442906C,9010442906,              0,    20270112,      20270112,0,12,22,19730712,20270112
010443287C,9010443287,              0,    20260801,      20260801,0,1,22,19730801,20260801
010443389C,9010443389,              0,    20001017,      20261017,0,17,45,19730717,20001017
010443646C,9010443646,              0,    20070615,      20070915,0,15,44,19730815,20070615
010444917C,9010444917,              0,    20261001,      20261001,0,1,22,19731001,20261001
010446088C,9010446088,              0,    19971107,      20261107,0,7,45,19731107,19971107
010446237C,9010446237,              0,    20261115,      20261115,0,15,22,19731115,20261115
010446741C,9010446741,              0,    20261101,      20261101,0,1,22,19731201,20261101
010447559C,9010447559,              0,    19801101,      20260801,0,1,45,19740101,19801101
010448375C,9010448375,              0,    20230915,      20231215,0,15,44,19740215,20230915
010448806C,9010448806,              0,    20260815,      20260815,0,15,22,19740215,20260815
010448810C,9010448810,              0,    20030201,      20270201,0,1,41,19740201,20030201
010449017C,9010449017,              0,    19780301,      20260801,0,1,45,19740301,19780301
010449158C,9010449158,              0,    20260301,      20270301,0,1,41,19740301,20260301
010449333C,9010449333,              0,    20261201,      20261201,0,1,22,19740301,20261201
010449498C,9010449498,              0,    20260820,      20260820,0,20,22,19740220,20260820
010449514C,9010449514,              0,    20260915,      20260915,0,15,22,19740315,20260915
010450135C,9010450135,              0,    20270401,      20270401,0,1,22,19740401,20270401
010450174C,9010450174,              0,    20260701,      20260701,0,1,22,19740401,20260701
010450300C,9010450300,              0,    20270312,      20270312,0,12,22,19740312,20270312
010455341C,9010455341,              0,    20260801,      20260801,0,1,22,19740801,20260801
010456182C,9010456182,              0,    19941001,      19941001,0,1,44,19740901,19941001
010458526C,9010458526,              0,    20261115,      20261115,0,15,22,19741115,20261115
010459336C,9010459336,              0,    20200101,      20260801,0,1,41,19750101,20200101
010459527C,9010459527,              0,    20260701,      20260801,0,1,22,19750101,20260701
010459723C,9010459723,              0,    20070701,      20071001,0,1,44,19750101,20070701
010459850C,9010459850,              0,    20070601,      20071001,0,1,44,19750201,20070601
010460406C,9010460406,              0,    20270108,      20270108,0,8,22,19750108,20270108
010461210C,9010461210,              0,    20270207,      20270207,0,7,22,19750207,20270207
010462415C,9010462415,              0,    20200415,      20270415,0,15,41,19750415,20200415
010462759C,9010462759,              0,    20270408,      20270408,0,8,22,19750408,20270408
010463017C,9010463017,              0,    20270414,      20270414,0,14,22,19750414,20270414
010463537C,9010463537,              0,    20270501,      20270501,0,1,22,19750501,20270501
010465363C,9010465363,              0,    20260815,      20260815,0,15,22,19750815,20260815
010466471C,9010466471,              0,    20220115,      20220415,0,15,44,19750915,20220115
010466472C,9010466472,              0,    20220115,      20220415,0,15,44,19750915,20220115
010466978C,9010466978,              0,    20260715,      20261015,0,15,22,19751015,20260715
010467154C,9010467154,              0,    20260923,      20260923,0,23,22,19750923,20260923
010467185C,9010467185,              0,    20260915,      20260915,0,15,22,19751015,20260915
010467500C,9010467500,              0,    20261004,      20261004,0,4,22,19751004,20261004
010469728C,9010469728,              0,    20160315,      20160615,0,15,44,19760115,20160315
010470522C,9010470522,              0,    19791231,      20261231,0,31,45,19751231,19791231
010471046C,9010471046,              0,    20270301,      20270301,0,1,22,19760301,20270301
010471532C,9010471532,              0,    19860315,      20270315,0,15,45,19760315,19860315
010478048C,9010478048,              0,    19841101,      20260801,0,1,45,19760901,19841101
010478213C,9010478213,              0,    20260810,      20260810,0,10,22,19760810,20260810
010478214C,9010478214,              0,    20260810,      20260810,0,10,22,19760810,20260810
010478890C,9010478890,              0,    19900615,      19900615,0,15,44,19760915,19900615
010484864C,9010484864,              0,    20270124,      20270124,0,24,22,19770124,20270124
010487125C,9010487125,              0,    20260701,      20260701,0,1,22,19770401,20260701
010487886C,9010487886,              0,    20270328,      20270328,0,28,22,19770328,20270328
010487888C,9010487888,              0,    20260928,      20260928,0,28,22,19770328,20260928
010488878C,9010488878,              0,    20261006,      20261006,0,6,22,19770406,20261006
010492604C,9010492604,              0,    20261221,      20261221,0,21,22,19770621,20261221
010495122C,9010495122,              0,    20260901,      20260901,0,1,22,19770901,20260901
010500671C,9010500671,              0,    19780711,      20270111,0,11,41,19580711,19780711
010501142C,9010501142,              0,    20261127,      20261127,0,27,22,19771127,20261127
010502776C,9010502776,              0,    20260713,      20270113,0,13,22,19780113,20260713
010502995C,9010502995,              0,    20120515,      20120815,0,15,44,19780215,20120515
010505481C,9010505481,              0,    20240601,      20260801,0,1,45,19780401,20240601
010507004C,9010507004,              0,    20261010,      20261010,0,10,22,19780410,20261010
010507005C,9010507005,              0,    20261010,      20261010,0,10,22,19780410,20261010
010510553C,9010510553,              0,    20130701,      20270701,0,1,45,19780701,20130701
010510671C,9010510671,              0,    20220621,      20220621,0,21,44,19780621,20220621
010511203C,9010511203,              0,    20260720,      20260720,0,20,22,19780720,20260720
010513627C,9010513627,              0,    20260815,      20260815,0,15,22,19780815,20260815
010513711C,9010513711,              0,    20280417,      20280417,0,17,22,19780817,20280417
010523097C,9010523097,              0,    20270205,      20270205,0,5,22,19790205,20270205
010525250C,9010525250,              0,    20080901,      20081201,0,1,44,19790401,20080901
010530033C,9010530033,              0,    20270516,      20270516,0,16,22,19790516,20270516
010541669C,9010541669,              0,    20180301,      20190301,0,1,44,19791201,20180301
010542288C,9010542288,              0,    20261112,      20261112,0,12,22,19791112,20261112
010544183C,9010544183,              0,    20261214,      20261214,0,14,22,19791214,20261214
010547892C,9010547892,              0,    20260915,      20260915,0,15,22,19800315,20260915
010550088C,9010550088,              0,    20260715,      20261015,0,15,22,19800415,20260715
010567983C,9010567983,              0,    20270110,      20270110,0,10,22,19810110,20270110
010576755C,9010576755,              0,    20090115,      20090415,0,15,44,19810515,20090115
010578323C,9010578323,              0,    20261127,      20261127,0,27,22,19810527,20261127
010583923C,9010583923,              0,    20110704,      20110704,0,4,44,19810704,20110704
010591112C,9010591112,              0,    19850301,      20260801,0,1,45,19811001,19850301
010713707C,9010713707,              0,    20270419,      20270419,0,19,22,19840419,20270419
010717447C,9010717447,              0,    20270523,      20270523,0,23,22,19840523,20270523
010718276C,9010718276,              0,    20270622,      20270622,0,22,22,19840622,20270622
010718277C,9010718277,              0,    20270604,      20270604,0,4,22,19840604,20270604
010718278C,9010718278,              0,    20270604,      20270604,0,4,22,19840604,20270604
010719815C,9010719815,              0,    20260803,      20260803,0,3,22,19840803,20260803
010720088C,9010720088,              0,    20270622,      20270622,0,22,22,19840622,20270622
010720759C,9010720759,              0,    20270618,      20270618,0,18,22,19840618,20270618
010722550C,9010722550,              0,    20260705,      20260805,0,5,22,19840705,20260705
010722734C,9010722734,              0,    20260710,      20270710,0,10,22,19840710,20260710
010723386C,9010723386,              0,    20260718,      20270718,0,18,22,19840718,20260718
010723388C,9010723388,              0,    20260718,      20270718,0,18,22,19840718,20260718
010723523C,9010723523,              0,    20260726,      20260726,0,26,22,19840726,20260726
010724510C,9010724510,              0,    20260801,      20260801,0,1,22,19840801,20260801
010725643C,9010725643,              0,    20260810,      20260810,0,10,22,19840810,20260810
010726922C,9010726922,              0,    20260820,      20260820,0,20,22,19840820,20260820
010729500C,9010729500,              0,    20260913,      20260913,0,13,22,19840913,20260913
010730780C,9010730780,              0,    20260918,      20260918,0,18,22,19840918,20260918
010731296C,9010731296,              0,    20260926,      20260926,0,26,22,19840926,20260926
010731608C,9010731608,              0,    20261008,      20261008,0,8,22,19841008,20261008
010732078C,9010732078,              0,    20261008,      20261008,0,8,22,19841008,20261008
010732270C,9010732270,              0,    20261010,      20261010,0,10,22,19841010,20261010
010732271C,9010732271,              0,    20260710,      20261010,0,10,22,19841010,20260710
010732276C,9010732276,              0,    20261010,      20261010,0,10,22,19841010,20261010
010732280C,9010732280,              0,    20261010,      20261010,0,10,22,19841010,20261010
010732281C,9010732281,              0,    20261010,      20261010,0,10,22,19841010,20261010
010733665C,9010733665,              0,    20260728,      20260728,0,28,22,19841028,20260728
010734462C,9010734462,              0,    20260807,      20260807,0,7,22,19841107,20260807
010734951C,9010734951,              0,    19960813,      20260813,0,13,45,19841113,19960813
010734954C,9010734954,              0,    19960813,      20260813,0,13,45,19841113,19960813
010735160C,9010735160,              0,    20260619,      20260819,0,19,22,19841119,20260619
010735585C,9010735585,              0,    20261126,      20261126,0,26,22,19841126,20261126
010735918C,9010735918,              0,    20260901,      20260901,0,1,22,19841201,20260901
010736036C,9010736036,              0,    20261128,      20261128,0,28,22,19841128,20261128
010736643C,9010736643,              0,    20261206,      20261206,0,6,22,19841206,20261206
010736702C,9010736702,              0,    20260715,      20260715,0,15,22,19841215,20260715
010736736C,9010736736,              0,    20261209,      20261209,0,9,22,19841209,20261209
010736935C,9010736935,              0,    20251210,      20251210,0,10,44,19841210,20251210
010737378C,9010737378,              0,    20261205,      20261205,0,5,22,19841205,20261205
010737619C,9010737619,              0,    20260714,      20260714,0,14,22,19841214,20260714
010738161C,9010738161,              0,    20260704,      20260804,0,4,22,19850104,20260704
010738672C,9010738672,              0,    20270101,      20270101,0,1,22,19850101,20270101
010738936C,9010738936,              0,    20270110,      20270110,0,10,22,19850110,20270110
010739212C,9010739212,              0,    20260704,      20270104,0,4,22,19850104,20260704
010739794C,9010739794,              0,    20260720,      20260720,0,20,22,19850120,20260720
010741302C,9010741302,              0,    20270126,      20270126,0,26,22,19850126,20270126
010742225C,9010742225,              0,    20270209,      20270209,0,9,22,19850209,20270209
010744223C,9010744223,              0,    20260901,      20260901,0,1,22,19850301,20260901
010744489C,9010744489,              0,    20260702,      20260802,0,2,22,19850302,20260702
010744818C,9010744818,              0,    20260912,      20260912,0,12,22,19850312,20260912
010745169C,9010745169,              0,    20270314,      20270314,0,14,22,19850314,20270314
010745456C,9010745456,              0,    20270315,      20270315,0,15,22,19850315,20270315
010745749C,9010745749,              0,    20270322,      20270322,0,22,22,19850322,20270322
010745750C,9010745750,              0,    20270322,      20270322,0,22,22,19850322,20270322
010746670C,9010746670,              0,    20011001,      20261001,0,1,45,19850401,20011001
010746844C,9010746844,              0,    20270324,      20270324,0,24,22,19850324,20270324
010747437C,9010747437,              0,    20270408,      20270408,0,8,22,19850408,20270408
010747636C,9010747636,              0,    20270410,      20270410,0,10,22,19850410,20270410
010747875C,9010747875,              0,    20260726,      20260726,0,26,22,19850426,20260726
010747876C,9010747876,              0,    20260726,      20260726,0,26,22,19850426,20260726
010748253C,9010748253,              0,    20260717,      20261017,0,17,22,19850417,20260717
010748334C,9010748334,              0,    20270415,      20270415,0,15,22,19850415,20270415
010748335C,9010748335,              0,    20270415,      20270415,0,15,22,19850415,20270415
010748556C,9010748556,              0,    20270421,      20270421,0,21,22,19850421,20270421
010749038C,9010749038,              0,    20270425,      20270425,0,25,22,19850425,20270425
010749401C,9010749401,              0,    20260601,      20260801,0,1,22,19850501,20260601
010749628C,9010749628,              0,    19911101,      20261101,0,1,45,19850501,19911101
010749843C,9010749843,              0,    20270615,      20270615,0,15,22,19850615,20270615
010749849C,9010749849,              0,    20270504,      20270504,0,4,22,19850504,20270504
010749906C,9010749906,              0,    20270506,      20270506,0,6,22,19850506,20270506
010749907C,9010749907,              0,    20260806,      20260806,0,6,22,19850506,20260806
010750265C,9010750265,              0,    20260808,      20260808,0,8,22,19850508,20260808
010751057C,9010751057,              0,    20260810,      20260810,0,10,22,19850510,20260810
010751933C,9010751933,              0,    20000524,      20260824,0,24,45,19850524,20000524
010751934C,9010751934,              0,    20000524,      20260824,0,24,45,19850524,20000524
010751937C,9010751937,              0,    20260722,      20260722,0,22,22,19850522,20260722
010752580C,9010752580,              0,    20270601,      20270601,0,1,22,19850601,20270601
010752698C,9010752698,              0,    20260901,      20260901,0,1,22,19850601,20260901
010752699C,9010752699,              0,    20260901,      20260901,0,1,22,19850601,20260901
010752702C,9010752702,              0,    20270605,      20270605,0,5,22,19850605,20270605
010752831C,9010752831,              0,    19910203,      20260803,0,3,45,19850603,19910203
010753409C,9010753409,              0,    20270612,      20270612,0,12,22,19850612,20270612
010754355C,9010754355,              0,    19910618,      20260818,0,18,45,19850618,19910618
010754480C,9010754480,              0,    20260919,      20260919,0,19,22,19850619,20260919
010754485C,9010754485,              0,    20270203,      20270203,0,3,22,19850203,20270203
010755152C,9010755152,              0,    20270626,      20270626,0,26,22,19850626,20270626
010755271C,9010755271,              0,    20000623,      20000623,0,23,44,19850623,20000623
010755885C,9010755885,              0,    20270711,      20270711,0,11,22,19850711,20270711
010756091C,9010756091,              0,    20260702,      20261002,0,2,22,19850702,20260702
010756279C,9010756279,              0,    19980709,      20270709,0,9,45,19850709,19980709
010756540C,9010756540,              0,    20260708,      20270708,0,8,22,19850708,20260708
010756833C,9010756833,              0,    20260712,      20270712,0,12,22,19850712,20260712
010756909C,9010756909,              0,    20260717,      20270717,0,17,22,19850717,20260717
010756916C,9010756916,              0,    20260804,      20260804,0,4,22,19850804,20260804
010756925C,9010756925,              0,    20260805,      20260805,0,5,22,19850805,20260805
010756926C,9010756926,              0,    19910315,      20260815,0,15,45,19850715,19910315
010756927C,9010756927,              0,    19920723,      20260723,0,23,45,19850723,19920723
010756972C,9010756972,              0,    20260712,      20261012,0,12,22,19850712,20260712
010757561C,9010757561,              0,    19900920,      20260820,0,20,45,19850720,19900920
010757606C,9010757606,              0,    20060718,      20261018,0,18,45,19850718,20060718
010757607C,9010757607,              0,    20260718,      20270718,0,18,22,19850718,20260718
010757826C,9010757826,              0,    20260717,      20270717,0,17,22,19850717,20260717
010757827C,9010757827,              0,    20260717,      20270717,0,17,22,19850717,20260717
010757840C,9010757840,              0,    20260816,      20260816,0,16,22,19850816,20260816
010758538C,9010758538,              0,    19920501,      20260801,0,1,45,19850801,19920501
010758540C,9010758540,              0,    20260801,      20260801,0,1,22,19850801,20260801
010758550C,9010758550,              0,    20210801,      20210801,0,1,22,19850801,20210801
010758940C,9010758940,              0,    19990928,      19990928,0,28,44,19850728,19990928
010759008C,9010759008,              0,    20260801,      20260801,0,1,22,19850801,20260801
010759385C,9010759385,              0,    20260802,      20260802,0,2,22,19850802,20260802
010759541C,9010759541,              0,    20260801,      20260801,0,1,22,19850801,20260801
010759548C,9010759548,              0,    20260802,      20260802,0,2,22,19850802,20260802
010759552C,9010759552,              0,    20260814,      20260814,0,14,22,19850814,20260814
010760160C,9010760160,              0,    20260901,      20260901,0,1,22,19850901,20260901
010760295C,9010760295,              0,    20260901,      20260901,0,1,22,19850901,20260901
010760298C,9010760298,              0,    20260901,      20260901,0,1,22,19850901,20260901
010760304C,9010760304,              0,    19990801,      20260801,0,1,45,19850901,19990801
010760840C,9010760840,              0,    20261001,      20261001,0,1,22,19851001,20261001
010760851C,9010760851,              0,    20260923,      20260923,0,23,22,19850923,20260923
010760873C,9010760873,              0,    20260915,      20260915,0,15,22,19850915,20260915
010760874C,9010760874,              0,    20260815,      20260815,0,15,22,19850815,20260815
010760943C,9010760943,              0,    20260814,      20260814,0,14,22,19850814,20260814
010761092C,9010761092,              0,    19980819,      19980819,0,19,44,19850819,19980819
010761672C,9010761672,              0,    20260701,      20260701,0,1,22,19850901,20260701
010761673C,9010761673,              0,    20260901,      20260901,0,1,22,19850901,20260901
010761885C,9010761885,              0,    20260901,      20260901,0,1,22,19850901,20260901
010761913C,9010761913,              0,    19930827,      20260827,0,27,45,19850827,19930827
010761965C,9010761965,              0,    20260901,      20260901,0,1,22,19850901,20260901
010761966C,9010761966,              0,    20260901,      20260901,0,1,22,19850901,20260901
010762068C,9010762068,              0,    20260826,      20260826,0,26,22,19850826,20260826
010762079C,9010762079,              0,    20260827,      20260827,0,27,22,19850827,20260827
010763063C,9010763063,              0,    20260715,      20260815,0,15,22,19850915,20260715
010763377C,9010763377,              0,    20260909,      20260909,0,9,22,19850909,20260909
010763378C,9010763378,              0,    20260919,      20260919,0,19,22,19850919,20260919
010764158C,9010764158,              0,    20260909,      20260909,0,9,44,19850909,20260909
010764248C,9010764248,              0,    20260916,      20260916,0,16,44,19850916,20260916
010764319C,9010764319,              0,    20260915,      20260915,0,15,22,19850915,20260915
010764368C,9010764368,              0,    20261001,      20261001,0,1,22,19851001,20261001
010764369C,9010764369,              0,    20261001,      20261001,0,1,22,19851001,20261001
010764379C,9010764379,              0,    20260610,      20260810,0,10,22,19851010,20260610
010764684C,9010764684,              0,    20260919,      20260919,0,19,22,19850919,20260919
010764810C,9010764810,              0,    20260915,      20260915,0,15,22,19850915,20260915
010764818C,9010764818,              0,    20260915,      20260915,0,15,22,19850915,20260915
010765068C,9010765068,              0,    20260918,      20260918,0,18,22,19850918,20260918
010765198C,9010765198,              0,    20191001,      20191001,0,1,22,19851001,20191001
010765320C,9010765320,              0,    20261015,      20261015,0,15,22,19851015,20261015
010765337C,9010765337,              0,    20260715,      20260815,0,15,22,19851015,20260715
010765339C,9010765339,              0,    20261001,      20261001,0,1,22,19851001,20261001
010765429C,9010765429,              0,    20260919,      20260919,0,19,22,19850919,20260919
010766554C,9010766554,              0,    20261003,      20261003,0,3,22,19851003,20261003
010766679C,9010766679,              0,    20240927,      20250927,0,27,44,19850927,20240927
010766898C,9010766898,              0,    20261101,      20261101,0,1,22,19851101,20261101
010766920C,9010766920,              0,    20260801,      20260801,0,1,22,19851001,20260801
010766921C,9010766921,              0,    20260801,      20260801,0,1,22,19851001,20260801
010767171C,9010767171,              0,    20261009,      20261009,0,9,22,19851009,20261009
010767222C,9010767222,              0,    20261008,      20261008,0,8,22,19851008,20261008
010767768C,9010767768,              0,    20261101,      20261101,0,1,22,19851101,20261101
010767772C,9010767772,              0,    20260707,      20260807,0,7,22,19851107,20260707
010767776C,9010767776,              0,    20260701,      20260801,0,1,22,19851101,20260701
010768067C,9010768067,              0,    20261015,      20261015,0,15,22,19851015,20261015
010768384C,9010768384,              0,    20260714,      20261014,0,14,22,19851014,20260714
010768385C,9010768385,              0,    20260714,      20261014,0,14,22,19851014,20260714
010769190C,9010769190,              0,    20261101,      20261101,0,1,22,19851101,20261101
010769191C,9010769191,              0,    20260801,      20260801,0,1,22,19851101,20260801
010769195C,9010769195,              0,    20261115,      20261115,0,15,22,19851115,20261115
010769232C,9010769232,              0,    20261115,      20261115,0,15,22,19851115,20261115
010769233C,9010769233,              0,    20261025,      20261025,0,25,22,19851025,20261025
010769345C,9010769345,              0,    20261101,      20261101,0,1,22,19851101,20261101
010769606C,9010769606,              0,    20261101,      20261101,0,1,22,19851101,20261101
010769711C,9010769711,              0,    20260801,      20260801,0,1,22,19851101,20260801
010770062C,9010770062,              0,    20221116,      20221116,0,16,22,19851116,20221116
010770572C,9010770572,              0,    20260804,      20260804,0,4,22,19851104,20260804
010770844C,9010770844,              0,    20261115,      20261115,0,15,22,19851115,20261115
010770904C,9010770904,              0,    20260801,      20260801,0,1,22,19851101,20260801
010771339C,9010771339,              0,    20261112,      20261112,0,12,22,19851112,20261112
010771354C,9010771354,              0,    20261114,      20261114,0,14,22,19851114,20261114
010771532C,9010771532,              0,    20261201,      20261201,0,1,22,19851201,20261201
010771832C,9010771832,              0,    20261115,      20261115,0,15,22,19851115,20261115
010771833C,9010771833,              0,    20261115,      20261115,0,15,22,19851115,20261115
010772913C,9010772913,              0,    20261201,      20261201,0,1,22,19851201,20261201
010772957C,9010772957,              0,    20261126,      20261126,0,26,22,19851126,20261126
010773561C,9010773561,              0,    20260704,      20260804,0,4,44,19851204,20260704
010773575C,9010773575,              0,    20260904,      20260904,0,4,22,19851204,20260904
010773682C,9010773682,              0,    20261210,      20261210,0,10,22,19851210,20261210
010773882C,9010773882,              0,    20270101,      20270101,0,1,22,19860101,20270101
010774328C,9010774328,              0,    20260911,      20260911,0,11,22,19851211,20260911
010774329C,9010774329,              0,    20260911,      20260911,0,11,22,19851211,20260911
010774490C,9010774490,              0,    20261210,      20261210,0,10,22,19851210,20261210
010774527C,9010774527,              0,    20261210,      20261210,0,10,22,19851210,20261210
010774772C,9010774772,              0,    20261216,      20261216,0,16,22,19851216,20261216
010774774C,9010774774,              0,    20260801,      20260801,0,1,44,19860201,20260801
010774868C,9010774868,              0,    20051224,      20261224,0,24,45,19851224,20051224
010774973C,9010774973,              0,    20261215,      20261215,0,15,22,19851215,20261215
010775239C,9010775239,              0,    20260822,      20260822,0,22,22,19851122,20260822
010775244C,9010775244,              0,    20261218,      20261218,0,18,22,19851218,20261218
010775418C,9010775418,              0,    20261219,      20261219,0,19,22,19851219,20261219
010775722C,9010775722,              0,    20261220,      20261220,0,20,22,19851220,20261220
010775723C,9010775723,              0,    20270114,      20270114,0,14,22,19860114,20270114
010776025C,9010776025,              0,    20020516,      20020516,0,16,44,19851216,20020516
010776061C,9010776061,              0,    20050927,      20051227,0,27,44,19851227,20050927
010776062C,9010776062,              0,    20050927,      20051227,0,27,44,19851227,20050927
010776502C,9010776502,              0,    20270102,      20270102,0,2,22,19860102,20270102
010776651C,9010776651,              0,    20270115,      20270115,0,15,22,19860115,20270115
010776811C,9010776811,              0,    20260708,      20260708,0,8,22,19860108,20260708
010776812C,9010776812,              0,    20270108,      20270108,0,8,22,19860108,20270108
010776813C,9010776813,              0,    20240115,      20240115,0,15,22,19860115,20240115
010776831C,9010776831,              0,    20270115,      20270115,0,15,22,19860115,20270115
010776900C,9010776900,              0,    20270109,      20270109,0,9,22,19860109,20270109
010777059C,9010777059,              0,    20250205,      20250205,0,5,22,19860205,20250205
010777439C,9010777439,              0,    20230113,      20240113,0,13,44,19860113,20230113
010777501C,9010777501,              0,    19950304,      20270304,0,4,45,19860304,19950304
010778016C,9010778016,              0,    20260713,      20260713,0,13,22,19860113,20260713
010778303C,9010778303,              0,    20260721,      20261021,0,21,22,19860121,20260721
010778304C,9010778304,              0,    20260721,      20261021,0,21,22,19860121,20260721
010778361C,9010778361,              0,    20270123,      20270123,0,23,22,19860123,20270123
010778381C,9010778381,              0,    19990327,      20270327,0,27,45,19860127,19990327
010778653C,9010778653,              0,    20270123,      20270123,0,23,22,19860123,20270123
010778697C,9010778697,              0,    20260724,      20261024,0,24,22,19860124,20260724
010778707C,9010778707,              0,    20260724,      20261024,0,24,22,19860124,20260724
010779032C,9010779032,              0,    20260701,      20260701,0,1,22,19860201,20260701
010779034C,9010779034,              0,    20260714,      20270114,0,14,22,19860114,20260714
010779456C,9010779456,              0,    20270128,      20270128,0,28,44,19860128,20270128
010779552C,9010779552,              0,    20270201,      20270201,0,1,22,19860201,20270201
010779563C,9010779563,              0,    20260801,      20260801,0,1,22,19860201,20260801
010779727C,9010779727,              0,    20270206,      20270206,0,6,22,19860206,20270206
