line,group,policy,valx_units,qla_live_units,listed_diff,billing_reason,vanish_flag,is_vb,bucket,lp_or_seed_units,conversion_munit,n_0561,sum_0561,unit_impact_0561,counterfactual_units,computed_valx_minus_qla,qla_live_minus_counterfactual,qla_matches_counterfactual,listed_diff_matches_0561_impact,valx_matches_lp_units
138,Interest-Sensitive Whole Life,9010776502,25.0,23.472,1.528,VB,T,True,145B_VB,25.0,25.0,9,1527.75,1.52775,23.47225,1.528,-0.00025,True,True,True
139,Interest-Sensitive Whole Life,9010895689,6.25,4.708,1.542,VB,T,True,145B_VB,6.25,6.25,9,1542.42,1.54242,4.70758,1.542,0.00042,True,True,True
140,Interest-Sensitive Whole Life,9010764818,25.0,23.454,1.546,VB,T,True,145B_VB,25.0,25.0,8,1546.0,1.546,23.454,1.546,0.0,True,True,True
141,Interest-Sensitive Whole Life,9010803776,25.0,23.426,1.574,VB,T,True,145B_VB,25.0,25.0,8,1574.0,1.574,23.426,1.574,0.0,True,True,True
142,Interest-Sensitive Whole Life,9010769190,25.0,23.423,1.577,VB,T,True,145B_VB,25.0,25.0,9,1577.25,1.57725,23.42275,1.577,0.00025,True,True,True
143,Interest-Sensitive Whole Life,9011036041,25.0,23.423,1.577,VB,T,True,145B_VB,25.0,25.0,9,1577.25,1.57725,23.42275,1.577,0.00025,True,True,True
144,Interest-Sensitive Whole Life,9010799487,30.0,28.41,1.59,VB,T,True,145B_VB,30.0,30.0,8,1589.6,1.5896,28.4104,1.59,-0.0004,True,True,True
145,Interest-Sensitive Whole Life,9010883731,44.0,42.385,1.615,VB,T,True,145B_VB,44.0,44.0,9,1614.96,1.61496,42.38504,1.615,-4e-05,True,True,True
146,Interest-Sensitive Whole Life,9010770844,25.0,23.346,1.654,VB,T,True,145B_VB,25.0,25.0,8,1654.0,1.654,23.346,1.654,0.0,True,True,True
147,Interest-Sensitive Whole Life,9010782062,25.0,23.317,1.683,VB,T,True,145B_VB,25.0,25.0,9,1683.0,1.683,23.317,1.683,0.0,True,True,True
148,Interest-Sensitive Whole Life,9010783785,25.0,23.317,1.683,VB,T,True,145B_VB,25.0,25.0,9,1683.0,1.683,23.317,1.683,0.0,True,True,True
149,Interest-Sensitive Whole Life,9010801256,7.5,5.816,1.684,VB,T,True,145B_VB,7.5,7.5,8,1684.4,1.6844,5.8156,1.684,0.0004,True,True,True
150,Interest-Sensitive Whole Life,9010847479,25.0,23.29,1.71,VB,T,True,145B_VB,25.0,25.0,7,1709.75,1.70975,23.29025,1.71,-0.00025,True,True,True
151,Interest-Sensitive Whole Life,9010756925,25.0,23.286,1.714,VB,T,True,145B_VB,25.0,25.0,8,1714.0,1.714,23.286,1.714,0.0,True,True,True
152,Interest-Sensitive Whole Life,9010760295,25.0,23.286,1.714,VB,T,True,145B_VB,25.0,25.0,8,1714.0,1.714,23.286,1.714,0.0,True,True,True
153,Interest-Sensitive Whole Life,9010772957,25.0,23.286,1.714,VB,T,True,145B_VB,25.0,25.0,8,1714.0,1.714,23.286,1.714,0.0,True,True,True
154,Interest-Sensitive Whole Life,9010834574,25.0,23.273,1.727,VB,T,True,145B_VB,25.0,25.0,7,1727.25,1.72725,23.27275,1.727,0.00025,True,True,True
155,Interest-Sensitive Whole Life,9010792961,25.0,23.261,1.739,VB,T,True,145B_VB,25.0,25.0,9,1739.25,1.73925,23.26075,1.739,0.00025,True,True,True
156,Interest-Sensitive Whole Life,9010757071,30.0,28.245,1.755,VB,T,True,145B_VB,30.0,30.0,8,1755.2,1.7552,28.2448,1.755,0.0002,True,True,True
157,Interest-Sensitive Whole Life,9011061046,50.0,48.228,1.772,VB,T,True,145B_VB,50.0,50.0,8,1772.0,1.772,48.228,1.772,0.0,True,True,True
158,Interest-Sensitive Whole Life,9010723523,25.0,23.222,1.778,VB,T,True,145B_VB,25.0,25.0,8,1778.0,1.778,23.222,1.778,0.0,True,True,True
159,Interest-Sensitive Whole Life,9010873140,25.0,23.222,1.778,VB,T,True,145B_VB,25.0,25.0,8,1778.0,1.778,23.222,1.778,0.0,True,True,True
160,Interest-Sensitive Whole Life,9010955783,50.0,48.196,1.804,VB,T,True,145B_VB,50.0,50.0,9,1804.5,1.8045,48.1955,1.804,0.0005,True,True,True
161,Interest-Sensitive Whole Life,9011025405,5.0,3.177,1.823,VB,T,True,145B_VB,5.0,5.0,8,1823.2,1.8232,3.1768,1.823,0.0002,True,True,True
