policy,billing_reason,lp_units,lp_vpu,qla_munit,qla_mdb,n_0561_unrev,sum_0561,unit_impact_0561,counterfactual_qla_units,output_munit_equals_lp,isrr_exact_matches,isrr_rows,vanish_flag
9010737378,VB,50.0,1000.0,50.0,50000.0,8,2604.0,2.604,47.396,True,8,8,T
9010738672,VB,25.0,1000.0,25.0,25000.0,9,3222.0,3.222,21.778,True,9,9,T
9010740836,VB,5.0,1000.0,5.0,5000.0,2,326.4,0.3264,4.6736,True,2,2,T
9010741302,VB,25.0,1000.0,25.0,25000.0,6,901.5,0.9015,24.0985,True,6,6,T
9010741334,VB,25.0,1000.0,25.0,25000.0,6,1018.5,1.0185,23.9815,True,6,6,T
9010742814,VB,5.0,1000.0,5.0,5000.0,1,155.75,0.15575,4.84425,True,1,1,T
9010743074,VB,8.0,1000.0,8.0,8000.0,1,246.12,0.24612,7.75388,True,1,1,T
9010743638,VB,7.5,1000.0,7.5,7500.0,8,2157.2,2.1572,5.3428,True,8,8,T
9010744412,VB,5.0,1000.0,5.0,5000.0,5,1086.0,1.086,3.914,True,5,5,T
9010745456,VB,25.0,1000.0,25.0,25000.0,9,1156.5,1.1565,23.8435,True,9,9,T
9010745749,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010745750,VB,25.0,1000.0,25.0,25000.0,9,1131.75,1.13175,23.86825,True,9,9,T
9010745751,VB,35.0,1000.0,35.0,35000.0,9,3019.05,3.01905,31.98095,True,9,9,T
9010746005,VB,5.0,1000.0,5.0,5000.0,5,896.75,0.89675,4.10325,True,5,5,T
9010746424,VB,5.0,1000.0,5.0,5000.0,3,564.3,0.5643,4.4357,True,3,3,T
9010746846,VB,25.0,1000.0,25.0,25000.0,7,1897.0,1.897,23.103,True,7,7,T
9010747186,VB,100.0,1000.0,100.0,100000.0,5,4235.0,4.235,95.765,True,5,5,T
9010747241,VB,10.0,1000.0,10.0,10000.0,1,351.2,0.3512,9.6488,True,1,1,T
9010747636,VB,25.0,1000.0,25.0,25000.0,4,539.0,0.539,24.461,True,4,4,T
9010748070,VB,5.0,1000.0,5.0,5000.0,1,155.75,0.15575,4.84425,True,1,1,T
9010748334,VB,25.0,1000.0,25.0,25000.0,9,1030.5,1.0305,23.9695,True,9,9,T
9010748335,VB,25.0,1000.0,25.0,25000.0,9,1480.5,1.4805,23.5195,True,9,9,T
9010748404,VB,10.0,1000.0,10.0,10000.0,1,369.7,0.3697,9.6303,True,1,1,T
9010748517,VB,5.0,1000.0,5.0,5000.0,1,217.2,0.2172,4.7828,True,1,1,T
9010748556,VB,25.0,1000.0,25.0,25000.0,9,1089.0,1.089,23.911,True,9,9,T
9010749038,VB,50.0,1000.0,50.0,50000.0,9,2038.5,2.0385,47.9615,True,9,9,T
9010749042,VB,25.0,1000.0,25.0,25000.0,2,292.0,0.292,24.708,True,2,2,T
9010749463,VB,25.0,1000.0,25.0,25000.0,9,2893.5,2.8935,22.1065,True,9,9,T
9010749842,VB,25.0,1000.0,25.0,25000.0,9,2367.0,2.367,22.633,True,9,9,T
9010749843,VB,25.0,1000.0,25.0,25000.0,9,2585.25,2.58525,22.41475,True,9,9,T
9010749849,VB,25.0,1000.0,25.0,25000.0,9,1014.75,1.01475,23.98525,True,9,9,T
9010749906,VB,25.0,1000.0,25.0,25000.0,6,691.32,0.69132,24.30868,True,6,6,T
9010749968,VB,5.0,1000.0,5.0,5000.0,5,816.0,0.816,4.184,True,5,5,T
9010750755,VB,25.0,1000.0,25.0,25000.0,6,726.0,0.726,24.274,True,6,6,T
9010752580,VB,25.0,1000.0,25.0,25000.0,9,2146.5,2.1465,22.8535,True,9,9,T
9010752702,VB,25.0,1000.0,25.0,25000.0,9,2513.25,2.51325,22.48675,True,9,9,T
9010753409,VB,25.0,1000.0,25.0,25000.0,6,726.0,0.726,24.274,True,6,6,T
9010753687,VB,5.0,1000.0,5.0,5000.0,7,1255.45,1.25545,3.74455,True,7,7,T
9010754485,VB,25.0,1000.0,25.0,25000.0,9,6106.5,6.1065,18.8935,True,9,9,T
9010754898,VB,35.0,1000.0,35.0,35000.0,7,3080.7,3.0807,31.9193,True,7,7,T
9010755152,VB,7.0,1000.0,7.0,7000.0,9,2169.81,2.16981,4.83019,True,9,9,T
9010756020,VB,5.0,1000.0,5.0,5000.0,3,489.6,0.4896,4.5104,True,3,3,T
9010756024,VB,25.0,1000.0,25.0,25000.0,7,3211.25,3.21125,21.78875,True,7,7,T
9010756033,VB,5.0,1000.0,5.0,5000.0,6,1184.1,1.1841,3.8159,True,6,6,T
9010756540,VB,25.0,1000.0,25.0,25000.0,1,187.75,0.18775,24.81225,True,1,1,T
9010756909,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010756916,VB,25.0,1000.0,25.0,25000.0,8,2634.0,2.634,22.366,True,8,8,T
9010756925,VB,25.0,1000.0,25.0,25000.0,8,1714.0,1.714,23.286,True,8,8,T
9010756938,VB,25.0,1000.0,25.0,25000.0,6,2341.5,2.3415,22.6585,True,6,6,T
9010757042,VB,5.0,1000.0,5.0,5000.0,3,620.85,0.62085,4.37915,True,3,3,T
9010757071,VB,30.0,1000.0,30.0,30000.0,8,1755.2,1.7552,28.2448,True,8,8,T
9010757542,VB,8.1,1000.0,8.1,8100.0,0,0,0.0,8.1,True,0,0,T
9010757607,VB,25.0,1000.0,25.0,25000.0,8,926.0,0.926,24.074,True,8,8,T
9010757801,VB,60.0,1000.0,60.0,60000.0,8,4299.2,4.2992,55.7008,True,8,8,T
9010757840,VB,25.0,1000.0,25.0,25000.0,8,2842.0,2.842,22.158,True,8,8,T
9010758520,VB,7.5,1000.0,7.5,7500.0,2,1142.0,1.142,6.358,True,2,2,T
9010758540,VB,25.0,1000.0,25.0,25000.0,8,1448.0,1.448,23.552,True,8,8,T
9010758549,VB,6.0,1000.0,6.0,6000.0,1,268.48,0.26848,5.73152,True,1,1,T
9010758573,VB,25.0,1000.0,25.0,25000.0,7,2616.25,2.61625,22.38375,True,7,7,T
9010759008,VB,25.0,1000.0,25.0,25000.0,8,1238.0,1.238,23.762,True,8,8,T
9010759357,VB,5.0,1000.0,5.0,5000.0,0,0,0.0,5.0,True,0,0,T
9010759385,VB,5.0,1000.0,5.0,5000.0,8,1434.8,1.4348,3.5652,True,8,8,T
9010759541,VB,25.0,1000.0,25.0,25000.0,8,2368.0,2.368,22.632,True,8,8,T
9010759550,VB,50.0,1000.0,50.0,50000.0,8,2792.0,2.792,47.208,True,8,8,T
9010759559,VB,5.0,1000.0,5.0,5000.0,1,171.05,0.17105,4.82895,True,1,1,T
9010759932,VB,25.0,1000.0,25.0,25000.0,5,1646.25,1.64625,23.35375,True,5,5,T
9010760160,VB,60.0,1000.0,60.0,60000.0,8,2446.4,2.4464,57.5536,True,8,8,T
9010760294,VB,25.0,1000.0,25.0,25000.0,2,680.5,0.6805,24.3195,True,2,2,T
9010760295,VB,25.0,1000.0,25.0,25000.0,8,1714.0,1.714,23.286,True,8,8,T
9010760298,VB,25.0,1000.0,25.0,25000.0,8,3670.0,3.67,21.33,True,8,8,T
9010760851,VB,36.0,1000.0,36.0,36000.0,8,3321.92,3.32192,32.67808,True,8,8,T
9010760865,VB,6.0,1000.0,6.0,6000.0,2,563.96,0.56396,5.43604,True,2,2,T
9010760874,VB,40.0,1000.0,40.0,40000.0,0,0,0.0,40.0,True,0,0,T
9010761673,VB,25.0,1000.0,25.0,25000.0,8,1496.0,1.496,23.504,True,8,8,T
9010761870,VB,25.0,1000.0,25.0,25000.0,3,450.75,0.45075,24.54925,True,3,3,T
9010761874,VB,7.0,1000.0,7.0,7000.0,3,760.02,0.76002,6.23998,True,3,3,T
9010762068,VB,9.0,1000.0,9.0,9000.0,8,2303.12,2.30312,6.69688,True,8,8,T
9010762079,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010762319,VB,25.0,1000.0,25.0,25000.0,1,199.75,0.19975,24.80025,True,1,1,T
9010763006,VB,30.0,1000.0,30.0,30000.0,6,2547.6,2.5476,27.4524,True,6,6,T
9010763450,VB,5.0,1000.0,5.0,5000.0,5,940.5,0.9405,4.0595,True,5,5,T
9010764121,VB,8.0,1000.0,8.0,8000.0,6,2205.84,2.20584,5.79416,True,6,6,T
9010764319,VB,25.0,1000.0,25.0,25000.0,8,1238.0,1.238,23.762,True,8,8,T
9010764368,VB,40.0,1000.0,40.0,40000.0,8,4875.2,4.8752,35.1248,True,8,8,T
9010764369,VB,30.0,1000.0,30.0,30000.0,8,2801.6,2.8016,27.1984,True,8,8,T
9010764374,VB,9.0,1000.0,9.0,9000.0,2,520.7,0.5207,8.4793,True,2,2,T
9010764385,VB,7.5,1000.0,7.5,7500.0,3,769.59,0.76959,6.73041,True,3,3,T
9010764400,VB,7.0,1000.0,7.0,7000.0,1,266.29,0.26629,6.73371,True,1,1,T
9010764684,VB,25.0,1000.0,25.0,25000.0,8,1028.0,1.028,23.972,True,8,8,T
9010764810,VB,25.0,1000.0,25.0,25000.0,8,1358.0,1.358,23.642,True,8,8,T
9010764812,VB,10.0,1000.0,10.0,10000.0,6,2333.4,2.3334,7.6666,True,6,6,T
9010764818,VB,25.0,1000.0,25.0,25000.0,8,1546.0,1.546,23.454,True,8,8,T
9010764834,VB,8.0,1000.0,8.0,8000.0,0,0,0.0,8.0,True,0,0,T
9010764837,VB,5.0,1000.0,5.0,5000.0,7,1255.45,1.25545,3.74455,True,7,7,T
9010765318,VB,40.0,1000.0,40.0,40000.0,8,1985.6,1.9856,38.0144,True,8,8,T
9010765320,VB,25.0,1000.0,25.0,25000.0,8,2442.0,2.442,22.558,True,8,8,T
9010765339,VB,75.0,1000.0,75.0,75000.0,8,7154.0,7.154,67.846,True,8,8,T
9010766554,VB,25.0,1000.0,25.0,25000.0,8,2234.0,2.234,22.766,True,8,8,T
9010766898,VB,25.0,1000.0,25.0,25000.0,8,2572.0,2.572,22.428,True,8,8,T
9010767172,VB,75.0,1000.0,75.0,75000.0,8,8192.0,8.192,66.808,True,8,8,T
9010767222,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010767770,VB,25.0,1000.0,25.0,25000.0,5,642.5,0.6425,24.3575,True,5,5,T
9010768067,VB,25.0,1000.0,25.0,25000.0,8,902.0,0.902,24.098,True,8,8,T
9010768339,VB,5.0,1000.0,5.0,5000.0,2,526.4,0.5264,4.4736,True,2,2,T
9010768997,VB,5.0,1000.0,5.0,5000.0,0,0,0.0,5.0,True,0,0,T
9010769176,VB,10.0,1000.0,10.0,10000.0,4,1478.8,1.4788,8.5212,True,4,4,T
9010769190,VB,25.0,1000.0,25.0,25000.0,9,1577.25,1.57725,23.42275,True,9,9,T
9010769195,VB,9.0,1000.0,9.0,9000.0,8,1886.24,1.88624,7.11376,True,8,8,T
9010769227,VB,25.0,1000.0,25.0,25000.0,2,780.5,0.7805,24.2195,True,2,2,T
9010769232,VB,25.0,1000.0,25.0,25000.0,8,2746.0,2.746,22.254,True,8,8,T
9010769606,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010770844,VB,25.0,1000.0,25.0,25000.0,8,1654.0,1.654,23.346,True,8,8,T
9010770865,VB,12.0,1000.0,12.0,12000.0,5,1530.2,1.5302,10.4698,True,5,5,T
9010771532,VB,25.0,1000.0,25.0,25000.0,8,3122.0,3.122,21.878,True,8,8,T
9010771832,VB,25.0,1000.0,25.0,25000.0,8,2746.0,2.746,22.254,True,8,8,T
9010771833,VB,25.0,1000.0,25.0,25000.0,8,3670.0,3.67,21.33,True,8,8,T
9010772668,VB,2.5,1000.0,2.5,2500.0,1,164.3,0.1643,2.3357,True,1,1,T
9010772898,VB,25.0,1000.0,25.0,25000.0,7,3211.25,3.21125,21.78875,True,7,7,T
9010772957,VB,25.0,1000.0,25.0,25000.0,8,1714.0,1.714,23.286,True,8,8,T
9010773088,VB,10.0,1000.0,10.0,10000.0,0,0,0.0,10.0,True,0,0,T
9010773107,VB,10.0,1000.0,10.0,10000.0,7,1814.4,1.8144,8.1856,True,7,7,T
9010773681,VB,36.0,1000.0,36.0,36000.0,8,2380.16,2.38016,33.61984,True,8,8,T
9010773856,VB,5.5,1000.0,5.5,5500.0,2,574.04,0.57404,4.92596,True,2,2,T
9010774490,VB,25.0,1000.0,25.0,25000.0,8,1974.0,1.974,23.026,True,8,8,T
9010774527,VB,25.0,1000.0,25.0,25000.0,8,2864.0,2.864,22.136,True,8,8,T
9010774772,VB,50.0,1000.0,50.0,50000.0,8,3584.0,3.584,46.416,True,8,8,T
9010774773,VB,50.0,1000.0,50.0,50000.0,6,3627.0,3.627,46.373,True,6,6,T
9010774794,VB,6.0,1000.0,6.0,6000.0,8,2147.84,2.14784,3.85216,True,8,8,T
9010774973,VB,25.0,1000.0,25.0,25000.0,6,1051.5,1.0515,23.9485,True,6,6,T
9010775244,VB,25.0,1000.0,25.0,25000.0,8,5140.0,5.14,19.86,True,8,8,T
9010775323,VB,6.0,1000.0,6.0,6000.0,2,563.96,0.56396,5.43604,True,2,2,T
9010775418,VB,25.0,1000.0,25.0,25000.0,8,1908.0,1.908,23.092,True,8,8,T
9010775722,VB,25.0,1000.0,25.0,25000.0,8,1078.0,1.078,23.922,True,8,8,T
9010775723,VB,25.0,1000.0,25.0,25000.0,9,1109.25,1.10925,23.89075,True,9,9,T
9010776027,VB,100.0,1000.0,100.0,100000.0,2,4466.0,4.466,95.534,True,2,2,T
9010776442,VB,25.0,1000.0,25.0,25000.0,3,813.0,0.813,24.187,True,3,3,T
9010776445,VB,42.0,1000.0,42.0,42000.0,7,5275.9,5.2759,36.7241,True,7,7,T
9010776450,VB,25.0,1000.0,25.0,25000.0,8,2390.0,2.39,22.61,True,8,8,T
9010776502,VB,25.0,1000.0,25.0,25000.0,9,1527.75,1.52775,23.47225,True,9,9,T
9010776651,VB,15.0,1000.0,15.0,15000.0,9,4321.84,4.32184,10.67816,True,9,9,T
9010776672,VB,5.0,1000.0,5.0,5000.0,6,1303.2,1.3032,3.6968,True,6,6,T
9010776814,VB,5.0,1000.0,5.0,5000.0,3,752.7,0.7527,4.2473,True,3,3,T
9010776831,VB,35.0,1000.0,35.0,35000.0,9,5954.85,5.95485,29.04515,True,9,9,T
9010776832,VB,35.0,1000.0,35.0,35000.0,9,3875.85,3.87585,31.12415,True,9,9,T
9010777793,VB,7.0,1000.0,7.0,7000.0,6,1854.36,1.85436,5.14564,True,6,6,T
9010778142,VB,5.0,1000.0,5.0,5000.0,2,455.8,0.4558,4.5442,True,2,2,T
9010778464,VB,17.0,1000.0,17.0,17000.0,9,3808.26,3.80826,13.19174,True,9,9,T
9010778474,VB,5.0,1000.0,5.0,5000.0,4,752.4,0.7524,4.2476,True,4,4,T
9010778635,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010778653,VB,25.0,1000.0,25.0,25000.0,9,2585.25,2.58525,22.41475,True,9,9,T
9010779031,VB,100.0,1000.0,100.0,100000.0,9,5634.0,5.634,94.366,True,9,9,T
9010779074,VB,20.0,1000.0,20.0,20000.0,5,3387.0,3.387,16.613,True,5,5,T
9010779551,VB,25.0,1000.0,25.0,25000.0,9,1244.25,1.24425,23.75575,True,9,9,T
9010779552,VB,25.0,1000.0,25.0,25000.0,2,350.5,0.3505,24.6495,True,2,2,T
9010780131,VB,5.0,1000.0,5.0,5000.0,1,188.1,0.1881,4.8119,True,1,1,T
9010780393,VB,25.0,1000.0,25.0,25000.0,9,1435.5,1.4355,23.5645,True,9,9,T
9010780403,VB,20.0,1000.0,20.0,20000.0,2,1505.6,1.5056,18.4944,True,2,2,T
9010780510,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010780591,VB,100.0,1000.0,100.0,100000.0,5,6789.4,6.7894,93.2106,True,5,5,T
9010780791,VB,10.0,1000.0,10.0,10000.0,5,1362.0,1.362,8.638,True,5,5,T
9010781128,VB,28.0,1000.0,28.0,28000.0,9,3213.72,3.21372,24.78628,True,9,9,T
9010781713,VB,25.0,1000.0,25.0,25000.0,4,2714.0,2.714,22.286,True,4,4,T
9010782062,VB,25.0,1000.0,25.0,25000.0,9,1683.0,1.683,23.317,True,9,9,T
9010782064,VB,25.0,1000.0,25.0,25000.0,9,1480.5,1.4805,23.5195,True,9,9,T
9010782640,VB,25.0,1000.0,25.0,25000.0,9,1480.5,1.4805,23.5195,True,9,9,T
9010782822,VB,5.0,1000.0,5.0,5000.0,1,197.35,0.19735,4.80265,True,1,1,T
9010783101,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010783102,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010783278,VB,25.0,1000.0,25.0,25000.0,9,2664.0,2.664,22.336,True,9,9,T
9010783502,VB,5.0,1000.0,5.0,5000.0,4,956.6,0.9566,4.0434,True,4,4,T
9010783785,VB,25.0,1000.0,25.0,25000.0,9,1683.0,1.683,23.317,True,9,9,T
9010783786,VB,25.0,1000.0,25.0,25000.0,9,1860.75,1.86075,23.13925,True,9,9,T
9010783867,VB,25.0,1000.0,25.0,25000.0,9,2893.5,2.8935,22.1065,True,9,9,T
9010783883,VB,15.0,1000.0,15.0,15000.0,3,2002.35,2.00235,12.99765,True,3,3,T
9010784045,VB,5.0,1000.0,5.0,5000.0,1,263.2,0.2632,4.7368,True,1,1,T
9010784074,VB,50.0,1000.0,50.0,50000.0,7,2530.5,2.5305,47.4695,True,7,7,T
9010784075,VB,25.0,1000.0,25.0,25000.0,9,1071.0,1.071,23.929,True,9,9,T
9010784261,VB,10.0,1000.0,10.0,10000.0,3,2259.0,2.259,7.741,True,3,3,T
9010784370,VB,25.0,1000.0,25.0,25000.0,9,3845.25,3.84525,21.15475,True,9,9,T
9010784372,VB,8.6,1000.0,8.6,8600.0,5,1132.05,1.13205,7.46795,True,5,5,T
9010784529,VB,12.0,1000.0,12.0,12000.0,6,2032.8,2.0328,9.9672,True,6,6,T
9010784914,VB,40.0,1000.0,40.0,40000.0,9,3184.2,3.1842,36.8158,True,9,9,T
9010784918,VB,2.5,1000.0,2.5,2500.0,1,171.63,0.17163,2.32837,True,1,1,T
9010784922,VB,6.1,1000.0,6.1,6100.0,2,631.2,0.6312,5.4688,True,2,2,T
9010784936,VB,40.0,1000.0,40.0,40000.0,9,4127.4,4.1274,35.8726,True,9,9,T
9010784946,VB,5.0,1000.0,5.0,5000.0,4,868.8,0.8688,4.1312,True,4,4,T
9010784950,VB,7.5,1000.0,7.5,7500.0,2,885.8,0.8858,6.6142,True,2,2,T
9010785163,VB,100.0,1000.0,100.0,100000.0,9,7911.0,7.911,92.089,True,9,9,T
9010785164,VB,4.0,1000.0,4.0,4000.0,3,709.92,0.70992,3.29008,True,3,3,T
9010785324,VB,25.0,1000.0,25.0,25000.0,9,931.5,0.9315,24.0685,True,9,9,T
9010785777,VB,9.0,1000.0,9.0,9000.0,1,352.51,0.35251,8.64749,True,1,1,T
9010786015,VB,10.0,1000.0,10.0,10000.0,7,2722.3,2.7223,7.2777,True,7,7,T
9010786152,VB,5.0,1000.0,5.0,5000.0,5,1086.0,1.086,3.914,True,5,5,T
9010786153,VB,5.0,1000.0,5.0,5000.0,2,311.5,0.3115,4.6885,True,2,2,T
9010786237,VB,5.0,1000.0,5.0,5000.0,7,994.7,0.9947,4.0053,True,7,7,T
9010786240,VB,10.5,1000.0,10.5,10500.0,2,599.16,0.59916,9.90084,True,2,2,T
9010786312,VB,9.9,1000.0,9.9,9900.0,6,1791.84,1.79184,8.10816,True,6,6,T
9010786316,VB,25.0,1000.0,25.0,25000.0,9,2292.75,2.29275,22.70725,True,9,9,T
9010786490,VB,11.9,1000.0,11.9,11900.0,1,688.06,0.68806,11.21194,True,1,1,T
9010786800,VB,50.0,1000.0,50.0,50000.0,7,1491.0,1.491,48.509,True,7,7,T
9010787147,VB,25.0,1000.0,25.0,25000.0,6,2878.5,2.8785,22.1215,True,6,6,T
9010787237,VB,25.0,1000.0,25.0,25000.0,9,3363.75,3.36375,21.63625,True,9,9,T
9010787513,VB,25.0,1000.0,25.0,25000.0,9,2513.25,2.51325,22.48675,True,9,9,T
9010787560,VB,5.0,1000.0,5.0,5000.0,3,489.6,0.4896,4.5104,True,3,3,T
9010787762,VB,25.0,1000.0,25.0,25000.0,8,986.0,0.986,24.014,True,8,8,T
9010787952,VB,25.0,1000.0,25.0,25000.0,9,1928.25,1.92825,23.07175,True,9,9,T
9010789095,VB,5.0,1000.0,5.0,5000.0,5,710.5,0.7105,4.2895,True,5,5,T
9010789213,VB,50.0,1000.0,50.0,50000.0,9,2736.0,2.736,47.264,True,9,9,T
9010789348,VB,5.0,1000.0,5.0,5000.0,5,971.35,0.97135,4.02865,True,5,5,T
9010789351,VB,50.0,1000.0,50.0,50000.0,7,9866.5,9.8665,40.1335,True,7,7,T
9010789546,VB,25.0,1000.0,25.0,25000.0,4,1195.0,1.195,23.805,True,4,4,T
9010789992,VB,25.0,1000.0,25.0,25000.0,2,504.5,0.5045,24.4955,True,2,2,T
9010790077,VB,25.0,1000.0,25.0,25000.0,9,1021.5,1.0215,23.9785,True,9,9,T
9010790287,VB,25.0,1000.0,25.0,25000.0,9,1928.25,1.92825,23.07175,True,9,9,T
9010791176,VB,5.0,1000.0,5.0,5000.0,0,0,0.0,5.0,True,0,0,T
9010791323,VB,25.0,1000.0,25.0,25000.0,9,1055.25,1.05525,23.94475,True,9,9,T
9010791405,VB,25.0,1000.0,25.0,25000.0,9,1089.0,1.089,23.911,True,9,9,T
9010792037,VB,5.0,1000.0,5.0,5000.0,0,0,0.0,5.0,True,0,0,T
9010792884,VB,50.0,1000.0,50.0,50000.0,9,4360.5,4.3605,45.6395,True,9,9,T
9010792961,VB,25.0,1000.0,25.0,25000.0,9,1739.25,1.73925,23.26075,True,9,9,T
9010792997,VB,11.5,1000.0,11.5,11500.0,4,1177.32,1.17732,10.32268,True,4,4,T
9010793727,VB,5.0,1000.0,5.0,5000.0,5,1316.0,1.316,3.684,True,5,5,T
9010793737,VB,5.0,1000.0,5.0,5000.0,4,827.8,0.8278,4.1722,True,4,4,T
9010793830,VB,25.0,1000.0,25.0,25000.0,9,1860.75,1.86075,23.13925,True,9,9,T
9010794098,VB,25.0,1000.0,25.0,25000.0,9,4038.75,4.03875,20.96125,True,9,9,T
9010794099,VB,25.0,1000.0,25.0,25000.0,9,2832.75,2.83275,22.16725,True,9,9,T
9010794112,VB,25.0,1000.0,25.0,25000.0,4,2570.0,2.57,22.43,True,4,4,T
9010794116,VB,25.0,1000.0,25.0,25000.0,7,3141.25,3.14125,21.85875,True,7,7,T
9010794265,VB,25.0,1000.0,25.0,25000.0,9,2220.75,2.22075,22.77925,True,9,9,T
9010794514,VB,10.4,1000.0,10.4,10400.0,9,2959.02,2.95902,7.44098,True,9,9,T
9010794518,VB,5.0,1000.0,5.0,5000.0,1,318.25,0.31825,4.68175,True,1,1,T
9010794520,VB,5.0,1000.0,5.0,5000.0,1,171.05,0.17105,4.82895,True,1,1,T
9010794730,VB,25.0,1000.0,25.0,25000.0,9,1683.0,1.683,23.317,True,9,9,T
9010794731,VB,25.0,1000.0,25.0,25000.0,9,2074.5,2.0745,22.9255,True,9,9,T
9010794751,VB,25.0,1000.0,25.0,25000.0,9,1352.25,1.35225,23.64775,True,9,9,T
9010795361,VB,50.0,1000.0,50.0,50000.0,9,8410.5,8.4105,41.5895,True,9,9,T
9010795564,VB,25.0,1000.0,25.0,25000.0,7,2091.25,2.09125,22.90875,True,7,7,T
9010795565,VB,40.0,1000.0,40.0,40000.0,0,0,0.0,40.0,True,0,0,T
9010795609,VB,25.0,1000.0,25.0,25000.0,1,164.5,0.1645,24.8355,True,1,1,T
9010795612,VB,10.6,1000.0,10.6,10600.0,7,2010.68,2.01068,8.58932,True,7,7,T
9010795618,VB,5.0,1000.0,5.0,5000.0,2,607.2,0.6072,4.3928,True,2,2,T
9010795898,VB,25.0,1000.0,25.0,25000.0,9,1480.5,1.4805,23.5195,True,9,9,T
9010796355,VB,50.0,1000.0,50.0,50000.0,9,6502.5,6.5025,43.4975,True,9,9,T
9010796356,VB,25.0,1000.0,25.0,25000.0,9,2585.25,2.58525,22.41475,True,9,9,T
