emitted_plan,source_coverage_id,source_row_identifier,form,descr,planname,authority_layer_used,fallback_layer_used,pre_overlay_plan,crosswalk_ql_plan_code,product_catalog_crosswalk_used,master_crosswalk_fallback_used,raw_passthrough_occurred,overlay_applied,uat_overlay_enabled,authorized_by_policy_form_crosswalk,rulebook_lineage,recommended_remediation,business_review_status
1CSIMN,10827 MN5K,10827 MN5K,10827 MN5K,CSI LIFE MN $5000,CSI LIFE MN $5000,POLICY_FORM_CROSSWALK,,10827 MN5K,1CSIMN,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
976658,1576 658,1576 658,1576 658,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 658 CEN I,POLICY_FORM_CROSSWALK,,976658,976658,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
976659,1576 659,1576 659,1576 659,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 659 CEN II,POLICY_FORM_CROSSWALK,,976659,976659,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
977ADB,1577 ADB,1577 ADB,1577 ADB,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - 658 CEN I, 659 CEN II",POLICY_FORM_CROSSWALK,,977ADB,977ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
578CTR,1578 CTR,1578 CTR,1578 CTR,DEPENDENT CHILD TERM RIDER,DEPENDENT CTR - 658 CEN I,POLICY_FORM_CROSSWALK,,578CTR,578CTR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
778FTR,1578 FTR,1578 FTR,1578 FTR,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II",POLICY_FORM_CROSSWALK,,778FTR,778FTR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
578STR,1578 SPSPU,1578 SPSPU,1578 SPSPU,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,POLICY_FORM_CROSSWALK,,1578 SPSPU,578STR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9CTRWP,1578CTR WP,1578CTR WP,1578CTR WP,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,POLICY_FORM_CROSSWALK,,9CTRWP,9CTRWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9FTRWP,1578FTR WP,1578FTR WP,1578FTR WP,1578 FTR WAIVER OF PREMIUM,"FTR WAIV OF PREM - 658 CEN I, 659 CEN II",POLICY_FORM_CROSSWALK,,9FTRWP,9FTRWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9GPO79,1579 GPO,1579 GPO,1579 GPO,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,POLICY_FORM_CROSSWALK,,1579 GPO,9GPO79,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
980JPO,1580 JPO,1580 JPO,1580 JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,"JUV FUT PURCH OP - 658 CEN I, 659 CEN II",POLICY_FORM_CROSSWALK,,980JPO,980JPO,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9595WP,1595,1595,1595,DISABILITY WAIVER OF PREMIUM,DISABILITY WAVIER OF PREM - 667 ART,POLICY_FORM_CROSSWALK,,9595WP,9595WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
996ADB,1596,1596,1596,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - L05 10Y LT, L07 5Y LT",POLICY_FORM_CROSSWALK,,996ADB,996ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
967ADB,1596 667,1596 667,1596 667,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,POLICY_FORM_CROSSWALK,,1596 667,967ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
901ADB,1596 L01,1596 L01,1596 L01,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DB RIDER -  L01 10Y LT,POLICY_FORM_CROSSWALK,,901ADB,901ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
719CTR,619 CH PU,619 CH PU,619 CH PU,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,POLICY_FORM_CROSSWALK,,619 CH PU,719CTR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7619DT,619 DT,619 DT,619 DT,DECREASING TERM,DECREASING TERM TO AGE 65,POLICY_FORM_CROSSWALK,,7619DT,7619DT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
719CDT,619 DT CH,619 DT CH,619 DT CH,CHILD DECREASING TERM,CHILD DECREASING TERM - 619 DT,POLICY_FORM_CROSSWALK,,719CDT,719CDT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
719SDT,619 DT SP,619 DT SP,619 DT SP,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM - 619 DT,POLICY_FORM_CROSSWALK,,719SDT,719SDT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7619PU,619 SPS PU,619 SPS PU,619 SPS PU,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM TO AGE 65,POLICY_FORM_CROSSWALK,,7619PU,7619PU,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
221END,621 END85,621 END85,621 END85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,POLICY_FORM_CROSSWALK,,221END,221END,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
121PUA,621 PUA,621 PUA,621 PUA,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,POLICY_FORM_CROSSWALK,,621 PUA,121PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
222END,622 END85,622 END85,622 END85,20 PAY ENDOWMENT AT AGE 85,"ENDOWMENT AT AGE 85, PREM PAY FOR 20YR",POLICY_FORM_CROSSWALK,,222END,222END,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
130JEB,630 JEB,630 JEB,630 JEB,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,POLICY_FORM_CROSSWALK,,630 JEB,130JEB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5646AT,646 ART,646 ART,646 ART,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,POLICY_FORM_CROSSWALK,,646 ART,5646AT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7647FP,647 FLP,647 FLP,647 FLP,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECR TERM - 647 FLP,POLICY_FORM_CROSSWALK,,7647FP,7647FP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7647CH,647 FLP CH,647 FLP CH,647 FLP CH,CHILD - FAMILY LIFE DECREASING TERM,CHILD FAMILY DECR TERM - 647 FLP,POLICY_FORM_CROSSWALK,,7647CH,7647CH,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7647SP,647 FLP SP,647 FLP SP,647 FLP SP,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE FAMILY LIFE DECR TERM - 647 FLP,POLICY_FORM_CROSSWALK,,7647SP,7647SP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1658C1,658 CEN I,658 CEN I,658 CEN I,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB",POLICY_FORM_CROSSWALK,,1658C1,1658C1,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1658CS,658 CEN SD,658 CEN SD,658 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, FIXED PREMIUM",POLICY_FORM_CROSSWALK,,1658CS,1658CS,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1659C2,659 CEN II,659 CEN II,659 CEN II,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN",POLICY_FORM_CROSSWALK,,1659C2,1659C2,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1659CS,659 CEN SD,659 CEN SD,659 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: FIXED PREM OP, VAN, GDB",POLICY_FORM_CROSSWALK,,1659CS,1659CS,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1659CR,659 CEN SR,659 CEN SR,659 CEN SR,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN",POLICY_FORM_CROSSWALK,,1659CR,1659CR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1659SR,659 SR GD,659 SR GD,659 SR GD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: VAN PREM, LOAN OP, GDB",POLICY_FORM_CROSSWALK,,1659SR,1659SR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
265PUA,665 PUA,665 PUA,665 PUA,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PUAS FOR 665 STME95,POLICY_FORM_CROSSWALK,,265PUA,265PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
2665ST,665 STME95,665 STME95,665 STME95,STATESMAN MOD ENDOW AT 95,MODIFIED PREMIUM ENDOWMENT AT AGE 95,POLICY_FORM_CROSSWALK,,2665ST,2665ST,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1666WL,666 WL,666 WL,666 WL,MULTIPLE INSUREDS WHOLE LIFE,"WL, GUAR RATES & CV, DB INCREASES",POLICY_FORM_CROSSWALK,,1666WL,1666WL,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5667AT,667 ART,667 ART,667 ART,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,POLICY_FORM_CROSSWALK,,5667AT,5667AT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
57ATCR,667 ART CR,667 ART CR,667 ART CR,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,POLICY_FORM_CROSSWALK,,667 ART CR,57ATCR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1668SP,668 SPWL,668 SPWL,668 SPWL,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,POLICY_FORM_CROSSWALK,,1668SP,1668SP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1669SR,669 SR GD,669 SR GD,669 SR GD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,POLICY_FORM_CROSSWALK,,669 SR GD,1669SR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
170858,670 GL85-8,670 GL85-8,670 GL85-8,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,POLICY_FORM_CROSSWALK,,170858,170858,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
170588,670 GL8588,670 GL8588,670 GL8588,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,POLICY_FORM_CROSSWALK,,170588,170588,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
17085M,670 GL85-M,670 GL85-M,670 GL85-M,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,POLICY_FORM_CROSSWALK,,17085M,17085M,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
170PUA,670 PUA,670 PUA,670 PUA,PAID UP ADDS - LIFE PAID UP AT 85/88,"PUAS FOR 670 GL 8588, 85-8, 85-M",POLICY_FORM_CROSSWALK,,170PUA,170PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1679CS,679 CEN SD,679 CEN SD,679 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CHOICE PLUS: VAN PREM, EMPL SPON, LOANS",POLICY_FORM_CROSSWALK,,1679CS,1679CS,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7686S3,686S 30MRG,686S 30MRG,686S 30MRG,DECREASING TERM LIFE,DECREASING TERM LIFE,POLICY_FORM_CROSSWALK,,686S 30MRG,7686S3,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7687J3,687J 30MRG,687J 30MRG,687J 30MRG,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,POLICY_FORM_CROSSWALK,,687J 30MRG,7687J3,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7690DT,690 DT 65,690 DT 65,690 DT 65,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,POLICY_FORM_CROSSWALK,,690 DT 65,7690DT,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
934SWP,8034 30MRG,8034 30MRG,8034 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,POLICY_FORM_CROSSWALK,,8034 30MRG,934SWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
934JWP,8034 J30MT,8034 J30MT,8034 J30MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,POLICY_FORM_CROSSWALK,,8034 J30MT,934JWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
542STR,8042 STR,8042 STR,8042 STR,SPOUSE TERM RIDER,SPOUSE TERM RIDER - 658 CEN I,POLICY_FORM_CROSSWALK,,542STR,542STR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9STRWP,8042STR WP,8042STR WP,8042STR WP,8042 STR WAIVER OF PREMIUM,STR WAIVER OF PREMIUM - 658 CEN I,POLICY_FORM_CROSSWALK,,9STRWP,9STRWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
543CTR,8043 CTR,8043 CTR,8043 CTR,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,POLICY_FORM_CROSSWALK,,543CTR,543CTR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
943CWP,8043CTR WP,8043CTR WP,8043CTR WP,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,POLICY_FORM_CROSSWALK,,8043CTR WP,943CWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9JPO46,8046 JPO,8046 JPO,8046 JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,POLICY_FORM_CROSSWALK,,8046 JPO,9JPO46,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9L05WP,8115,8115,8115,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L05 10YLT,POLICY_FORM_CROSSWALK,,9L05WP,9L05WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9L01WP,8115 L01,8115 L01,8115 L01,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L01 10YLT,POLICY_FORM_CROSSWALK,,9L01WP,9L01WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
560STR,826,826,826,PAID UP SPOUSE TERM RIDER,"PAID UP STR - 960 LP85-M, 960 OL, 960 PO",POLICY_FORM_CROSSWALK,,560STR,560STR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
528CTR,828,828,828,CHILD'S TERM INSURANCE,"CTR FOR 960 LP65, 960 OL, 960 PO",POLICY_FORM_CROSSWALK,,528CTR,528CTR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
986JPO,8286 GI 1,8286 GI 1,8286 GI 1,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,POLICY_FORM_CROSSWALK,,986JPO,986JPO,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
