observed_value,governance_action,notes
8141,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8142,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8143,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8144,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
826,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
828,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8286,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
863,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
889,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
896,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
9.2500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
95,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
960,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
960 GUARANTEE INSURABILITY OPTION,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
961,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
970,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
980,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
99,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
991,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
9999,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
999999999,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ACCIDENTAL DEATH BENEFIT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ACCIDENTAL DEATH BENEFIT RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ADDITIONAL INSUREDS 666 WL,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ANNUAL RENEWABLE TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ART PREFERRED CREDIT LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CF,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CHILD - FAMILY LIFE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CHILD DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CHILD'S TERM INSURANCE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CSI LIFE $3000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CSI LIFE $5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CSI LIFE $7500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
CSI LIFE MN $5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DEC TERM TO 65 CONVERTIBLE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DECR TERM PAID UP FOR CHILD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DECREASING TERM LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DECREASING TERM PAID UP FOR SPOUSE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DEPENDENT CHILD TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DEPOSIT ANNUITY RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DISABILITY WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DISABILITY WAIVER OF PREMIUM 30MRG,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DISABILITY WAIVER OF PREMIUM JOINT 30 MT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
DISABILITY WAIVER OF PREMIUM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ENDOWMENT AT AGE 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ENDOWMENT AT AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
F,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
FAMILY LIFE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
FAMILY TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
FIVE YEAR TERM TO AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
GUARANTEED PURCHASE OPTION RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
HOME OFFICE DISCOUNT - 24.75%,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
HOME OFFICE DISCOUNT - 70/13%,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
HOME OFFICE DISCOUNT 29% - MODERULE 37,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
INTEREST-SENSITIVE WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
J,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
JOINT DECREASING TERM LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
JUVENILE EST BUILD PU AT 85 LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
JUVENILE ESTATE BUILDER LIFE PD UP AT 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
JUVENILE FUTURE PURCHASE OPTION,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
JUVENILE FUTURE PURCHASE OPTION RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L05,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L07,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 - LPU95       PRE 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 - LPU95     POST 1997 LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 - LPU95   POST 1997  SENIOR LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 - LPU95  SR.     PRE 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 ACCIDENTAL DEATH BENEFIT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 CHILD TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 CHILD WP,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 GPO OLD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 JUVENILE PURCHASE OPTION - OLD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 SPOUSE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 SPOUSE WP,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 UNI,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L10 WAIVER OF PREMIUM   POST 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L14,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L15 INHER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
L17,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
LIFE PAID UP AT 85/88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
LIFE PAID UP AT AGE 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
LIFE PAID UP AT AGE 85-88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
MODIFIED ENDOWMENT AT 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
MODIFIED LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
MONTHLY INCOME RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
MULTIPLE INSUREDS SAL MODIFIED LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
MULTIPLE INSUREDS WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
NA,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
NAPLAN,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
ORDINARY WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - ENDOWMENT AT AGE 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - ENDOWMENT AT AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - JUV EST BUILD PU AT 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - LIFE PAID UP AT 85/88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - LIFE PAID UP AT AGE 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - LIFE PU AT AGE 85-88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - MODIFIED ENDOWMENT AT 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - ORDINARY WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - PREF ORDINARY WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP ADDS - STATESMAN MOD ENDOW AT 95,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAID UP SPOUSE TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PAYOR DEATH,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PENSION WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
PREFERRED ORDINARY WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SAL ACCIDENTAL DEATH BENEFIT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SAL ADB,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SAL ML,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SINGLE PREMIUM WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SPOUSE - FAMILY LIFE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SPOUSE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
SPOUSE TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
STATESMAN MOD ENDOW AT 95,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
TEN YEAR LEVEL TERM TO AGE 95,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
TEN YEAR TERM TO AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WAIVER OF PREMIUM - CHILD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WAIVER OF PREMIUM - L10,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WAIVER OF PREMIUM - LPU AT 85/88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WAIVER OF PREMIUM - SPOUSE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
