MPOLICY,MSTATUS,MPLAN,MEFFDATE,MPAIDTO,MPAYUP_BEFORE,MPAYUP_AFTER,MLASTANN_BEFORE,MLASTANN_AFTER_SYS,MLASTANN_AFTER_VAL,PAYUP_CHANGED,MLAST_CHANGED_SYS,IS_PUA_PLAN
010762560C,45,1659C2,19850828,19970828,19970828,19970828,40,29,28,N,Y,N
010764124C,45,1659C2,19851001,19980901,19980901,19980901,40,28,27,N,Y,N
010764158C,44,5667AT,19850909,20260909,20660909,20260909,40,0,-1,Y,Y,N
010764248C,44,5667AT,19850916,20260916,20630916,20260916,40,0,-1,Y,Y,N
010766284C,44,1659C2,19851004,20190204,20811004,20190204,40,7,6,Y,Y,N
010766679C,44,1659CR,19850927,20240927,20260927,20240927,40,2,1,Y,Y,N
010766847C,45,1659C2,19850904,20041004,20520904,20041004,40,22,21,Y,Y,N
010768802C,44,5667AT,19851115,20260715,20571115,20260715,40,0,-1,Y,Y,N
010773561C,44,5667AT,19851204,20260704,20481204,20260704,40,0,-1,Y,Y,N
010774774C,44,5667AT,19860201,20260801,20580201,20260801,39,0,-1,Y,Y,N
010774868C,45,1659C2,19851224,20051224,20421224,20051224,40,21,20,Y,Y,N
010776025C,44,1659C2,19851216,20020516,20020516,20020516,40,24,23,N,Y,N
010776061C,44,1659C2,19851227,20050927,20851227,20050927,40,21,20,Y,Y,N
010776062C,44,1659C2,19851227,20050927,20851227,20050927,40,21,20,Y,Y,N
010777321C,44,5667AT,19860201,20260701,20550201,20260701,39,0,-1,Y,Y,N
010777322C,44,5667AT,19860201,20260701,20530201,20260701,39,0,-1,Y,Y,N
010777439C,44,1659C2,19860113,20230113,20860113,20230113,39,3,2,Y,Y,N
010777501C,45,1659CR,19860304,19950304,19950304,19950304,39,31,30,N,Y,N
010778381C,45,1659C2,19860127,19990327,19990327,19990327,39,27,26,N,Y,N
010779456C,44,5667AT,19860128,20270128,20650128,20270128,39,-1,-2,Y,Y,N
010779553C,44,5667AT,19860201,20260701,20630201,20260701,39,0,-1,Y,Y,N
010780202C,44,5667AT,19860203,20260703,20560203,20260703,39,0,-1,Y,Y,N
010780870C,45,1659C2,19860214,20050714,20450214,20050714,39,21,20,Y,Y,N
010781721C,45,1659C2,19860207,19910907,19910907,19910907,39,35,34,N,Y,N
010781852C,44,5667AT,19860215,20260715,20580215,20260715,39,0,-1,Y,Y,N
010781853C,44,5667AT,19860215,20260715,20580215,20260715,39,0,-1,Y,Y,N
010783070C,44,5667AT,19860218,20270218,20600218,20270218,39,-1,-2,Y,Y,N
010783071C,44,5667AT,19860218,20270218,20590218,20270218,39,-1,-2,Y,Y,N
010783347C,44,1659C2,19860401,20260301,20540401,20260301,39,0,-1,Y,Y,N
010784596C,45,1659CR,19860302,19981002,19981002,19981002,39,28,27,N,Y,N
010785059C,44,1659C2,19860305,20011205,20011205,20011205,39,25,24,N,Y,N
010786057C,45,1659C2,19860701,19901101,19901101,19901101,39,36,35,N,Y,N
010787351C,45,1659C2,19860326,19930326,19930326,19930326,39,33,32,N,Y,N
010791789C,44,1659C2,19860505,20000105,20000105,20000105,39,26,25,N,Y,N
010792068C,45,1659C2,19860425,20020825,20020825,20020825,39,24,23,N,Y,N
010792082C,45,1659C2,19860506,20030306,20030306,20030306,39,23,22,N,Y,N
010793836C,44,1659C2,19860523,20050223,20680523,20050223,39,21,20,Y,Y,N
010796058C,44,1659C2,19860603,20090803,20850603,20090803,39,17,16,Y,Y,N
010796917C,45,1659C2,19860605,20110805,20820605,20110805,39,15,14,Y,Y,N
010800356C,44,5667AT,19860725,20260725,20470725,20260725,39,0,-1,Y,Y,N
010801893C,45,1659C2,19860627,20010527,20010527,20010527,39,25,24,N,Y,N
010810225C,44,5667AT,19860905,20260705,20580905,20260705,39,0,-1,Y,Y,N
010810226C,44,5667AT,19860905,20260705,20520905,20260705,39,0,-1,Y,Y,N
010810272C,44,5667AT,19860905,20260705,20570905,20260705,39,0,-1,Y,Y,N
010811249C,45,1659C2,19861001,19910401,19910401,19910401,39,35,34,N,Y,N
010813122C,44,1659C2,19861001,20060401,20661001,20060401,39,20,19,Y,Y,N
010813163C,44,1659CR,19861001,20260201,20371001,20260201,39,0,-1,Y,Y,N
010813172C,44,1659C2,19861001,20260501,20631001,20260501,39,0,-1,Y,Y,N
010813185C,45,1659C2,19870116,19911116,19911116,19911116,38,35,34,N,Y,N
010813276C,45,1659C2,19861219,19960319,19960319,19960319,39,30,29,N,Y,N
010813426C,44,1659C2,19860926,20220926,20800926,20220926,39,4,3,Y,Y,N
010813427C,44,1659C2,19860926,20250726,20860926,20250726,39,1,0,Y,Y,N
010813433C,44,5667AT,19860924,20260724,20470924,20260724,39,0,-1,Y,Y,N
010814968C,44,1659C2,19860925,20240925,20670925,20240925,39,2,1,Y,Y,N
010815772C,44,5667AT,19861009,20261009,20551009,20261009,39,0,-1,Y,Y,N
010816232C,44,5667AT,19861017,20260717,20421017,20260717,39,0,-1,Y,Y,N
010816336C,44,5667AT,19861014,20260714,20551014,20260714,39,0,-1,Y,Y,N
010816337C,44,5667AT,19861014,20260714,20541014,20260714,39,0,-1,Y,Y,N
010817649C,45,1659C2,19861028,20030628,20030628,20030628,39,23,22,N,Y,N
010817650C,45,1659C2,19861028,20030628,20030628,20030628,39,23,22,N,Y,N
010818314C,44,5667AT,19861212,20260712,20471212,20260712,39,0,-1,Y,Y,N
010818794C,45,1659C2,19861114,19910314,19910314,19910314,39,35,34,N,Y,N
010820645C,44,5667AT,19861117,20260717,20671117,20260717,39,0,-1,Y,Y,N
010823222C,44,5667AT,19861209,20261209,20601209,20261209,39,0,-1,Y,Y,N
010823332C,45,1659C2,19861209,20020709,20020709,20020709,39,24,23,N,Y,N
010823333C,45,1659C2,19861209,20020709,20020709,20020709,39,24,23,N,Y,N
010823735C,44,1659C2,19861211,20050611,20681211,20050611,39,21,20,Y,Y,N
010823867C,45,1658C1,19861216,20080816,20621216,20080816,39,18,17,Y,Y,N
010823869C,45,1658C1,19861216,20240516,20601216,20240516,39,2,1,Y,Y,N
010823870C,45,1658C1,19861216,20080816,20581216,20080816,39,18,17,Y,Y,N
010824561C,44,5667AT,19870101,20260701,20610101,20260701,38,0,-1,Y,Y,N
010824810C,44,1659C2,19870102,19970802,19970802,19970802,38,29,28,N,Y,N
010826422C,45,1658C1,19870120,20060120,20500120,20060120,38,20,19,Y,Y,N
010827674C,44,1659C2,19870202,20250202,20780202,20250202,38,1,0,Y,Y,N
010827865C,45,1659CR,19870201,19980401,19980401,19980401,38,28,27,N,Y,N
010827956C,44,5667AT,19870201,20260701,20500201,20260701,38,0,-1,Y,Y,N
010831284C,44,1659C2,19870413,20060713,20870413,20060713,38,20,19,Y,Y,N
010833858C,44,5667AT,19870320,20260720,20580320,20260720,38,0,-1,Y,Y,N
010835892C,45,1659C2,19870501,19980101,19980101,19980101,38,28,27,N,Y,N
010837136C,44,5667AT,19870423,20260723,20500423,20260723,38,0,-1,Y,Y,N
010837163C,44,1659C2,19870422,20001022,20001022,20001022,38,26,25,N,Y,N
010839848C,44,5667AT,19870514,20260714,20690514,20260714,38,0,-1,Y,Y,N
010840772C,44,5667AT,19870612,20260712,20360612,20260712,38,0,-1,Y,Y,N
010841421C,45,1658C1,19870601,19980701,19980701,19980701,38,28,27,N,Y,N
010841422C,45,1658C1,19870601,20010101,20010101,20010101,38,25,24,N,Y,N
010844919C,44,5667AT,19870707,20260707,20450707,20260707,38,0,-1,Y,Y,N
010848314C,45,1659CR,19870901,19990701,19990701,19990701,38,27,26,N,Y,N
010855165C,45,1659C2,19871002,20020802,20020802,20020802,38,24,23,N,Y,N
010856342C,44,5667AT,19871008,20260708,20531008,20260708,38,0,-1,Y,Y,N
010856920C,45,1659C2,19871002,19990402,19990402,19990402,38,27,26,N,Y,N
010857632C,44,5667AT,19871018,20260718,20521018,20260718,38,0,-1,Y,Y,N
010872114C,44,1659C2,19880120,20020820,20020820,20020820,37,24,23,N,Y,N
010873285C,44,5667AT,19880126,20260726,20610126,20260726,37,0,-1,Y,Y,N
010875130C,45,1659CR,19880201,19970601,19970601,19970601,37,29,28,N,Y,N
010877009C,44,1659C2,19880127,20240127,20880127,20240127,37,2,1,Y,Y,N
010878315C,44,5667AT,19880224,20260724,20500224,20260724,37,0,-1,Y,Y,N
010878559C,44,5667AT,19880223,20260723,20560223,20260723,37,0,-1,Y,Y,N
010880469C,44,5667AT,19880218,20260718,20600218,20260718,37,0,-1,Y,Y,N
010882604C,44,5667AT,19880314,20260714,20610314,20260714,37,0,-1,Y,Y,N
010884969C,44,1658C1,19880415,20131015,20720415,20131015,37,13,12,Y,Y,N
010885442C,45,1659C2,19880319,20050819,20400319,20050819,37,21,20,Y,Y,N
010886099C,44,5667AT,19880607,20260907,20590607,20260907,37,0,-1,Y,Y,N
010888312C,44,5667AT,19880411,20260711,20620411,20260711,37,0,-1,Y,Y,N
010888313C,44,5667AT,19880411,20260711,20620411,20260711,37,0,-1,Y,Y,N
010889439C,44,1659C2,19880414,20031014,20610414,20031014,37,23,22,Y,Y,N
010891074C,45,1659C2,19880423,20030423,20030423,20030423,37,23,22,N,Y,N
010895937C,44,5667AT,19880510,20260710,20470510,20260710,37,0,-1,Y,Y,N
010900529C,44,1659C2,19880601,20050701,20860601,20050701,37,21,20,Y,Y,N
010900530C,44,1659C2,19880601,20050701,20880601,20050701,37,21,20,Y,Y,N
010900623C,44,5667AT,19880602,20260602,20510602,20260602,37,0,-1,Y,Y,N
010901657C,44,1658C1,19880601,20260301,20850601,20260301,37,0,-1,Y,Y,N
010905337C,45,1659C2,19880615,20021015,20021015,20021015,37,24,23,N,Y,N
010917602C,44,5667AT,19880803,20260803,20690803,20260803,37,0,-1,Y,Y,N
010917603C,44,5667AT,19880803,20260803,20680803,20260803,37,0,-1,Y,Y,N
010917604C,44,5667AT,19880803,20260703,20690803,20260703,37,0,-1,Y,Y,N
010920186C,44,1659C2,19880814,20240814,20810814,20240814,37,2,1,Y,Y,N
010926025C,44,1659C2,19880908,20000908,20000908,20000908,37,26,25,N,Y,N
010926969C,44,5667AT,19890113,20260713,20650113,20260713,36,0,-1,Y,Y,N
010926970C,44,5667AT,19890113,20260713,20630113,20260713,36,0,-1,Y,Y,N
010934017C,44,5667AT,19881015,20260715,20541015,20260715,37,0,-1,Y,Y,N
010934894C,44,1659C2,19881006,19991006,19991006,19991006,37,27,26,N,Y,N
010934895C,44,1659C2,19881006,19991006,19991006,19991006,37,27,26,N,Y,N
010936179C,44,5667AT,19881016,20260716,20511016,20260716,37,0,-1,Y,Y,N
010936709C,44,5667AT,19881024,20260724,20531024,20260724,37,0,-1,Y,Y,N
010937087C,44,1658C1,19881017,20241017,20861017,20241017,37,2,1,Y,Y,N
010937092C,44,5667AT,19881020,20261020,20511020,20261020,37,0,-1,Y,Y,N
010937739C,44,5667AT,19881012,20261012,20681012,20261012,37,0,-1,Y,Y,N
010943851C,44,1659C2,19881201,20090701,20511201,20090701,37,17,16,Y,Y,N
010947226C,44,1679CS,19890102,20150402,20760102,20150402,36,11,10,Y,Y,N
010947867C,45,1659CR,19881201,20000601,20000601,20000601,37,26,25,N,Y,N
010948278C,44,5667AT,19891201,20260701,20531201,20260701,36,0,-1,Y,Y,N
010949672C,44,1658C1,19881213,20221113,20621213,20221113,37,4,3,Y,Y,N
010950970C,44,5667AT,19881213,20260913,20651213,20260913,37,0,-1,Y,Y,N
010952386C,44,5667AT,19890301,20260901,20440301,20260901,36,0,-1,Y,Y,N
010955021C,44,5667AT,19890103,20260703,20510103,20260703,36,0,-1,Y,Y,N
010957790C,44,5667AT,19890116,20260716,20550116,20260716,36,0,-1,Y,Y,N
010961713C,44,5667AT,19890202,20260702,20690202,20260702,36,0,-1,Y,Y,N
010969839C,44,5667AT,19890306,20260706,20660306,20260706,36,0,-1,Y,Y,N
010978024C,44,5667AT,19890501,20260701,20660501,20260701,36,0,-1,Y,Y,N
010980832C,44,1659C2,19890408,20000408,20000408,20000408,36,26,25,N,Y,N
010983389C,44,5667AT,19890424,20260724,20630424,20260724,36,0,-1,Y,Y,N
010985217C,44,5667AT,19890601,20260801,20560601,20260801,36,0,-1,Y,Y,N
010988862C,44,5667AT,19890522,20260722,20500522,20260722,36,0,-1,Y,Y,N
010989860C,44,5667AT,19890601,20260701,20490601,20260701,36,0,-1,Y,Y,N
010993200C,44,5667AT,19890619,20260719,20480619,20260719,36,0,-1,Y,Y,N
010998652C,44,5667AT,19890801,20260801,20510801,20260801,36,0,-1,Y,Y,N
010999694C,44,5667AT,19890901,20260901,20600901,20260901,36,0,-1,Y,Y,N
011001302C,44,5667AT,19890912,20260912,20680912,20260912,36,0,-1,Y,Y,N
011003325C,44,5667AT,19891008,20260708,20591008,20260708,36,0,-1,Y,Y,N
011005041C,44,5667AT,19891024,20260724,20641024,20260724,36,0,-1,Y,Y,N
011015985C,44,5667AT,19900309,20260709,20440309,20260709,35,0,-1,Y,Y,N
011017167C,45,1659C2,19900327,19980827,19980827,19980827,35,28,27,N,Y,N
011017289C,44,5667AT,19900501,20260701,20470501,20260701,35,0,-1,Y,Y,N
011018249C,44,5667AT,19900412,20260712,20530412,20260712,35,0,-1,Y,Y,N
011023481C,44,5667AT,19900820,20260820,20530820,20260820,35,0,-1,Y,Y,N
011032090C,44,5667AT,19910201,20260701,20720201,20260701,34,0,-1,Y,Y,N
011034609C,44,5667AT,19910201,20260701,20650201,20260701,34,0,-1,Y,Y,N
011044907C,45,1659C2,19910901,20050301,20460901,20050301,34,21,20,Y,Y,N
011045583C,44,1659C2,19910916,20090916,20890916,20090916,34,17,16,Y,Y,N
011054089C,44,5667AT,19920312,20260712,20580312,20260712,33,0,-1,Y,Y,N
011054839C,44,5667AT,19920324,20260924,20730324,20260924,33,0,-1,Y,Y,N
011054840C,44,5667AT,19920323,20260923,20700323,20260923,33,0,-1,Y,Y,N
011064800C,44,5667AT,19921223,20260923,20691223,20260923,33,0,-1,Y,Y,N
011068614C,45,1659C2,19930210,20000410,20000410,20000410,32,26,25,N,Y,N
011069977C,45,1659C2,19930312,20071212,20870312,20071212,32,19,18,Y,Y,N
011075596C,44,1658C1,19930727,20200727,20910727,20200727,32,6,5,Y,Y,N
011087325C,44,1659CR,19940411,20251111,20400411,20251111,31,1,0,Y,Y,N
011089156C,44,5667AT,19940501,20260701,20500501,20260701,31,0,-1,Y,Y,N
011107112C,44,1L10OD,19950315,20150315,20890315,20150315,30,11,10,Y,Y,N
011107971C,44,1659C2,19950407,20060407,20740407,20060407,30,20,19,Y,Y,N
011108803C,44,1L10OD,19950412,20091112,20780412,20091112,30,17,16,Y,Y,N
011110603C,44,1659C2,19950510,20051110,20940510,20051110,30,21,20,Y,Y,N
011112850C,44,1L10OD,19950701,20240701,20890701,20240701,30,2,1,Y,Y,N
011113459C,44,1659C2,19950623,20100623,20940623,20100623,30,16,15,Y,Y,N
011116691C,44,1L10OD,19950810,20100810,20760810,20100810,30,16,15,Y,Y,N
011116692C,44,1L10OD,19950810,20100810,20800810,20100810,30,16,15,Y,Y,N
011121183C,44,5667AT,19951025,20261025,20491025,20261025,30,0,-1,Y,Y,N
011125470C,44,1659C2,19951215,20241215,20931215,20241215,30,2,1,Y,Y,N
011130781C,44,1L10OD,19960115,20250715,20870115,20250715,29,1,0,Y,Y,N
011136641C,44,5667AT,19960224,20260824,20740224,20260824,29,0,-1,Y,Y,N
011139778C,44,1L10OD,19960314,20230714,20910314,20230714,29,3,2,Y,Y,N
011179151C,44,1L10OD,19970508,20110608,20720508,20110608,28,15,14,Y,Y,N
011185539C,45,1L10SO,19971121,20180121,20241121,20180121,28,8,7,Y,Y,N
011185623C,45,1L10OD,19971104,20131104,20561104,20131104,28,13,12,Y,Y,N
011186457C,45,1L10SO,19971023,20051223,20331023,20051223,28,21,20,Y,Y,N
011188136C,44,1L10OD,19971223,20110923,20721223,20110923,28,15,14,Y,Y,N
011191287C,45,1L10SR,19980401,20070601,20300401,20070601,27,19,18,Y,Y,N
011191288C,45,1L10SR,19980401,20070601,20280401,20070601,27,19,18,Y,Y,N
011192477C,44,1L10OD,19980604,20170804,20880604,20170804,27,9,8,Y,Y,N
011193156C,44,1L1095,19980628,20220828,20690628,20220828,27,4,3,Y,Y,N
011193157C,44,1L1095,19980622,20220822,20670622,20220822,27,4,3,Y,Y,N
011193876C,44,1L1095,19981001,20220101,20771001,20220101,27,4,3,Y,Y,N
011194873C,44,1L1095,19981210,20160610,20841210,20160610,27,10,9,Y,Y,N
011194874C,44,1L1095,19981210,20160610,20771210,20160610,27,10,9,Y,Y,N
011194875C,44,1L10SR,19981215,20160615,20421215,20160615,27,10,9,Y,Y,N
011196063C,45,1L1095,19990322,20081122,20390322,20081122,26,18,17,Y,Y,N
011196064C,45,1L1095,19990322,20081122,20400322,20081122,26,18,17,Y,Y,N
011196932C,45,1L1095,19990801,20091201,20780801,20091201,26,17,16,Y,Y,N
011196933C,45,1L1095,19990801,20091201,20850801,20091201,26,17,16,Y,Y,N
011197462C,44,1L1095,19991001,20151001,20921001,20151001,26,11,10,Y,Y,N
011198446C,44,1L1095,20000118,20130118,20700118,20130118,25,13,12,Y,Y,N
011199570C,45,1L1095,20000701,20190801,20340701,20190801,25,7,6,Y,Y,N
011199908C,44,1L1095,20000701,20201201,20720701,20201201,25,6,5,Y,Y,N
011202039C,44,1L10SR,20001218,20250318,20371218,20250318,25,1,0,Y,Y,N
011204061C,44,1L1095,20010308,20120308,20660308,20120308,24,14,13,Y,Y,N
011204810C,45,1L1095,20010501,20241101,20750501,20241101,24,2,1,Y,Y,N
011205441C,45,1L1095,20010601,20091101,20490601,20091101,24,17,16,Y,Y,N
011207360C,45,1L1095,20010911,20241111,20720911,20241111,24,2,1,Y,Y,N
011208037C,44,1L1095,20011021,20181021,20791021,20181021,24,8,7,Y,Y,N
011208333C,45,1L1095,20020122,20080522,20720122,20080522,23,18,17,Y,Y,N
011208334C,45,1L1095,20020104,20080504,20730104,20080504,23,18,17,Y,Y,N
011213461C,44,1L1095,20020710,20121010,20640710,20121010,23,14,13,Y,Y,N
011215080C,44,1L1095,20020821,20240821,20830821,20240821,23,2,1,Y,Y,N
011215896C,45,1L15GD,20020823,20150823,20500823,20150823,23,11,10,Y,Y,N
011216797C,45,1L16GD,20021028,20210128,20421028,20210128,23,5,4,Y,Y,N
011218157C,44,1L1095,20021126,20151126,20971126,20151126,23,11,10,Y,Y,N
011221817C,45,1L10OD,20030301,20111201,20830301,20111201,22,15,14,Y,Y,N
011221818C,45,1L1095,20030301,20111201,20940301,20111201,22,15,14,Y,Y,N
011226579C,44,1L1095,20030501,20260501,20810501,20260501,22,0,-1,Y,Y,N
011238178C,44,1L1095,20031008,20220608,20811008,20220608,22,4,3,Y,Y,N
011239201C,45,1L15GD,20031009,20090909,20381009,20090909,22,17,16,Y,Y,N
011244789C,44,1L1095,20031125,20241025,20861125,20241025,22,2,1,Y,Y,N
011245721C,44,1L1095,20031208,20170408,20841208,20170408,22,9,8,Y,Y,N
011245722C,44,1L1095,20031208,20170408,20831208,20170408,22,9,8,Y,Y,N
011245723C,44,1L1095,20031208,20160708,20831208,20160708,22,10,9,Y,Y,N
011255073C,44,1L1095,20040315,20170315,20870315,20170315,21,9,8,Y,Y,N
011266798C,44,1L1095,20041003,20250403,20941003,20250403,21,1,0,Y,Y,N
011267659C,44,1L1095,20041021,20180921,20931021,20180921,21,8,7,Y,Y,N
011267660C,44,1L1095,20041021,20180921,20911021,20180921,21,8,7,Y,Y,N
011268760C,45,1L15GD,20041112,20100112,20451112,20100112,21,16,15,Y,Y,N
011269177C,44,1L14SC,20041108,20201108,20411108,20201108,21,6,5,Y,Y,N
01222DCC,45,1SALOL,19720901,20071101,20071101,20071101,53,19,18,N,Y,N
01222DDC,45,1SALOL,19720901,20071101,20071101,20071101,53,19,18,N,Y,N
01330D153C,45,1SALOL,19770901,19810401,19810401,19810401,48,45,44,N,Y,N
01353D732C,45,1SALML,19511101,19780901,19780901,19780901,74,48,47,N,Y,N
014059C,45,1SALML,19470802,19700202,19700202,19700202,78,56,55,N,Y,N
014075AC,45,1SALML,19520801,20021201,20021201,20021201,73,24,23,N,Y,N
014075BC,45,1SALML,19520801,20021201,20021201,20021201,73,24,23,N,Y,N
014098BC,45,1SALML,19601108,19670908,19670908,19670908,65,59,58,N,Y,N
014100CC,45,1SALML,19490325,19970425,19970425,19970425,76,29,28,N,Y,N
