MPOLICY,SOURCE_POLICY,MBILLFRM,MBANKNO_EMITTED,PPACH_ACCOUNT,PPACH_ABA,EXCEPTION_REASON,EXCEPTION_DETAIL
010413421C,9010413421,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010419054C,9010419054,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010427456C,9010427456,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010428747C,9010428747,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010433630C,9010433630,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010434421C,9010434421,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010434422C,9010434422,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010434659C,9010434659,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010435609C,9010435609,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010435671C,9010435671,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010436082C,9010436082,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010436083C,9010436083,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010436959C,9010436959,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010437232C,9010437232,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010438063C,9010438063,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010438073C,9010438073,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010438554C,9010438554,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010439128C,9010439128,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010440371C,9010440371,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010440631C,9010440631,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010443296C,9010443296,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010443432C,9010443432,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010443433C,9010443433,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010447475C,9010447475,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010448828C,9010448828,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010449417C,9010449417,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010450906C,9010450906,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010451385C,9010451385,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010451650C,9010451650,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010457623C,9010457623,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010459814C,9010459814,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010462057C,9010462057,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010463553C,9010463553,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010466391C,9010466391,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010467025C,9010467025,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010468945C,9010468945,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010474317C,9010474317,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010474318C,9010474318,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010480683C,9010480683,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010483386C,9010483386,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010484578C,9010484578,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010495120C,9010495120,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010503391C,9010503391,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010506408C,9010506408,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010513849C,9010513849,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010516466C,9010516466,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010518051C,9010518051,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010518545C,9010518545,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010529993C,9010529993,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010540781C,9010540781,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010546964C,9010546964,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010547021C,9010547021,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010552856C,9010552856,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010555054C,9010555054,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010555714C,9010555714,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010556736C,9010556736,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010565013C,9010565013,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010580685C,9010580685,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010598049C,9010598049,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010598050C,9010598050,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010615191C,9010615191,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010615192C,9010615192,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010718309C,9010718309,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010721849C,9010721849,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010732975C,9010732975,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010736703C,9010736703,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010737417C,9010737417,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010739886C,9010739886,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010739887C,9010739887,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010746173C,9010746173,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010747013C,9010747013,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010752138C,9010752138,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010754231C,9010754231,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010754538C,9010754538,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010754539C,9010754539,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010755495C,9010755495,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010756895C,9010756895,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010756928C,9010756928,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010759555C,9010759555,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010760296C,9010760296,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010761635C,9010761635,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010761653C,9010761653,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010761674C,9010761674,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010762559C,9010762559,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010762560C,9010762560,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010764124C,9010764124,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010764322C,9010764322,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010764341C,9010764341,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010764392C,9010764392,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010765270C,9010765270,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010766060C,9010766060,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010766847C,9010766847,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010766896C,9010766896,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010769198C,9010769198,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010769554C,9010769554,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010770720C,9010770720,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010770721C,9010770721,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010770722C,9010770722,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010771065C,9010771065,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010771349C,9010771349,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010771679C,9010771679,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010772297C,9010772297,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010772298C,9010772298,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010774643C,9010774643,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010774644C,9010774644,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010774793C,9010774793,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010775583C,9010775583,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010776005C,9010776005,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010776007C,9010776007,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010776909C,9010776909,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010777133C,9010777133,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010777662C,9010777662,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010777665C,9010777665,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010779718C,9010779718,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010779719C,9010779719,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010779720C,9010779720,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010780046C,9010780046,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010782063C,9010782063,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010784251C,9010784251,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010784596C,9010784596,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010784756C,9010784756,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010784757C,9010784757,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010786057C,9010786057,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010786896C,9010786896,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010786945C,9010786945,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010788188C,9010788188,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010789876C,9010789876,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010790758C,9010790758,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010790759C,9010790759,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010792068C,9010792068,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010792082C,9010792082,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010792713C,9010792713,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010793292C,9010793292,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010794372C,9010794372,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010795213C,9010795213,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010795215C,9010795215,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010796767C,9010796767,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010796913C,9010796913,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010796917C,9010796917,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010800350C,9010800350,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010800356C,9010800356,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010801272C,9010801272,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010801893C,9010801893,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010801948C,9010801948,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010801956C,9010801956,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010802656C,9010802656,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010803420C,9010803420,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010803421C,9010803421,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010803659C,9010803659,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010807566C,9010807566,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010808548C,9010808548,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010808976C,9010808976,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010808977C,9010808977,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010810225C,9010810225,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010810226C,9010810226,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010811260C,9010811260,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010811318C,9010811318,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010811319C,9010811319,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010811343C,9010811343,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010812360C,9010812360,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010814761C,9010814761,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010815522C,9010815522,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010817419C,9010817419,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010817803C,9010817803,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010818051C,9010818051,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010818663C,9010818663,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010820645C,9010820645,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010823332C,9010823332,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010823333C,9010823333,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010824561C,9010824561,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010826544C,9010826544,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010827081C,9010827081,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010833383C,9010833383,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010833858C,9010833858,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010834192C,9010834192,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010834193C,9010834193,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010838982C,9010838982,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010840772C,9010840772,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
