reconstructed_claim_id,claim_family,revised_net_payment,revised_balancing_difference,revised_balancing_status,applied_balancing_profile,lifecycle_only_amount_excluded,excluded_transaction_codes,optional_components_missing,balancing_confidence,balancing_notes
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010335038-1-DEATH_CLAIM-C0-20180422,DEATH_CLAIM,5000.0,-6777.05,UNBALANCED,DEATH_CLAIM,6777.05,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 6777.05; Optional components absent (not forced)
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,DISBURSEMENT_CLAIM,2474.02,0.0,BALANCED,DISBURSEMENT_CLAIM,0.0,,0810|0820,HIGH,Payment-event-only profile applied
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,DISBURSEMENT_CLAIM,56.85,0.0,BALANCED,DISBURSEMENT_CLAIM,0.0,,0810|0820,HIGH,Payment-event-only profile applied
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,SURRENDER_CLAIM,3129.06,3129.06,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,SURRENDER_CLAIM,3104.07,3104.07,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010363098-1-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,5000.0,-2770.08,UNBALANCED,DEATH_CLAIM,4.35,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 4.35; Optional components absent (not forced)
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010363098-5-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,2765.73,2765.73,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010367438-1-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,3580.0,-889.37,UNBALANCED,DEATH_CLAIM,1575.62,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 1575.62; Optional components absent (not forced)
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010367438-2-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,2464.99,2464.99,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,SURRENDER_CLAIM,3043.61,3043.61,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010368703-1-DEATH_CLAIM-C0-20210114,DEATH_CLAIM,6865.0,-6025.67,UNBALANCED,DEATH_CLAIM,5.81,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 5.81; Optional components absent (not forced)
RC-9010368703-2-DEATH_CLAIM-C0-20210114,DEATH_CLAIM,6019.86,6019.86,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010371171-1-DEATH_CLAIM-C0-20240624,DEATH_CLAIM,6430.0,-6404.01,UNBALANCED,DEATH_CLAIM,22.33,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 22.33; Optional components absent (not forced)
RC-9010371171-2-DEATH_CLAIM-C0-20240624,DEATH_CLAIM,6381.68,6381.68,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,SURRENDER_CLAIM,11120.23,11120.23,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010374779-1-DEATH_CLAIM-C0-20200530,DEATH_CLAIM,4348.0,-4005.43,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010374779-2-DEATH_CLAIM-C0-20200530,DEATH_CLAIM,4005.43,4005.43,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,SURRENDER_CLAIM,4592.78,4592.78,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,SURRENDER_CLAIM,2451.34,2451.34,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010376540-1-DEATH_CLAIM-C0-20181014,DEATH_CLAIM,10009.54,-1697.22,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020,LOW,Optional components absent (not forced)
RC-9010376540-1-DEATH_CLAIM-C1-20190220,DEATH_CLAIM,0.0,-5810.61,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010376540-2-DEATH_CLAIM-C0-20181014,DEATH_CLAIM,7507.83,7507.83,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,SURRENDER_CLAIM,15878.94,15878.94,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010378710-1-DEATH_CLAIM-C0-20210210,DEATH_CLAIM,5000.0,-1715.85,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010378710-2-DEATH_CLAIM-C0-20210210,DEATH_CLAIM,1715.85,1715.85,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010378829-1-DEATH_CLAIM-C0-20210829,DEATH_CLAIM,5000.0,-2174.45,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010378829-2-DEATH_CLAIM-C0-20210829,DEATH_CLAIM,2174.45,2174.45,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,SURRENDER_CLAIM,7437.83,7437.83,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,SURRENDER_CLAIM,4912.6,4912.6,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382520-1-DEATH_CLAIM-C0-20200820,DEATH_CLAIM,5000.0,-2807.24,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010382520-3-DEATH_CLAIM-C0-20200820,DEATH_CLAIM,2807.24,2807.24,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010382931-1-DEATH_CLAIM-C0-20220210,DEATH_CLAIM,10000.0,-7290.3,UNBALANCED,DEATH_CLAIM,365.1,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 365.1; Optional components absent (not forced)
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010382931-2-DEATH_CLAIM-C0-20220210,DEATH_CLAIM,7603.4,7603.4,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010385491-1-DEATH_CLAIM-C0-20190501,DEATH_CLAIM,11000.33,-999.48,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020,LOW,Optional components absent (not forced)
RC-9010385491-1-DEATH_CLAIM-C1-20210707,DEATH_CLAIM,0.0,-5999.58,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010385491-2-DEATH_CLAIM-C0-20190501,DEATH_CLAIM,6999.06,6999.06,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,SURRENDER_CLAIM,9556.45,9556.45,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010389651-1-DEATH_CLAIM-C0-20240727,DEATH_CLAIM,10931.0,-11421.18,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010389651-2-DEATH_CLAIM-C0-20240727,DEATH_CLAIM,11421.18,11421.18,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,SURRENDER_CLAIM,8178.76,8178.76,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
