reconstructed_claim_id,payout_codes_detected,payout_total,linked_gross_components,linked_offset_components,linked_interest_components,chain_balancing_status,payout_chain_confidence
RC-9010382931-1-DEATH_CLAIM-C0-20220210,0094,17290.3,0530,,,UNBALANCED,LOW
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,,0.0,,0412,,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,,0.0,,0412,,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,,0.0,,0412,,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,,0.0,,0412,,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,,0.0,,0412,,BALANCED,HIGH
RC-9010382931-2-DEATH_CLAIM-C0-20220210,,0.0,0530,,,UNBALANCED,LOW
RC-9010385491-1-DEATH_CLAIM-C0-20190501,0094,11999.81,0530,,0630,UNBALANCED,LOW
RC-9010385491-1-DEATH_CLAIM-C1-20210707,0094,5999.58,,,,UNBALANCED,LOW
RC-9010385491-2-DEATH_CLAIM-C0-20190501,,0.0,0530,,,UNBALANCED,LOW
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,,0.0,,0412,,BALANCED,HIGH
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010389651-1-DEATH_CLAIM-C0-20240727,0094,22352.18,0530,,,UNBALANCED,LOW
RC-9010389651-2-DEATH_CLAIM-C0-20240727,,0.0,0530,,,UNBALANCED,LOW
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,,0.0,0560,,,UNBALANCED,LOW
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,,0.0,,0412,,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C7-20250501,,0.0,,0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C0-20180421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C1-20181021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C10-20230421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C11-20231021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010391228-1-SURRENDER_CLAIM-C2-20190421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C3-20191021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C4-20200421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C5-20201021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C6-20210421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C7-20211021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C8-20220421,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C9-20221021,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010391359-1-DEATH_CLAIM-C0-20211119,0094,1260.06,0530,,,UNBALANCED,LOW
RC-9010391359-1-SURRENDER_CLAIM-C0-20180426,,0.0,,0412,,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C1-20190426,,0.0,,0412,,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C2-20200426,,0.0,,0412,,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C3-20210426,,0.0,,0412,,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C4-20211119,,0.0,,0412,,BALANCED,HIGH
RC-9010391359-2-DEATH_CLAIM-C0-20211119,,0.0,0530,,,UNBALANCED,LOW
RC-9010391359-3-DEATH_CLAIM-C0-20211119,,0.0,,,,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C0-20180601,,0.0,,0412,,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C1-20190601,,0.0,,0412,,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010392138-1-SURRENDER_CLAIM-C0-20180601,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C1-20190601,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C2-20200529,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C3-20210601,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C4-20220601,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C5-20230601,,0.0,,0412,,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010392493-1-DISBURSEMENT_CLAIM-C0-20200210,0090,18738.3,,,,BALANCED,HIGH
RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,,0.0,0560,,,UNBALANCED,LOW
RC-9010392763-1-DEATH_CLAIM-C0-20220408,0094,5098.01,0530,,,UNBALANCED,LOW
RC-9010392763-2-DEATH_CLAIM-C0-20220408,,0.0,0530,,,UNBALANCED,LOW
RC-9010393158-1-DEATH_CLAIM-C0-20210207,0094,11321.7,0530,,,UNBALANCED,LOW
RC-9010393158-2-DEATH_CLAIM-C0-20210207,,0.0,0530,,,UNBALANCED,LOW
RC-9010393181-1-DISBURSEMENT_CLAIM-C0-20190702,0090,2393.21,,,,BALANCED,HIGH
RC-9010393181-1-SURRENDER_CLAIM-C0-20180701,,0.0,,0412,,BALANCED,HIGH
RC-9010393181-1-SURRENDER_CLAIM-C1-20190701,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010393931-1-DISBURSEMENT_CLAIM-C0-20251215,0090,9141.86,,,,BALANCED,HIGH
RC-9010393931-1-SURRENDER_CLAIM-C0-20251208,,0.0,0560,,,UNBALANCED,LOW
RC-9010394249-1-DEATH_CLAIM-C0-20240916,0094,13044.15,0530,,,UNBALANCED,LOW
RC-9010394249-2-DEATH_CLAIM-C0-20240916,,0.0,0530,,,UNBALANCED,LOW
RC-9010394662-1-DEATH_CLAIM-C0-20211009,0094,4928.4,0530,,,UNBALANCED,LOW
RC-9010394662-2-DEATH_CLAIM-C0-20211009,,0.0,0530,,,UNBALANCED,LOW
RC-9010395382-1-DEATH_CLAIM-C0-20240528,0094,4012.31,0530,,,UNBALANCED,LOW
RC-9010395382-1-SURRENDER_CLAIM-C0-20180801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C1-20190801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C2-20200801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C3-20210801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C4-20220801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C5-20230801,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-1-SURRENDER_CLAIM-C6-20240528,,0.0,,0412,,BALANCED,HIGH
RC-9010395382-2-DEATH_CLAIM-C0-20240528,,0.0,0530,,,UNBALANCED,LOW
RC-9010395761-1-SURRENDER_CLAIM-C0-20180801,,0.0,,0412,,BALANCED,HIGH
RC-9010395761-1-SURRENDER_CLAIM-C1-20190729,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010395878-1-DEATH_CLAIM-C0-20180113,0094,7158.62,0530,,,UNBALANCED,LOW
RC-9010395878-2-DEATH_CLAIM-C0-20180113,,0.0,0530,,,UNBALANCED,LOW
RC-9010395879-1-DEATH_CLAIM-C0-20230114,0094,4916.26,0530,,,UNBALANCED,LOW
RC-9010395879-2-DEATH_CLAIM-C0-20230114,,0.0,0530,,,UNBALANCED,LOW
RC-9010396147-1-DEATH_CLAIM-C0-20250106,0094,10133.83,0530,,,UNBALANCED,LOW
RC-9010396147-2-DEATH_CLAIM-C0-20250106,,0.0,0530,,,UNBALANCED,LOW
RC-9010396186-1-SURRENDER_CLAIM-C0-20180901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C1-20190901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C2-20200901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C3-20210901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C4-20220901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C5-20230901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C6-20240901,,0.0,,0412,,BALANCED,HIGH
RC-9010396186-1-SURRENDER_CLAIM-C7-20250901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C0-20180901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C1-20190901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C2-20200901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C3-20210901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C4-20220901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C5-20230901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C6-20240901,,0.0,,0412,,BALANCED,HIGH
RC-9010396425-1-SURRENDER_CLAIM-C7-20250901,,0.0,,0412,,BALANCED,HIGH
RC-9010397118-1-DISBURSEMENT_CLAIM-C0-20211122,0090,30.0,,,,BALANCED,HIGH
RC-9010397118-1-SURRENDER_CLAIM-C0-20180108,,0.0,,0412,,BALANCED,HIGH
RC-9010397318-1-DEATH_CLAIM-C0-20200409,0094,3626.03,0530,,,BALANCED,HIGH
RC-9010397583-1-SURRENDER_CLAIM-C0-20180901,,0.0,,0412,,BALANCED,HIGH
RC-9010397583-1-SURRENDER_CLAIM-C1-20190901,,0.0,,0412,,BALANCED,HIGH
RC-9010397583-1-SURRENDER_CLAIM-C2-20200831,,0.0,,0412,,BALANCED,HIGH
RC-9010397583-1-SURRENDER_CLAIM-C3-20210901,,0.0,,0412,,BALANCED,HIGH
RC-9010397583-1-SURRENDER_CLAIM-C4-20220831,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010397945-1-DEATH_CLAIM-C0-20211113,0094,5367.56,0530,,,UNBALANCED,LOW
RC-9010397945-2-DEATH_CLAIM-C0-20211113,,0.0,0530,,,UNBALANCED,LOW
RC-9010398274-1-DEATH_CLAIM-C0-20240313,0094,15088.91,0530,,,UNBALANCED,LOW
RC-9010398274-2-DEATH_CLAIM-C0-20240313,,0.0,0530,,,UNBALANCED,LOW
RC-9010398591-1-DEATH_CLAIM-C0-20190827,0094,11683.11,0530,,,UNBALANCED,LOW
RC-9010398591-2-DEATH_CLAIM-C0-20190827,,0.0,0530,,,UNBALANCED,LOW
RC-9010400462-1-SURRENDER_CLAIM-C0-20181101,,0.0,,0412,,BALANCED,HIGH
RC-9010400462-1-SURRENDER_CLAIM-C1-20190304,,0.0,,0412,,BALANCED,HIGH
RC-9010400462-1-SURRENDER_CLAIM-C2-20191101,,0.0,,0412,,BALANCED,HIGH
RC-9010400462-1-SURRENDER_CLAIM-C3-20201101,,0.0,,0412,,BALANCED,HIGH
RC-9010400462-1-SURRENDER_CLAIM-C4-20211101,,0.0,,0412,,BALANCED,HIGH
RC-9010400462-1-SURRENDER_CLAIM-C5-20220428,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010401181-1-DEATH_CLAIM-C0-20180316,0094,8600.48,0530,,,UNBALANCED,LOW
RC-9010401181-2-DEATH_CLAIM-C0-20180316,,0.0,0530,,,UNBALANCED,LOW
RC-9010402010-1-DEATH_CLAIM-C0-20221021,0094,8920.15,0530,,0630,BALANCED,HIGH
RC-9010402014-1-DEATH_CLAIM-C0-20230913,0094,4290.22,0530,,,BALANCED,HIGH
RC-9010402014-1-SURRENDER_CLAIM-C0-20181101,,0.0,,0412,,BALANCED,HIGH
RC-9010402014-1-SURRENDER_CLAIM-C1-20191101,,0.0,,0412,,BALANCED,HIGH
RC-9010402014-1-SURRENDER_CLAIM-C2-20200401,,0.0,,0412,,BALANCED,HIGH
RC-9010402060-1-SURRENDER_CLAIM-C0-20230925,,0.0,0560,,,UNBALANCED,LOW
RC-9010402061-1-SURRENDER_CLAIM-C0-20230925,,0.0,0560,,,UNBALANCED,LOW
RC-9010402105-1-SURRENDER_CLAIM-C0-20181201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C1-20191201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C2-20201201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C3-20211201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C4-20221201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C5-20231201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C6-20241201,,0.0,,0412,,BALANCED,HIGH
RC-9010402105-1-SURRENDER_CLAIM-C7-20251201,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-DISBURSEMENT_CLAIM-C0-20260109,0090,24.42,,,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C0-20180501,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C1-20181201,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C10-20241104,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C2-20190307,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C3-20190722,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C4-20191201,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C5-20200519,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C6-20200723,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C7-20200922,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C8-20210521,,0.0,,0412,,BALANCED,HIGH
RC-9010403109-1-SURRENDER_CLAIM-C9-20211122,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C0-20181201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C1-20191201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C2-20201201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C3-20211201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C4-20221201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C5-20231201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C6-20241201,,0.0,,0412,,BALANCED,HIGH
RC-9010403789-1-SURRENDER_CLAIM-C7-20251201,,0.0,,0412,,BALANCED,HIGH
RC-9010403922-1-DEATH_CLAIM-C0-20240412,0094,9666.78,0530,,,UNBALANCED,LOW
RC-9010403922-2-DEATH_CLAIM-C0-20240412,,0.0,0530,,,UNBALANCED,LOW
RC-9010404600-1-SURRENDER_CLAIM-C0-20181201,,0.0,,0412,,BALANCED,HIGH
RC-9010404600-1-SURRENDER_CLAIM-C1-20191201,,0.0,,0412,,BALANCED,HIGH
RC-9010404600-1-SURRENDER_CLAIM-C2-20201201,,0.0,,0412,,BALANCED,HIGH
RC-9010404600-1-SURRENDER_CLAIM-C3-20211201,,0.0,,0412,,BALANCED,HIGH
RC-9010404600-1-SURRENDER_CLAIM-C4-20221201,,0.0,,0412,,BALANCED,HIGH
