lifepro_coverage_id,qla_plan_code,ql_form_number,qla_plan_description,cv_method_source,mortality_table_source,qla_mort_field,mort_code_default,mort_code_m_00,mort_code_m_ns,mort_code_m_sm,mort_code_f_00,mort_code_f_ns,mort_code_f_sm,mort_code_j_00,mort_code_j_ns,mort_code_j_sm,eti_table_source,qla_etimort_field,eti_code_default,eti_code_m_00,eti_code_m_ns,eti_code_m_sm,eti_code_f_00,eti_code_f_ns,eti_code_f_sm,eti_code_j_00,eti_code_j_ns,eti_code_j_sm,nfo_interest_source,qla_nfoint_field,nfo_interest_code,cv_int_rate_source,qla_cv_int_rate_code,qla_intmethcv_field,qla_intmethcv_code,qla_intmethcv_description,review_flag,conversion_notes
668 SPWL,1668SP,668 SPWL,Single Premium Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,6.00%,NFOINT,G,6.00%,G,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
679 CEN SD,1679CS,679 CEN SD,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
670 GL8588,170588,670 GL8588,Life Paid Up at 85/88,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
670 GL85-8,170858,670 GL85-8,Life Paid Up at 85/88,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
670 GL85-M,17085M,670 GL85-M,Life Paid Up at 85/88,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
10827 CSI3,17CSI3,10827 CSI3,CSI Life $3000,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.75%,NFOINT,F,5.75%,F,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
10827 CSI5,17CSI5,10827 CSI5,CSI Life $5000,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.75%,NFOINT,F,5.75%,F,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
10827 CSI7,17CSI7,10827 CSI7,CSI Life $7500,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.75%,NFOINT,F,5.75%,F,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L17 2+ JPO,17MJPO,L17 2+ JPO,L17 Multi Juvenile Purchase Option,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
960 LP65,196065,960 LP65,Life Paid Up at Age 65,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
960 LP85-M,196085,960 LP85-M,Life Paid Up at Age 85-88,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
960 OL,1960OL,960 OL,Ordinary Whole Life,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
960 PO,1960PO,960 PO,Preferred Ordinary Whole Life,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
991 PWL,1991PL,991 PWL,Pension Whole Life,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,3.5% 1st 10 years and 2.5% thereafter,NFOINT,,3.5% 1st 10 years and 2.5% thereafter,,INTMETHCV,0,Curtate,Y,Interest source is a graded/scheduled interest basis; no single one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L10 LP95,1L1095,L10 LP95,L10 - LPU95 POST 1997 LIFE,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L10 SR OLD,1L10SO,L10 SR OLD,L10 - LPU95 SR. PRE 1997,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L10 LP95SR,1L10SR,L10 LP95SR,L10 - LPU95 POST 1997 Senior Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L14,1L14SC,L14,Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
SAL ML,1SALML,SAL ML,Modified Life,,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,,,,,,,,,,,,,3.00%,NFOINT,4,3.00%,4,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
SAL OL,1SALOL,SAL OL,Ordinary Whole Life,,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,,,,,,,,,,,,,3.00%,NFOINT,4,3.00%,4,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
621 END85,221END,621 END85,Endowment at Age 85,Standard Nonforfeiture Value Method,1941 Commissioner's Standard Ordinary Mortality Table,MORT,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,,,,,,,,,,,,,2.50%,NFOINT,2,2.50%,2,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
622 END85,222END,622 END85,20 Pay Endowment at Age 85,Standard Nonforfeiture Value Method,1941 Commissioner's Standard Ordinary Mortality Table,MORT,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,,,,,,,,,,,,,2.50%,NFOINT,2,2.50%,2,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
665 STME95,2665ST,665 STME95,Statesman Mod Endow at 95,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
980 END65,280END,980 END65,Endowment at Age 65,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
667 ART,5667AT,667 ART,Annual Renewable Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
L01 10Y LT,5L0110,L01 10Y LT,Ten Year Level Term to Age 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
L05 10Y LT,5L0510,L05 10Y LT,Ten Year Term to Age 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
L07 5Y LT,5L075Y,L07 5Y LT,Five Year Term to Age 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
619 DT,7619DT,619 DT,Decreasing Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
647 FLP,7647FP,647 FLP,Family Life Decreasing Term,,Reserve Basis: 1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,,,,,,,,,,,,,2.50%,NFOINT,2,2.50%,2,INTMETHCV,0,Curtate,Y,Source value is labeled Reserve Basis; mapped to cash-value mortality code only because no separate cash-value table was provided. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
L15,1L15GD,L15,Graded Death Benefit Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
L16,1L16GD,L16,Graded Death Benefit Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
L17 BASE,1L17SP,L17,Single Premium Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
10827 MN5K,1CSIMN,10827 MN5K,CSI Life MN $5000,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.75%,NFOINT,F,5.75%,F,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
646 ART,5646AT,646 ART,Annual Renewable Term,,Reserve Basis: 1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,,,,,,,,,,,,,2.50%,NFOINT,2,2.50%,2,INTMETHCV,0,Curtate,Y,Source value is labeled Reserve Basis; mapped to cash-value mortality code only because no separate cash-value table was provided. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
669 SR GD,1669SR,669 SR GD,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
961 ME65,2961ME,961 ME65,Modified Endowment at 65,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
970 JEB,1970JB,970 JEB,Juvenile Est Build PU at 85 Life,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L01 10Y MA,5L01MA,L01 10Y MA,Ten Year Level Term to Age 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,No cash-value assumptions were supplied in source.
L10 PRE97,1L10OD,L10 OLD,L10 - LPU95 PRE 1997,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
L10 PREUNI,1L10PR,L10 PREUNI,L10 - LPU95 PRE 1997,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
