policy_number,candidate_rows,matched,unmatched,only_earlier,no_history,has_pfndr_history,pfndr_valuation_dates
9010756925,8,8,0,0,0,True,20260505
9010756938,6,6,0,0,0,True,20240416
9010757042,3,3,0,0,0,True,20210520
9010757071,8,8,0,0,0,True,20260514
9010757607,8,8,0,0,0,True,20260518
9010757801,8,8,0,0,0,True,20260519
9010757840,8,8,0,0,0,True,20260516
9010758520,2,2,0,0,0,True,20200801
9010758540,8,8,0,0,0,True,20260501
9010758549,1,1,0,0,0,True,20190202
9010758550,3,3,0,0,0,True,20210701
9010758573,7,7,0,0,0,True,20250704
9010759008,8,8,0,0,0,True,20260501
9010759385,8,8,0,0,0,True,20260502
9010759541,8,8,0,0,0,True,20260501
9010759550,8,8,0,0,0,True,20260501
9010759559,1,1,0,0,0,True,20190525
9010759932,5,4,1,1,0,True,20220518
9010760160,8,8,0,0,0,True,20260501
9010760294,2,2,0,0,0,True,20200811
9010760295,8,8,0,0,0,True,20260501
9010760298,8,8,0,0,0,True,20260501
9010760840,2,2,0,0,0,True,20260501
9010760851,8,8,0,0,0,True,20260523
9010760865,2,2,0,0,0,True,20200505
9010761639,1,1,0,0,0,True,20260521
9010761673,8,8,0,0,0,True,20260501
9010761870,3,3,0,0,0,True,20200915
9010761874,3,3,0,0,0,True,20210731
9010761882,2,1,1,1,0,True,20200722
9010762068,8,8,0,0,0,True,20260526
9010762319,1,1,0,0,0,True,20240625
9010763006,6,6,0,0,0,True,20231228
9010763378,7,7,0,0,0,True,20260519
9010763450,5,5,0,0,0,True,20230825
9010764120,4,4,0,0,0,True,20230821
9010764121,6,6,0,0,0,True,20240817
9010764319,8,8,0,0,0,True,20260515
9010764368,8,8,0,0,0,True,20260501
9010764369,8,8,0,0,0,True,20260501
9010764374,2,2,0,0,0,True,20191206
9010764385,3,3,0,0,0,True,20210628
9010764400,1,1,0,0,0,True,20181116
9010764684,8,8,0,0,0,True,20260519
9010764810,8,8,0,0,0,True,20260515
9010764812,6,5,1,1,0,True,20230809
9010764818,8,8,0,0,0,True,20260515
9010764837,7,7,0,0,0,True,20241025
9010764842,2,2,0,0,0,True,20220511
9010765198,1,1,0,0,0,True,20190901
9010765318,8,8,0,0,0,True,20260515
9010765320,8,8,0,0,0,True,20260515
9010765339,8,8,0,0,0,True,20260501
9010766554,8,8,0,0,0,True,20260503
9010766898,8,8,0,0,0,True,20260501
9010766910,3,3,0,0,0,True,20230726
9010767172,8,8,0,0,0,True,20260511
9010767770,5,5,0,0,0,True,20260511
9010768067,8,8,0,0,0,True,20260515
9010768069,1,1,0,0,0,True,20210614
9010768339,2,2,0,0,0,True,20200103
9010769176,4,4,0,0,0,True,20221003
9010769190,9,9,0,0,0,True,20260501
9010769195,8,8,0,0,0,True,20260515
9010769227,2,2,0,0,0,True,20200419
9010769232,8,8,0,0,0,True,20260515
9010770062,4,4,0,0,0,True,20221016
9010770844,8,8,0,0,0,True,20260515
9010770865,5,5,0,0,0,True,20230616
9010771070,4,4,0,0,0,True,20221013
9010771532,8,8,0,0,0,True,20260501
9010771832,8,8,0,0,0,True,20260515
9010771833,8,8,0,0,0,True,20260515
9010772668,1,1,0,0,0,True,20191123
9010772898,7,7,0,0,0,True,20250414
9010772957,8,8,0,0,0,True,20260526
9010773107,7,7,0,0,0,True,20240905
9010773468,4,4,0,0,0,True,20221105
9010773681,8,8,0,0,0,True,20260501
9010773856,2,2,0,0,0,True,20191223
9010774490,8,8,0,0,0,True,20260510
9010774527,8,8,0,0,0,True,20260510
9010774772,8,8,0,0,0,True,20260516
9010774773,6,6,0,0,0,True,20241104
9010774794,8,8,0,0,0,True,20260116
9010774973,6,6,0,0,0,True,20260515
9010775244,8,8,0,0,0,True,20260518
9010775323,2,2,0,0,0,True,20200925
9010775418,8,8,0,0,0,True,20260519
9010775722,8,8,0,0,0,True,20260520
9010775723,9,9,0,0,0,True,20260514
9010776027,2,2,0,0,0,True,20201215
9010776442,3,3,0,0,0,True,20200806
9010776445,7,7,0,0,0,True,20240603
9010776450,8,8,0,0,0,True,20250401
9010776502,9,9,0,0,0,True,20260502
9010776651,9,9,0,0,0,True,20260515
9010776672,6,6,0,0,0,True,20240610
9010776813,6,6,0,0,0,True,20231215
9010776814,3,3,0,0,0,True,20201029
9010776831,9,9,0,0,0,True,20260515
9010776832,9,9,0,0,0,True,20260515
9010777059,7,7,0,0,0,True,20250105
9010777793,6,6,0,0,0,True,20230429
9010778142,2,2,0,0,0,True,20190227
9010778464,9,9,0,0,0,True,20260514
9010778474,4,4,0,0,0,True,20210508
9010778653,9,9,0,0,0,True,20260523
9010779031,9,9,0,0,0,True,20260506
9010779074,5,5,0,0,0,True,20220413
9010779191,2,2,0,0,0,True,20191023
9010779551,9,9,0,0,0,True,20260501
9010779552,2,2,0,0,0,True,20260501
9010780003,2,2,0,0,0,True,20231018
9010780131,1,1,0,0,0,True,20180703
9010780393,9,9,0,0,0,True,20260501
9010780403,2,2,0,0,0,True,20190722
9010780591,5,5,0,0,0,True,20260509
9010780791,5,5,0,0,0,True,20230127
9010781128,9,9,0,0,0,True,20260518
9010781713,4,4,0,0,0,True,20210614
9010782062,9,9,0,0,0,True,20260518
9010782064,9,9,0,0,0,True,20260526
9010782640,9,9,0,0,0,True,20260518
9010782822,1,1,0,0,0,True,20180711
9010783278,9,9,0,0,0,True,20260513
9010783502,4,4,0,0,0,True,20210919
9010783785,9,9,0,0,0,True,20260527
9010783786,9,9,0,0,0,True,20260527
9010783867,9,9,0,0,0,True,20260507
9010783883,3,3,0,0,0,True,20201008
9010784045,1,1,0,0,0,True,20180702
9010784054,1,1,0,0,0,True,20250304
9010784074,7,7,0,0,0,True,20240614
9010784075,9,9,0,0,0,True,20260505
9010784261,3,3,0,0,0,True,20210305
9010784370,9,9,0,0,0,True,20260525
9010784372,5,5,0,0,0,True,20230120
9010784529,6,6,0,0,0,True,20231210
9010784914,9,9,0,0,0,True,20260503
9010784918,1,1,0,0,0,True,20190310
9010784922,2,2,0,0,0,True,20191010
9010784936,9,9,0,0,0,True,20260514
9010784946,4,4,0,0,0,True,20210528
9010784950,2,2,0,0,0,True,20200314
9010785163,9,9,0,0,0,True,20260512
9010785164,3,3,0,0,0,True,20210310
9010785324,9,9,0,0,0,True,20260518
9010785777,1,1,0,0,0,True,20180831
9010786015,7,7,0,0,0,True,20241217
9010786152,5,5,0,0,0,True,20220428
9010786153,2,2,0,0,0,True,20200421
9010786237,7,7,0,0,0,True,20241224
9010786240,2,2,0,0,0,True,20190517
9010786312,6,6,0,0,0,True,20230726
9010786316,9,9,0,0,0,True,20260515
9010786324,1,1,0,0,0,True,20190226
9010786490,1,1,0,0,0,True,20180914
9010786800,7,7,0,0,0,True,20260512
9010787147,6,6,0,0,0,True,20240218
9010787237,9,9,0,0,0,True,20260502
9010787513,9,9,0,0,0,True,20260503
9010787560,3,3,0,0,0,True,20260528
9010787639,7,7,0,0,0,True,20250314
9010787762,8,8,0,0,0,True,20250707
9010787952,9,9,0,0,0,True,20260507
9010788679,6,6,0,0,0,True,20240304
9010789095,5,5,0,0,0,True,20220511
9010789213,9,9,0,0,0,True,20260509
9010789348,5,5,0,0,0,True,20250516
9010789351,7,7,0,0,0,True,20250228
9010789546,4,4,0,0,0,True,20260517
9010789992,2,2,0,0,0,True,20241206
9010790077,9,9,0,0,0,True,20260514
9010790176,5,5,0,0,0,True,20240318
9010790287,9,9,0,0,0,True,20260517
9010791323,9,9,0,0,0,True,20260518
9010791405,9,9,0,0,0,True,20260518
9010792884,9,9,0,0,0,True,20260507
9010792961,9,9,0,0,0,True,20260515
9010792997,4,4,0,0,0,True,20220413
9010793582,3,3,0,0,0,True,20230818
9010793727,5,5,0,0,0,True,20230515
9010793737,4,4,0,0,0,True,20210621
9010793830,9,9,0,0,0,True,20260523
9010794098,9,9,0,0,0,True,20260514
9010794099,9,9,0,0,0,True,20260516
9010794112,4,4,0,0,0,True,20220414
9010794116,7,7,0,0,0,True,20240625
9010794265,9,9,0,0,0,True,20260516
9010794514,8,8,0,0,0,True,20260501
9010794518,1,1,0,0,0,True,20190528
9010794520,1,1,0,0,0,True,20180521
9010794730,8,8,0,0,0,True,20260501
9010794731,8,8,0,0,0,True,20260501
9010794751,8,8,0,0,0,True,20260501
9010795361,9,9,0,0,0,True,20260527
9010795564,7,7,0,0,0,True,20250320
9010795609,1,1,0,0,0,True,20180618
9010795612,7,7,0,0,0,True,20250224
9010795618,2,2,0,0,0,True,20200701
9010795898,9,9,0,0,0,True,20260528
9010796355,8,8,0,0,0,True,20260502
9010796356,8,8,0,0,0,True,20260502
9010796707,8,8,0,0,0,True,20260505
9010796908,1,1,0,0,0,True,20260506
9010796912,8,8,0,0,0,True,20260516
9010796916,8,8,0,0,0,True,20260505
9010797766,3,3,0,0,0,True,20260516
9010797831,8,8,0,0,0,True,20260513
9010797832,8,8,0,0,0,True,20260513
9010797922,4,4,0,0,0,True,20210808
9010798029,8,8,0,0,0,True,20260505
9010798030,8,8,0,0,0,True,20260513
9010798031,2,2,0,0,0,True,20191219
9010798462,1,1,0,0,0,True,20180918
9010799173,2,2,0,0,0,True,20191116
9010799487,8,8,0,0,0,True,20260501
9010799590,8,8,0,0,0,True,20260501
9010799675,8,8,0,0,0,True,20260509
9010799821,3,3,0,0,0,True,20210602
9010799895,1,1,0,0,0,True,20181225
9010800286,8,8,0,0,0,True,20260501
9010800881,8,8,0,0,0,True,20260523
9010801256,8,8,0,0,0,True,20260514
9010801734,3,3,0,0,0,True,20200922
9010802045,8,8,0,0,0,True,20260518
9010802188,2,2,0,0,0,True,20200614
9010802626,8,8,0,0,0,True,20260501
9010802627,1,1,0,0,0,True,20190319
9010802646,5,5,0,0,0,True,20220724
9010802649,8,8,0,0,0,True,20260523
9010803044,6,6,0,0,0,True,20230731
9010803649,8,8,0,0,0,True,20260502
9010803672,8,8,0,0,0,True,20260515
9010803676,8,8,0,0,0,True,20260501
9010803682,3,3,0,0,0,True,20201013
9010803770,2,2,0,0,0,True,20201002
9010803776,8,8,0,0,0,True,20260504
9010804327,3,3,0,0,0,True,20260501
9010804489,6,6,0,0,0,True,20240116
9010804588,8,8,0,0,0,True,20260526
9010804616,8,8,0,0,0,True,20260501
9010804853,8,8,0,0,0,True,20260501
9010804854,6,6,0,0,0,True,20231227
9010805039,1,1,0,0,0,True,20190501
9010805041,8,8,0,0,0,True,20260501
9010806155,3,3,0,0,0,True,20201010
9010806653,4,4,0,0,0,True,20260515
9010807493,1,1,0,0,0,True,20190425
9010807518,8,8,0,0,0,True,20260522
9010807698,3,3,0,0,0,True,20210524
9010807720,4,4,0,0,0,True,20230105
9010807722,8,8,0,0,0,True,20260519
9010807868,2,2,0,0,0,True,20221206
9010807941,7,7,0,0,0,True,20260511
9010807946,8,8,0,0,0,True,20260505
9010807963,8,8,0,0,0,True,20260520
9010808545,8,8,0,0,0,True,20260501
9010808553,8,8,0,0,0,True,20260501
9010808831,8,8,0,0,0,True,20260526
9010808901,3,3,0,0,0,True,20210221
9010809361,8,8,0,0,0,True,20260515
9010809739,6,6,0,0,0,True,20240528
9010809977,8,8,0,0,0,True,20260503
9010810228,7,7,0,0,0,True,20250721
9010810691,6,6,0,0,0,True,20250318
9010811306,3,3,0,0,0,True,20210308
9010811382,8,8,0,0,0,True,20260522
9010811385,8,8,0,0,0,True,20260522
9010811386,8,8,0,0,0,True,20260522
9010811998,5,5,0,0,0,True,20230815
9010812079,2,2,0,0,0,True,20210517
9010812225,8,8,0,0,0,True,20260512
9010813196,2,2,0,0,0,True,20260515
9010813286,7,7,0,0,0,True,20250530
9010813387,8,8,0,0,0,True,20260227
9010813388,8,8,0,0,0,True,20260502
9010813391,4,4,0,0,0,True,20220408
9010813392,8,8,0,0,0,True,20260501
9010813427,1,1,0,0,0,True,20250726
9010813955,8,8,0,0,0,True,20260507
9010814115,8,8,0,0,0,True,20260501
9010814362,8,8,0,0,0,True,20260510
9010814389,2,2,0,0,0,True,20200921
9010814390,8,8,0,0,0,True,20260506
9010814693,8,8,0,0,0,True,20260510
9010814931,8,8,0,0,0,True,20260505
9010814933,1,1,0,0,0,True,20181210
9010815236,8,8,0,0,0,True,20260502
9010815523,8,8,0,0,0,True,20260501
9010815524,8,8,0,0,0,True,20260501
9010815642,8,8,0,0,0,True,20260517
9010815680,9,9,0,0,0,True,20260515
9010815681,9,9,0,0,0,True,20260501
9010815946,8,8,0,0,0,True,20260520
9010816070,5,5,0,0,0,True,20230329
9010816156,2,2,0,0,0,True,20191029
9010816928,2,2,0,0,0,True,20200321
9010816969,6,6,0,0,0,True,20241006
9010816990,8,8,0,0,0,True,20260520
9010816991,8,8,0,0,0,True,20260520
9010817091,2,2,0,0,0,True,20191106
9010817304,4,4,0,0,0,True,20260522
9010817345,1,1,0,0,0,True,20191008
9010817366,8,8,0,0,0,True,20260523
9010817367,8,8,0,0,0,True,20260523
9010817500,2,2,0,0,0,True,20201018
9010817808,2,2,0,0,0,True,20260501
9010817956,7,7,0,0,0,True,20251004
9010818531,8,8,0,0,0,True,20260520
9010818580,4,4,0,0,0,True,20211116
9010819280,8,8,0,0,0,True,20260519
9010820635,7,7,0,0,0,True,20241202
9010821385,3,3,0,0,0,True,20210623
9010821435,2,2,0,0,0,True,20201102
9010822046,2,2,0,0,0,True,20191223
9010822097,8,8,0,0,0,True,20260503
9010822098,8,8,0,0,0,True,20260503
9010822330,8,8,0,0,0,True,20260117
9010822851,9,9,0,0,0,True,20260512
9010823095,1,1,0,0,0,True,20190729
9010823335,8,8,0,0,0,True,20260509
9010824297,8,8,0,0,0,True,20260527
9010824299,6,6,0,0,0,True,20230330
9010824709,9,9,0,0,0,True,20260501
9010825353,7,7,0,0,0,True,20260508
9010825434,6,6,0,0,0,True,20230530
9010825438,5,4,1,1,0,True,20230114
9010825719,9,9,0,0,0,True,20260508
9010825759,9,9,0,0,0,True,20260513
9010826524,6,6,0,0,0,True,20260521
9010826532,2,2,0,0,0,True,20191114
9010826551,7,7,0,0,0,True,20250105
9010826810,4,4,0,0,0,True,20210401
9010827590,2,2,0,0,0,True,20200223
9010828369,5,5,0,0,0,True,20260503
9010828370,1,1,0,0,0,True,20260503
9010828463,3,3,0,0,0,True,20200312
9010829942,1,1,0,0,0,True,20180809
9010830094,9,9,0,0,0,True,20260519
9010830310,2,2,0,0,0,True,20190512
9010832205,5,5,0,0,0,True,20220531
9010832681,4,4,0,0,0,True,20220109
9010833639,1,1,0,0,0,True,20180322
9010833740,3,3,0,0,0,True,20210103
9010833991,9,9,0,0,0,True,20260513
9010834096,2,2,0,0,0,True,20200307
9010834574,7,7,0,0,0,True,20260501
9010834575,7,7,0,0,0,True,20260501
9010836252,9,9,0,0,0,True,20260514
9010838710,9,9,0,0,0,True,20260505
9010839122,9,9,0,0,0,True,20260511
9010839714,1,1,0,0,0,True,20180607
9010840404,8,8,0,0,0,True,20260505
9010840776,1,1,0,0,0,True,20180920
9010840848,2,2,0,0,0,True,20200330
9010841424,2,2,0,0,0,True,20200220
9010842016,3,3,0,0,0,True,20260501
9010842017,3,3,0,0,0,True,20260501
9010842315,8,8,0,0,0,True,20260515
9010842857,5,5,0,0,0,True,20260516
9010843137,6,6,0,0,0,True,20230826
9010843241,8,8,0,0,0,True,20260521
9010844324,8,8,0,0,0,True,20260501
9010844402,8,8,0,0,0,True,20260502
9010844403,8,8,0,0,0,True,20260502
9010845094,1,1,0,0,0,True,20190216
9010845099,8,8,0,0,0,True,20260506
9010845307,8,8,0,0,0,True,20260516
9010845709,8,8,0,0,0,True,20260520
9010845878,3,3,0,0,0,True,20210713
9010846781,8,8,0,0,0,True,20260524
9010847479,7,7,0,0,0,True,20260501
9010847480,8,8,0,0,0,True,20260501
9010848085,4,4,0,0,0,True,20211114
9010848398,8,8,0,0,0,True,20260508
9010849296,8,8,0,0,0,True,20260507
9010849668,6,6,0,0,0,True,20240801
9010849699,5,5,0,0,0,True,20230607
9010849882,1,1,0,0,0,True,20190801
9010851112,6,6,0,0,0,True,20260519
9010851278,8,8,0,0,0,True,20260501
9010851579,8,8,0,0,0,True,20260501
9010851580,8,8,0,0,0,True,20260501
9010852357,4,4,0,0,0,True,20211025
9010854157,2,2,0,0,0,True,20240401
9010856918,3,3,0,0,0,True,20210823
9010857115,5,5,0,0,0,True,20230107
9010857119,3,3,0,0,0,True,20210619
9010857881,3,3,0,0,0,True,20210701
9010858396,2,2,0,0,0,True,20201001
9010860628,5,5,0,0,0,True,20230328
9010863334,6,6,0,0,0,True,20240909
9010864474,5,5,0,0,0,True,20240114
9010866751,8,8,0,0,0,True,20260512
9010867974,3,3,0,0,0,True,20220106
9010871146,2,2,0,0,0,True,20191007
9010872331,9,9,0,0,0,True,20260520
9010873140,8,8,0,0,0,True,20260525
9010873154,7,7,0,0,0,True,20260525
9010876417,5,5,0,0,0,True,20220722
9010877890,6,6,0,0,0,True,20240108
9010878592,9,9,0,0,0,True,20260501
9010881096,6,6,0,0,0,True,20230705
9010881301,9,9,0,0,0,True,20260501
9010883245,4,4,0,0,0,True,20211216
9010883246,7,7,0,0,0,True,20241225
9010883731,9,9,0,0,0,True,20260524
9010884052,2,2,0,0,0,True,20190823
9010885441,9,9,0,0,0,True,20260522
9010886805,1,1,0,0,0,True,20180519
9010886812,6,6,0,0,0,True,20240225
9010886851,3,3,0,0,0,True,20210913
9010887780,2,2,0,0,0,True,20200405
9010888232,1,1,0,0,0,True,20190325
9010888338,5,5,0,0,0,True,20220806
9010889364,7,7,0,0,0,True,20250210
9010889785,9,9,0,0,0,True,20260514
9010891079,2,2,0,0,0,True,20200117
9010891087,9,9,0,0,0,True,20260525
9010891309,9,9,0,0,0,True,20260518
9010891328,9,9,0,0,0,True,20260501
9010892016,9,9,0,0,0,True,20260525
9010893115,9,9,0,0,0,True,20260526
9010893950,5,5,0,0,0,True,20221220
9010895689,9,9,0,0,0,True,20260507
9010897521,9,9,0,0,0,True,20260520
9010898542,7,7,0,0,0,True,20250413
9010898692,4,4,0,0,0,True,20210827
9010900519,3,3,0,0,0,True,20200707
9010900620,2,2,0,0,0,True,20190925
9010901787,8,8,0,0,0,True,20260506
9010901833,5,5,0,0,0,True,20250917
9010902972,8,8,0,0,0,True,20260507
9010902973,8,8,0,0,0,True,20260507
9010904097,5,5,0,0,0,True,20220815
9010905200,3,3,0,0,0,True,20260517
9010905677,4,4,0,0,0,True,20221226
9010911853,8,8,0,0,0,True,20260514
9010914384,1,1,0,0,0,True,20180805
9010915030,3,3,0,0,0,True,20201218
9010916260,5,5,0,0,0,True,20220904
9010917172,5,5,0,0,0,True,20230408
9010919431,3,3,0,0,0,True,20210704
9010924513,8,8,0,0,0,True,20260528
9010926357,8,8,0,0,0,True,20260506
9010927989,8,8,0,0,0,True,20260510
9010928261,8,8,0,0,0,True,20250321
9010938321,9,9,0,0,0,True,20260525
9010940594,1,1,0,0,0,True,20181102
9010941103,4,3,1,1,0,True,20211018
9010943847,8,8,0,0,0,True,20260519
9010943849,7,7,0,0,0,True,20251001
9010945534,3,3,0,0,0,True,20210831
9010946649,1,1,0,0,0,True,20190824
9010947021,1,1,0,0,0,True,20180724
9010947245,8,8,0,0,0,True,20260506
9010947866,6,6,0,0,0,True,20240825
9010947870,8,8,0,0,0,True,20260515
9010948195,6,6,0,0,0,True,20231211
9010948241,8,8,0,0,0,True,20260501
9010951456,8,8,0,0,0,True,20260516
9010952369,3,3,0,0,0,True,20200205
9010954823,2,2,0,0,0,True,20191221
9010955783,9,9,0,0,0,True,20260520
9010958446,6,6,0,0,0,True,20240703
9010963046,1,1,0,0,0,True,20190209
9010968689,1,1,0,0,0,True,20180727
9010969153,6,6,0,0,0,True,20230505
9010969231,8,8,0,0,0,True,20260121
9010970211,3,3,0,0,0,True,20200508
9010971570,9,9,0,0,0,True,20260510
9010974048,1,1,0,0,0,True,20231020
9010978232,8,8,0,0,0,True,20260501
9010981739,4,4,0,0,0,True,20211114
9010985184,6,6,0,0,0,True,20231126
9010986137,1,1,0,0,0,True,20190409
9010986434,2,2,0,0,0,True,20200129
9010990148,1,1,0,0,0,True,20190326
9010990850,9,9,0,0,0,True,20260528
9010991108,9,9,0,0,0,True,20260527
9010992126,8,8,0,0,0,True,20260518
9010993841,8,8,0,0,0,True,20260501
9010994236,2,2,0,0,0,True,20190805
9010996841,3,3,0,0,0,True,20210123
9010996983,1,1,0,0,0,True,20190516
9010997600,1,1,0,0,0,True,20180824
9011002095,3,3,0,0,0,True,20210112
9011002616,9,9,0,0,0,True,20260528
9011002664,1,1,0,0,0,True,20181207
9011005348,6,6,0,0,0,True,20240125
9011008707,8,8,0,0,0,True,20260508
9011016293,7,7,0,0,0,True,20240501
9011016527,2,2,0,0,0,True,20190622
9011017841,3,3,0,0,0,True,20201014
9011020938,8,8,0,0,0,True,20260501
9011025405,8,8,0,0,0,True,20260511
9011025478,2,2,0,0,0,True,20200816
9011032672,7,7,0,0,0,True,20260501
9011032897,4,4,0,0,0,True,20260505
9011032898,4,4,0,0,0,True,20260509
9011033048,3,3,0,0,0,True,20230816
9011035773,1,1,0,0,0,True,20180514
9011036041,9,9,0,0,0,True,20260505
9011036054,7,7,0,0,0,True,20240505
9011038386,3,3,0,0,0,True,20210418
9011038645,6,6,0,0,0,True,20260522
9011039701,6,5,1,1,0,True,20230414
9011040826,2,2,0,0,0,True,20200323
9011041480,1,1,0,0,0,True,20181031
9011042946,8,8,0,0,0,True,20260515
9011045350,8,8,0,0,0,True,20260501
9011048543,4,4,0,0,0,True,20221115
9011048886,3,3,0,0,0,True,20200210
9011049319,5,5,0,0,0,True,20231106
9011050114,1,1,0,0,0,True,20260526
9011050653,9,9,0,0,0,True,20260515
9011051323,2,2,0,0,0,True,20191212
9011053076,7,7,0,0,0,True,20241018
9011053214,1,1,0,0,0,True,20190214
9011053882,1,1,0,0,0,True,20260515
9011054606,8,8,0,0,0,True,20250414
9011057485,1,1,0,0,0,True,20200601
9011057611,7,7,0,0,0,True,20240718
9011060621,8,8,0,0,0,True,20260519
9011061046,8,8,0,0,0,True,20260515
9011063691,2,2,0,0,0,True,20200614
9011066252,1,1,0,0,0,True,20190806
9011067410,6,6,0,0,0,True,20230721
9011067789,6,6,0,0,0,True,20230221
9011068652,5,5,0,0,0,True,20250712
9011069093,5,5,0,0,0,True,20221103
9011069253,5,5,0,0,0,True,20260525
9011069610,1,1,0,0,0,True,20260504
9011071018,9,9,0,0,0,True,20260501
9011072813,8,8,0,0,0,True,20260524
9011074929,1,1,0,0,0,True,20200127
9011075278,8,8,0,0,0,True,20260527
9011077629,8,8,0,0,0,True,20260521
9011077798,2,2,0,0,0,True,20200828
9011078437,1,1,0,0,0,True,20181017
9011080481,7,7,0,0,0,True,20260512
9011082681,1,1,0,0,0,True,20180613
9011083619,1,1,0,0,0,True,20230208
9011085421,9,9,0,0,0,True,20260501
9011085559,9,9,0,0,0,True,20260508
9011085737,5,5,0,0,0,True,20230126
9011086709,1,1,0,0,0,True,20180804
9011086978,2,2,0,0,0,True,20191111
9011086979,2,2,0,0,0,True,20200306
9011087127,3,3,0,0,0,True,20260507
9011087128,3,3,0,0,0,True,20260507
9011107796,9,9,0,0,0,True,20260517
9011129276,4,4,0,0,0,True,20260528
9011134001,6,6,0,0,0,True,20260526
9011134002,5,5,0,0,0,True,20260526
9011151436,4,4,0,0,0,True,20260508
9011152870,6,6,0,0,0,True,20260501
