old_value,new_value,original_source,mapping_class,quarantine_reason,rollback_action,removed_from_master_crosswalk,governance_status
9015FG8217,015FG8217C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9016FG8217,016FG8217C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018009B,018009BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018021,018021C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018163,018163C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018166C,018166CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018167C,018167CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018167D,018167DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018167E,018167EC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018185,018185C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018187,018187C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018222A,018222AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018222B,018222BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018234,018234C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018236B,018236BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018236C,018236CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018237C,018237CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018237D,018237DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018237E,018237EC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018237F,018237FC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018237G,018237GC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018252,018252C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018253,018253C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018253A,018253AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018253B,018253BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018258A,018258AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018258B,018258BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018258C,018258CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018270,018270C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018284A,018284AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018284C,018284CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018284D,018284DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018306F,018306FC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018313A,018313AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018313B,018313BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018313D,018313DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018330A,018330AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018330B,018330BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018330C,018330CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018355,018355C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018386,018386C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018465C,018465CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018465D,018465DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018491,018491C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018492,018492C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018495A,018495AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018495B,018495BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018495C,018495CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018499A,018499AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018499B,018499BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018499C,018499CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018499D,018499DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018509,018509C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018510,018510C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018528,018528C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018529,018529C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018586,018586C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018645A,018645AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018645B,018645BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018645C,018645CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018646,018646C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018712,018712C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018712F,018712FC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018719,018719C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018721,018721C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018737A,018737AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018737B,018737BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018845B,018845BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018845C,018845CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018900,018900C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018907,018907C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018909,018909C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018910,018910C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9018912,018912C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9019002,019002C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8033B,01FG8033BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8033C,01FG8033CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8217A,01FG8217AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8217B,01FG8217BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8217C,01FG8217CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8217D,01FG8217DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8302B,01FG8302BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8314B,01FG8314BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8314D,01FG8314DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8314E,01FG8314EC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8314F,01FG8314FC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8563,01FG8563C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901FG8801,01FG8801C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4012A,01ML4012AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4054,01ML4054C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4096,01ML4096C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4107,01ML4107C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4134,01ML4134C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4140B,01ML4140BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4140C,01ML4140CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML4150,01ML4150C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8007,01ML8007C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8123,01ML8123C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8143,01ML8143C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8151,01ML8151C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8171,01ML8171C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8195,01ML8195C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8209,01ML8209C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8211,01ML8211C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8214,01ML8214C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8225,01ML8225C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8246,01ML8246C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8250,01ML8250C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8251,01ML8251C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8267,01ML8267C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8303,01ML8303C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8307,01ML8307C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8314B,01ML8314BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8367,01ML8367C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8378A,01ML8378AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8378B,01ML8378BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
