PLAN,FIELD_NAME,OLD_VALUE,NEW_VALUE,REASON
1659SR,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
165PUA,PLANVALOPT,F,N,no variation detected
165PUA,GDVARYGP,0,N,no variation detected
165PUA,GDVARYDB,0,N,no variation detected
165PUA,GDVARYCV,,N,no variation detected
165PUA,GDVARYTV,,N,no variation detected
165PUA,GDVARYDV,,N,no variation detected
165PUA,UWVARYGP,,N,no variation detected
165PUA,UWVARYDB,,N,no variation detected
165PUA,UWVARYCV,,N,no variation detected
165PUA,UWVARYTV,,N,no variation detected
165PUA,UWVARYDV,,N,no variation detected
165PUA,BDVARYGP,,N,no variation detected
165PUA,BDVARYDB,,N,no variation detected
165PUA,BDVARYCV,,N,no variation detected
165PUA,BDVARYTV,,N,no variation detected
165PUA,BDVARYDV,,N,no variation detected
165PUA,STVARYGP,,N,no variation detected
165PUA,STVARYDB,,N,no variation detected
165PUA,STVARYCV,,N,no variation detected
165PUA,STVARYTV,,N,no variation detected
165PUA,STVARYDV,,N,no variation detected
1666AI,PLANVALOPT,F,N,no variation detected
1666AI,GDVARYGP,0,N,no variation detected
1666AI,GDVARYDB,0,N,no variation detected
1666AI,GDVARYCV,,N,no variation detected
1666AI,GDVARYTV,,N,no variation detected
1666AI,GDVARYDV,,N,no variation detected
1666AI,UWVARYGP,,N,no variation detected
1666AI,UWVARYDB,,N,no variation detected
1666AI,UWVARYCV,,N,no variation detected
1666AI,UWVARYTV,,N,no variation detected
1666AI,UWVARYDV,,N,no variation detected
1666AI,BDVARYGP,,N,no variation detected
1666AI,BDVARYDB,,N,no variation detected
1666AI,BDVARYCV,,N,no variation detected
1666AI,BDVARYTV,,N,no variation detected
1666AI,BDVARYDV,,N,no variation detected
1666AI,STVARYGP,,N,no variation detected
1666AI,STVARYDB,,N,no variation detected
1666AI,STVARYCV,,N,no variation detected
1666AI,STVARYTV,,N,no variation detected
1666AI,STVARYDV,,N,no variation detected
1666WL,PLANVALOPT,F,Y,rate segmentation: GDVARYTV
1666WL,GDVARYGP,0,N,rate segmentation: GDVARYTV
1666WL,GDVARYDB,0,N,rate segmentation: GDVARYTV
1666WL,GDVARYCV,,N,rate segmentation: GDVARYTV
1666WL,GDVARYTV,,Y,rate segmentation: GDVARYTV
1666WL,GDVARYDV,,N,rate segmentation: GDVARYTV
1666WL,UWVARYGP,,N,rate segmentation: GDVARYTV
1666WL,UWVARYDB,,N,rate segmentation: GDVARYTV
1666WL,UWVARYCV,,N,rate segmentation: GDVARYTV
1666WL,UWVARYTV,,N,rate segmentation: GDVARYTV
1666WL,UWVARYDV,,N,rate segmentation: GDVARYTV
1666WL,BDVARYGP,,N,rate segmentation: GDVARYTV
1666WL,BDVARYDB,,N,rate segmentation: GDVARYTV
1666WL,BDVARYCV,,N,rate segmentation: GDVARYTV
1666WL,BDVARYTV,,N,rate segmentation: GDVARYTV
1666WL,BDVARYDV,,N,rate segmentation: GDVARYTV
1666WL,STVARYGP,,N,rate segmentation: GDVARYTV
1666WL,STVARYDB,,N,rate segmentation: GDVARYTV
1666WL,STVARYCV,,N,rate segmentation: GDVARYTV
1666WL,STVARYTV,,N,rate segmentation: GDVARYTV
1666WL,STVARYDV,,N,rate segmentation: GDVARYTV
1668SP,PLANVALOPT,F,Y,rate segmentation: GDVARYCV
1668SP,GDVARYGP,0,N,rate segmentation: GDVARYCV
1668SP,GDVARYDB,0,N,rate segmentation: GDVARYCV
1668SP,GDVARYCV,,Y,rate segmentation: GDVARYCV
1668SP,GDVARYTV,,N,rate segmentation: GDVARYCV
1668SP,GDVARYDV,,N,rate segmentation: GDVARYCV
1668SP,UWVARYGP,,N,rate segmentation: GDVARYCV
1668SP,UWVARYDB,,N,rate segmentation: GDVARYCV
1668SP,UWVARYCV,,N,rate segmentation: GDVARYCV
1668SP,UWVARYTV,,N,rate segmentation: GDVARYCV
1668SP,UWVARYDV,,N,rate segmentation: GDVARYCV
1668SP,BDVARYGP,,N,rate segmentation: GDVARYCV
1668SP,BDVARYDB,,N,rate segmentation: GDVARYCV
1668SP,BDVARYCV,,N,rate segmentation: GDVARYCV
1668SP,BDVARYTV,,N,rate segmentation: GDVARYCV
1668SP,BDVARYDV,,N,rate segmentation: GDVARYCV
1668SP,STVARYGP,,N,rate segmentation: GDVARYCV
1668SP,STVARYDB,,N,rate segmentation: GDVARYCV
1668SP,STVARYCV,,N,rate segmentation: GDVARYCV
1668SP,STVARYTV,,N,rate segmentation: GDVARYCV
1668SP,STVARYDV,,N,rate segmentation: GDVARYCV
1669SR,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,GDVARYGP,0,Y,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,GDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,UWVARYGP,,Y,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1669SR,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,UWVARYGP"
1679CS,PLANVALOPT,F,N,no variation detected
1679CS,GDVARYGP,0,N,no variation detected
1679CS,GDVARYDB,0,N,no variation detected
1679CS,GDVARYCV,,N,no variation detected
1679CS,GDVARYTV,,N,no variation detected
1679CS,GDVARYDV,,N,no variation detected
1679CS,UWVARYGP,,N,no variation detected
1679CS,UWVARYDB,,N,no variation detected
1679CS,UWVARYCV,,N,no variation detected
1679CS,UWVARYTV,,N,no variation detected
1679CS,UWVARYDV,,N,no variation detected
1679CS,BDVARYGP,,N,no variation detected
1679CS,BDVARYDB,,N,no variation detected
1679CS,BDVARYCV,,N,no variation detected
1679CS,BDVARYTV,,N,no variation detected
1679CS,BDVARYDV,,N,no variation detected
1679CS,STVARYGP,,N,no variation detected
1679CS,STVARYDB,,N,no variation detected
1679CS,STVARYCV,,N,no variation detected
1679CS,STVARYTV,,N,no variation detected
1679CS,STVARYDV,,N,no variation detected
170588,PLANVALOPT,F,Y,rate segmentation: GDVARYCV
170588,GDVARYGP,0,N,rate segmentation: GDVARYCV
170588,GDVARYDB,0,N,rate segmentation: GDVARYCV
170588,GDVARYCV,,Y,rate segmentation: GDVARYCV
170588,GDVARYTV,,N,rate segmentation: GDVARYCV
170588,GDVARYDV,,N,rate segmentation: GDVARYCV
170588,UWVARYGP,,N,rate segmentation: GDVARYCV
170588,UWVARYDB,,N,rate segmentation: GDVARYCV
170588,UWVARYCV,,N,rate segmentation: GDVARYCV
170588,UWVARYTV,,N,rate segmentation: GDVARYCV
170588,UWVARYDV,,N,rate segmentation: GDVARYCV
170588,BDVARYGP,,N,rate segmentation: GDVARYCV
170588,BDVARYDB,,N,rate segmentation: GDVARYCV
170588,BDVARYCV,,N,rate segmentation: GDVARYCV
170588,BDVARYTV,,N,rate segmentation: GDVARYCV
170588,BDVARYDV,,N,rate segmentation: GDVARYCV
170588,STVARYGP,,N,rate segmentation: GDVARYCV
170588,STVARYDB,,N,rate segmentation: GDVARYCV
170588,STVARYCV,,N,rate segmentation: GDVARYCV
170588,STVARYTV,,N,rate segmentation: GDVARYCV
170588,STVARYDV,,N,rate segmentation: GDVARYCV
170858,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,GDVARYDV,,Y,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170858,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
170PUA,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
170PUA,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
17CSI3,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,GDVARYGP,0,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
17CSI3,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
