SOURCE_PLAN_CODE,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_OUTPUT,PLAN_NAME,PRODUCT_FAMILY,POSSIBLE_ALIAS,SOURCE_AUTHORITY_STATUS,RECONCILIATION_STATUS,NOTES
101G,Y,Y,Y,Y,Y,Y,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101K,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101M,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101N,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101P,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101Q,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101R,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101X,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
165,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
3ALF,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3ALM,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3PFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3PFS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3PMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3PMS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3R1F,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
3R1M,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
3R2G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3R5F,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
3R5M,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
3R6G,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3RWG,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
3X1F,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
3X1M,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
3X5F,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
3X5M,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
466G,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
6,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
8021,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
8022,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
8023,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
8024,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
8025,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802C,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802E,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
802G,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802K,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802L,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802M,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802N,Y,N,N,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,TRACKER_ONLY,
802P,Y,N,N,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,TRACKER_ONLY,
802Q,Y,N,N,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,TRACKER_ONLY,
802R,Y,N,N,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,TRACKER_ONLY,
802S,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802W,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802X,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
802Z,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
803E,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
803G,Y,Y,N,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
803H,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
803K,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
803N,Y,Y,Y,Y,N,N,Nonforfeiture Status,Nonforfeiture Status,,UNKNOWN,MATCHED,
938,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
951,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
952,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
961,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
962,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
963,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
964,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
965,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
971,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
972,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
973,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
978,Y,Y,N,Y,N,N,Accident & Health,Accident & Health,,UNKNOWN,MATCHED,
9FMN,N,N,Y,N,N,N,,,,UNKNOWN,CROSSWALK_ONLY,From CFIC Plan column (may include grouped codes)
9PFM,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
9PFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9PFS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9PMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9PMS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9R1F,Y,N,N,Y,N,N,Rider,Rider,,UNKNOWN,TRACKER_ONLY,
9R1M,Y,N,N,Y,N,N,Rider,Rider,,UNKNOWN,TRACKER_ONLY,
9R2G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9R5F,Y,N,N,Y,N,N,Rider,Rider,,UNKNOWN,TRACKER_ONLY,
9R5M,Y,N,N,Y,N,N,Rider,Rider,,UNKNOWN,TRACKER_ONLY,
9R6G,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9RWG,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
9X1F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
9X1M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
9X5F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
9X5M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
A6N,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
ABFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ABFS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ABMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ABMS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ALBR,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
ALP2,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ALP6,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ALPF,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ALPM,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
ALPS,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
Annuity,N,N,Y,N,N,N,,,,UNKNOWN,CROSSWALK_ONLY,
B1B,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
B1FN,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
B1FS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
B1MN,Y,N,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
B1MS,Y,N,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
B2B,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
B2FN,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
B2FS,Y,N,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
B2MN,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
B2MS,Y,N,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
B3FN,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
B3FS,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
B3MN,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
B3MS,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
BA1,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA2,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA3,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA4,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA5,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA5N,Y,Y,N,Y,Y,Y,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA6,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA6B,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
BA6N,Y,Y,N,Y,Y,Y,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA7,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA7N,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA8,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA8N,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA9,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BA9N,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BAC,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BACN,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BAY,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BAYN,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
BLFN,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
BLFS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
BLMN,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
BLMS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
BPU,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BS6N,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
BW,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BWB,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
BWS,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
CFA0,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
CFA3,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
CFA4,Y,N,N,Y,N,N,Annuity,Annuity,,UNKNOWN,TRACKER_ONLY,
CFA7,Y,N,N,Y,N,N,Annuity,Annuity,,UNKNOWN,TRACKER_ONLY,
CP05,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
CP10,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
CP20,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
CPSP,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
CSPB,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
CTR,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
CTRP,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
CW,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
CW58,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
CW80,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DPFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DPFS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DPMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DPMS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DR1F,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
DR1M,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
DR2G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DR5F,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
DR5M,Y,N,N,Y,N,N,Term Life,Term Life,,UNKNOWN,TRACKER_ONLY,
DR6G,N,Y,N,N,Y,Y,,,,UNKNOWN,DBF_ONLY,
DRWG,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
DX1F,N,Y,N,N,Y,Y,,,,UNKNOWN,DBF_ONLY,
DX1M,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
DX51,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
DX5F,N,Y,N,N,Y,Y,,,,UNKNOWN,DBF_ONLY,
DX5M,N,Y,N,N,Y,Y,,,,UNKNOWN,DBF_ONLY,
F14,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
F24,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
F25,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
F65,Y,Y,Y,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
FBAF,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
FDAA,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FDAB,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FDAC,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FDAD,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FDAP,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FDAS,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF14,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF15,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF24,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF25,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF44,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF45,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF54,Y,Y,N,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FF55,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAA,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAB,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAC,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAD,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAP,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FFAS,Y,Y,Y,Y,N,N,Annuity,Annuity,,UNKNOWN,MATCHED,
FS4,Y,Y,Y,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
FW,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
FW4,Y,Y,N,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
FW5,Y,Y,Y,Y,Y,Y,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
FW5C,Y,Y,Y,Y,N,N,Merchandise / Burial Service,Merchandise / Burial Service,,UNKNOWN,MATCHED,
GDB,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
GLI,Y,Y,N,Y,N,N,External Servicing,External Servicing,,UNKNOWN,MATCHED,
GS28,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
HIV,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
HPFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HPFS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HPMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HPMS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HR2G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HR6G,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
HRWG,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
IFF1,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
IFF5,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
IFFS,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
LBR,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
LPI2,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
LPI6,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
LPIS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
M10,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
M15,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
M20,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
M25,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
M30,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
MEB,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
MIC,Y,Y,N,Y,N,N,External Servicing,External Servicing,,UNKNOWN,MATCHED,
P7FN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P7FS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P7MN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P7MS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P8FJ,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P8FN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P8FS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P8MJ,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P8MN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
