FILE,LINE_NUMBER,REFERENCE,REFERENCE_TYPE,CURRENT_PURPOSE,REQUIRED_FUTURE_DISPOSITION,PROPOSED_CONFIGURATION_KEY,DEVELOPMENT_ISSUE_REQUIRED,RISK
conversion/orchestration/cfic_rate_publish.py,12,parents[2],parent_traversal,REPO_ROOT = Path(__file__).resolve().parents[2],MOVE_TO_CONFIG,paths.project_root,CIT-ARCH-001,MEDIUM
conversion/orchestration/cfic_rate_publish.py,18,sys.path,sys_path_manipulation,"sys.path.insert(0, str(REPO_ROOT))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/cfic_rate_publish.py,19,qla_core,engine_module,from qla_core import rate_dbf_writer as W  # noqa: E402,REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
conversion/orchestration/cfic_rate_publish.py,150,CFIC_Rates,legacy_project_name,"""program"": ""CFIC_Rates"",",MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/cfic_reserve_build.py,8,parents[2],parent_traversal,REPO_ROOT = Path(__file__).resolve().parents[2],MOVE_TO_CONFIG,paths.project_root,CIT-ARCH-001,MEDIUM
conversion/orchestration/cfic_reserve_build.py,9,CFIC_Rates,legacy_project_name,"CFIC_ROOT = REPO_ROOT / ""CFIC_Rates""",MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/cfic_reserve_build.py,10,Issue_Log,legacy_issue_folder,"SCRIPTS_ISSUE03 = CFIC_ROOT / ""Issue_Log"" / ""CFIC_Issue_03"" / ""scripts""",MOVE_TO_CONFIG,paths.issues,CIT-ARCH-001,MEDIUM
conversion/orchestration/cfic_reserve_build.py,12,sys.path,sys_path_manipulation,"sys.path.insert(0, str(REPO_ROOT))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/cfic_reserve_build.py,13,sys.path,sys_path_manipulation,"sys.path.insert(0, str(SCRIPTS_ISSUE03))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/cfic_reserve_build.py,16,qla_core,engine_module,from qla_core import rate_dbf_schema as S  # noqa: E402,REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
conversion/orchestration/cfic_reserve_build.py,17,qla_core,engine_module,from qla_core import rate_factor_loader as L  # noqa: E402,REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
conversion/orchestration/cfic_reserve_build.py,18,qla_core,engine_module,from qla_core import rate_key_setup as K  # noqa: E402,REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
conversion/orchestration/cfic_reserve_build.py,19,qla_core,engine_module,from qla_core import rate_member_setup as MB  # noqa: E402,REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
conversion/orchestration/legacy_cfic_paths.py,1,QLA_Migration,warren_project,"""""""Canonical CFIC folder paths (standalone — not Warren QLA_Migration).""""""",MOVE_TO_CONFIG,REMOVE — out of scope,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,1,QLA_Migration,warren_project,"""""""Canonical CFIC folder paths (standalone — not Warren QLA_Migration).""""""",MOVE_TO_CONFIG,REMOVE — out of scope,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,9,CFIC_Rates,legacy_project_name,# Note: on Windows this may resolve to CFIC_Rates/output/rates (case-insensitive).,MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/legacy_cfic_paths.py,9,output,output_folder,# Note: on Windows this may resolve to CFIC_Rates/output/rates (case-insensitive).,MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,10,Output,output_folder,"OUTPUT_RATES = CFIC_ROOT / ""Output"" / ""rates""",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,19,extracted_reserve,legacy_staging,"STAGING_RESERVE = CFIC_ROOT / ""extracted_reserve"" / ""staging""",MOVE_TO_CONFIG,paths.staging,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,20,extracted_pdf_rates,legacy_staging,"STAGING_PDF = CFIC_ROOT / ""extracted_pdf_rates"" / ""staging""",MOVE_TO_CONFIG,paths.staging,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,22,Output,output_folder,# Deprecated draft emit location (pre-Output policy),MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,23,output,output_folder,"LEGACY_OUTPUT_RATES = CFIC_ROOT / ""output"" / ""rates""",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,31,Issue_Log,legacy_issue_folder,"CFIC_ROOT / ""Issue_Log"" / ""CFIC_Issue_03"" / ""business_inputs"" / ""cfic_rate_key_assumptions.csv""",MOVE_TO_CONFIG,paths.issues,CIT-ARCH-001,MEDIUM
conversion/orchestration/legacy_cfic_paths.py,34,Output,output_folder,# Tables allowed in Output/rates (CSV load package),MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,2,output,output_folder,CFIC rate load package publisher — CSV-only output (CSO-style).,MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,2,CSO,cso_reference,CFIC rate load package publisher — CSV-only output (CSO-style).,HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
conversion/orchestration/package_cfic_rates.py,6,Output,output_folder,Output policy:,MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,7,CFIC_Rates,legacy_project_name,CFIC_Rates/Output/rates/  — Quik*.csv ONLY (PascalCase table names),MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,7,Output,output_folder,CFIC_Rates/Output/rates/  — Quik*.csv ONLY (PascalCase table names),MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,8,CFIC_Rates,legacy_project_name,"CFIC_Rates/Reports/       — rate_csv_manifest.csv, emit_summary.json",MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,9,CFIC_Rates,legacy_project_name,CFIC_Rates/Validation/    — parity check CSVs,MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,18,parents[1],parent_traversal,CFIC_ROOT = Path(__file__).resolve().parents[1],MOVE_TO_CONFIG,paths.project_root,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,20,sys.path,sys_path_manipulation,"sys.path.insert(0, str(REPO_ROOT))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,21,sys.path,sys_path_manipulation,"sys.path.insert(0, str(CFIC_ROOT))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,22,sys.path,sys_path_manipulation,"sys.path.insert(0, str(CFIC_ROOT / ""scripts""))",MOVE_TO_CONFIG,engine.install_method,CIT-ARCH-001,HIGH
conversion/orchestration/package_cfic_rates.py,39,Issue_Log,legacy_issue_folder,"ISSUE03_SCRIPTS = CFIC_ROOT / ""Issue_Log"" / ""CFIC_Issue_03"" / ""scripts""",MOVE_TO_CONFIG,paths.issues,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,85,output,output_folder,"parser.add_argument(""--clean-legacy"", action=""store_true"", help=""Remove deprecated output/rates/ drafts"")",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/package_cfic_rates.py,86,output,output_folder,"parser.add_argument(""--skip-audit"", action=""store_true"", help=""Skip post-publish output folder audit"")",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,2,CFIC_Rates,legacy_project_name,Citizens CFIC_Rates read-only inventory scanner.,MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
tools/inventory/cfic_inventory_core.py,40,CFIC_Rates,legacy_project_name,"CFIC_RATES_REF = re.compile(r""CFIC_Rates"", re.I)",MOVE_TO_CONFIG,paths.legacy_cfic_rates_readonly,CIT-ARCH-001,HIGH
tools/inventory/cfic_inventory_core.py,42,CSO,cso_reference,"CSO_REF = re.compile(r""\bCSO\b|cso_|CSO-style|CSO style"", re.I)",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/cfic_inventory_core.py,43,qla_core,engine_module,"QLA_CORE_REF = re.compile(r""qla_core"", re.I)",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,44,QLA_Migration,warren_project,"QLA_MIGRATION_REF = re.compile(r""QLA_Migration"", re.I)",MOVE_TO_CONFIG,REMOVE — out of scope,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,44,QLA_Migration,warren_project,"QLA_MIGRATION_REF = re.compile(r""QLA_Migration"", re.I)",MOVE_TO_CONFIG,REMOVE — out of scope,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,86,qla_core,engine_module,"qla_core_ref: str = ""N""",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,115,qla_core,engine_module,"""qla_core"": False,",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,137,qla_core,engine_module,"result[""qla_core""] = bool(QLA_CORE_REF.search(text))",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,221,output,output_folder,"""Generated output"", ""OCR text/image extract"", ""derived"", ""generated"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,225,output,output_folder,"""OCR output not authoritative"", """",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,308,extracted_reserve,legacy_staging,"if r.startswith(""extracted_reserve/""):",MOVE_TO_CONFIG,paths.staging,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,310,output,output_folder,"""Generated output"", ""Reserve DBF per-plan staging grid"", ""derived"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,316,extracted_plans,legacy_staging,"if r.startswith(""extracted_plans/""):",MOVE_TO_CONFIG,paths.staging,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,318,output,output_folder,"""Generated output"", ""Plans DBF staging export"", ""derived"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,323,extracted_pdf_rates,legacy_staging,"if r.startswith(""extracted_pdf_rates/""):",MOVE_TO_CONFIG,paths.staging,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,325,output,output_folder,"""Generated output"", ""PDF gross premium pilot staging"", ""derived"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,332,output,output_folder,"""Generated output"", ""Green-sheet OCR pilot staging"", ""derived"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,338,Output,output_folder,# Output Quik tables,MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,339,output,output_folder,"if (""output/rates/"" in r or ""output/rates/"" in r) and fn.startswith(""quik""):",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,341,output,output_folder,"""Generated output"", ""QLAdmin draft rate load CSV"", ""derived"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,343,output,output_folder,"""output/csv/draft_reserve_wave/"" + filename,",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,345,output,output_folder,"""draft Quik output not client-approved"", ""OBQ blockers"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,347,output,output_folder,"if (r.startswith(""output/"") or r.startswith(""output/"")) and fn == ""readme.md"":",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,349,Output,output_folder,"""Documentation"", ""Output folder README"", ""derived"", ""generated"",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,352,output,output_folder,"""COPY_AND_RENAME"", ""MEDIUM"", ""output readme"", """",",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
tools/inventory/cfic_inventory_core.py,649,qla_core,engine_module,"if scan.get(""qla_core""):",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,650,qla_core,engine_module,"rec.qla_core_ref = ""Y""",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/cfic_inventory_core.py,709,qla_core,engine_module,"""QLA_CORE_REFERENCE_INDICATOR"": rec.qla_core_ref,",REPLACE_WITH_ENGINE_API,engine.package,CIT-ENGINE-001,HIGH
tools/inventory/legacy__build_plan_rate_inventory.py,13,parents[1],parent_traversal,ROOT = Path(__file__).resolve().parents[1],MOVE_TO_CONFIG,paths.project_root,CIT-ARCH-001,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,22,CSO,cso_reference,"(""CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf"", 1, ""P7FN"", ""PermaLife 7 Juvenile"", ""Gross Premium;Cash Value;Paid-Up"", ""Female Nonsmoker ages 0-17"", ""Also",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,30,CSO,cso_reference,"(""CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf"", 6, ""HRWG"", ""Quest I"", ""Gross Premium"", ""Whole Life column ages 0-75"", ""Maps from RW8G; HR 2017 CSO""),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,43,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""RW8"", ""Whole Life"", ""Plan definition"", ""80 CSO whole life cash plan"", ""QL: 100RW8""),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,44,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""RW8G"", ""Whole Life"", ""Plan definition"", ""80 CSO; CV/loan/ETI; 8% loan"", ""QL: 10RW8G""),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,47,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""R28G"", ""20-Pay Life"", ""Plan definition"", ""80 CSO; CV/loan/ETI"", """"),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,48,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""R29G"", ""20-Pay Life"", ""Plan definition"", ""2001 CSO"", """"),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,50,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""R68G"", ""Pay to 65"", ""Plan definition"", ""80 CSO"", """"),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,51,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""R69G"", ""Pay to 65"", ""Plan definition"", ""2001 CSO"", """"),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
tools/inventory/legacy__build_plan_rate_inventory.py,52,CSO,cso_reference,"(""Quest_PermaLife_PlanCode_Rates.pdf"", 1, ""HR2G"", ""Quest / 20-Pay"", ""Plan definition"", ""2017 CSO 20-pay"", """"),",HISTORICAL_NO_CHANGE,N/A — documentation only,,MEDIUM
