PLAN,RATE_FAMILY,TYPE_CODE,VARIES_BY_GENDER,VARIES_BY_UWCLASS,VARIES_BY_BAND,VARIES_BY_STATE_COUNTRY,DISTINCT_GENDER_COUNT,DISTINCT_UWCLASS_COUNT,DISTINCT_BAND_COUNT,DISTINCT_STATE_COUNTRY_COUNT,SOURCE_ROW_COUNT,NOTES
1970JB,CASH_VALUE,CV,N,N,N,N,1,1,1,1,1163,sources=Emitted:QuikPlCv+Rate_Table
1970JB,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,96,sources=PAAGERAT
1970JB,DIVIDEND,DV,N,N,N,N,1,1,1,1,725,sources=Emitted:QuikPlDv+Rate_Table
1970JB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,16,sources=Emitted:QuikPlGp+PAAGERAT
1970JB,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlTv+Rate_Table
1970PA,CASH_VALUE,CV,N,N,N,N,1,1,1,1,86,sources=PAAGERAT
1970PA,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,101,sources=PAAGERAT
1991PL,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,6400,sources=Emitted:QuikPlCv+Rate_Table
1991PL,DIVIDEND,DV,Y,N,N,N,2,1,1,1,2832,sources=Emitted:QuikPlDv+Rate_Table
1991PL,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,62,sources=Emitted:QuikPlGp+PAAGERAT
1991PL,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,6442,sources=Emitted:QuikPlTv+Rate_Table
1CSIMN,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlCv+Rate_Table
1CSIMN,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,1186,sources=Emitted:QuikPlDb+Rate_Table
1CSIMN,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,62,sources=Emitted:QuikPlGp+PAAGERAT
1CSIMN,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlTv+Rate_Table
1L1095,CASH_VALUE,CV,Y,Y,N,N,2,3,1,1,29605,sources=Emitted:QuikPlCv+Rate_Table
1L1095,TERMINAL_RESERVE,RV,Y,Y,N,N,2,3,1,1,28914,sources=Emitted:QuikPlTv+Rate_Table
1L10OD,CASH_VALUE,CV,Y,Y,N,N,2,3,1,1,29269,sources=Emitted:QuikPlCv+Rate_Table
1L10PR,CASH_VALUE,CV,N,Y,N,N,1,3,1,1,14802,sources=Emitted:QuikPlCv+Rate_Table
1L10PR,GROSS_PREMIUM,PR,N,Y,Y,N,1,3,3,1,625,sources=Emitted:QuikPlGp+PAAGERAT
1L10SO,GROSS_PREMIUM,PR,Y,Y,Y,N,2,3,3,1,2658,sources=Emitted:QuikPlGp+PAAGERAT
1L10SR,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9204,sources=Emitted:QuikPlTv+Rate_Table
1L14SC,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2838,sources=Emitted:QuikPlCv+Rate_Table
1L14SC,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,270,sources=Emitted:QuikPlGp+PAAGERAT
1L14SC,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2876,sources=Emitted:QuikPlTv+Rate_Table
1L15GD,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2874,sources=Emitted:QuikPlCv+Rate_Table
1L15GD,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2888,sources=Emitted:QuikPlTv+Rate_Table
1L16GD,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,1684,sources=Emitted:QuikPlCv+Rate_Table
1L16GD,DEATH_BENEFIT,DB,Y,N,N,N,2,1,1,1,1682,sources=Emitted:QuikPlDb+Rate_Table
1L16GD,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,126,sources=Emitted:QuikPlGp+PAAGERAT
1L16GD,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,1692,sources=Emitted:QuikPlTv+Rate_Table
1OLPUA,CASH_VALUE,CV,N,N,N,N,1,1,1,1,100,sources=PAAGERAT
1POPUA,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,200,sources=PAAGERAT
1SALMI,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,67,sources=Emitted:QuikPlGp+PAAGERAT
1SALOL,CASH_VALUE,CV,N,N,N,N,1,1,1,1,4751,sources=Emitted:QuikPlCv+Rate_Table
1SALOL,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,137,sources=Emitted:QuikPlGp+PAAGERAT
1SALOL,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,4751,sources=Emitted:QuikPlTv+Rate_Table
221END,CASH_VALUE,CV,N,N,N,N,1,1,1,1,2166,sources=Emitted:QuikPlCv+Rate_Table
221END,DIVIDEND,DV,N,N,N,N,1,1,1,1,2099,sources=Emitted:QuikPlDv+Rate_Table
221END,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,4372,sources=Emitted:QuikPlTv+Rate_Table
222END,CASH_VALUE,CV,N,N,N,N,1,1,1,1,3657,sources=Emitted:QuikPlCv+Rate_Table
222END,DIVIDEND,DV,N,N,N,N,1,1,1,1,1221,sources=Emitted:QuikPlDv+Rate_Table
222END,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,6712,sources=Emitted:QuikPlTv+Rate_Table
261PUA,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,132,sources=PAAGERAT
261PUA,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,114,sources=Emitted:QuikPlGp+PAAGERAT
265PUA,CASH_VALUE,CV,N,N,N,N,1,1,1,1,96,sources=PAAGERAT
2665ST,CASH_VALUE,CV,N,N,N,N,1,1,1,1,3480,sources=Emitted:QuikPlCv+Rate_Table
2665ST,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,5101,sources=Emitted:QuikPlDb+Rate_Table
2665ST,DIVIDEND,DV,N,N,N,N,1,1,1,1,1801,sources=Emitted:QuikPlDv+Rate_Table
2665ST,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+Rate_Table
2665ST,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,7142,sources=Emitted:QuikPlTv+Rate_Table
280END,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,4145,sources=Emitted:QuikPlCv+Rate_Table
280END,DIVIDEND,DV,Y,N,N,N,2,1,1,1,3718,sources=Emitted:QuikPlDv+Rate_Table
280END,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,4202,sources=Emitted:QuikPlTv+Rate_Table
280PUA,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,132,sources=PAAGERAT
280PUA,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,114,sources=Emitted:QuikPlGp+PAAGERAT
2961ME,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,4071,sources=Emitted:QuikPlCv+Rate_Table
2961ME,DIVIDEND,DV,Y,N,N,N,2,1,1,1,3146,sources=Emitted:QuikPlDv+Rate_Table
2961ME,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,4202,sources=Emitted:QuikPlTv+Rate_Table
528CTR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,20,sources=Emitted:QuikPlGp+PAAGERAT
528CTR,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,2,sources=Emitted:QuikPlTv+Rate_Table
542STR,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,48,sources=PAAGERAT
542STR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,39,sources=Emitted:QuikPlGp+PAAGERAT
542STR,TERMINAL_RESERVE,RV,N,Y,N,N,1,2,1,1,90,sources=Emitted:QuikPlTv+Rate_Table
543CTR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
543CTR,TERMINAL_RESERVE,RV,N,Y,N,N,1,2,1,1,4,sources=Emitted:QuikPlTv+Rate_Table
560STR,CASH_VALUE,CV,N,N,N,N,1,1,1,1,931,sources=Emitted:QuikPlCv+Rate_Table
560STR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,33,sources=Emitted:QuikPlGp+PAAGERAT
560STR,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,1072,sources=Emitted:QuikPlTv+Rate_Table
5646AT,DIVIDEND,DV,N,N,N,N,1,1,1,1,806,sources=Emitted:QuikPlDv+Rate_Table
5646AT,GROSS_PREMIUM,PR,N,Y,Y,N,1,2,2,1,205,sources=Emitted:QuikPlGp+PAAGERAT
5646AT,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,84,sources=Emitted:QuikPlTv+Rate_Table
5667AT,GROSS_PREMIUM,PR,N,Y,Y,N,1,2,3,1,415,sources=Emitted:QuikPlGp+PAAGERAT
578CTR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
578STR,CASH_VALUE,CV,N,N,N,N,1,1,1,1,1007,sources=Emitted:QuikPlCv+Rate_Table
578STR,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,48,sources=PAAGERAT
578STR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,42,sources=Emitted:QuikPlGp+PAAGERAT
578STR,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2020,sources=Emitted:QuikPlTv+Rate_Table
57ATCR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,76,sources=Emitted:QuikPlGp+PAAGERAT
5CDT10,TERMINAL_RESERVE,RV,Y,Y,N,N,2,3,1,1,12,sources=Emitted:QuikPlTv+Rate_Table
5L0110,GROSS_PREMIUM,PR,Y,Y,Y,N,2,2,3,1,936,sources=Emitted:QuikPlGp+PAAGERAT
5L01MA,GROSS_PREMIUM,PR,N,N,Y,N,1,1,3,1,9723,sources=Emitted:QuikPlGp+Rate_Table
5L01MA,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,4,sources=Emitted:QuikPlTv+Rate_Table
5L0510,GROSS_PREMIUM,PR,Y,Y,Y,N,2,2,3,1,816,sources=Emitted:QuikPlGp+PAAGERAT
5L075Y,GROSS_PREMIUM,PR,Y,Y,Y,N,2,2,3,1,1032,sources=Emitted:QuikPlGp+PAAGERAT
719CDT,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,23,sources=PAAGERAT
719CDT,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,24,sources=Emitted:QuikPlGp+PAAGERAT
719CTR,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,48,sources=Emitted:QuikPlTv+Rate_Table
719SDT,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,92,sources=Emitted:QuikPlTv+Rate_Table
7619DT,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,66,sources=PAAGERAT
7619DT,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,61,sources=Emitted:QuikPlGp+PAAGERAT
7619DT,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,124,sources=Emitted:QuikPlTv+Rate_Table
7619PU,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,66,sources=PAAGERAT
7619PU,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,61,sources=Emitted:QuikPlGp+PAAGERAT
7619PU,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,3820,sources=Emitted:QuikPlTv+PAAGERAT+Rate_Table
7647FP,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,49,sources=PAAGERAT
7647FP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
7647FP,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2188,sources=Emitted:QuikPlTv+Rate_Table
7647SP,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,49,sources=PAAGERAT
7686S3,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,31,sources=Emitted:QuikPlDb+Rate_Table
7686S3,TERMINAL_RESERVE,RV,Y,Y,N,N,2,2,1,1,3406,sources=Emitted:QuikPlTv+Rate_Table
7687J3,GROSS_PREMIUM,PR,Y,Y,Y,N,2,2,2,1,328,sources=Emitted:QuikPlGp+PAAGERAT
7687J3,TERMINAL_RESERVE,RV,Y,N,N,N,3,1,1,1,2391,sources=Emitted:QuikPlTv+Rate_Table
7690DT,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,66,sources=PAAGERAT
7690DT,DIVIDEND,DV,N,N,N,N,1,1,1,1,52,sources=Emitted:QuikPlDv+Rate_Table
7690DT,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
7690DT,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,678,sources=Emitted:QuikPlTv+Rate_Table
778FTR,TERMINAL_RESERVE,RV,N,Y,N,N,1,2,1,1,103,sources=Emitted:QuikPlTv+Rate_Table
7SDT10,TERMINAL_RESERVE,RV,Y,Y,N,N,2,3,1,1,270,sources=Emitted:QuikPlTv+Rate_Table
901ADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,52,sources=Emitted:QuikPlGp+PAAGERAT
9065WP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,84,sources=Emitted:QuikPlGp+PAAGERAT
9085WP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,84,sources=Emitted:QuikPlGp+PAAGERAT
90OLWP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,84,sources=Emitted:QuikPlGp+PAAGERAT
90PDTH,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,12,sources=Emitted:QuikPlGp+PAAGERAT
910RWP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,76,sources=Emitted:QuikPlGp+PAAGERAT
910SWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
920ADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
934JWP,GROSS_PREMIUM,PR,N,Y,N,N,1,2,1,1,54,sources=Emitted:QuikPlGp+PAAGERAT
934SWP,GROSS_PREMIUM,PR,Y,Y,N,N,2,2,1,1,178,sources=Emitted:QuikPlGp+PAAGERAT
943CWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9595WP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,86,sources=Emitted:QuikPlGp+PAAGERAT
960CWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,20,sources=Emitted:QuikPlGp+PAAGERAT
960GIO,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,39,sources=Emitted:QuikPlGp+PAAGERAT
960SWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,33,sources=Emitted:QuikPlGp+PAAGERAT
965ADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,37,sources=Emitted:QuikPlGp+PAAGERAT
9665WP,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,74,sources=Emitted:QuikPlGp+PAAGERAT
967ADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,100,sources=Emitted:QuikPlGp+PAAGERAT
977ADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,47,sources=Emitted:QuikPlGp+PAAGERAT
980JPO,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,23,sources=Emitted:QuikPlGp+PAAGERAT
982JPO,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,20,sources=Emitted:QuikPlGp+PAAGERAT
9CDTWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9CTRWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9DIS20,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9DIS24,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9DIS25,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+Rate_Table
9DIS29,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9DIS70,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,4,sources=Emitted:QuikPlGp+Rate_Table
9DIS80,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9DIS90,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+Rate_Table
9DS24B,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9DS24C,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,11,sources=Emitted:QuikPlGp+Rate_Table
9FTRWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9GPO79,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,42,sources=Emitted:QuikPlGp+PAAGERAT
9JPO46,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,23,sources=Emitted:QuikPlGp+PAAGERAT
9L01WP,GROSS_PREMIUM,PR,Y,Y,N,N,2,2,1,1,172,sources=Emitted:QuikPlGp+PAAGERAT
9L05WP,GROSS_PREMIUM,PR,Y,Y,N,N,2,2,1,1,172,sources=Emitted:QuikPlGp+PAAGERAT
9L16PF,DEATH_BENEFIT,DB,Y,N,N,N,2,1,1,1,7,sources=Emitted:QuikPlDb+Rate_Table
9OLDWP,GROSS_PREMIUM,PR,Y,Y,Y,N,2,3,2,1,228,sources=Emitted:QuikPlGp+PAAGERAT
9POADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,53,sources=Emitted:QuikPlGp+PAAGERAT
9SLADB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9STRWP,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
9WP646,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,41,sources=Emitted:QuikPlGp+PAAGERAT
9WPL10,GROSS_PREMIUM,PR,Y,Y,Y,N,2,3,2,1,228,sources=Emitted:QuikPlGp+PAAGERAT
A60MIR,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,1231,sources=Emitted:QuikPlDb+Rate_Table
A60MIR,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,114,sources=Emitted:QuikPlGp+PAAGERAT
A60MIR,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,1693,sources=Emitted:QuikPlTv+Rate_Table
A96DAR,CASH_VALUE,CV,N,N,N,N,1,1,1,1,2041,sources=Emitted:QuikPlCv+Rate_Table
A96DAR,DIVIDEND,DV,N,N,N,N,1,1,1,1,2041,sources=Emitted:QuikPlDv+Rate_Table
A96DAR,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,118,sources=Emitted:QuikPlGp+PAAGERAT
A96DAR,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,42,sources=Emitted:QuikPlTv+Rate_Table
