PLAN,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,UPDATE_REASON
1L10OD,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,UWVARYCV"
1L10PR,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,UWVARYCV,UWVARYGP"
1L10SO,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
1L10SR,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
1L14SC,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV"
1L15GD,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYTV"
1L16GD,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDB,GDVARYGP,GDVARYTV"
1OLPUA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
1POPUA,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYCV
1SALMI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
1SALOL,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
221END,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
222END,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
261PUA,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP"
265PUA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
2665ST,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
280END,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
280PUA,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYGP"
2961ME,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYCV,GDVARYDV,GDVARYTV"
528CTR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
542STR,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: UWVARYTV
543CTR,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: UWVARYTV
560STR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
5646AT,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYTV,UWVARYGP"
5667AT,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,UWVARYGP"
578CTR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
578STR,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
57ATCR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
5CDT10,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYTV,UWVARYTV"
5L0110,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
5L01MA,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYTV"
5L0510,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
5L075Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
719CDT,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
719CTR,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
719SDT,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
7619DT,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
7619PU,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
7647FP,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
7647SP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
7686S3,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYTV,UWVARYTV"
7687J3,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,GDVARYTV,UWVARYGP"
7690DT,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYTV
778FTR,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: UWVARYTV
7SDT10,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYTV,UWVARYTV"
901ADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9065WP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
9085WP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
90OLWP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
90PDTH,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
910RWP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
910SWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
920ADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
934JWP,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: UWVARYGP
934SWP,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYGP,UWVARYGP"
943CWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9595WP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
960CWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
960GIO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
960SWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
965ADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9665WP,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
967ADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
977ADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
980JPO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
982JPO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9CDTWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9CTRWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS20,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS24,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS29,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS70,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS80,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DIS90,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DS24B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9DS24C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9FTRWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9GPO79,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9JPO46,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9L01WP,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYGP,UWVARYGP"
9L05WP,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"rate segmentation: GDVARYGP,UWVARYGP"
9L16PF,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYDB
9OLDWP,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
9POADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9SLADB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9STRWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9WP646,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
9WPL10,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"rate segmentation: BDVARYGP,GDVARYGP,UWVARYGP"
A60MIR,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rate segmentation: GDVARYGP
A96DAR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,no variation detected
