sheet,row,policy_form,rate_type_col,col,segment,assessment
Non-ISWL,12,670 GL85-8,Dividends (DV),D,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Reserve Factors (RV),F,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Net Valuation Premiums (NP),G,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Non-Forfeiture Factors (NF),H,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Non-Deduction Reserve  (NN),I,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Non-Ded Valuation Prem (PN),J,670 GL85-8,dark_green
Non-ISWL,12,670 GL85-8,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,12,670 GL85-8,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,12,670 GL85-8,Notify Messages/Letters (NT),O,AGE 88,none
Non-ISWL,12,670 GL85-8,Commissions(CC),P,DA3,none
Non-ISWL,12,670 GL85-8,Ext Term/Reduced Paid Up (ET),S,670 GL85-8,none
Non-ISWL,12,670 GL85-8,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,12,670 GL85-8,Dividend Option Setup,W,LIFE,none
Non-ISWL,12,670 GL85-8,Billng Setup (BS),X,LIFE,none
Non-ISWL,12,670 GL85-8,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,13,L01 10Y LT,Premiums (PR),B,L01 10Y LT,dark_green
Non-ISWL,13,L01 10Y LT,Reserve Factors (RV),F,L01 10Y,red
Non-ISWL,13,L01 10Y LT,Net Valuation Premiums (NP),G,L01 10Y,red
Non-ISWL,13,L01 10Y LT,Non-Deduction Reserve  (NN),I,L01 10Y,none
Non-ISWL,13,L01 10Y LT,Non-Ded Valuation Prem (PN),J,L01 10Y,none
Non-ISWL,13,L01 10Y LT,Notify Messages/Letters (NT),O,10YR LV TM,none
Non-ISWL,13,L01 10Y LT,Commissions(CC),P,DA9,none
Non-ISWL,14,L14,Premiums (PR),B,L14,dark_green
Non-ISWL,14,L14,Cash Values (CV),C,L14,dark_green
Non-ISWL,14,L14,Reserve Factors (RV),F,L14,dark_green
Non-ISWL,14,L14,Net Valuation Premiums (NP),G,L14,dark_green
Non-ISWL,14,L14,Non-Forfeiture Factors (NF),H,L14,dark_green
Non-ISWL,14,L14,Non-Deduction Reserve  (NN),I,L14L15,none
Non-ISWL,14,L14,Non-Ded Valuation Prem (PN),J,L14L15,none
Non-ISWL,14,L14,Loan Interest Rates (LN),M,L14,none
Non-ISWL,14,L14,"Endowment,Deposit Return (RD)",N,L14,dark_green
Non-ISWL,14,L14,Commissions(CC),P,DB2,none
Non-ISWL,14,L14,Retention Limits (RE),Q,L14,none
Non-ISWL,14,L14,Treaty Selection (TR),R,L14,none
Non-ISWL,14,L14,Ext Term/Reduced Paid Up (ET),S,L14,none
Non-ISWL,14,L14,IBA Accounts (IB),T,L14,none
Non-ISWL,14,L14,New Business Defaults (NB),U,L14,none
Non-ISWL,14,L14,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,14,L14,Billng Setup (BS),X,LIFE,none
Non-ISWL,14,L14,Non Forfeiture Rules (NO),Z,L14,none
Non-ISWL,15,DISCHO29,Premiums (PR),B,DISCHO29,peach
Non-ISWL,15,DISCHO29,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,15,DISCHO29,Commissions(CC),P,AA1,none
Non-ISWL,16,SAL ML,Premiums (PR),B,SAL ML,dark_green
Non-ISWL,16,SAL ML,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,16,SAL ML,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,16,SAL ML,Commissions(CC),P,AA1,none
Non-ISWL,16,SAL ML,Ext Term/Reduced Paid Up (ET),S,SAL OL,none
Non-ISWL,16,SAL ML,IBA Accounts (IB),T,SAL,none
Non-ISWL,16,SAL ML,Dividend Option Setup,W,LIFE,none
Non-ISWL,16,SAL ML,Billng Setup (BS),X,LIFE,none
Non-ISWL,16,SAL ML,Fund Package (F0),Y,SAL ML,none
Non-ISWL,16,SAL ML,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,17,SAL MULTPL,Premiums (PR),B,SAL MULTPL,dark_green
Non-ISWL,17,SAL MULTPL,Reserve Factors (RV),F,SAL OL,dark_green
Non-ISWL,17,SAL MULTPL,Net Valuation Premiums (NP),G,SAL OL,dark_green
Non-ISWL,17,SAL MULTPL,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,17,SAL MULTPL,Commissions(CC),P,BASE,none
Non-ISWL,17,SAL MULTPL,Ext Term/Reduced Paid Up (ET),S,SAL OL,none
Non-ISWL,18,SAL ADB,Premiums (PR),B,SAL ADB,dark_green
Non-ISWL,18,SAL ADB,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,18,SAL ADB,Commissions(CC),P,BASE,none
Non-ISWL,19,667 ART,Premiums (PR),B,667 ART,dark_green
Non-ISWL,19,667 ART,Reserve Factors (RV),F,667 ART,red
Non-ISWL,19,667 ART,Net Valuation Premiums (NP),G,667 ART,dark_green
Non-ISWL,19,667 ART,Notify Messages/Letters (NT),O,ART,none
Non-ISWL,19,667 ART,Commissions(CC),P,GA4,none
Non-ISWL,20,1595,Premiums (PR),B,1595,dark_green
Non-ISWL,20,1595,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,20,1595,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,20,1595,Commissions(CC),P,BASE,none
Non-ISWL,21,1596 667,Premiums (PR),B,1596 667,dark_green
Non-ISWL,21,1596 667,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,21,1596 667,Commissions(CC),P,BASE,none
Non-ISWL,22,670 GL85-M,Premiums (PR),B,GL LP85,purple
Non-ISWL,22,670 GL85-M,Cash Values (CV),C,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Dividends (DV),D,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Reserve Factors (RV),F,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Net Valuation Premiums (NP),G,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Non-Forfeiture Factors (NF),H,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Non-Deduction Reserve  (NN),I,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Non-Ded Valuation Prem (PN),J,670 GL85-8,dark_green
Non-ISWL,22,670 GL85-M,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,22,670 GL85-M,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,22,670 GL85-M,Notify Messages/Letters (NT),O,AGE 85,none
Non-ISWL,22,670 GL85-M,Commissions(CC),P,DA3,none
Non-ISWL,22,670 GL85-M,Ext Term/Reduced Paid Up (ET),S,670 GL85-8,none
Non-ISWL,22,670 GL85-M,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,22,670 GL85-M,Dividend Option Setup,W,LIFE,none
Non-ISWL,22,670 GL85-M,Billng Setup (BS),X,LIFE,none
Non-ISWL,22,670 GL85-M,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,23,L10 OLD,Premiums (PR),B,L10 PRE97,dark_green
Non-ISWL,23,L10 OLD,Cash Values (CV),C,L10 PRE97,dark_green
Non-ISWL,23,L10 OLD,Reserve Factors (RV),F,L10 LP95,dark_green
Non-ISWL,23,L10 OLD,Net Valuation Premiums (NP),G,L10 LP95,dark_green
Non-ISWL,23,L10 OLD,Non-Forfeiture Factors (NF),H,L10 PRE97,dark_green
Non-ISWL,23,L10 OLD,Non-Deduction Reserve  (NN),I,L10 LP95,dark_green
Non-ISWL,23,L10 OLD,Non-Ded Valuation Prem (PN),J,L10 LP95,dark_green
Non-ISWL,23,L10 OLD,Loan Interest Rates (LN),M,L10 PRE97,none
Non-ISWL,23,L10 OLD,"Endowment,Deposit Return (RD)",N,L10 PRE97,none
Non-ISWL,23,L10 OLD,Notify Messages/Letters (NT),O,AGE 95,none
Non-ISWL,23,L10 OLD,Commissions(CC),P,BA2,none
Non-ISWL,23,L10 OLD,Ext Term/Reduced Paid Up (ET),S,L10 PRE97,none
Non-ISWL,23,L10 OLD,IBA Accounts (IB),T,L10 LP95,none
Non-ISWL,23,L10 OLD,New Business Defaults (NB),U,L10 PRE97,none
Non-ISWL,23,L10 OLD,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,23,L10 OLD,Billng Setup (BS),X,LIFE,none
Non-ISWL,23,L10 OLD,Non Forfeiture Rules (NO),Z,L10 PREUNI,none
Non-ISWL,24,L10 WP OLD,Premiums (PR),B,L10 WP OLD,dark_green
Non-ISWL,24,L10 WP OLD,Death Benefits (DB),E,L10ZERO,light_green
Non-ISWL,24,L10 WP OLD,Reserve Factors (RV),F,WPAD 34 4,red
Non-ISWL,24,L10 WP OLD,Net Valuation Premiums (NP),G,WPAD 34 4,red
Non-ISWL,24,L10 WP OLD,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,24,L10 WP OLD,Commissions(CC),P,BASE,none
Non-ISWL,25,DISCHO247C,Premiums (PR),B,DISCHO247C,peach
Non-ISWL,25,DISCHO247C,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,25,DISCHO247C,Commissions(CC),P,AA1,none
Non-ISWL,26,L10 SR OLD,Premiums (PR),B,L10SR OLD,purple
Non-ISWL,26,L10 SR OLD,Cash Values (CV),C,L10 PRE97,dark_green
Non-ISWL,26,L10 SR OLD,Reserve Factors (RV),F,L10 LP95SR,dark_green
Non-ISWL,26,L10 SR OLD,Net Valuation Premiums (NP),G,L10 LP95SR,dark_green
Non-ISWL,26,L10 SR OLD,Non-Deduction Reserve  (NN),I,L10 LP95SR,dark_green
Non-ISWL,26,L10 SR OLD,Non-Ded Valuation Prem (PN),J,L10 LP95SR,dark_green
Non-ISWL,26,L10 SR OLD,Loan Interest Rates (LN),M,L10 PRE97,none
Non-ISWL,26,L10 SR OLD,"Endowment,Deposit Return (RD)",N,L10 PRE97,none
Non-ISWL,26,L10 SR OLD,Notify Messages/Letters (NT),O,AGE 95,none
Non-ISWL,26,L10 SR OLD,Commissions(CC),P,BA2,none
Non-ISWL,26,L10 SR OLD,Ext Term/Reduced Paid Up (ET),S,L10 PRE97,none
Non-ISWL,26,L10 SR OLD,IBA Accounts (IB),T,L10 LP95,none
Non-ISWL,26,L10 SR OLD,New Business Defaults (NB),U,L10 PRE97,none
Non-ISWL,26,L10 SR OLD,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,26,L10 SR OLD,Billng Setup (BS),X,LIFE,none
Non-ISWL,26,L10 SR OLD,Non Forfeiture Rules (NO),Z,L10 PREUNI,none
Non-ISWL,27,L10 LP95SR,Premiums (PR),B,L10 LP95SR,dark_green
Non-ISWL,27,L10 LP95SR,Cash Values (CV),C,L10 LP95,dark_green
Non-ISWL,27,L10 LP95SR,Reserve Factors (RV),F,L10SR 95,red
Non-ISWL,27,L10 LP95SR,Net Valuation Premiums (NP),G,L10SR 95,red
Non-ISWL,27,L10 LP95SR,Non-Forfeiture Factors (NF),H,L10 LP95,dark_green
Non-ISWL,27,L10 LP95SR,Non-Deduction Reserve  (NN),I,L10 LP95SR,dark_green
Non-ISWL,27,L10 LP95SR,Non-Ded Valuation Prem (PN),J,L10 LP95SR,dark_green
Non-ISWL,27,L10 LP95SR,Tax Reserve Factors (TX),K,L10 LP95,none
Non-ISWL,27,L10 LP95SR,Tax Valuation Premiums (TP),L,L10 LP95,none
Non-ISWL,27,L10 LP95SR,Loan Interest Rates (LN),M,L10 PRE97,none
Non-ISWL,27,L10 LP95SR,"Endowment,Deposit Return (RD)",N,L10 PRE97,none
Non-ISWL,27,L10 LP95SR,Notify Messages/Letters (NT),O,AGE 95,none
Non-ISWL,27,L10 LP95SR,Commissions(CC),P,BA2,none
Non-ISWL,27,L10 LP95SR,Ext Term/Reduced Paid Up (ET),S,L10 PRE97,none
Non-ISWL,27,L10 LP95SR,IBA Accounts (IB),T,L10 LP95,none
Non-ISWL,27,L10 LP95SR,New Business Defaults (NB),U,L10 PRE97,none
Non-ISWL,27,L10 LP95SR,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,27,L10 LP95SR,Billng Setup (BS),X,LIFE,none
Non-ISWL,27,L10 LP95SR,Non Forfeiture Rules (NO),Z,L10 PREUNI,none
Non-ISWL,28,960 OL,Premiums (PR),B,960 OL,dark_green
Non-ISWL,28,960 OL,Cash Values (CV),C,960 OL,dark_green
Non-ISWL,28,960 OL,Dividends (DV),D,960 OL,dark_green
Non-ISWL,28,960 OL,Reserve Factors (RV),F,960 OL,dark_green
Non-ISWL,28,960 OL,Net Valuation Premiums (NP),G,960 OL,dark_green
Non-ISWL,28,960 OL,Non-Deduction Reserve  (NN),I,960 OL,dark_green
Non-ISWL,28,960 OL,Non-Ded Valuation Prem (PN),J,960 OL,dark_green
Non-ISWL,28,960 OL,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,28,960 OL,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,28,960 OL,Commissions(CC),P,DA2,none
Non-ISWL,28,960 OL,Ext Term/Reduced Paid Up (ET),S,960 OL,none
Non-ISWL,28,960 OL,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,28,960 OL,Dividend Option Setup,W,LIFE,none
Non-ISWL,28,960 OL,Billng Setup (BS),X,LIFE,none
Non-ISWL,28,960 OL,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,29,0823 960OL,Premiums (PR),B,0823 960OL,dark_green
Non-ISWL,29,0823 960OL,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,29,0823 960OL,Reserve Factors (RV),F,WPAD061 2,red
Non-ISWL,29,0823 960OL,Net Valuation Premiums (NP),G,WPAD061 2,red
Non-ISWL,29,0823 960OL,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,29,0823 960OL,Commissions(CC),P,BASE,none
Non-ISWL,30,0824 P DIS,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,30,0824 P DIS,Commissions(CC),P,BASE,none
Non-ISWL,31,0824 P DTH,Premiums (PR),B,0824 P DTH,dark_green
Non-ISWL,31,0824 P DTH,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,31,0824 P DTH,Reserve Factors (RV),F,ZERO LIFE,light_green
Non-ISWL,31,0824 P DTH,Net Valuation Premiums (NP),G,0824 P DTH,red
Non-ISWL,31,0824 P DTH,Commissions(CC),P,BASE,none
Non-ISWL,32,960 PO,Premiums (PR),B,960 PO,dark_green
Non-ISWL,32,960 PO,Cash Values (CV),C,960 PO,dark_green
Non-ISWL,32,960 PO,Dividends (DV),D,960 PO,dark_green
Non-ISWL,32,960 PO,Reserve Factors (RV),F,960 PO,dark_green
Non-ISWL,32,960 PO,Net Valuation Premiums (NP),G,960 PO,dark_green
Non-ISWL,32,960 PO,Non-Deduction Reserve  (NN),I,960 PO,dark_green
Non-ISWL,32,960 PO,Non-Ded Valuation Prem (PN),J,960 PO,dark_green
Non-ISWL,32,960 PO,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,32,960 PO,"Endowment,Deposit Return (RD)",N,ENDOW103F,none
Non-ISWL,32,960 PO,Commissions(CC),P,CA8,none
Non-ISWL,32,960 PO,Ext Term/Reduced Paid Up (ET),S,960 PO,none
Non-ISWL,32,960 PO,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,32,960 PO,Dividend Option Setup,W,LIFE,none
Non-ISWL,32,960 PO,Billng Setup (BS),X,LIFE,none
Non-ISWL,32,960 PO,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,33,0823 960PO,Premiums (PR),B,WP 960PO,purple
Non-ISWL,33,0823 960PO,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,33,0823 960PO,Reserve Factors (RV),F,WPAD061 2,red
Non-ISWL,33,0823 960PO,Net Valuation Premiums (NP),G,WPAD061 2,red
Non-ISWL,33,0823 960PO,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,33,0823 960PO,Commissions(CC),P,BASE,none
Non-ISWL,34,0822 960PO,Premiums (PR),B,0822 960PO,dark_green
Non-ISWL,34,0822 960PO,Reserve Factors (RV),F,ADB 25 65,red
Non-ISWL,34,0822 960PO,Net Valuation Premiums (NP),G,ADB 25 65,red
Non-ISWL,34,0822 960PO,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,34,0822 960PO,Commissions(CC),P,BASE,none
Non-ISWL,35,L17,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,35,L17,Loan Interest Rates (LN),M,L17,none
Non-ISWL,35,L17,Commissions(CC),P,AA1,none
Non-ISWL,35,L17,New Business Defaults (NB),U,L17,none
Non-ISWL,36,L17 1,Premiums (PR),B,L17,purple
Non-ISWL,36,L17 1,Cash Values (CV),C,L17,red
Non-ISWL,36,L17 1,Reserve Factors (RV),F,L17,red
Non-ISWL,36,L17 1,Net Valuation Premiums (NP),G,L17,red
Non-ISWL,36,L17 1,Loan Interest Rates (LN),M,L17,none
Non-ISWL,36,L17 1,"Endowment,Deposit Return (RD)",N,L17,none
Non-ISWL,36,L17 1,Commissions(CC),P,IB1,none
Non-ISWL,37,L17 1 JPO,Premiums (PR),B,L17,purple
Non-ISWL,37,L17 1 JPO,Cash Values (CV),C,L17,red
Non-ISWL,37,L17 1 JPO,Reserve Factors (RV),F,L17,red
Non-ISWL,37,L17 1 JPO,Net Valuation Premiums (NP),G,L17,red
Non-ISWL,37,L17 1 JPO,Loan Interest Rates (LN),M,L17,none
Non-ISWL,37,L17 1 JPO,"Endowment,Deposit Return (RD)",N,L17,none
Non-ISWL,37,L17 1 JPO,Commissions(CC),P,IB1,none
Non-ISWL,38,L17 2+,Premiums (PR),B,L17 2+,dark_green
Non-ISWL,38,L17 2+,Cash Values (CV),C,L17,red
Non-ISWL,38,L17 2+,Reserve Factors (RV),F,L17,red
Non-ISWL,38,L17 2+,Net Valuation Premiums (NP),G,L17,red
Non-ISWL,38,L17 2+,Loan Interest Rates (LN),M,L17,none
Non-ISWL,38,L17 2+,"Endowment,Deposit Return (RD)",N,L17,none
Non-ISWL,38,L17 2+,Commissions(CC),P,IB1,none
Non-ISWL,39,L17 2+ JPO,Premiums (PR),B,L17 2+,dark_green
Non-ISWL,39,L17 2+ JPO,Cash Values (CV),C,L17,red
Non-ISWL,39,L17 2+ JPO,Reserve Factors (RV),F,L17,red
Non-ISWL,39,L17 2+ JPO,Net Valuation Premiums (NP),G,L17,red
Non-ISWL,39,L17 2+ JPO,Loan Interest Rates (LN),M,L17,none
Non-ISWL,39,L17 2+ JPO,"Endowment,Deposit Return (RD)",N,L17,none
Non-ISWL,39,L17 2+ JPO,Commissions(CC),P,IB1,none
Non-ISWL,40,8286 GI 1,Premiums (PR),B,8286 GI,purple
Non-ISWL,40,8286 GI 1,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,40,8286 GI 1,Notify Messages/Letters (NT),O,8286 GI,none
Non-ISWL,40,8286 GI 1,Commissions(CC),P,IB2,none
Non-ISWL,41,8286 GI 2+,Premiums (PR),B,8286 GI 2+,purple
Non-ISWL,41,8286 GI 2+,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,41,8286 GI 2+,Notify Messages/Letters (NT),O,8286 GI,none
Non-ISWL,41,8286 GI 2+,Commissions(CC),P,IB2,none
Non-ISWL,42,L05,Premiums (PR),B,L05 10 Y LT,dark_green
Non-ISWL,42,L05,Reserve Factors (RV),F,L05 10Y,red
Non-ISWL,42,L05,Net Valuation Premiums (NP),G,L05 10Y,red
Non-ISWL,42,L05,Notify Messages/Letters (NT),O,10 YR LV TM,none
Non-ISWL,42,L05,Commissions(CC),P,HA1,none
Non-ISWL,43,8115,Premiums (PR),B,8115,dark_green
Non-ISWL,43,8115,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,43,8115,Commissions(CC),P,BASE,none
Non-ISWL,44,1596,Premiums (PR),B,1596,dark_green
Non-ISWL,44,1596,Reserve Factors (RV),F,ADB 25 69,red
Non-ISWL,44,1596,Net Valuation Premiums (NP),G,ADB 25 69,red
Non-ISWL,44,1596,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,44,1596,Commissions(CC),P,BASE,none
Non-ISWL,45,960 LP65,Premiums (PR),B,960 LP65,dark_green
Non-ISWL,45,960 LP65,Cash Values (CV),C,960 LP65,dark_green
Non-ISWL,45,960 LP65,Dividends (DV),D,960 LP65,dark_green
Non-ISWL,45,960 LP65,Reserve Factors (RV),F,960 LP65,dark_green
Non-ISWL,45,960 LP65,Net Valuation Premiums (NP),G,960 LP65,dark_green
Non-ISWL,45,960 LP65,Non-Deduction Reserve  (NN),I,960 LP65,dark_green
Non-ISWL,45,960 LP65,Non-Ded Valuation Prem (PN),J,960 LP65,dark_green
Non-ISWL,45,960 LP65,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,45,960 LP65,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,45,960 LP65,Notify Messages/Letters (NT),O,AGE 65,none
Non-ISWL,45,960 LP65,Commissions(CC),P,DA1,none
Non-ISWL,45,960 LP65,Ext Term/Reduced Paid Up (ET),S,960 LP65,none
Non-ISWL,45,960 LP65,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,45,960 LP65,Dividend Option Setup,W,LIFE,none
Non-ISWL,45,960 LP65,Billng Setup (BS),X,LIFE,none
Non-ISWL,45,960 LP65,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,46,0823 960LP,Premiums (PR),B,0823 960LP,dark_green
Non-ISWL,46,0823 960LP,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,46,0823 960LP,Reserve Factors (RV),F,WPAD061 1,red
Non-ISWL,46,0823 960LP,Net Valuation Premiums (NP),G,WPAD061 1,red
Non-ISWL,46,0823 960LP,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,46,0823 960LP,Commissions(CC),P,BASE,none
Non-ISWL,47,0822 960,Premiums (PR),B,0822 960 PO,dark_green
Non-ISWL,47,0822 960,Reserve Factors (RV),F,ADB 25 5,red
Non-ISWL,47,0822 960,Net Valuation Premiums (NP),G,ADB 25 5,red
