extract,coverage_id,type_code,row_count,status
PDAGE_20260714,960 LP85-M,DV,0,ABSENT
PDAGE_20260714,960 LP85-M,NP,0,ABSENT
PDAGE_20260714,960 LP85-M,PR,0,ABSENT
PDAGE_20260714,960 LP85-M,RV,0,ABSENT
PDAGE_20260714,L01 10Y,CV,0,MISSING_TYPE
PDAGE_20260714,L01 10Y,NN,8256,PRESENT
PDAGE_20260714,L01 10Y,NP,5088,PRESENT
PDAGE_20260714,L01 10Y,PN,8256,PRESENT
PDAGE_20260714,L01 10Y,PR,0,MISSING_TYPE
PDAGE_20260714,L01 10Y,RV,5088,PRESENT
PDAGE_20260714,L01 10Y LT,CV,0,ABSENT
PDAGE_20260714,L01 10Y LT,NP,0,ABSENT
PDAGE_20260714,L01 10Y LT,PR,0,ABSENT
PDAGE_20260714,L01 10Y LT,RV,0,ABSENT
PDAGE_20260714,L10 GPO,NP,0,ABSENT
PDAGE_20260714,L10 GPO,PR,0,ABSENT
PDAGE_20260714,L10 GPO,RV,0,ABSENT
PDAGE_20260714,L10 GPO OL,DB,0,ABSENT
PDAGE_20260714,L10 GPO OL,NP,0,ABSENT
PDAGE_20260714,L10 GPO OL,PR,0,ABSENT
PDAGE_20260714,L10 GPO OL,RV,0,ABSENT
PDAGE_20260714,L10 LP95,CV,3192,PRESENT
PDAGE_20260714,L10 LP95,NF,3192,PRESENT
PDAGE_20260714,L10 LP95,NN,6132,PRESENT
PDAGE_20260714,L10 LP95,NP,3192,PRESENT
PDAGE_20260714,L10 LP95,PN,6132,PRESENT
PDAGE_20260714,L10 LP95,PR,0,MISSING_TYPE
PDAGE_20260714,L10 LP95,RV,3192,PRESENT
PDAGE_20260714,L10 LP9595,CV,0,MISSING_TYPE
PDAGE_20260714,L10 LP9595,NP,12384,PRESENT
PDAGE_20260714,L10 LP9595,PR,0,MISSING_TYPE
PDAGE_20260714,L10 LP9595,RV,12384,PRESENT
PDAGE_20260714,L17,CV,720,PRESENT
PDAGE_20260714,L17,NP,1680,PRESENT
PDAGE_20260714,L17,PR,0,MISSING_TYPE
PDAGE_20260714,L17,RV,1680,PRESENT
PDAGE_20260714,L17 1,CV,0,ABSENT
PDAGE_20260714,L17 1,NP,0,ABSENT
PDAGE_20260714,L17 1,PR,0,ABSENT
PDAGE_20260714,L17 1,RV,0,ABSENT
PDAGE_20260714,L17 2+,CV,0,ABSENT
PDAGE_20260714,L17 2+,NP,0,ABSENT
PDAGE_20260714,L17 2+,PR,0,ABSENT
PDAGE_20260714,L17 2+,RV,0,ABSENT
Rate_Table_Txt,0824 P DTH,DB,0,ABSENT
Rate_Table_Txt,0824 P DTH,NP,0,ABSENT
Rate_Table_Txt,0824 P DTH,PR,0,ABSENT
Rate_Table_Txt,0824 P DTH,RV,0,ABSENT
Rate_Table_Txt,960 LP85-8,CV,0,ABSENT
Rate_Table_Txt,960 LP85-8,DV,0,ABSENT
Rate_Table_Txt,960 LP85-8,NP,0,ABSENT
Rate_Table_Txt,960 LP85-8,PR,0,ABSENT
Rate_Table_Txt,960 LP85-8,RV,0,ABSENT
Rate_Table_Txt,960 LP85-M,CV,0,ABSENT
Rate_Table_Txt,960 LP85-M,DV,0,ABSENT
Rate_Table_Txt,960 LP85-M,NP,0,ABSENT
Rate_Table_Txt,960 LP85-M,PR,0,ABSENT
Rate_Table_Txt,960 LP85-M,RV,0,ABSENT
Rate_Table_Txt,L01 10Y,CV,0,ABSENT
Rate_Table_Txt,L01 10Y,NN,0,ABSENT
Rate_Table_Txt,L01 10Y,NP,0,ABSENT
Rate_Table_Txt,L01 10Y,PN,0,ABSENT
Rate_Table_Txt,L01 10Y,PR,0,ABSENT
Rate_Table_Txt,L01 10Y,RV,0,ABSENT
Rate_Table_Txt,L01 10Y LT,CV,0,ABSENT
Rate_Table_Txt,L01 10Y LT,NP,0,ABSENT
Rate_Table_Txt,L01 10Y LT,PR,0,ABSENT
Rate_Table_Txt,L01 10Y LT,RV,0,ABSENT
Rate_Table_Txt,L10 GPO,NP,0,ABSENT
Rate_Table_Txt,L10 GPO,PR,0,ABSENT
Rate_Table_Txt,L10 GPO,RV,0,ABSENT
Rate_Table_Txt,L10 GPO OL,DB,0,ABSENT
Rate_Table_Txt,L10 GPO OL,NP,0,ABSENT
Rate_Table_Txt,L10 GPO OL,PR,0,ABSENT
Rate_Table_Txt,L10 GPO OL,RV,0,ABSENT
Rate_Table_Txt,L10 LP95,CV,29599,PRESENT
Rate_Table_Txt,L10 LP95,NF,27090,PRESENT
Rate_Table_Txt,L10 LP95,NN,23964,PRESENT
Rate_Table_Txt,L10 LP95,NP,27606,PRESENT
Rate_Table_Txt,L10 LP95,PN,24475,PRESENT
Rate_Table_Txt,L10 LP95,PR,0,MISSING_TYPE
Rate_Table_Txt,L10 LP95,RV,28908,PRESENT
Rate_Table_Txt,L10 LP9595,CV,0,ABSENT
Rate_Table_Txt,L10 LP9595,NP,0,ABSENT
Rate_Table_Txt,L10 LP9595,PR,0,ABSENT
Rate_Table_Txt,L10 LP9595,RV,0,ABSENT
Rate_Table_Txt,L17,CV,0,ABSENT
Rate_Table_Txt,L17,NP,0,ABSENT
Rate_Table_Txt,L17,PR,0,ABSENT
Rate_Table_Txt,L17,RV,0,ABSENT
Rate_Table_Txt,L17 1,CV,0,ABSENT
Rate_Table_Txt,L17 1,NP,0,ABSENT
Rate_Table_Txt,L17 1,PR,0,ABSENT
Rate_Table_Txt,L17 1,RV,0,ABSENT
Rate_Table_Txt,L17 2+,CV,0,ABSENT
Rate_Table_Txt,L17 2+,NP,0,ABSENT
Rate_Table_Txt,L17 2+,PR,0,ABSENT
Rate_Table_Txt,L17 2+,RV,0,ABSENT
