sheet,policy_form,rate_type_col,type_codes,segment,assessment,rt_rows,pa_rows,rt_types_present,pa_types_present,verdict,note
Non-ISWL,L10 JPO,Net Valuation Premiums (NP),NP,L10 GPO OL,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 SDT,Premiums (PR),PR,L10 SDT OL,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 SDT,Death Benefits (DB),DB,L10 SDT OL,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 SDT,Reserve Factors (RV),RV,L10 SDT,dark_green,264,0,NP|RV,,AGREE,found RT=264 PA=0
Non-ISWL,L10 SDT,Net Valuation Premiums (NP),NP,L10 SDT,dark_green,6468,0,NP|RV,,AGREE,found RT=6468 PA=0
Non-ISWL,L10 CDT,Premiums (PR),PR,L10 CDT OL,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 CDT,Reserve Factors (RV),RV,L10 CDT,dark_green,6,0,NP|RV,,AGREE,found RT=6 PA=0
Non-ISWL,L10 CDT,Net Valuation Premiums (NP),NP,L10 CDT,dark_green,144,0,NP|RV,,AGREE,found RT=144 PA=0
Non-ISWL,L10 SPSWP,Premiums (PR),PR,L10 SPSWP,dark_green,0,117,,PR,AGREE,found RT=0 PA=117
Non-ISWL,L10 SPSWP,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 SPSWP,Reserve Factors (RV),RV,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 SPSWP,Net Valuation Premiums (NP),NP,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 WP CDT,Premiums (PR),PR,L10 WP CDT,dark_green,0,117,,PR,AGREE,found RT=0 PA=117
Non-ISWL,L10 WP CDT,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 WP CDT,Reserve Factors (RV),RV,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 WP CDT,Net Valuation Premiums (NP),NP,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,DISCHO2475,Premiums (PR),PR,DISCHO2475,peach,10,0,PR,,DISAGREE,marked no-LP-rates but found RT=10 PA=0
Non-ISWL,DISCHO2475,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,670 GL85-8,Premiums (PR),PR,GL LP85,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,670 GL85-8,Cash Values (CV),CV,670 GL85-8,dark_green,9121,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=9121 PA=0
Non-ISWL,670 GL85-8,Dividends (DV),DV,670 GL85-8,dark_green,7126,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=7126 PA=0
Non-ISWL,670 GL85-8,Reserve Factors (RV),RV,670 GL85-8,dark_green,9230,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=9230 PA=0
Non-ISWL,670 GL85-8,Net Valuation Premiums (NP),NP,670 GL85-8,dark_green,6988,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=6988 PA=0
Non-ISWL,670 GL85-8,Non-Forfeiture Factors (NF),NF,670 GL85-8,dark_green,7171,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=7171 PA=0
Non-ISWL,L01 10Y LT,Premiums (PR),PR,L01 10Y LT,dark_green,0,924,,PR,AGREE,found RT=0 PA=924
Non-ISWL,L01 10Y LT,Reserve Factors (RV),RV,L01 10Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L01 10Y LT,Net Valuation Premiums (NP),NP,L01 10Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L14,Premiums (PR),PR,L14,dark_green,0,268,CV|NF|NP|RV,PR|RD,AGREE,found RT=0 PA=268
Non-ISWL,L14,Cash Values (CV),CV,L14,dark_green,2836,0,CV|NF|NP|RV,PR|RD,AGREE,found RT=2836 PA=0
Non-ISWL,L14,Reserve Factors (RV),RV,L14,dark_green,2874,0,CV|NF|NP|RV,PR|RD,AGREE,found RT=2874 PA=0
Non-ISWL,L14,Net Valuation Premiums (NP),NP,L14,dark_green,2886,0,CV|NF|NP|RV,PR|RD,AGREE,found RT=2886 PA=0
Non-ISWL,L14,Non-Forfeiture Factors (NF),NF,L14,dark_green,2870,0,CV|NF|NP|RV,PR|RD,AGREE,found RT=2870 PA=0
Non-ISWL,DISCHO29,Premiums (PR),PR,DISCHO29,peach,10,0,PR,,DISAGREE,marked no-LP-rates but found RT=10 PA=0
Non-ISWL,DISCHO29,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,SAL ML,Premiums (PR),PR,SAL ML,dark_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,SAL MULTPL,Premiums (PR),PR,SAL MULTPL,dark_green,0,66,,PR,AGREE,found RT=0 PA=66
Non-ISWL,SAL MULTPL,Reserve Factors (RV),RV,SAL OL,dark_green,4750,0,CV|RV,NF|NP|PR,AGREE,found RT=4750 PA=0
Non-ISWL,SAL MULTPL,Net Valuation Premiums (NP),NP,SAL OL,dark_green,0,76,CV|RV,NF|NP|PR,AGREE,found RT=0 PA=76
Non-ISWL,SAL ADB,Premiums (PR),PR,SAL ADB,dark_green,0,234,,PR,AGREE,found RT=0 PA=234
Non-ISWL,SAL ADB,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,667 ART,Premiums (PR),PR,667 ART,dark_green,0,738,,NP|PR,AGREE,found RT=0 PA=738
Non-ISWL,667 ART,Reserve Factors (RV),RV,667 ART,red,0,0,,NP|PR,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,667 ART,Net Valuation Premiums (NP),NP,667 ART,dark_green,0,288,,NP|PR,AGREE,found RT=0 PA=288
Non-ISWL,1595,Premiums (PR),PR,1595,dark_green,0,84,,PR,AGREE,found RT=0 PA=84
Non-ISWL,1595,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,1596 667,Premiums (PR),PR,1596 667,dark_green,0,99,,PR,AGREE,found RT=0 PA=99
Non-ISWL,670 GL85-M,Premiums (PR),PR,GL LP85,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,670 GL85-M,Cash Values (CV),CV,670 GL85-8,dark_green,9121,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=9121 PA=0
Non-ISWL,670 GL85-M,Dividends (DV),DV,670 GL85-8,dark_green,7126,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=7126 PA=0
Non-ISWL,670 GL85-M,Reserve Factors (RV),RV,670 GL85-8,dark_green,9230,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=9230 PA=0
Non-ISWL,670 GL85-M,Net Valuation Premiums (NP),NP,670 GL85-8,dark_green,6988,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=6988 PA=0
Non-ISWL,670 GL85-M,Non-Forfeiture Factors (NF),NF,670 GL85-8,dark_green,7171,0,CV|DV|NF|NN|NP|PN|RV,,AGREE,found RT=7171 PA=0
Non-ISWL,L10 OLD,Premiums (PR),PR,L10 PRE97,dark_green,0,1832,CV|NF,PR|RD,AGREE,found RT=0 PA=1832
Non-ISWL,L10 OLD,Cash Values (CV),CV,L10 PRE97,dark_green,29263,0,CV|NF,PR|RD,AGREE,found RT=29263 PA=0
Non-ISWL,L10 OLD,Reserve Factors (RV),RV,L10 LP95,dark_green,28908,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=28908 PA=0
Non-ISWL,L10 OLD,Net Valuation Premiums (NP),NP,L10 LP95,dark_green,27606,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=27606 PA=0
Non-ISWL,L10 OLD,Non-Forfeiture Factors (NF),NF,L10 PRE97,dark_green,27219,0,CV|NF,PR|RD,AGREE,found RT=27219 PA=0
Non-ISWL,L10 WP OLD,Premiums (PR),PR,L10 WP OLD,dark_green,0,222,,PR,AGREE,found RT=0 PA=222
Non-ISWL,L10 WP OLD,Death Benefits (DB),DB,L10ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 WP OLD,Reserve Factors (RV),RV,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 WP OLD,Net Valuation Premiums (NP),NP,WPAD 34 4,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,DISCHO247C,Premiums (PR),PR,DISCHO247C,peach,10,0,PR,,DISAGREE,marked no-LP-rates but found RT=10 PA=0
Non-ISWL,DISCHO247C,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 SR OLD,Premiums (PR),PR,L10SR OLD,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 SR OLD,Cash Values (CV),CV,L10 PRE97,dark_green,29263,0,CV|NF,PR|RD,AGREE,found RT=29263 PA=0
Non-ISWL,L10 SR OLD,Reserve Factors (RV),RV,L10 LP95SR,dark_green,9202,0,NN|NP|PN|RV,PR,AGREE,found RT=9202 PA=0
Non-ISWL,L10 SR OLD,Net Valuation Premiums (NP),NP,L10 LP95SR,dark_green,9202,0,NN|NP|PN|RV,PR,AGREE,found RT=9202 PA=0
Non-ISWL,L10 LP95SR,Premiums (PR),PR,L10 LP95SR,dark_green,0,172,NN|NP|PN|RV,PR,AGREE,found RT=0 PA=172
Non-ISWL,L10 LP95SR,Cash Values (CV),CV,L10 LP95,dark_green,29599,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=29599 PA=0
Non-ISWL,L10 LP95SR,Reserve Factors (RV),RV,L10SR 95,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 LP95SR,Net Valuation Premiums (NP),NP,L10SR 95,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 LP95SR,Non-Forfeiture Factors (NF),NF,L10 LP95,dark_green,27090,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=27090 PA=0
Non-ISWL,960 OL,Premiums (PR),PR,960 OL,dark_green,0,142,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=0 PA=142
Non-ISWL,960 OL,Cash Values (CV),CV,960 OL,dark_green,4564,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=4564 PA=0
Non-ISWL,960 OL,Dividends (DV),DV,960 OL,dark_green,2785,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=2785 PA=0
Non-ISWL,960 OL,Reserve Factors (RV),RV,960 OL,dark_green,9475,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9475 PA=0
Non-ISWL,960 OL,Net Valuation Premiums (NP),NP,960 OL,dark_green,9835,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9835 PA=0
Non-ISWL,0823 960OL,Premiums (PR),PR,0823 960OL,dark_green,0,82,,PR,AGREE,found RT=0 PA=82
Non-ISWL,0823 960OL,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0823 960OL,Reserve Factors (RV),RV,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0823 960OL,Net Valuation Premiums (NP),NP,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0824 P DIS,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0824 P DTH,Premiums (PR),PR,0824 P DTH,dark_green,0,11,,PR,AGREE,found RT=0 PA=11
Non-ISWL,0824 P DTH,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0824 P DTH,Reserve Factors (RV),RV,ZERO LIFE,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0824 P DTH,Net Valuation Premiums (NP),NP,0824 P DTH,red,0,0,,PR,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,960 PO,Premiums (PR),PR,960 PO,dark_green,0,142,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=0 PA=142
Non-ISWL,960 PO,Cash Values (CV),CV,960 PO,dark_green,9274,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9274 PA=0
Non-ISWL,960 PO,Dividends (DV),DV,960 PO,dark_green,6448,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=6448 PA=0
Non-ISWL,960 PO,Reserve Factors (RV),RV,960 PO,dark_green,9443,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9443 PA=0
Non-ISWL,960 PO,Net Valuation Premiums (NP),NP,960 PO,dark_green,9443,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9443 PA=0
Non-ISWL,0823 960PO,Premiums (PR),PR,WP 960PO,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,0823 960PO,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0823 960PO,Reserve Factors (RV),RV,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0823 960PO,Net Valuation Premiums (NP),NP,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0822 960PO,Premiums (PR),PR,0822 960PO,dark_green,0,52,,PR,AGREE,found RT=0 PA=52
Non-ISWL,0822 960PO,Reserve Factors (RV),RV,ADB 25 65,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0822 960PO,Net Valuation Premiums (NP),NP,ADB 25 65,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L17 1,Premiums (PR),PR,L17,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L17 1,Cash Values (CV),CV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 1,Reserve Factors (RV),RV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 1,Net Valuation Premiums (NP),NP,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 1 JPO,Premiums (PR),PR,L17,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L17 1 JPO,Cash Values (CV),CV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 1 JPO,Reserve Factors (RV),RV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 1 JPO,Net Valuation Premiums (NP),NP,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+,Premiums (PR),PR,L17 2+,dark_green,0,76,,PR,AGREE,found RT=0 PA=76
Non-ISWL,L17 2+,Cash Values (CV),CV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+,Reserve Factors (RV),RV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+,Net Valuation Premiums (NP),NP,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+ JPO,Premiums (PR),PR,L17 2+,dark_green,0,76,,PR,AGREE,found RT=0 PA=76
Non-ISWL,L17 2+ JPO,Cash Values (CV),CV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+ JPO,Reserve Factors (RV),RV,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L17 2+ JPO,Net Valuation Premiums (NP),NP,L17,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,8286 GI 1,Premiums (PR),PR,8286 GI,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,8286 GI 1,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,8286 GI 2+,Premiums (PR),PR,8286 GI 2+,purple,0,19,,PR,DISAGREE,marked AA-needed but PA has 19 rows for ['PR']
Non-ISWL,8286 GI 2+,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L05,Premiums (PR),PR,L05 10 Y LT,dark_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L05,Reserve Factors (RV),RV,L05 10Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L05,Net Valuation Premiums (NP),NP,L05 10Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,8115,Premiums (PR),PR,8115,dark_green,0,168,,PR,AGREE,found RT=0 PA=168
Non-ISWL,8115,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,1596,Premiums (PR),PR,1596,dark_green,0,51,,PR,AGREE,found RT=0 PA=51
Non-ISWL,1596,Reserve Factors (RV),RV,ADB 25 69,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,1596,Net Valuation Premiums (NP),NP,ADB 25 69,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,960 LP65,Premiums (PR),PR,960 LP65,dark_green,0,112,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=0 PA=112
Non-ISWL,960 LP65,Cash Values (CV),CV,960 LP65,dark_green,4615,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=4615 PA=0
Non-ISWL,960 LP65,Dividends (DV),DV,960 LP65,dark_green,2123,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=2123 PA=0
Non-ISWL,960 LP65,Reserve Factors (RV),RV,960 LP65,dark_green,9230,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=9230 PA=0
Non-ISWL,960 LP65,Net Valuation Premiums (NP),NP,960 LP65,dark_green,4230,0,CV|DV|NN|NP|PN|RV,PR,AGREE,found RT=4230 PA=0
Non-ISWL,0823 960LP,Premiums (PR),PR,0823 960LP,dark_green,0,82,,PR,AGREE,found RT=0 PA=82
Non-ISWL,0823 960LP,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0823 960LP,Reserve Factors (RV),RV,WPAD061 1,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0823 960LP,Net Valuation Premiums (NP),NP,WPAD061 1,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0822 960,Premiums (PR),PR,0822 960 PO,dark_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0822 960,Reserve Factors (RV),RV,ADB 25 5,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0822 960,Net Valuation Premiums (NP),NP,ADB 25 5,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,826,Premiums (PR),PR,826,dark_green,0,32,CV|NP|RV,PR,AGREE,found RT=0 PA=32
Non-ISWL,0823 960SP,Premiums (PR),PR,0823 960SP,dark_green,0,32,,PR,AGREE,found RT=0 PA=32
Non-ISWL,0823 960SP,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0823 960SP,Reserve Factors (RV),RV,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0823 960SP,Net Valuation Premiums (NP),NP,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,828,Premiums (PR),PR,828,dark_green,0,19,NP|RV,PR,AGREE,found RT=0 PA=19
Non-ISWL,828,Reserve Factors (RV),RV,828,dark_green,1,0,NP|RV,PR,AGREE,found RT=1 PA=0
Non-ISWL,828,Net Valuation Premiums (NP),NP,828,dark_green,99,0,NP|RV,PR,AGREE,found RT=99 PA=0
Non-ISWL,0823 960CH,Premiums (PR),PR,0823 960CH,dark_green,0,19,,PR,AGREE,found RT=0 PA=19
Non-ISWL,0823 960CH,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,0823 960CH,Reserve Factors (RV),RV,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,0823 960CH,Net Valuation Premiums (NP),NP,WPAD061 2,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,863,Premiums (PR),PR,863,dark_green,0,112,DB|NP|RV,PR,AGREE,found RT=0 PA=112
Non-ISWL,863,Death Benefits (DB),DB,863,dark_green,1230,0,DB|NP|RV,PR,AGREE,found RT=1230 PA=0
Non-ISWL,863,Reserve Factors (RV),RV,863,dark_green,1692,0,DB|NP|RV,PR,AGREE,found RT=1692 PA=0
Non-ISWL,863,Net Valuation Premiums (NP),NP,863,dark_green,2100,0,DB|NP|RV,PR,AGREE,found RT=2100 PA=0
Non-ISWL,621 END85,Premiums (PR),PR,620 END85,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,621 END85,Cash Values (CV),CV,621 END85,dark_green,2165,0,CV|DV|NN|NP|PN|RV,,AGREE,found RT=2165 PA=0
Non-ISWL,621 END85,Dividends (DV),DV,621 END85,dark_green,2098,0,CV|DV|NN|NP|PN|RV,,AGREE,found RT=2098 PA=0
Non-ISWL,621 END85,Reserve Factors (RV),RV,621 END85,dark_green,4370,0,CV|DV|NN|NP|PN|RV,,AGREE,found RT=4370 PA=0
Non-ISWL,621 END85,Net Valuation Premiums (NP),NP,621 END85,dark_green,4370,0,CV|DV|NN|NP|PN|RV,,AGREE,found RT=4370 PA=0
Non-ISWL,0822 620,Premiums (PR),PR,0822 620,dark_green,0,117,,PR,AGREE,found RT=0 PA=117
Non-ISWL,0823 620,Premiums (PR),PR,0823 620,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,0823 620,Death Benefits (DB),DB,ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L07 5Y LT,Premiums (PR),PR,L07 5Y LT,dark_green,0,1020,,PR,AGREE,found RT=0 PA=1020
Non-ISWL,L07 5Y LT,Reserve Factors (RV),RV,L07 5Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L07 5Y LT,Net Valuation Premiums (NP),NP,L07 5Y,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,10827 CSI5,Premiums (PR),PR,10827 CSI5,dark_green,0,60,CV|DB|NN|NP|PN|RV,PR,AGREE,found RT=0 PA=60
Non-ISWL,10827 CSI5,Cash Values (CV),CV,10827 CSI5,dark_green,2370,0,CV|DB|NN|NP|PN|RV,PR,AGREE,found RT=2370 PA=0
Non-ISWL,10827 CSI5,Death Benefits (DB),DB,10827 CSI5,dark_green,1185,0,CV|DB|NN|NP|PN|RV,PR,AGREE,found RT=1185 PA=0
Non-ISWL,10827 CSI5,Reserve Factors (RV),RV,10827 CSI5,dark_green,2370,0,CV|DB|NN|NP|PN|RV,PR,AGREE,found RT=2370 PA=0
Non-ISWL,10827 CSI5,Net Valuation Premiums (NP),NP,10827 CSI5,dark_green,2370,0,CV|DB|NN|NP|PN|RV,PR,AGREE,found RT=2370 PA=0
Non-ISWL,SAL OL,Premiums (PR),PR,SAL OL,dark_green,0,135,CV|RV,NF|NP|PR,AGREE,found RT=0 PA=135
Non-ISWL,SAL OL,Cash Values (CV),CV,SAL OL,dark_green,4750,0,CV|RV,NF|NP|PR,AGREE,found RT=4750 PA=0
