TABLE,TREATY_CODE,MREINCO,MREINNAME,MTYPE,MTYPE_SOURCE,REINSURANCE_CODE,MCEDED_SOURCE,MCEDED_VALUE,CROSSWALK_CONFIDENCE,CROSSWALK_SOURCE,CROSSWALK_NOTES,SOURCE_ROW,SOURCE_POLICY,MPOLICY,MPOLICY_SOURCE,BENEFIT_SEQ,MPHASE,MPHASE_SOURCE,MTREATY,MRETAINED_SOURCE,MRETAINED_VALUE,MSTATUS_SOURCE,MPLAN_SOURCE
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,12.0,9011207222,011207222C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1667.00,Manual Placeholder,User Provided,,13.0,9011207222,011207222C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,14.0,9011207563,011207563C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,15.0,9011207563,011207563C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8335.00,Manual Placeholder,User Provided,,16.0,9011207563,011207563C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,17.0,9011207677,011207677C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,18.0,9011207677,011207677C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,19.0,9011207677,011207677C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,20.0,9011207733,011207733C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,21.0,9011207733,011207733C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1667.00,Manual Placeholder,User Provided,,22.0,9011207733,011207733C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,11665.50,Manual Placeholder,User Provided,,23.0,9011207871,011207871C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,11665.50,Manual Placeholder,User Provided,,24.0,9011207871,011207871C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,11669.00,Manual Placeholder,User Provided,,25.0,9011207871,011207871C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,26.0,9011208194,011208194C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,27.0,9011208194,011208194C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1667.00,Manual Placeholder,User Provided,,28.0,9011208194,011208194C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,29.0,9011208304,011208304C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,30.0,9011208304,011208304C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1667.00,Manual Placeholder,User Provided,,31.0,9011208304,011208304C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.10,Manual Placeholder,User Provided,,32.0,9011208817,011208817C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.10,Manual Placeholder,User Provided,,33.0,9011208817,011208817C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.80,Manual Placeholder,User Provided,,34.0,9011208817,011208817C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,4999.50,Manual Placeholder,User Provided,,35.0,9011209068,011209068C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,4999.50,Manual Placeholder,User Provided,,36.0,9011209068,011209068C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,5001.00,Manual Placeholder,User Provided,,37.0,9011209068,011209068C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,38.0,9011209262,011209262C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,39.0,9011209262,011209262C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,40.0,9011209262,011209262C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,16665.00,Manual Placeholder,User Provided,,41.0,9011209469,011209469C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,16665.00,Manual Placeholder,User Provided,,42.0,9011209469,011209469C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,16670.00,Manual Placeholder,User Provided,,43.0,9011209469,011209469C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,44.0,9011209898,011209898C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,45.0,9011209898,011209898C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8335.00,Manual Placeholder,User Provided,,46.0,9011209898,011209898C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.10,Manual Placeholder,User Provided,,47.0,9011209963,011209963C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.10,Manual Placeholder,User Provided,,48.0,9011209963,011209963C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,2333.80,Manual Placeholder,User Provided,,49.0,9011209963,011209963C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,50.0,9011210089,011210089C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,51.0,9011210089,011210089C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,52.0,9011210089,011210089C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,53.0,9011210149,011210149C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,54.0,9011210149,011210149C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8335.00,Manual Placeholder,User Provided,,55.0,9011210149,011210149C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,F,Company L 15,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,56.0,9011210337,011210337C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L15,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,F,Company L 15,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,57.0,9011210337,011210337C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L15CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,F,Company L 15,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,58.0,9011210337,011210337C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L15CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,59.0,9011210489,011210489C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,60.0,9011210489,011210489C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,61.0,9011210489,011210489C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,62.0,9011210720,011210720C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,63.0,9011210720,011210720C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8335.00,Manual Placeholder,User Provided,,64.0,9011210720,011210720C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,65.0,9011211323,011211323C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,66.0,9011211323,011211323C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,67.0,9011211323,011211323C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,68.0,9011211326,011211326C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,69.0,9011211326,011211326C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
