MPOLICY,MPHASE,MSTATUS,MPLAN,MREINCO,MTREATY,MTYPE,MUWCLASS,MINITAMT,MRETAINED,MCEDED,MPCTCEDED,MBILLTO,MMODE,MMODEPREM,MCLAIMAMT,MCLAIMDATE,MRECOVERBL,MRECVDDATE
011207677C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,36.10,0.00,,0.00,
011207677C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,36.10,0.00,,0.00,
011207733C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,44.95,0.00,,0.00,
011207733C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,44.95,0.00,,0.00,
011207733C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,44.95,0.00,,0.00,
011207871C,1,53,1L14SC,L,L14,CO,NS,35000.00,0.00,11665.50,,,01,126.19,0.00,,0.00,
011207871C,1,53,1L14SC,L,L14CSI,CO,NS,35000.00,0.00,11665.50,,,01,126.19,0.00,,0.00,
011207871C,1,53,1L14SC,L,L14CSO,CO,NS,35000.00,0.00,11669.00,,,01,126.19,0.00,,0.00,
011208194C,1,22,1L14SC,L,L14,CO,T,5000.00,0.00,1666.50,,,03,74.85,0.00,,0.00,
011208194C,1,22,1L14SC,L,L14CSI,CO,T,5000.00,0.00,1666.50,,,03,74.85,0.00,,0.00,
011208194C,1,22,1L14SC,L,L14CSO,CO,T,5000.00,0.00,1667.00,,,03,74.85,0.00,,0.00,
011208304C,1,55,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,44.95,0.00,,0.00,
011208304C,1,55,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,44.95,0.00,,0.00,
011208304C,1,55,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,44.95,0.00,,0.00,
011208817C,1,53,1L14SC,L,L14,CO,NS,7000.00,0.00,2333.10,,,01,37.44,0.00,,0.00,
011208817C,1,53,1L14SC,L,L14CSI,CO,NS,7000.00,0.00,2333.10,,,01,37.44,0.00,,0.00,
011208817C,1,53,1L14SC,L,L14CSO,CO,NS,7000.00,0.00,2333.80,,,01,37.44,0.00,,0.00,
011209068C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,49.05,0.00,,0.00,
011209068C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,49.05,0.00,,0.00,
011209068C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,49.05,0.00,,0.00,
011209262C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,49.60,0.00,,0.00,
011209262C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,49.60,0.00,,0.00,
011209262C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,49.60,0.00,,0.00,
011209469C,1,53,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,231.99,0.00,,0.00,
011209469C,1,53,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,231.99,0.00,,0.00,
011209469C,1,53,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,231.99,0.00,,0.00,
011209898C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011209898C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011209898C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,110.00,0.00,,0.00,
011209963C,1,53,1L14SC,L,L14,CO,NS,7000.00,0.00,2333.10,,,06,370.38,0.00,,0.00,
011209963C,1,53,1L14SC,L,L14CSI,CO,NS,7000.00,0.00,2333.10,,,06,370.38,0.00,,0.00,
011209963C,1,53,1L14SC,L,L14CSO,CO,NS,7000.00,0.00,2333.80,,,06,370.38,0.00,,0.00,
011210089C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,58.50,0.00,,0.00,
011210089C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,58.50,0.00,,0.00,
011210089C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,58.50,0.00,,0.00,
011210149C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,172.49,0.00,,0.00,
011210149C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,172.49,0.00,,0.00,
011210149C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,172.49,0.00,,0.00,
011210337C,1,53,1L15GD,F,L15,CO,SM,10000.00,0.00,3333.00,,,01,55.50,0.00,,0.00,
011210337C,1,53,1L15GD,F,L15CSI,CO,SM,10000.00,0.00,3333.00,,,01,55.50,0.00,,0.00,
011210337C,1,53,1L15GD,F,L15CSO,CO,SM,10000.00,0.00,3334.00,,,01,55.50,0.00,,0.00,
011210489C,1,57,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,06,170.40,0.00,,0.00,
011210489C,1,57,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,06,170.40,0.00,,0.00,
011210489C,1,57,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,06,170.40,0.00,,0.00,
011210720C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011210720C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011210720C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,110.00,0.00,,0.00,
011211323C,1,55,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,43.90,0.00,,0.00,
011211323C,1,55,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,43.90,0.00,,0.00,
011211323C,1,55,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,43.90,0.00,,0.00,
011211326C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,117.50,0.00,,0.00,
011211326C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,117.50,0.00,,0.00,
011211326C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,117.50,0.00,,0.00,
011211451C,1,55,1L14SC,L,L14,CO,NS,7000.00,0.00,2333.10,,,01,32.47,0.00,,0.00,
011211451C,1,55,1L14SC,L,L14CSI,CO,NS,7000.00,0.00,2333.10,,,01,32.47,0.00,,0.00,
011211451C,1,55,1L14SC,L,L14CSO,CO,NS,7000.00,0.00,2333.80,,,01,32.47,0.00,,0.00,
011212034C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,53.50,0.00,,0.00,
011212034C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,53.50,0.00,,0.00,
011212034C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,53.50,0.00,,0.00,
011212050C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,48.50,0.00,,0.00,
011212050C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,48.50,0.00,,0.00,
011212050C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,48.50,0.00,,0.00,
011212151C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,12,834.00,0.00,,0.00,
011212151C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,12,834.00,0.00,,0.00,
011212151C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,12,834.00,0.00,,0.00,
011212602C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,91.00,0.00,,0.00,
011212602C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,91.00,0.00,,0.00,
011212602C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,91.00,0.00,,0.00,
011212753C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,25.10,0.00,,0.00,
011212753C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,25.10,0.00,,0.00,
011212753C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,25.10,0.00,,0.00,
011212754C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,63.00,0.00,,0.00,
011212754C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,63.00,0.00,,0.00,
011212754C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,63.00,0.00,,0.00,
011213238C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,50.85,0.00,,0.00,
011213238C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,50.85,0.00,,0.00,
011213238C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,50.85,0.00,,0.00,
011213262C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,55.70,0.00,,0.00,
011213262C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,55.70,0.00,,0.00,
011213262C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,55.70,0.00,,0.00,
011213264C,1,22,1L15GD,F,L15,CO,SM,10000.00,0.00,3333.00,,,01,43.20,0.00,,0.00,
011213264C,1,22,1L15GD,F,L15CSI,CO,SM,10000.00,0.00,3333.00,,,01,43.20,0.00,,0.00,
011213264C,1,22,1L15GD,F,L15CSO,CO,SM,10000.00,0.00,3334.00,,,01,43.20,0.00,,0.00,
011214181C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011214181C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011214181C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,24.05,0.00,,0.00,
011214229C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,77.50,0.00,,0.00,
011214229C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,77.50,0.00,,0.00,
011214229C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,77.50,0.00,,0.00,
011214314C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,38.40,0.00,,0.00,
011214314C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,38.40,0.00,,0.00,
011214314C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,38.40,0.00,,0.00,
011214731C,1,22,1L14SC,L,L14,CO,NS,18000.00,0.00,5999.40,,,01,49.62,0.00,,0.00,
011214731C,1,22,1L14SC,L,L14CSI,CO,NS,18000.00,0.00,5999.40,,,01,49.62,0.00,,0.00,
011214731C,1,22,1L14SC,L,L14CSO,CO,NS,18000.00,0.00,6001.20,,,01,49.62,0.00,,0.00,
011215363C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011215363C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011215363C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,117.00,0.00,,0.00,
011215543C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,03,174.75,0.00,,0.00,
011215543C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,03,174.75,0.00,,0.00,
011215543C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,03,174.75,0.00,,0.00,
011215550C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,53.00,0.00,,0.00,
011215550C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,53.00,0.00,,0.00,
011215550C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,53.00,0.00,,0.00,
011215896C,1,45,1L15GD,F,L15,CO,SM,25000.00,0.00,8332.50,,,12,1374.00,0.00,,0.00,
011215896C,1,45,1L15GD,F,L15CSI,CO,SM,25000.00,0.00,8332.50,,,12,1374.00,0.00,,0.00,
011215896C,1,45,1L15GD,F,L15CSO,CO,SM,25000.00,0.00,8335.00,,,12,1374.00,0.00,,0.00,
011215903C,1,55,1L14SC,L,L14,CO,R,25000.00,0.00,8332.50,,,01,69.50,0.00,,0.00,
011215903C,1,55,1L14SC,L,L14CSI,CO,R,25000.00,0.00,8332.50,,,01,69.50,0.00,,0.00,
011215903C,1,55,1L14SC,L,L14CSO,CO,R,25000.00,0.00,8335.00,,,01,69.50,0.00,,0.00,
011216178C,1,22,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,130.49,0.00,,0.00,
011216178C,1,22,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,130.49,0.00,,0.00,
011216178C,1,22,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,130.49,0.00,,0.00,
011216179C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,58.25,0.00,,0.00,
011216179C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,58.25,0.00,,0.00,
011216179C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,58.25,0.00,,0.00,
011216497C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,117.50,0.00,,0.00,
011216497C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,117.50,0.00,,0.00,
011216497C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,117.50,0.00,,0.00,
011216545C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,58.50,0.00,,0.00,
011216545C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,58.50,0.00,,0.00,
011216545C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,58.50,0.00,,0.00,
011216680C,1,53,1L16GD,F,L15,CO,SM,4550.40,0.00,11966.25,,,03,293.40,0.00,,0.00,
011216680C,1,53,1L16GD,F,L15CSI,CO,SM,4550.40,0.00,1516.65,,,03,293.40,0.00,,0.00,
011216680C,1,53,1L16GD,F,L15CSO,CO,SM,4550.40,0.00,1517.10,,,03,293.40,0.00,,0.00,
011216797C,1,45,1L16GD,F,L15CSO,CO,SM,1324.80,0.00,5000.00,,,03,91.80,0.00,,0.00,
011217116C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,103.50,0.00,,0.00,
011217116C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,103.50,0.00,,0.00,
011217116C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,103.50,0.00,,0.00,
011217204C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,91.50,0.00,,0.00,
011217204C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,91.50,0.00,,0.00,
011217204C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,91.50,0.00,,0.00,
011217615C,1,55,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,72.90,0.00,,0.00,
011217615C,1,55,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,72.90,0.00,,0.00,
011217615C,1,55,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,72.90,0.00,,0.00,
011217617C,1,53,1L14SC,L,L14,CO,NS,6000.00,0.00,1999.80,,,01,30.96,0.00,,0.00,
011217617C,1,53,1L14SC,L,L14CSI,CO,NS,6000.00,0.00,1999.80,,,01,30.96,0.00,,0.00,
011217617C,1,53,1L14SC,L,L14CSO,CO,NS,6000.00,0.00,2000.40,,,01,30.96,0.00,,0.00,
011217684C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,83.50,0.00,,0.00,
011217684C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,83.50,0.00,,0.00,
011217684C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,83.50,0.00,,0.00,
011217685C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,52.20,0.00,,0.00,
011217685C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,52.20,0.00,,0.00,
011217685C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,52.20,0.00,,0.00,
011217687C,1,55,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,125.00,0.00,,0.00,
011217687C,1,55,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,125.00,0.00,,0.00,
011217687C,1,55,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,125.00,0.00,,0.00,
011217970C,1,53,1L14SC,L,L14,CO,NS,8000.00,0.00,2666.40,,,01,45.16,0.00,,0.00,
011217970C,1,53,1L14SC,L,L14CSI,CO,NS,8000.00,0.00,2666.40,,,01,45.16,0.00,,0.00,
011217970C,1,53,1L14SC,L,L14CSO,CO,NS,8000.00,0.00,2667.20,,,01,45.16,0.00,,0.00,
011218020C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,113.50,0.00,,0.00,
011218020C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,113.50,0.00,,0.00,
011218020C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,113.50,0.00,,0.00,
011218497C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,39.35,0.00,,0.00,
011218497C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,39.35,0.00,,0.00,
011218497C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,39.35,0.00,,0.00,
011219517C,1,55,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011219517C,1,55,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011219517C,1,55,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,117.00,0.00,,0.00,
011219543C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,55.70,0.00,,0.00,
011219543C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,55.70,0.00,,0.00,
011219543C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,55.70,0.00,,0.00,
011220581C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,12,320.40,0.00,,0.00,
011220581C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,12,320.40,0.00,,0.00,
011220581C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,12,320.40,0.00,,0.00,
011220582C,1,53,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,178.99,0.00,,0.00,
011220582C,1,53,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,178.99,0.00,,0.00,
011220582C,1,53,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,178.99,0.00,,0.00,
011220928C,1,55,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,52.30,0.00,,0.00,
011220928C,1,55,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,52.30,0.00,,0.00,
011220928C,1,55,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,52.30,0.00,,0.00,
011221209C,1,55,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,03,238.50,0.00,,0.00,
011221209C,1,55,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,03,238.50,0.00,,0.00,
011221209C,1,55,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,03,238.50,0.00,,0.00,
011221211C,1,55,1L14SC,L,L14,CO,T,10000.00,0.00,3333.00,,,01,83.60,0.00,,0.00,
011221211C,1,55,1L14SC,L,L14CSI,CO,T,10000.00,0.00,3333.00,,,01,83.60,0.00,,0.00,
011221211C,1,55,1L14SC,L,L14CSO,CO,T,10000.00,0.00,3334.00,,,01,83.60,0.00,,0.00,
011221309C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,45.90,0.00,,0.00,
011221309C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,45.90,0.00,,0.00,
011221309C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,45.90,0.00,,0.00,
011221336C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,03,120.00,0.00,,0.00,
011221336C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,03,120.00,0.00,,0.00,
011221336C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,03,120.00,0.00,,0.00,
011221537C,1,22,1L14SC,L,L14,CO,NS,30000.00,0.00,9999.00,,,01,82.80,0.00,,0.00,
011221537C,1,22,1L14SC,L,L14CSI,CO,NS,30000.00,0.00,9999.00,,,01,82.80,0.00,,0.00,
011221537C,1,22,1L14SC,L,L14CSO,CO,NS,30000.00,0.00,10002.00,,,01,82.80,0.00,,0.00,
011222039C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,73.20,0.00,,0.00,
011222039C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,73.20,0.00,,0.00,
011222039C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,73.20,0.00,,0.00,
011222530C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,83.50,0.00,,0.00,
011222530C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,83.50,0.00,,0.00,
011222530C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,83.50,0.00,,0.00,
011222584C,1,55,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,47.20,0.00,,0.00,
011222584C,1,55,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,47.20,0.00,,0.00,
011222584C,1,55,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,47.20,0.00,,0.00,
011222585C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,03,108.30,0.00,,0.00,
011222585C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,03,108.30,0.00,,0.00,
011222585C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,03,108.30,0.00,,0.00,
011222586C,1,22,1L14SC,L,L14,CO,NS,32000.00,0.00,10665.60,,,01,70.84,0.00,,0.00,
011222586C,1,22,1L14SC,L,L14CSI,CO,NS,32000.00,0.00,10665.60,,,01,70.84,0.00,,0.00,
011222586C,1,22,1L14SC,L,L14CSO,CO,NS,32000.00,0.00,10668.80,,,01,70.84,0.00,,0.00,
011223517C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,38.60,0.00,,0.00,
011223517C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,38.60,0.00,,0.00,
011223517C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,38.60,0.00,,0.00,
011223520C,1,53,1L14SC,L,L14,CO,R,25000.00,0.00,8332.50,,,01,81.50,0.00,,0.00,
011223520C,1,53,1L14SC,L,L14CSI,CO,R,25000.00,0.00,8332.50,,,01,81.50,0.00,,0.00,
011223520C,1,53,1L14SC,L,L14CSO,CO,R,25000.00,0.00,8335.00,,,01,81.50,0.00,,0.00,
011223568C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,27.60,0.00,,0.00,
011223568C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,27.60,0.00,,0.00,
011223568C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,27.60,0.00,,0.00,
011223989C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,06,195.00,0.00,,0.00,
011223989C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,06,195.00,0.00,,0.00,
