mpolicy,lifepro,tier,payout_rows,pe_count,payout_amount,claimstat,header_mpaid,payee_source,pair_note
010462631C,9010462631,1,1,1,3535.82,1,3535.82,PE_SINGLE,
010462839C,9010462839,2,1,2,4855.81,1,2685.10,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010463537C,9010463537,1,1,1,15.46,99,0.00,PE_SINGLE,
010466470C,9010466470,1,1,1,7275.38,1,7275.38,PE_SINGLE,
010466473C,9010466473,1,1,1,4395.44,1,4395.44,PE_SINGLE,
010467061C,9010467061,1,1,1,8795.21,1,4572.88,PE_SINGLE,
010467173C,9010467173,1,1,1,4840.66,1,3402.99,PE_SINGLE,
010469896C,9010469896,1,1,1,11072.79,1,7560.34,PE_SINGLE,
010471769C,9010471769,1,1,1,7815.88,1,7815.88,PE_SINGLE,
010471933C,9010471933,1,1,1,10724.24,3,10724.24,PE_SINGLE,
010472183C,9010472183,1,1,1,536.21,1,3554.12,PE_SINGLE,
010473866C,9010473866,1,3,1,36564.48,99,0.00,PE_SINGLE,
010474522C,9010474522,1,1,1,4678.37,1,7707.09,PE_SINGLE,
010475571C,9010475571,1,1,1,3717.86,1,3717.86,PE_SINGLE,
010477989C,9010477989,1,1,1,6232.41,1,5510.57,PE_SINGLE,
010487886C,9010487886,1,1,1,26.33,99,0.00,PE_SINGLE,
010494171C,9010494171,1,1,1,4758.17,99,0.00,PE_SINGLE,
010495113C,9010495113,1,3,1,27.89,99,0.00,PE_SINGLE,
010497768C,9010497768,2,2,2,4315.73,99,4333.93,PE_MULTI_PAIR_OK,PAIR_OK
010498617C,9010498617,1,1,1,7187.13,3,7187.13,PE_SINGLE,
010510671C,9010510671,2,2,2,40722.85,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
010512061C,9010512061,1,1,1,5344.61,99,0.00,PE_SINGLE,
010514051C,9010514051,2,2,2,9083.81,3,9083.81,PE_MULTI_PAIR_OK,PAIR_OK
010521160C,9010521160,1,1,1,3877.32,1,0.00,PE_SINGLE,
010521756C,9010521756,1,1,1,6340.69,1,4094.94,PE_SINGLE,
010523058C,9010523058,1,1,1,5744.2,1,3670.00,PE_SINGLE,
010526524C,9010526524,1,1,1,5174.28,1,4948.31,PE_SINGLE,
010529973C,9010529973,1,1,1,3240.13,1,3240.13,PE_SINGLE,
010529993C,9010529993,1,1,1,8.91,99,0.00,PE_SINGLE,
010530033C,9010530033,1,1,1,131.7,99,0.00,PE_SINGLE,
010539198C,9010539198,1,1,1,7847.21,1,4453.47,PE_SINGLE,
010540781C,9010540781,1,1,1,53.74,99,0.00,PE_SINGLE,
010545623C,9010545623,1,1,1,19.79,99,0.00,PE_SINGLE,
010547488C,9010547488,2,3,2,8421.96,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010549966C,9010549966,1,1,1,7376.31,1,0.00,PE_SINGLE,
010557142C,9010557142,1,1,1,6236.37,1,3354.61,PE_SINGLE,
010559537C,9010559537,2,1,2,2873.93,1,3590.46,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010586005C,9010586005,1,1,1,5123.23,3,5133.84,PE_SINGLE,
010722345C,9010722345,1,1,1,56660.67,1,56660.67,PE_SINGLE,
010726104C,9010726104,1,1,1,100399.6,3,100513.09,PE_SINGLE,
010726317C,9010726317,1,1,1,2032.22,1,3084.94,PE_SINGLE,
010726318C,9010726318,1,1,1,2007.22,1,3267.04,PE_SINGLE,
010726319C,9010726319,1,1,1,2007.22,99,0.00,PE_SINGLE,
010730647C,9010730647,1,1,1,163.62,1,6376.44,PE_SINGLE,
010733162C,9010733162,1,1,1,36410.87,1,36410.87,PE_SINGLE,
010736738C,9010736738,1,1,1,6180.77,1,6180.77,PE_SINGLE,
010737619C,9010737619,1,1,1,7.84,99,0.00,PE_SINGLE,
010738539C,9010738539,1,1,1,7391.47,1,9797.64,PE_SINGLE,
010738751C,9010738751,1,1,1,2192.01,99,0.00,PE_SINGLE,
010738752C,9010738752,1,1,1,2163.61,1,2852.87,PE_SINGLE,
010738753C,9010738753,1,1,1,2117.01,1,2811.27,PE_SINGLE,
010741234C,9010741234,1,1,1,5277.11,1,5310.41,PE_SINGLE,
010743082C,9010743082,1,1,1,20310.09,1,20310.09,PE_SINGLE,
010747320C,9010747320,1,1,1,22.4,99,0.00,PE_SINGLE,
010748432C,9010748432,1,1,1,23307.92,1,23307.92,PE_SINGLE,
010749041C,9010749041,1,1,1,25443.33,3,25443.33,PE_SINGLE,
010749401C,9010749401,1,1,1,27.23,99,0.00,PE_SINGLE,
010749459C,9010749459,1,1,1,8783.33,1,8783.33,PE_SINGLE,
010750754C,9010750754,1,1,1,5838.58,1,5838.58,PE_SINGLE,
010752513C,9010752513,1,5,1,64.28,99,0.00,PE_SINGLE,
010753675C,9010753675,1,1,1,26324.67,1,26155.88,PE_SINGLE,
010753676C,9010753676,1,1,1,21639.56,1,21501.48,PE_SINGLE,
010756034C,9010756034,2,3,4,22357.51,3,22504.53,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010756212C,9010756212,1,1,1,1114.72,1,22652.40,PE_SINGLE,
010756906C,9010756906,1,1,1,34133.26,1,34133.26,PE_SINGLE,
010756939C,9010756939,1,1,1,2450.69,1,3360.83,PE_SINGLE,
010756940C,9010756940,1,1,1,2547.92,1,3105.52,PE_SINGLE,
010756941C,9010756941,1,1,1,2357.99,1,3024.55,PE_SINGLE,
010757541C,9010757541,2,1,2,20707.67,3,20766.14,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010758074C,9010758074,1,1,1,8321.61,3,8352.92,PE_SINGLE,
010759529C,9010759529,1,1,1,9116.08,1,9116.08,PE_SINGLE,
010760306C,9010760306,2,3,2,3655.89,1,42245.61,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010760942C,9010760942,1,1,1,8284.34,1,8284.34,PE_SINGLE,
010761554C,9010761554,1,1,1,4900.42,1,4900.42,PE_SINGLE,
010761804C,9010761804,1,3,1,44503.92,99,0.00,PE_SINGLE,
010761966C,9010761966,1,1,1,212.37,99,0.00,PE_SINGLE,
010762076C,9010762076,1,1,1,911.23,99,0.00,PE_SINGLE,
010762331C,9010762331,2,1,2,4551.95,1,7404.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010762332C,9010762332,1,1,1,6110.28,1,6110.28,PE_SINGLE,
010763012C,9010763012,1,1,1,9762.45,1,9762.45,PE_SINGLE,
010764339C,9010764339,1,1,1,50108.68,3,50108.68,PE_SINGLE,
010766527C,9010766527,1,1,1,16271.96,99,0.00,PE_SINGLE,
010768208C,9010768208,1,1,1,7571.52,1,7571.52,PE_SINGLE,
010768209C,9010768209,1,1,1,8070.88,1,8070.88,PE_SINGLE,
010768997C,9010768997,1,1,1,3684.71,1,4711.95,PE_SINGLE,
010769191C,9010769191,1,1,1,51.28,99,0.00,PE_SINGLE,
010769220C,9010769220,1,1,1,36196.27,1,36196.27,PE_SINGLE,
010769221C,9010769221,1,1,1,36234.46,1,36234.46,PE_SINGLE,
010770719C,9010770719,1,1,1,38168.05,1,46312.20,PE_SINGLE,
010772916C,9010772916,1,1,1,31228.79,1,31228.79,PE_SINGLE,
010773109C,9010773109,1,2,1,23853.25,99,0.00,PE_SINGLE,
010773243C,9010773243,1,1,1,15036.81,99,0.00,PE_SINGLE,
010773267C,9010773267,1,1,1,9174.38,1,9174.38,PE_SINGLE,
010774484C,9010774484,1,1,1,70114.95,3,70114.95,PE_SINGLE,
010776908C,9010776908,1,1,1,24849.59,1,24849.59,PE_SINGLE,
010778299C,9010778299,2,6,6,9067.44,99,1549.28,PE_MULTI_PAIR_OK,PAIR_OK
010778914C,9010778914,2,4,4,13715.77,3,13715.77,PE_MULTI_PAIR_OK,PAIR_OK
010779130C,9010779130,1,1,1,12890.54,3,12914.82,PE_SINGLE,
010779912C,9010779912,1,1,1,6702.57,1,6702.57,PE_SINGLE,
010780667C,9010780667,1,1,1,24966.18,1,24966.18,PE_SINGLE,
010780668C,9010780668,1,1,1,23695.58,1,23659.81,PE_SINGLE,
010781117C,9010781117,2,3,3,14279.04,3,14342.15,PE_MULTI_PAIR_OK,PAIR_OK
010782022C,9010782022,1,1,1,8614.03,1,8614.03,PE_SINGLE,
010782192C,9010782192,1,1,1,8414.04,1,8414.04,PE_SINGLE,
010782675C,9010782675,1,1,1,22243.19,1,22243.19,PE_SINGLE,
010782676C,9010782676,1,1,1,33068.9,1,33068.90,PE_SINGLE,
010782818C,9010782818,1,2,1,111.56,99,0.00,PE_SINGLE,
010784179C,9010784179,1,1,1,10000.0,99,0.00,PE_SINGLE,
010784248C,9010784248,1,1,1,4.39,1,7483.45,PE_SINGLE,
010784249C,9010784249,1,1,1,1.91,1,9831.44,PE_SINGLE,
010784592C,9010784592,1,1,1,2500.0,99,0.00,PE_SINGLE,
010784732C,9010784732,1,1,1,5.81,99,0.00,PE_SINGLE,
010785284C,9010785284,1,1,1,22785.28,1,22785.28,PE_SINGLE,
010785320C,9010785320,1,1,1,4000.0,1,4000.00,PE_SINGLE,
010785921C,9010785921,1,1,1,5053.12,1,5053.12,PE_SINGLE,
010786823C,9010786823,1,1,1,36799.09,1,36799.09,PE_SINGLE,
010786824C,9010786824,1,1,1,25546.19,3,25973.55,PE_SINGLE,
010786886C,9010786886,2,1,2,17030.96,3,17030.96,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010787511C,9010787511,1,1,1,31832.34,3,31832.34,PE_SINGLE,
010788426C,9010788426,1,1,1,20000.0,99,0.00,PE_SINGLE,
010789547C,9010789547,1,1,1,3.78,99,0.00,PE_SINGLE,
010790543C,9010790543,1,1,1,29479.09,3,29479.09,PE_SINGLE,
010792037C,9010792037,1,1,1,4891.25,1,4891.25,PE_SINGLE,
010792038C,9010792038,3,1,0,12421.63,3,12452.03,ESTATE_IN,
010792701C,9010792701,1,1,1,10738.04,3,10757.25,PE_SINGLE,
010792705C,9010792705,1,1,1,11.68,1,6000.18,PE_SINGLE,
010792706C,9010792706,1,1,1,107.06,99,0.00,PE_SINGLE,
010793738C,9010793738,1,1,1,22237.46,1,22237.46,PE_SINGLE,
010793970C,9010793970,1,1,1,4568.98,1,4568.98,PE_SINGLE,
010795565C,9010795565,1,1,1,7415.56,1,7415.56,PE_SINGLE,
010795699C,9010795699,1,1,1,2034.34,1,8852.80,PE_SINGLE,
010796464C,9010796464,2,1,2,1601.03,1,6179.99,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010796554C,9010796554,2,2,2,12555.55,99,6415.50,PE_MULTI_PAIR_OK,PAIR_OK
010797854C,9010797854,1,1,1,11267.32,3,11267.32,PE_SINGLE,
010798018C,9010798018,1,1,1,4.06,99,0.00,PE_SINGLE,
010798045C,9010798045,1,1,1,2500.0,1,2500.00,PE_SINGLE,
010800667C,9010800667,1,1,1,9218.66,3,9249.89,PE_SINGLE,
010801178C,9010801178,1,1,1,6106.91,1,6106.91,PE_SINGLE,
010802494C,9010802494,1,3,1,15000.0,99,0.00,PE_SINGLE,
010803051C,9010803051,1,1,1,28484.97,3,28570.75,PE_SINGLE,
010803417C,9010803417,1,1,1,8904.39,1,22804.85,PE_SINGLE,
010803680C,9010803680,1,1,1,9385.57,1,9385.57,PE_SINGLE,
010803681C,9010803681,1,1,1,23267.29,1,23267.29,PE_SINGLE,
010804488C,9010804488,1,1,1,9368.23,1,9368.23,PE_SINGLE,
010804710C,9010804710,1,1,1,2925.77,99,0.00,PE_SINGLE,
010805048C,9010805048,1,1,1,26569.4,99,0.00,PE_SINGLE,
010806412C,9010806412,1,1,1,7735.45,1,7735.45,PE_SINGLE,
010806606C,9010806606,1,1,1,6.89,1,3244.20,PE_SINGLE,
010807792C,9010807792,1,1,1,3346.53,1,3346.53,PE_SINGLE,
010808257C,9010808257,1,1,1,26252.71,1,26252.71,PE_SINGLE,
010809353C,9010809353,1,1,1,6355.77,1,6407.38,PE_SINGLE,
010809581C,9010809581,1,1,1,3306.81,1,3601.64,PE_SINGLE,
010809930C,9010809930,1,1,1,13070.65,3,13070.65,PE_SINGLE,
010809966C,9010809966,1,1,1,8.87,1,4757.24,PE_SINGLE,
010810194C,9010810194,1,1,1,59.38,99,0.00,PE_SINGLE,
010810271C,9010810271,1,2,1,705.55,99,0.00,PE_SINGLE,
010810539C,9010810539,1,1,1,5438.97,1,8945.20,PE_SINGLE,
010810912C,9010810912,1,1,1,9.08,1,5044.23,PE_SINGLE,
010812930C,9010812930,1,1,1,6988.26,1,6988.26,PE_SINGLE,
010813155C,9010813155,1,1,1,15671.73,3,15671.73,PE_SINGLE,
010813804C,9010813804,1,1,1,1714.25,1,2956.56,PE_SINGLE,
010814698C,9010814698,1,1,1,20792.44,1,20792.44,PE_SINGLE,
010814971C,9010814971,2,3,4,8671.57,3,8671.57,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010815003C,9010815003,1,1,1,4850.53,1,4850.53,PE_SINGLE,
010815945C,9010815945,1,1,1,22375.72,1,22375.72,PE_SINGLE,
010816898C,9010816898,1,1,1,1543.03,1,44180.64,PE_SINGLE,
010819267C,9010819267,1,1,1,5978.28,1,5978.28,PE_SINGLE,
010819960C,9010819960,1,1,1,2.0,99,0.00,PE_SINGLE,
010819961C,9010819961,1,1,1,1.96,99,0.00,PE_SINGLE,
010821381C,9010821381,1,1,1,15247.34,1,20339.19,PE_SINGLE,
010822738C,9010822738,1,1,1,9539.65,1,9539.65,PE_SINGLE,
010823601C,9010823601,1,1,1,23148.52,3,23148.52,PE_SINGLE,
010823736C,9010823736,1,1,1,6561.96,1,6561.96,PE_SINGLE,
010823906C,9010823906,1,1,1,11163.08,3,11163.08,PE_SINGLE,
010824098C,9010824098,1,1,1,4556.69,1,4556.69,PE_SINGLE,
010824389C,9010824389,1,1,1,7764.92,1,7764.92,PE_SINGLE,
010824975C,9010824975,1,1,1,5409.67,1,5409.67,PE_SINGLE,
010825027C,9010825027,2,1,2,9569.82,1,9569.82,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010825694C,9010825694,1,1,1,2005.01,1,2633.65,PE_SINGLE,
010826133C,9010826133,1,1,1,7619.27,1,26703.39,PE_SINGLE,
010826812C,9010826812,1,1,1,7073.61,1,7073.61,PE_SINGLE,
010827968C,9010827968,1,1,1,7364.83,1,7364.83,PE_SINGLE,
010828368C,9010828368,1,1,1,153.37,1,4417.72,PE_SINGLE,
010828370C,9010828370,1,1,1,6.74,99,0.00,PE_SINGLE,
010829154C,9010829154,1,1,1,25444.5,3,25487.63,PE_SINGLE,
010831077C,9010831077,1,1,1,28404.69,1,28404.69,PE_SINGLE,
010831719C,9010831719,1,1,1,5616.35,1,5616.35,PE_SINGLE,
010831893C,9010831893,1,1,1,9874.47,1,9874.47,PE_SINGLE,
010832616C,9010832616,1,1,1,4494.97,1,4494.97,PE_SINGLE,
010832617C,9010832617,1,1,1,5525.56,1,6671.56,PE_SINGLE,
010832626C,9010832626,1,1,1,5.38,1,4732.80,PE_SINGLE,
010833595C,9010833595,2,1,2,36409.15,1,36409.15,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010834414C,9010834414,1,1,1,7.29,1,3535.65,PE_SINGLE,
010834489C,9010834489,1,1,1,2642.36,1,2944.92,PE_SINGLE,
010836094C,9010836094,1,1,1,7547.54,1,7547.54,PE_SINGLE,
010836547C,9010836547,2,2,3,25273.96,3,25397.53,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010836582C,9010836582,1,1,1,2407.92,1,2965.44,PE_SINGLE,
010836583C,9010836583,1,1,1,23773.93,1,23773.93,PE_SINGLE,
010836584C,9010836584,1,1,1,7335.94,1,7335.94,PE_SINGLE,
010837522C,9010837522,2,3,4,7548.42,99,243.03,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010838037C,9010838037,1,1,1,6241.08,1,6241.08,PE_SINGLE,
010838654C,9010838654,1,1,1,2783.33,1,3606.53,PE_SINGLE,
010840186C,9010840186,1,1,1,3.66,99,0.00,PE_SINGLE,
010840582C,9010840582,2,1,2,38795.51,3,39039.72,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010840779C,9010840779,1,1,1,21499.07,1,21499.07,PE_SINGLE,
010842284C,9010842284,1,1,1,22172.56,1,22172.56,PE_SINGLE,
010842962C,9010842962,1,1,1,8022.84,1,8022.84,PE_SINGLE,
010843280C,9010843280,1,1,1,39337.85,1,39337.85,PE_SINGLE,
010843553C,9010843553,1,1,1,50134.03,3,50134.03,PE_SINGLE,
010844069C,9010844069,1,1,1,20787.64,1,21148.74,PE_SINGLE,
010844236C,9010844236,1,1,1,4742.57,1,5487.27,PE_SINGLE,
010845548C,9010845548,2,1,2,25127.37,3,25127.37,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010845706C,9010845706,1,1,1,4166.24,1,4166.24,PE_SINGLE,
010845862C,9010845862,1,3,1,12525.0,99,0.00,PE_SINGLE,
010845863C,9010845863,1,2,1,30.32,99,0.00,PE_SINGLE,
010845880C,9010845880,1,1,1,9743.98,1,9743.98,PE_SINGLE,
010846780C,9010846780,1,1,1,4769.89,1,4769.89,PE_SINGLE,
010849122C,9010849122,1,1,1,5864.32,1,5864.32,PE_SINGLE,
010849667C,9010849667,1,1,1,7416.2,1,7416.20,PE_SINGLE,
010851847C,9010851847,1,2,1,1170.52,99,0.00,PE_SINGLE,
010852709C,9010852709,1,1,1,34.06,1,4789.52,PE_SINGLE,
010853287C,9010853287,1,1,1,32837.55,1,32837.55,PE_SINGLE,
010855657C,9010855657,1,1,1,1799.41,1,3041.33,PE_SINGLE,
010856925C,9010856925,1,1,1,4.6,1,9133.44,PE_SINGLE,
010858099C,9010858099,1,1,1,32.82,1,29834.97,PE_SINGLE,
010858488C,9010858488,1,1,1,64307.56,3,64307.56,PE_SINGLE,
010858489C,9010858489,2,2,2,64449.23,3,64449.23,PE_MULTI_PAIR_OK,PAIR_OK
010858587C,9010858587,2,1,2,6213.68,1,6213.68,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010859462C,9010859462,2,4,4,16877.14,3,16962.16,PE_MULTI_PAIR_OK,PAIR_OK
010861363C,9010861363,1,1,1,4823.67,1,4823.67,PE_SINGLE,
010867962C,9010867962,1,1,1,41682.58,3,41682.58,PE_SINGLE,
010868131C,9010868131,2,1,2,3034.17,1,3551.45,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010868189C,9010868189,2,1,2,6003.58,1,6003.58,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010872105C,9010872105,1,1,1,636.78,1,6764.38,PE_SINGLE,
010872326C,9010872326,1,1,1,7690.93,1,7690.93,PE_SINGLE,
010872329C,9010872329,1,1,1,8921.37,1,9069.51,PE_SINGLE,
010872522C,9010872522,1,1,1,106.02,99,0.00,PE_SINGLE,
010872526C,9010872526,1,1,1,25265.97,3,25282.63,PE_SINGLE,
010873499C,9010873499,1,1,1,4367.13,1,4367.13,PE_SINGLE,
010874801C,9010874801,2,2,2,5518.32,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
010877012C,9010877012,2,1,2,9837.12,3,9837.12,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010877480C,9010877480,1,1,1,1862.78,1,2846.86,PE_SINGLE,
010877481C,9010877481,1,1,1,1787.78,1,3020.38,PE_SINGLE,
010879203C,9010879203,2,2,3,20208.33,3,20208.33,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010881272C,9010881272,1,1,1,1764.99,1,4866.14,PE_SINGLE,
010881273C,9010881273,1,1,1,4707.14,1,4707.14,PE_SINGLE,
010881975C,9010881975,1,1,1,11620.3,3,11620.30,PE_SINGLE,
010882195C,9010882195,1,2,1,193.88,99,0.00,PE_SINGLE,
010882416C,9010882416,1,1,1,7.03,99,0.00,PE_SINGLE,
010883239C,9010883239,1,1,1,25.0,99,0.00,PE_SINGLE,
010885383C,9010885383,1,1,1,35272.71,3,35272.71,PE_SINGLE,
010886528C,9010886528,2,1,2,3744.68,1,3744.68,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010889547C,9010889547,1,1,1,25140.63,3,25140.63,PE_SINGLE,
010892696C,9010892696,1,1,1,2000.0,1,3846.66,PE_SINGLE,
010893160C,9010893160,1,1,1,5831.0,1,5831.00,PE_SINGLE,
010894754C,9010894754,1,1,1,9756.02,1,9756.02,PE_SINGLE,
010895675C,9010895675,2,2,2,25124.31,3,25124.31,PE_MULTI_PAIR_OK,PAIR_OK
010895935C,9010895935,1,1,1,246.89,1,2851.01,PE_SINGLE,
010895936C,9010895936,1,1,1,221.89,1,2983.43,PE_SINGLE,
010896931C,9010896931,1,1,1,2836.88,1,3557.00,PE_SINGLE,
010897517C,9010897517,1,1,1,32335.1,1,32335.10,PE_SINGLE,
010897664C,9010897664,1,1,1,21.56,1,8049.23,PE_SINGLE,
010899709C,9010899709,1,1,1,1782.12,1,2784.88,PE_SINGLE,
010899716C,9010899716,1,1,1,3.95,99,0.00,PE_SINGLE,
010899761C,9010899761,1,1,1,1830.18,1,2867.02,PE_SINGLE,
010900154C,9010900154,1,1,1,7344.66,1,7344.66,PE_SINGLE,
010900512C,9010900512,1,1,1,3.32,1,5062.44,PE_SINGLE,
010900971C,9010900971,1,1,1,4685.59,1,4685.59,PE_SINGLE,
010904798C,9010904798,1,1,1,5944.72,1,5944.72,PE_SINGLE,
010904808C,9010904808,1,1,1,140.78,1,2923.15,PE_SINGLE,
010904809C,9010904809,1,1,1,170.34,99,0.00,PE_SINGLE,
010904810C,9010904810,1,1,1,108.49,1,2898.77,PE_SINGLE,
010908069C,9010908069,1,1,1,5581.21,1,5581.21,PE_SINGLE,
010908070C,9010908070,1,1,1,4758.56,1,4758.56,PE_SINGLE,
010913551C,9010913551,1,1,1,7026.66,1,7026.66,PE_SINGLE,
010917231C,9010917231,1,1,1,6.07,1,9643.63,PE_SINGLE,
010917601C,9010917601,1,1,1,33.7,99,0.00,PE_SINGLE,
010917602C,9010917602,1,1,1,9.12,99,0.00,PE_SINGLE,
010919258C,9010919258,1,1,1,50162.56,3,50853.09,PE_SINGLE,
010926347C,9010926347,1,1,1,5176.05,1,5176.05,PE_SINGLE,
010926348C,9010926348,1,1,1,3868.26,1,3868.26,PE_SINGLE,
010927421C,9010927421,1,1,1,69.43,99,0.00,PE_SINGLE,
