lifepro_coverage_id,plan_before,plan_after,plan_crosswalk_authority,form_before,form_after,form_crosswalk_authority,descr_before,descr_after,descr_crosswalk_authority,planname_before,planname_after,friendly_name_crosswalk_authority,plan_changed,form_changed,descr_changed,planname_changed,passthrough_before,passthrough_after,uat_status
1596 667,1596 667,967ADB,967ADB,1596,1596 667,1596 667,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
1596 L01,901ADB,901ADB,901ADB,1596,1596 L01,1596 L01,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DB RIDER -  L01 10Y LT,ACCIDENTAL DB RIDER -  L01 10Y LT,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
619 CH PU,619 CH PU,719CTR,719CTR,619,619 CH PU,619 CH PU,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,DECR TERM PAID UP FOR CHILD,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
619 DT,7619DT,7619DT,7619DT,619,619 DT,619 DT,DECREASING TERM,DECREASING TERM,DECREASING TERM,DECREASING TERM,DECREASING TERM TO AGE 65,DECREASING TERM TO AGE 65,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
619 DT CH,719CDT,719CDT,719CDT,619,619 DT CH,619 DT CH,CHILD DECREASING TERM,CHILD DECREASING TERM,CHILD DECREASING TERM,CHILD DECREASING TERM,CHILD DECREASING TERM - 619 DT,CHILD DECREASING TERM - 619 DT,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
619 DT SP,719SDT,719SDT,719SDT,619,619 DT SP,619 DT SP,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM - 619 DT,SPOUSE DECREASING TERM - 619 DT,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
619 SPS PU,7619PU,7619PU,7619PU,619,619 SPS PU,619 SPS PU,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM TO AGE 65,DECREASING TERM TO AGE 65,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
621 END85,221END,221END,221END,620,621 END85,621 END85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,ENDOWMENT AT AGE 85,N,Y,N,N,N,N,AUTHORITY_ALIGNED
621 PUA,621 PUA,121PUA,121PUA,620,621 PUA,621 PUA,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,PAID UP ADDS - ENDOWMENT AT AGE 85,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
622 END85,222END,222END,222END,620,622 END85,622 END85,20 PAY ENDOWMENT AT AGE 85,20 PAY ENDOWMENT AT AGE 85,20 PAY ENDOWMENT AT AGE 85,20 PAY ENDOWMENT AT AGE 85,"ENDOWMENT AT AGE 85, PREM PAY FOR 20YR","ENDOWMENT AT AGE 85, PREM PAY FOR 20YR",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
630 JEB,630 JEB,130JEB,130JEB,620,630 JEB,630 JEB,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
646 ART,646 ART,5646AT,5646AT,667,646 ART,646 ART,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
647 FLP,7647FP,7647FP,7647FP,647,647 FLP,647 FLP,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECR TERM - 647 FLP,FAMILY LIFE DECR TERM - 647 FLP,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
647 FLP CH,7647CH,7647CH,7647CH,647,647 FLP CH,647 FLP CH,CHILD - FAMILY LIFE DECREASING TERM,CHILD - FAMILY LIFE DECREASING TERM,CHILD - FAMILY LIFE DECREASING TERM,CHILD - FAMILY LIFE DECREASING TERM,CHILD FAMILY DECR TERM - 647 FLP,CHILD FAMILY DECR TERM - 647 FLP,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
647 FLP SP,7647SP,7647SP,7647SP,647,647 FLP SP,647 FLP SP,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE FAMILY LIFE DECR TERM - 647 FLP,SPOUSE FAMILY LIFE DECR TERM - 647 FLP,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
658 CEN I,1658C1,1658C1,1658C1,658,658 CEN I,658 CEN I,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB","CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
658 CEN SD,1658CS,1658CS,1658CS,658,658 CEN SD,658 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, FIXED PREMIUM","CENSI-LIFE I: WL, FIXED PREMIUM",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
659 CEN II,1659C2,1659C2,1659C2,659,659 CEN II,659 CEN II,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN","CENSI-LIFE II: WL, FIXED PREM OP, VAN",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
659 CEN SD,1659CS,1659CS,1659CS,659,659 CEN SD,659 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: FIXED PREM OP, VAN, GDB","CENSI-LIFE II: FIXED PREM OP, VAN, GDB",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
659 CEN SR,1659CR,1659CR,1659CR,659,659 CEN SR,659 CEN SR,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN","CENSI-LIFE II: WL, FIXED PREM OP, VAN",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
659 SR GD,1659SR,1659SR,1659SR,659,659 SR GD,659 SR GD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: VAN PREM, LOAN OP, GDB","CENSI-LIFE II: VAN PREM, LOAN OP, GDB",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
665 PUA,265PUA,265PUA,265PUA,665,665 PUA,665 PUA,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PUAS FOR 665 STME95,PUAS FOR 665 STME95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
665 STME95,2665ST,2665ST,2665ST,665,665 STME95,665 STME95,STATESMAN MOD ENDOW AT 95,STATESMAN MOD ENDOW AT 95,STATESMAN MOD ENDOW AT 95,STATESMAN MOD ENDOW AT 95,MODIFIED PREMIUM ENDOWMENT AT AGE 95,MODIFIED PREMIUM ENDOWMENT AT AGE 95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
666 WL,1666WL,1666WL,1666WL,666,666 WL,666 WL,MULTIPLE INSUREDS WHOLE LIFE,MULTIPLE INSUREDS WHOLE LIFE,MULTIPLE INSUREDS WHOLE LIFE,MULTIPLE INSUREDS WHOLE LIFE,"WL, GUAR RATES & CV, DB INCREASES","WL, GUAR RATES & CV, DB INCREASES",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
667 ART,5667AT,5667AT,5667AT,667,667 ART,667 ART,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,ANNUAL RENEWABLE TERM,N,Y,N,N,N,N,AUTHORITY_ALIGNED
667 ART CR,667 ART CR,57ATCR,57ATCR,667,667 ART CR,667 ART CR,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,ART PREFERRED CREDIT LIFE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
668 SPWL,1668SP,1668SP,1668SP,668,668 SPWL,668 SPWL,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,N,Y,N,N,N,N,AUTHORITY_ALIGNED
669 SR GD,669 SR GD,1669SR,1669SR,659,669 SR GD,669 SR GD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
670 GL85-8,170858,170858,170858,960,670 GL85-8,670 GL85-8,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
670 GL8588,170588,170588,170588,960,670 GL8588,670 GL8588,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
670 GL85-M,17085M,17085M,17085M,960,670 GL85-M,670 GL85-M,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
670 PUA,170PUA,170PUA,170PUA,960,670 PUA,670 PUA,PAID UP ADDS - LIFE PAID UP AT 85/88,PAID UP ADDS - LIFE PAID UP AT 85/88,PAID UP ADDS - LIFE PAID UP AT 85/88,PAID UP ADDS - LIFE PAID UP AT 85/88,"PUAS FOR 670 GL 8588, 85-8, 85-M","PUAS FOR 670 GL 8588, 85-8, 85-M",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
679 CEN SD,1679CS,1679CS,1679CS,679,679 CEN SD,679 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,INTEREST-SENSITIVE WHOLE LIFE,"CHOICE PLUS: VAN PREM, EMPL SPON, LOANS","CHOICE PLUS: VAN PREM, EMPL SPON, LOANS",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
686S 30MRG,686S 30MRG,7686S3,7686S3,686,686S 30MRG,686S 30MRG,DECREASING TERM LIFE,DECREASING TERM LIFE,DECREASING TERM LIFE,DECREASING TERM LIFE,DECREASING TERM LIFE,DECREASING TERM LIFE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
687J 30MRG,687J 30MRG,7687J3,7687J3,687,687J 30MRG,687J 30MRG,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,JOINT DECREASING TERM LIFE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
690 DT 65,690 DT 65,7690DT,7690DT,690,690 DT 65,690 DT 65,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,DEC TERM TO 65 CONVERTIBLE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
8034 30MRG,8034 30MRG,934SWP,934SWP,8034,8034 30MRG,8034 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,DISABILITY WAIVER OF PREMIUM 30MRG,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
8034 J30MT,8034 J30MT,934JWP,934JWP,8034,8034 J30MT,8034 J30MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
8042 STR,542STR,542STR,542STR,8042,8042 STR,8042 STR,SPOUSE TERM RIDER,SPOUSE TERM RIDER,SPOUSE TERM RIDER,SPOUSE TERM RIDER,SPOUSE TERM RIDER - 658 CEN I,SPOUSE TERM RIDER - 658 CEN I,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
8042STR WP,9STRWP,9STRWP,9STRWP,NA,8042STR WP,8042STR WP,8042 STR WAIVER OF PREMIUM,8042 STR WAIVER OF PREMIUM,8042 STR WAIVER OF PREMIUM,8042 STR WAIVER OF PREMIUM,STR WAIVER OF PREMIUM - 658 CEN I,STR WAIVER OF PREMIUM - 658 CEN I,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
8043 CTR,543CTR,543CTR,543CTR,8043,8043 CTR,8043 CTR,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,N,Y,N,N,N,N,AUTHORITY_ALIGNED
