qla,lp,phase,plan,mode,units,ann,mode_prem,current,proposed,delta,ann_blank,reconstruct
010893387C,9010893387,1,1668SP,12,3.737,0.0,1559.0,1559.0,417.179556,-1141.820444,True,1559.0
011045407C,9011045407,1,1668SP,12,3.04111,0.0,1671.85,1671.85,549.749927,-1122.100073,True,1671.85
011064816C,9011064816,1,1668SP,12,25.0,0.0,1164.25,1164.25,46.57,-1117.68,True,1164.25
010841471C,9010841471,1,1668SP,12,3.71299,0.0,1527.97,1527.97,411.520096,-1116.449904,True,1527.97
010715467C,9010715467,1,1659C2,12,50.0,0.0,1129.0,1129.0,22.58,-1106.42,True,1129.0
011086714C,9011086714,1,1668SP,12,10.0,0.0,1205.1,1205.1,120.51,-1084.59,True,1205.1
010893115C,9010893115,1,1659C2,12,100.0,0.0,1074.0,1074.0,10.74,-1063.26,True,1074.0
010903917C,9010903917,1,1668SP,12,6.28626,0.0,1257.0,1257.0,199.959913,-1057.040087,True,1257.0
010843241C,9010843241,1,1659C2,12,50.0,0.0,1075.5,1075.5,21.51,-1053.99,True,1075.5
010718495C,9010718495,1,1659C2,12,25.0,0.0,1095.75,1095.75,43.83,-1051.92,True,1095.75
011073327C,9011073327,1,1668SP,12,8.32098,0.0,1178.75,1178.75,141.659997,-1037.090003,True,1178.75
010767172C,9010767172,1,1659C2,12,75.0,0.0,1024.0,1024.0,13.653333,-1010.346667,True,1024.0
010840404C,9010840404,1,1659C2,12,50.0,0.0,1025.5,1025.5,20.51,-1004.99,True,1025.5
010844499C,9010844499,1,1668SP,12,6.16128,0.0,1194.24,1194.24,193.829854,-1000.410146,True,1194.24
010856175C,9010856175,1,1668SP,12,7.33412,0.0,1147.35,1147.35,156.440036,-990.909964,True,1147.35
010838037C,9010838037,1,1668SP,12,4.0443,0.0,1300.0,1300.0,321.440051,-978.559949,True,1300.0
011086717C,9011086717,1,1668SP,12,15.0,0.0,1047.3,1047.3,69.82,-977.48,True,1047.3
010841215C,9010841215,1,1668SP,12,25.23341,0.0,1000.0,1000.0,39.629998,-960.370002,True,1000.0
011047873C,9011047873,1,1668SP,12,25.23341,0.0,1000.0,1000.0,39.629998,-960.370002,True,1000.0
011086716C,9011086716,1,1668SP,12,10.0,0.0,1042.3,1042.3,104.23,-938.07,True,1042.3
010840780C,9010840780,1,1668SP,12,3.60405,0.0,1289.89,1289.89,357.90014,-931.98986,True,1289.89
010795361C,9010795361,1,1659C2,12,50.0,0.0,934.5,934.5,18.69,-915.81,True,934.5
010799675C,9010799675,1,1659C2,12,50.0,0.0,934.5,934.5,18.69,-915.81,True,934.5
010841345C,9010841345,1,1668SP,12,3.62961,0.0,1253.74,1253.74,345.420031,-908.319969,True,1253.74
010722734C,9010722734,1,1659C2,12,100.0,0.0,912.0,912.0,9.12,-902.88,True,912.0
010771339C,9010771339,1,1659C2,12,100.0,0.0,912.0,912.0,9.12,-902.88,True,912.0
010850817C,9010850817,1,1668SP,12,4.0067,0.0,1196.36,1196.36,298.589862,-897.770138,True,1196.36
010765339C,9010765339,1,1659C2,12,75.0,0.0,894.25,894.25,11.923333,-882.326667,True,894.25
010788426C,9010788426,1,1659CR,12,20.0,0.0,928.6,928.6,46.43,-882.17,True,928.6
011032898C,9011032898,1,1659C2,12,30.0,0.0,905.2,905.2,30.173333,-875.026667,True,905.2
010723388C,9010723388,1,1659C2,12,100.0,0.0,882.0,882.0,8.82,-873.18,True,882.0
010924475C,9010924475,1,1668SP,12,2.68359,0.0,1389.0,1389.0,517.590243,-871.409757,True,1389.0
010785163C,9010785163,1,1659C2,12,100.0,0.0,879.0,879.0,8.79,-870.21,True,879.0
011069655C,9011069655,1,1659C2,12,100.0,0.0,869.0,869.0,8.69,-860.31,True,869.0
010900150C,9010900150,1,1668SP,12,4.58518,0.0,1086.0,1086.0,236.850026,-849.149974,True,1086.0
010723386C,9010723386,1,1659C2,12,100.0,0.0,852.0,852.0,8.52,-843.48,True,852.0
010747186C,9010747186,1,1659C2,12,100.0,0.0,847.0,847.0,8.47,-838.53,True,847.0
010852368C,9010852368,1,1668SP,12,6.1192,0.0,1000.0,1000.0,163.420055,-836.579945,True,1000.0
010759529C,9010759529,1,1659C2,12,12.25992,0.0,892.5,892.5,72.798191,-819.701809,True,892.5
010845194C,9010845194,1,1668SP,12,5.3801,0.0,1000.0,1000.0,185.870151,-814.129849,True,1000.0
010822097C,9010822097,1,1659C2,12,50.0,0.0,797.5,797.5,15.95,-781.55,True,797.5
010900144C,9010900144,1,1668SP,12,2.69248,0.0,1237.33,1237.33,459.550303,-777.779697,True,1237.33
010821902C,9010821902,1,1659CR,12,15.0,0.0,818.65,818.65,54.576667,-764.073333,True,818.65
010771580C,9010771580,1,1659CR,12,20.0,0.0,793.8,793.8,39.69,-754.11,True,793.8
010824098C,9010824098,1,1668SP,12,3.89909,0.0,1000.0,1000.0,256.470099,-743.529901,True,1000.0
011110946C,9011110946,1,1659C2,12,50.0,0.0,755.5,755.5,15.11,-740.39,True,755.5
010776445C,9010776445,1,1659C2,12,42.0,0.0,753.7,753.7,17.945238,-735.754762,True,753.7
010780403C,9010780403,1,1659CR,12,20.0,0.0,752.8,752.8,37.64,-715.16,True,752.8
010841973C,9010841973,1,1668SP,12,3.37302,0.0,1007.15,1007.15,298.589988,-708.560012,True,1007.15
010904649C,9010904649,1,1668SP,12,2.44665,0.0,1190.0,1190.0,486.379335,-703.620665,True,1190.0
010846780C,9010846780,1,1668SP,12,2.96189,0.0,1060.06,1060.06,357.899854,-702.160146,True,1060.06
011001990C,9011001990,1,1668SP,12,3.32105,0.0,1000.0,1000.0,301.109589,-698.890411,True,1000.0
010863334C,9010863334,1,1659C2,12,25.0,0.0,717.25,717.25,28.69,-688.56,True,717.25
011002254C,9011002254,1,1659C2,12,25.0,0.0,717.25,717.25,28.69,-688.56,True,717.25
010793582C,9010793582,1,1659C2,12,25.0,0.0,716.0,716.0,28.64,-687.36,True,716.0
010851148C,9010851148,1,1658C1,12,50.0,0.0,686.0,686.0,13.72,-672.28,True,686.0
010754485C,9010754485,1,1659C2,12,25.0,0.0,678.5,678.5,27.14,-651.36,True,678.5
010781713C,9010781713,1,1659C2,12,25.0,0.0,678.5,678.5,27.14,-651.36,True,678.5
010807963C,9010807963,1,1659C2,12,25.0,0.0,678.5,678.5,27.14,-651.36,True,678.5
010833595C,9010833595,1,1659C2,12,62.0,0.0,655.54,655.54,10.573226,-644.966774,True,655.54
010849296C,9010849296,1,1659CR,12,19.0,0.0,679.93,679.93,35.785789,-644.144211,True,679.93
010779074C,9010779074,1,1659CR,12,20.0,0.0,677.4,677.4,33.87,-643.53,True,677.4
010877890C,9010877890,1,1659SR,12,20.0,0.0,677.4,677.4,33.87,-643.53,True,677.4
010776831C,9010776831,1,1659C2,12,35.0,0.0,661.65,661.65,18.904286,-642.745714,True,661.65
010825053C,9010825053,1,1659C2,12,30.0,0.0,655.3,655.3,21.843333,-633.456667,True,655.3
010786490C,9010786490,1,1659CR,12,11.9,0.0,688.07,688.07,57.821008,-630.248992,True,688.07
010929235C,9010929235,1,1668SP,12,2.69804,0.0,1000.0,1000.0,370.639427,-629.360573,True,1000.0
010783883C,9010783883,1,1659CR,12,15.0,0.0,667.45,667.45,44.496667,-622.953333,True,667.45
011048543C,9011048543,1,1659CR,12,15.0,0.0,667.45,667.45,44.496667,-622.953333,True,667.45
011048882C,9011048882,1,1659CR,12,15.0,0.0,667.45,667.45,44.496667,-622.953333,True,667.45
010724510C,9010724510,1,1659C2,12,50.0,0.0,633.5,633.5,12.67,-620.83,True,633.5
010773882C,9010773882,1,1659C2,12,50.0,0.0,633.5,633.5,12.67,-620.83,True,633.5
010779031C,9010779031,1,1659C2,12,100.0,0.0,626.0,626.0,6.26,-619.74,True,626.0
010775244C,9010775244,1,1659C2,12,25.0,0.0,642.5,642.5,25.7,-616.8,True,642.5
010805041C,9010805041,1,1659C2,12,25.0,0.0,642.5,642.5,25.7,-616.8,True,642.5
010790176C,9010790176,1,1659CR,12,20.0,0.0,642.4,642.4,32.12,-610.28,True,642.4
010764368C,9010764368,1,1659C2,12,40.0,0.0,609.4,609.4,15.235,-594.165,True,609.4
010774773C,9010774773,1,1659C2,12,50.0,0.0,604.5,604.5,12.09,-592.41,True,604.5
010807493C,9010807493,1,1659C2,12,25.0,0.0,608.75,608.75,24.35,-584.4,True,608.75
010891087C,9010891087,1,1659C2,12,25.0,0.0,608.75,608.75,24.35,-584.4,True,608.75
010769032C,9010769032,1,1659CR,12,10.0,0.0,643.5,643.5,64.35,-579.15,True,643.5
011032897C,9011032897,1,1659C2,12,30.0,0.0,597.4,597.4,19.913333,-577.486667,True,597.4
010718277C,9010718277,1,1659C2,12,50.0,0.0,585.5,585.5,11.71,-573.79,True,585.5
010844324C,9010844324,1,1659C2,12,50.0,0.0,585.5,585.5,11.71,-573.79,True,585.5
011051323C,9011051323,1,1659C2,12,51.78092,0.0,568.18,568.18,10.972768,-557.207232,True,568.18
010774868C,9010774868,1,1659C2,12,25.0,0.0,579.0,579.0,23.16,-555.84,True,579.0
010808545C,9010808545,1,1659C2,12,25.0,0.0,577.0,577.0,23.08,-553.92,True,577.0
010820635C,9010820635,1,1659C2,12,25.0,0.0,577.0,577.0,23.08,-553.92,True,577.0
010889785C,9010889785,1,1659C2,12,25.0,0.0,577.0,577.0,23.08,-553.92,True,577.0
010849882C,9010849882,1,1659CR,12,10.0,0.0,611.5,611.5,61.15,-550.35,True,611.5
011082681C,9011082681,1,1659CR,12,10.0,0.0,611.5,611.5,61.15,-550.35,True,611.5
010793353C,9010793353,1,1658C1,12,75.0,0.0,557.5,557.5,7.433333,-550.066667,True,557.5
010898545C,9010898545,1,1668SP,12,2.17604,0.0,1000.0,1000.0,459.550376,-540.449624,True,1000.0
010943849C,9010943849,1,1659CR,12,15.0,0.0,570.85,570.85,38.056667,-532.793333,True,570.85
010757801C,9010757801,1,1659C2,12,60.0,0.0,537.4,537.4,8.956667,-528.443333,True,537.4
010818580C,9010818580,1,1659C2,12,25.0,0.0,549.5,549.5,21.98,-527.52,True,549.5
011020938C,9011020938,1,1659C2,12,25.0,0.0,549.5,549.5,21.98,-527.52,True,549.5
011085562C,9011085562,1,1668SP,12,2.10904,0.0,1000.0,1000.0,474.149376,-525.850624,True,1000.0
010784179C,9010784179,1,1659CR,12,10.0,0.0,582.2,582.2,58.22,-523.98,True,582.2
010761882C,9010761882,1,1659CR,12,20.0,0.0,548.0,548.0,27.4,-520.6,True,548.0
010787639C,9010787639,1,1659CR,12,20.0,0.0,548.0,548.0,27.4,-520.6,True,548.0
010811998C,9010811998,1,1659CR,12,20.0,0.0,548.0,548.0,27.4,-520.6,True,548.0
010947866C,9010947866,1,1659CR,12,20.0,0.0,548.0,548.0,27.4,-520.6,True,548.0
010761943C,9010761943,1,1659CR,12,8.97578,0.0,577.8,577.8,64.373236,-513.426764,True,577.8
010723524C,9010723524,1,1659C2,12,50.0,0.0,517.0,517.0,10.34,-506.66,True,517.0
010760943C,9010760943,1,1659C2,12,50.0,0.0,517.0,517.0,10.34,-506.66,True,517.0
010872331C,9010872331,1,1659C2,12,50.0,0.0,517.0,517.0,10.34,-506.66,True,517.0
010811652C,9010811652,1,1659SR,12,15.0,0.0,542.05,542.05,36.136667,-505.913333,True,542.05
010857881C,9010857881,1,1659C2,12,25.0,0.0,525.25,525.25,21.01,-504.24,True,525.25
010723387C,9010723387,1,1659C2,12,100.0,0.0,509.0,509.0,5.09,-503.91,True,509.0
010776555C,9010776555,1,1659CR,12,11.1,0.0,553.8,553.8,49.891892,-503.908108,True,553.8
010778635C,9010778635,1,1659C2,12,25.0,0.0,522.0,522.0,20.88,-501.12,True,522.0
010826810C,9010826810,1,1659C2,12,25.0,0.0,522.0,522.0,20.88,-501.12,True,522.0
010800881C,9010800881,1,1659C2,12,50.0,0.0,501.0,501.0,10.02,-490.98,True,501.0
010777059C,9010777059,1,1659C2,12,25.0,0.0,502.0,502.0,20.08,-481.92,True,502.0
010886812C,9010886812,1,1659C2,12,25.0,0.0,502.0,502.0,20.08,-481.92,True,502.0
010792884C,9010792884,1,1659C2,12,50.0,0.0,484.5,484.5,9.69,-474.81,True,484.5
010947021C,9010947021,1,1659CR,12,10.0,0.0,527.2,527.2,52.72,-474.48,True,527.2
010812225C,9010812225,1,1659C2,12,30.0,0.0,488.5,488.5,16.283333,-472.216667,True,488.5
010778381C,9010778381,1,1659C2,12,16.32701,0.0,502.0,502.0,30.746597,-471.253403,True,502.0
010760872C,9010760872,1,1659CR,12,12.0,0.0,511.96,511.96,42.663333,-469.296667,True,511.96
011066252C,9011066252,1,1659CR,12,7.5,0.0,539.8,539.8,71.973333,-467.826667,True,539.8
010813955C,9010813955,1,1659CR,12,12.5,0.0,505.5,505.5,40.44,-465.06,True,505.5
010808895C,9010808895,1,1658C1,12,50.0,0.0,472.0,472.0,9.44,-462.56,True,472.0
010765198C,9010765198,1,1659CR,12,16.0,0.0,492.36,492.36,30.7725,-461.5875,True,492.36
010798031C,9010798031,1,1659C2,12,40.0,0.0,473.4,473.4,11.835,-461.565,True,473.4
010787147C,9010787147,1,1659C2,12,25.0,0.0,479.75,479.75,19.19,-460.56,True,479.75
010825639C,9010825639,1,1659C2,12,25.0,0.0,479.75,479.75,19.19,-460.56,True,479.75
011038778C,9011038778,1,1659C2,12,50.0,0.0,468.5,468.5,9.37,-459.13,True,468.5
010799821C,9010799821,1,1659CR,12,10.0,0.0,501.4,501.4,50.14,-451.26,True,501.4
011048886C,9011048886,1,1659CR,12,10.0,0.0,501.4,501.4,50.14,-451.26,True,501.4
011077285C,9011077285,1,1659C2,3,100.0,0.0,447.93,447.93,4.4793,-443.4507,True,447.93
010760298C,9010760298,1,1659C2,12,25.0,0.0,458.75,458.75,18.35,-440.4,True,458.75
010771833C,9010771833,1,1659C2,12,25.0,0.0,458.75,458.75,18.35,-440.4,True,458.75
010772898C,9010772898,1,1659C2,12,25.0,0.0,458.75,458.75,18.35,-440.4,True,458.75
010799590C,9010799590,1,1659C2,12,25.0,0.0,458.75,458.75,18.35,-440.4,True,458.75
010751933C,9010751933,1,1659C2,3,73.6737,0.0,445.96,445.96,6.053178,-439.906822,True,445.96
010774772C,9010774772,1,1659C2,12,50.0,0.0,448.0,448.0,8.96,-439.04,True,448.0
011001984C,9011001984,1,1659CR,12,6.0,0.0,523.42,523.42,87.236667,-436.183333,True,523.42
010794098C,9010794098,1,1659C2,12,25.0,0.0,448.75,448.75,17.95,-430.8,True,448.75
010794116C,9010794116,1,1659C2,12,25.0,0.0,448.75,448.75,17.95,-430.8,True,448.75
010773088C,9010773088,1,1659CR,12,10.0,0.0,476.8,476.8,47.68,-429.12,True,476.8
010876417C,9010876417,1,1659CR,12,10.0,0.0,476.8,476.8,47.68,-429.12,True,476.8
011045618C,9011045618,1,1659CR,12,10.0,0.0,476.8,476.8,47.68,-429.12,True,476.8
010762678C,9010762678,1,1659CR,12,9.04949,0.0,479.47,479.47,52.983096,-426.486904,True,479.47
010776832C,9010776832,1,1659C2,12,35.0,0.0,430.65,430.65,12.304286,-418.345714,True,430.65
010790758C,9010790758,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010803681C,9010803681,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010818531C,9010818531,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010823597C,9010823597,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010891309C,9010891309,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010891328C,9010891328,1,1659C2,12,25.0,0.0,433.5,433.5,17.34,-416.16,True,433.5
010814693C,9010814693,1,1659C2,12,45.0,0.0,424.15,424.15,9.425556,-414.724444,True,424.15
010826524C,9010826524,1,1659C2,12,50.0,0.0,419.5,419.5,8.39,-411.11,True,419.5
011038780C,9011038780,1,1659C2,12,50.0,0.0,419.5,419.5,8.39,-411.11,True,419.5
010763006C,9010763006,1,1659C2,12,30.0,0.0,424.6,424.6,14.153333,-410.446667,True,424.6
011045350C,9011045350,1,1659CR,12,15.0,0.0,439.6,439.6,29.306667,-410.293333,True,439.6
010784370C,9010784370,1,1659C2,12,25.0,0.0,427.25,427.25,17.09,-410.16,True,427.25
010784054C,9010784054,1,1659CR,12,10.0,0.0,453.3,453.3,45.33,-407.97,True,453.3
010778464C,9010778464,1,1659CR,12,17.0,0.0,423.14,423.14,24.890588,-398.249412,True,423.14
011032672C,9011032672,1,1659C2,12,50.0,0.0,403.5,403.5,8.07,-395.43,True,403.5
010802045C,9010802045,1,1659C2,12,25.0,0.0,411.25,411.25,16.45,-394.8,True,411.25
010807941C,9010807941,1,1659C2,12,25.0,0.0,411.25,411.25,16.45,-394.8,True,411.25
010779191C,9010779191,1,1659C2,12,25.0,0.0,407.5,407.5,16.3,-391.2,True,407.5
010802626C,9010802626,1,1659C2,12,25.0,0.0,407.5,407.5,16.3,-391.2,True,407.5
010881301C,9010881301,1,1659C2,12,25.0,0.0,407.5,407.5,16.3,-391.2,True,407.5
010948241C,9010948241,1,1659CR,12,15.0,0.0,417.25,417.25,27.816667,-389.433333,True,417.25
010808553C,9010808553,1,1659C2,12,27.0,0.0,401.65,401.65,14.875926,-386.774074,True,401.65
010753311C,9010753311,1,1659CR,12,9.0,0.0,431.62,431.62,47.957778,-383.662222,True,431.62
010814933C,9010814933,1,1659CR,12,14.0,0.0,411.96,411.96,29.425714,-382.534286,True,411.96
010806155C,9010806155,1,1659CR,12,10.3,0.0,420.93,420.93,40.86699,-380.06301,True,420.93
010808257C,9010808257,1,1659C2,12,25.0,0.0,393.5,393.5,15.74,-377.76,True,393.5
010754359C,9010754359,1,1659C2,12,25.0,0.0,390.25,390.25,15.61,-374.64,True,390.25
010769227C,9010769227,1,1659C2,12,25.0,0.0,390.25,390.25,15.61,-374.64,True,390.25
010771532C,9010771532,1,1659C2,12,25.0,0.0,390.25,390.25,15.61,-374.64,True,390.25
010947870C,9010947870,1,1659C2,12,25.0,0.0,390.25,390.25,15.61,-374.64,True,390.25
010764834C,9010764834,1,1659CR,12,8.0,0.0,426.76,426.76,53.345,-373.415,True,426.76
010816803C,9010816803,1,1659C2,12,25.0,0.0,388.75,388.75,15.55,-373.2,True,388.75
010802649C,9010802649,1,1659CR,12,10.0,0.0,409.4,409.4,40.94,-368.46,True,409.4
010846459C,9010846459,1,1659CR,12,10.0,0.0,409.4,409.4,40.94,-368.46,True,409.4
010917172C,9010917172,1,1659C2,12,30.0,0.0,380.8,380.8,12.693333,-368.106667,True,380.8
010736036C,9010736036,1,1658C1,12,25.0,0.0,382.0,382.0,15.28,-366.72,True,382.0
010729999C,9010729999,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010769606C,9010769606,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010780510C,9010780510,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010787237C,9010787237,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010813392C,9010813392,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010819280C,9010819280,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010886851C,9010886851,1,1659C2,12,25.0,0.0,373.75,373.75,14.95,-358.8,True,373.75
010878592C,9010878592,1,1659C2,12,25.0,0.0,371.5,371.5,14.86,-356.64,True,371.5
010784074C,9010784074,1,1659C2,12,50.0,0.0,361.5,361.5,7.23,-354.27,True,361.5
010791176C,9010791176,1,1659CR,12,5.0,0.0,440.35,440.35,88.07,-352.28,True,440.35
010803775C,9010803775,1,1659CR,12,15.0,0.0,376.3,376.3,25.086667,-351.213333,True,376.3
011042946C,9011042946,1,1659CR,12,15.0,0.0,376.3,376.3,25.086667,-351.213333,True,376.3
010764812C,9010764812,1,1659CR,12,10.0,0.0,388.9,388.9,38.89,-350.01,True,388.9
010786015C,9010786015,1,1659CR,12,10.0,0.0,388.9,388.9,38.89,-350.01,True,388.9
010802646C,9010802646,1,1659CR,12,10.0,0.0,388.9,388.9,38.89,-350.01,True,388.9
011069253C,9011069253,1,1659CR,12,10.0,0.0,388.9,388.9,38.89,-350.01,True,388.9
010760840C,9010760840,1,1659C2,12,35.0,0.0,358.2,358.2,10.234286,-347.965714,True,358.2
011057611C,9011057611,1,1659CR,12,6.0,0.0,416.26,416.26,69.376667,-346.883333,True,416.26
010784914C,9010784914,1,1659C2,12,40.0,0.0,353.8,353.8,8.845,-344.955,True,353.8
010781128C,9010781128,1,1659C2,12,28.0,0.0,357.08,357.08,12.752857,-344.327143,True,357.08
010825720C,9010825720,1,1659C2,3,100.0,0.0,347.22,347.22,3.4722,-343.7478,True,347.22
010738672C,9010738672,1,1659C2,12,25.0,0.0,358.0,358.0,14.32,-343.68,True,358.0
010803660C,9010803660,1,1659C2,12,25.0,0.0,358.0,358.0,14.32,-343.68,True,358.0
010815680C,9010815680,1,1659C2,12,25.0,0.0,358.0,358.0,14.32,-343.68,True,358.0
