MPOLICY,MSPLIT_TOTAL
010935469C,200.0
010935470C,200.0
010936709C,200.0
010938121C,200.0
010939731C,200.0
010942232C,200.0
010945534C,200.0
010946392C,200.0
010947866C,200.0
010949295C,200.0
010952369C,200.0
010954823C,200.0
010963046C,200.0
010968689C,200.0
010969153C,200.0
010971528C,200.0
010977876C,200.0
010978232C,200.0
010981739C,200.0
010985217C,200.0
010987095C,200.0
010988538C,200.0
010992096C,200.0
011000026C,200.0
011001627C,200.0
011001984C,200.0
011002254C,200.0
011002664C,200.0
011003325C,200.0
011004112C,200.0
011005041C,200.0
011011703C,200.0
011015419C,200.0
011017289C,200.0
011017841C,200.0
011019552C,200.0
011023481C,200.0
011024164C,200.0
011025088C,200.0
011026337C,200.0
011029696C,200.0
011030877C,200.0
011033576C,200.0
011035773C,200.0
011036054C,200.0
011038065C,200.0
011038386C,200.0
011042434C,200.0
011044132C,200.0
011045768C,200.0
011045769C,200.0
011047682C,200.0
011047683C,200.0
011047684C,200.0
011048882C,200.0
011050973C,200.0
011051051C,200.0
011052737C,200.0
011053076C,200.0
011053767C,200.0
011054122C,200.0
011054196C,200.0
011054606C,200.0
011057485C,200.0
011057611C,200.0
011057654C,200.0
011059202C,200.0
011059456C,200.0
011061924C,200.0
011064804C,200.0
011064956C,200.0
011065352C,200.0
011067789C,200.0
011068375C,200.0
011069093C,200.0
011069610C,200.0
011069654C,200.0
011069655C,200.0
011072648C,200.0
011072813C,200.0
011074378C,200.0
011075754C,200.0
011076218C,200.0
011076219C,200.0
011077008C,200.0
011077143C,200.0
011077363C,200.0
011078174C,200.0
011078175C,200.0
011080481C,200.0
011080551C,200.0
011080627C,200.0
011081966C,200.0
011081967C,200.0
011083518C,200.0
011083519C,200.0
011083820C,200.0
011084240C,200.0
011084516C,200.0
011085562C,200.0
011085737C,200.0
011087325C,200.0
011088934C,200.0
011088935C,200.0
011089233C,200.0
011089392C,200.0
011090113C,200.0
011093883C,200.0
011095600C,200.0
011097649C,200.0
011097650C,200.0
011098620C,200.0
011100026C,200.0
011100498C,200.0
011100907C,200.0
011101252C,200.0
011101607C,200.0
011105008C,200.0
011105332C,200.0
011106176C,200.0
011106177C,200.0
011106246C,200.0
011106491C,200.0
011107129C,200.0
011107331C,200.0
011107893C,200.0
011108606C,200.0
011109446C,200.0
011110116C,200.0
011110271C,200.0
011110698C,200.0
011111635C,200.0
011111930C,200.0
011113236C,200.0
011113309C,200.0
011114096C,200.0
011114119C,200.0
011115534C,200.0
011115885C,200.0
011118536C,200.0
011120375C,200.0
011120482C,200.0
011122810C,200.0
011123322C,200.0
011124205C,200.0
011124924C,200.0
011124987C,200.0
011125470C,200.0
011126217C,200.0
011126218C,200.0
011128643C,200.0
011128980C,200.0
011129276C,200.0
011130433C,200.0
011130753C,200.0
011132834C,200.0
011133146C,200.0
011133747C,200.0
011134770C,200.0
011136147C,200.0
011136536C,200.0
011136667C,200.0
011136932C,200.0
011137768C,200.0
011137858C,200.0
011139254C,200.0
011139937C,200.0
011140100C,200.0
011140516C,200.0
011140652C,200.0
011141741C,200.0
011141942C,200.0
011142605C,200.0
011143147C,200.0
011143825C,200.0
011145881C,200.0
011146243C,200.0
011146268C,200.0
011146845C,200.0
011146946C,200.0
011150003C,200.0
011150263C,200.0
011150430C,200.0
011150947C,200.0
011150948C,200.0
011150971C,200.0
011151209C,200.0
011151540C,200.0
011152870C,200.0
011153148C,200.0
011153183C,200.0
011153546C,200.0
011153547C,200.0
011153873C,200.0
011154856C,200.0
011155011C,200.0
011155359C,200.0
011155653C,200.0
011158071C,200.0
011158320C,200.0
011158530C,200.0
011158531C,200.0
011158638C,200.0
011159289C,200.0
011160182C,200.0
011161907C,200.0
011174600C,200.0
011174630C,200.0
011175626C,200.0
011176023C,200.0
011176438C,200.0
011176837C,200.0
011176902C,200.0
011177577C,200.0
011177817C,200.0
011178240C,200.0
011178660C,200.0
011179948C,200.0
011179951C,200.0
011180292C,200.0
011180300C,200.0
011180707C,200.0
011180816C,200.0
011181565C,200.0
011181680C,200.0
011181683C,200.0
011181920C,200.0
011182070C,200.0
011182373C,200.0
011183532C,200.0
011183653C,200.0
011183936C,200.0
011184576C,200.0
011184643C,200.0
011184644C,200.0
011184821C,200.0
011185537C,200.0
011185539C,200.0
011186462C,200.0
011187172C,200.0
011187202C,200.0
011187904C,200.0
011189325C,200.0
011189530C,200.0
011189657C,200.0
011189788C,200.0
011189851C,200.0
011190049C,200.0
011190136C,200.0
011190388C,200.0
011190416C,200.0
011190670C,200.0
011191041C,200.0
011191043C,200.0
011191189C,200.0
011191289C,200.0
011191782C,200.0
011191886C,200.0
011191892C,200.0
011192253C,200.0
011192400C,200.0
011193041C,200.0
011193211C,200.0
011193421C,200.0
011193709C,200.0
011193872C,200.0
011194161C,200.0
011194208C,200.0
011194385C,200.0
011194386C,200.0
011194387C,200.0
011194436C,200.0
011194729C,200.0
011194768C,200.0
011194803C,200.0
011195087C,200.0
011195201C,200.0
011195296C,200.0
011195603C,200.0
011195904C,200.0
011195919C,200.0
011196109C,200.0
011196111C,200.0
011196281C,200.0
011196511C,200.0
011196512C,200.0
011196513C,200.0
011196521C,200.0
011196525C,200.0
011196570C,200.0
011196775C,200.0
011197062C,200.0
011197492C,200.0
011197810C,200.0
011198043C,200.0
011198051C,200.0
011198207C,200.0
011198246C,200.0
011199270C,200.0
011199383C,200.0
011199398C,200.0
011199612C,200.0
011199702C,200.0
011200012C,200.0
011200338C,200.0
011201656C,200.0
011203015C,200.0
011203228C,200.0
011203311C,200.0
011203535C,200.0
011203772C,200.0
011203904C,200.0
011204058C,200.0
011204257C,200.0
011204293C,200.0
011204579C,200.0
011204761C,200.0
011204824C,200.0
011205082C,200.0
011205839C,200.0
011205919C,200.0
011206953C,200.0
011207045C,200.0
011207210C,200.0
011207224C,200.0
011208260C,200.0
011208730C,200.0
011208904C,200.0
011209068C,200.0
011209916C,200.0
011210058C,200.0
011210337C,200.0
011210611C,200.0
011210635C,200.0
011211324C,200.0
011211326C,200.0
011211973C,200.0
011213238C,200.0
011213537C,200.0
011215024C,200.0
011215363C,200.0
011215543C,200.0
011215550C,200.0
011215903C,200.0
011217014C,200.0
011217204C,200.0
011217615C,200.0
011217617C,200.0
011217684C,200.0
011217685C,200.0
011217687C,200.0
011217838C,200.0
011217970C,200.0
011218497C,200.0
011219543C,200.0
011220581C,200.0
011220582C,200.0
011220928C,200.0
011221209C,200.0
011221336C,200.0
011221537C,200.0
011221817C,200.0
011221818C,200.0
011222039C,200.0
011222530C,200.0
011222585C,200.0
011222586C,200.0
011223517C,200.0
011223520C,200.0
011223521C,200.0
011224132C,200.0
011224135C,200.0
011224365C,200.0
011224874C,200.0
011225266C,200.0
011225329C,200.0
011225617C,200.0
011226091C,200.0
011226092C,200.0
011226137C,200.0
011226577C,200.0
011227528C,200.0
011227604C,200.0
011227605C,200.0
011227606C,200.0
011227607C,200.0
011227608C,200.0
011227609C,200.0
011227610C,200.0
011227611C,200.0
011229146C,200.0
011229408C,200.0
011229564C,200.0
011229565C,200.0
011230685C,200.0
011230763C,200.0
011230767C,200.0
011231670C,200.0
011232740C,200.0
011233593C,200.0
011233776C,200.0
011233827C,200.0
011233828C,200.0
011234281C,200.0
011235717C,200.0
011235718C,200.0
011235719C,200.0
011236347C,200.0
011236350C,200.0
011236729C,200.0
011237180C,200.0
011237181C,200.0
011237659C,200.0
011237660C,200.0
011237663C,200.0
011238321C,200.0
011238372C,200.0
011239405C,200.0
011240763C,200.0
011241516C,200.0
011243732C,200.0
011243734C,200.0
011243759C,200.0
011243760C,200.0
011244788C,200.0
011244789C,200.0
011244850C,200.0
011245721C,200.0
011245722C,200.0
011245723C,200.0
011246525C,200.0
011246930C,200.0
011247184C,200.0
011249066C,200.0
011249830C,200.0
011249831C,200.0
011250565C,200.0
011250919C,200.0
011250920C,200.0
011251196C,200.0
011252220C,200.0
011252477C,200.0
011252637C,200.0
011253003C,200.0
011253004C,200.0
011253007C,200.0
011253008C,200.0
011253410C,200.0
011253508C,200.0
011253784C,200.0
011253785C,200.0
011254099C,200.0
011254120C,200.0
011254121C,200.0
011254240C,200.0
011254241C,200.0
011254242C,200.0
011254827C,200.0
011254828C,200.0
011255072C,200.0
011255665C,200.0
011255947C,200.0
011256684C,200.0
011256689C,200.0
011256759C,200.0
011256830C,200.0
011256831C,200.0
011257037C,200.0
011257039C,200.0
011257043C,200.0
011257460C,200.0
011257512C,200.0
011257513C,200.0
011257515C,200.0
011257653C,200.0
011257862C,200.0
011258124C,200.0
011258158C,200.0
011258185C,200.0
011258186C,200.0
011258293C,200.0
011259491C,200.0
011259940C,200.0
011260157C,200.0
011260458C,200.0
011260486C,200.0
011260487C,200.0
011260749C,200.0
011260873C,200.0
011260874C,200.0
011261107C,200.0
011261272C,200.0
011261276C,200.0
011261438C,200.0
011261439C,200.0
011261507C,200.0
011261618C,200.0
011261619C,200.0
011261641C,200.0
011261795C,200.0
011262629C,200.0
011262631C,200.0
011262751C,200.0
011262752C,200.0
011262791C,200.0
011262792C,200.0
011262825C,200.0
011263126C,200.0
011263511C,200.0
011263521C,200.0
011263614C,200.0
011263615C,200.0
011263633C,200.0
011263764C,200.0
011264015C,200.0
011264194C,200.0
011264345C,200.0
011264375C,200.0
011264376C,200.0
011264712C,200.0
011264713C,200.0
011264714C,200.0
011264943C,200.0
011266391C,200.0
011266393C,200.0
011266421C,200.0
011266798C,200.0
011267127C,200.0
011267130C,200.0
011268049C,200.0
011268050C,200.0
011268332C,200.0
011268760C,200.0
011268761C,200.0
011268763C,200.0
011268908C,200.0
011269000C,200.0
011269177C,200.0
011269178C,200.0
011269263C,200.0
011269382C,200.0
011269384C,200.0
011269468C,200.0
011269925C,200.0
011270870C,200.0
011270871C,200.0
011271084C,200.0
011271699C,200.0
011272310C,200.0
011273276C,200.0
011273379C,200.0
011273480C,200.0
011273881C,200.0
011273882C,200.0
011273928C,200.0
011274299C,200.0
011274496C,200.0
011274753C,200.0
011274754C,200.0
011274755C,200.0
011274757C,200.0
011274759C,200.0
011274946C,200.0
011280901C,200.0
011283208C,200.0
011283990C,200.0
011284103C,200.0
01353D732C,200.0
013FG8217C,200.0
015000057C,200.0
015000069C,200.0
015000070C,200.0
015000080C,200.0
015000117C,200.0
015000148C,200.0
015000181C,200.0
015000211C,200.0
015000224C,200.0
015000239C,200.0
015000341C,200.0
015000462C,200.0
015000466C,200.0
016FG8217C,200.0
01ML8378AC,200.0
