PLAN,PAAGERAT_PR_ROWS,GAP_TYPE,NOTES
9FTRWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9GPO79,41,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9JPO46,22,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9L01WP,168,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9L05WP,168,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9OLDWP,222,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9POADB,52,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9SLADB,234,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9STRWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9WP646,40,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9WPL10,222,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
A60MIR,112,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
A96DAR,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
2665ST,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
5L01MA,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS20,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS24,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS25,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS29,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS70,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS80,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DIS90,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DS24B,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
9DS24C,0,EMITTED_NOT_IN_PAAGERAT_PR,Current QuikGps plan has no PAAGERAT PR segment chain
