SOURCE_SEGMENT_ID,PARENT_COVERAGE_ID,PLAN,RESOLUTION_PATH,PCOVR_DESCRIPTION,SEX,BAND,UWCLASS,ATTAINED_AGE_SEQ,QL_AGE,VALUE,LINENO
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,68,68,1.5,70
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,69,69,1.5,71
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,70,70,1.5,72
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,71,71,1.5,73
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,72,72,1.5,74
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,73,73,1.5,75
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,74,74,1.5,76
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,75,75,1.5,77
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,76,76,1.5,78
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,77,77,1.5,79
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,78,78,1.5,80
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,79,79,1.5,81
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,80,80,1.5,82
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,81,81,1.5,83
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,82,82,1.5,84
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,83,83,1.5,85
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,84,84,1.5,86
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,85,85,1.5,87
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,86,86,1.5,88
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,87,87,1.5,89
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,88,88,1.5,90
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,89,89,1.5,91
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,90,90,1.5,92
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,91,91,1.5,93
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,92,92,1.5,94
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,93,93,1.5,95
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,94,94,1.5,96
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,95,95,1.5,97
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,96,96,1.5,98
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,97,97,1.5,99
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,98,98,1.5,100
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,99,99,1.5,101
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,100,99,1.5,102
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,101,99,1.5,103
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,102,99,1.5,104
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,103,99,1.5,105
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,104,99,1.5,106
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,105,99,1.5,107
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,106,99,1.5,108
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,107,99,1.5,109
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,108,99,1.5,110
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,109,99,1.5,111
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,110,99,1.5,112
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,111,99,1.5,113
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,112,99,1.5,114
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,113,99,1.5,115
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,114,99,1.5,116
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,115,99,1.5,117
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,116,99,1.5,118
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,117,99,1.5,119
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,16,16,8.67,120
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,17,17,8.67,121
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,18,18,8.67,122
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,19,19,8.67,123
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,20,20,8.67,124
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,21,21,8.67,125
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,22,22,8.79,126
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,23,23,8.97,127
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,24,24,9.15,128
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,25,25,9.29,129
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,26,26,9.42,130
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,27,27,9.53,131
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,28,28,9.62,132
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,29,29,9.69,133
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,30,30,9.74,134
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,31,31,9.8,135
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,32,32,9.87,136
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,33,33,10.01,137
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,34,34,10.25,138
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,35,35,10.56,139
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,36,36,10.86,140
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,37,37,11.18,141
0823 665,0823 665,9665WP,SEGMENT,Waiver of Premium,F,01,00,38,38,11.46,142
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,21,21,3.76,143
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,22,22,3.77,144
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,23,23,3.79,145
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,24,24,3.81,146
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,25,25,3.84,147
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,26,26,3.88,148
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,27,27,3.93,149
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,28,28,4.0,150
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,29,29,4.09,151
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,30,30,4.2,152
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,31,31,4.33,153
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,32,32,4.48,154
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,33,33,4.66,155
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,34,34,4.86,156
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,35,35,5.09,157
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,36,36,5.36,158
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,37,37,5.66,159
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,38,38,6.0,160
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,39,39,6.39,161
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,40,40,6.84,162
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,41,41,7.35,163
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,42,42,7.92,164
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,43,43,8.55,165
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,44,44,9.24,166
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,45,45,9.99,167
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,46,46,10.81,168
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,47,47,11.7,169
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,48,48,12.67,170
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,49,49,13.71,171
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,50,50,14.83,172
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,51,51,16.01,173
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,52,52,14.15,174
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,53,53,15.36,175
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,54,54,16.65,176
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,55,55,18.03,177
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,01,NS,56,56,19.51,178
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,21,21,3.31,179
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,22,22,3.32,180
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,23,23,3.34,181
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,24,24,3.36,182
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,25,25,3.39,183
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,26,26,3.43,184
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,27,27,3.48,185
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,28,28,3.55,186
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,29,29,3.64,187
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,30,30,3.75,188
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,31,31,3.88,189
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,32,32,4.03,190
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,33,33,4.24,191
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,34,34,4.41,192
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,35,35,4.64,193
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,36,36,4.91,194
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,37,37,5.21,195
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,38,38,5.55,196
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,39,39,5.94,197
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,40,40,6.39,198
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,41,41,6.9,199
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,42,42,7.47,200
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,43,43,8.1,201
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,44,44,8.79,202
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,45,45,9.54,203
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,46,46,10.36,204
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,47,47,11.25,205
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,48,48,12.22,206
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,49,49,13.26,207
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,50,50,14.38,208
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,51,51,15.56,209
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,52,52,13.7,210
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,53,53,14.91,211
687J 30MRG,687J 30MRG,7687J3,SEGMENT,Joint Decreasing Term Life,M,02,NS,54,54,16.2,212
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,19,19,1.75,597
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,27,27,1.78,598
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,28,28,1.81,599
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,29,29,1.82,600
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,30,30,1.84,601
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,31,31,1.85,602
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,32,32,1.87,603
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,33,33,1.89,604
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,34,34,1.91,605
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,35,35,1.94,606
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,36,36,1.98,607
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,37,37,2.03,608
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,38,38,2.09,609
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,39,39,2.17,610
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,40,40,2.26,611
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,41,41,2.38,612
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,42,42,2.51,613
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,43,43,2.66,614
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,44,44,2.85,615
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,45,45,3.05,616
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,46,46,3.29,617
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,47,47,3.56,618
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,48,48,3.86,619
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,49,49,4.19,620
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,50,50,4.56,621
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,51,51,4.97,622
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,52,52,5.43,623
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,53,53,5.92,624
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,54,54,6.46,625
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,55,55,7.04,626
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,56,56,7.68,627
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,57,57,8.36,628
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,58,58,9.1,629
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,59,59,9.89,630
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,60,60,10.74,631
667 ART CR,667 ART CR,57ATCR,SEGMENT,ART Preferred Credit Life,M,01,SM,61,61,11.65,632
619 DT SP,619 SPS PU,7619PU,SEGMENT,Decreasing Term Paid Up for Spouse,M,01,00,1,01,60.0,699
619 DT SP,619 SPS PU,7619PU,SEGMENT,Decreasing Term Paid Up for Spouse,M,01,00,2,02,60.0,700
619 DT SP,619 SPS PU,7619PU,SEGMENT,Decreasing Term Paid Up for Spouse,M,01,00,3,03,60.0,701
619 DT SP,619 SPS PU,7619PU,SEGMENT,Decreasing Term Paid Up for Spouse,M,01,00,4,04,60.0,702
619 DT,619 DT,7619DT,SEGMENT,Decreasing Term,M,01,00,1,01,216.0,769
619 DT,619 DT,7619DT,SEGMENT,Decreasing Term,M,01,00,2,02,216.0,770
619 DT,619 DT,7619DT,SEGMENT,Decreasing Term,M,01,00,3,03,216.0,771
619 DT,619 DT,7619DT,SEGMENT,Decreasing Term,M,01,00,4,04,216.0,772
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,88,88,164.15,773
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,89,89,176.85,774
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,90,90,189.9,775
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,91,91,203.49,776
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,92,92,217.93,777
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,93,93,233.75,778
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,94,94,252.52,779
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,95,95,277.67,780
667 ART,667 ART,5667AT,SEGMENT,Annual Renewable Term,M,02,PR,96,96,315.36,781
