PLAN,AGE,CNTL,QX0,QX1,QX2,QX3,QX4,QX5,QX6,QX7,QX8,QX9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,SOURCE,SEGMENT_TYPE
1658CS,17,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,18,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,19,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,20,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,21,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,22,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,23,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,24,00,.08,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,25,00,.08,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,26,00,.08,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,27,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,28,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,29,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,30,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,31,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,32,00,.09,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,33,00,.10,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,34,00,.10,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,35,00,.10,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,36,00,.11,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,37,00,.11,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,38,00,.11,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,39,00,.11,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,40,00,.11,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,41,00,.12,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,42,00,.13,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,43,00,.14,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,44,00,.15,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,45,00,.16,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,46,00,.17,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,47,00,.18,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,48,00,.19,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,49,00,.21,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,50,00,.22,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,51,00,.25,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,52,00,.27,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,53,00,.29,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,54,00,.32,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,55,00,.34,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,56,00,.37,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,57,00,.40,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,58,00,.44,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,59,00,.48,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,60,00,.53,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,61,00,.61,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,62,00,.70,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,63,00,.77,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,64,00,.85,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,65,00,.94,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,66,00,1.03,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,67,00,1.14,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,68,00,1.25,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,69,00,1.38,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,70,00,1.53,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,71,00,1.69,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,72,00,1.87,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,73,00,2.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,74,00,2.28,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,75,00,2.51,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,76,00,2.77,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,77,00,3.05,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,78,00,3.38,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,79,00,3.76,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,80,00,4.18,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,81,00,4.65,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,82,00,5.16,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,83,00,5.68,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,84,00,6.23,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,85,00,6.80,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,86,00,7.42,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,87,00,8.10,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,88,00,8.87,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,89,00,9.73,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,90,00,10.69,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,91,00,11.72,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,92,00,12.79,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,93,00,13.84,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,94,00,14.90,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,95,00,15.97,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,96,00,17.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,97,00,18.19,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,98,00,19.37,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,99,00,20.68,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,01,00,.15,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,02,00,.07,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,03,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,04,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,05,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,06,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,07,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,08,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,09,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,10,00,.05,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,11,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,12,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,13,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,14,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,15,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,16,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,17,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,18,00,.06,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,19,00,.07,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,20,00,.07,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,21,00,.08,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,22,00,.10,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,23,00,.11,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,24,00,.12,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,25,00,.13,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,26,00,.14,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,27,00,.14,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,28,00,.15,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,29,00,.15,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,30,00,.15,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,31,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,32,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,33,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,34,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,35,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,36,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,37,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,38,00,.16,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,39,00,.17,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,40,00,.18,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,41,00,.20,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,42,00,.21,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,43,00,.22,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,44,00,.24,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,45,00,.26,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,46,00,.28,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,47,00,.31,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,48,00,.33,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,49,00,.36,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,50,00,.39,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,51,00,.43,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,52,00,.46,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,53,00,.50,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,54,00,.54,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,55,00,.58,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,56,00,.63,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,57,00,.68,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,58,00,.74,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,59,00,.81,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,60,00,.88,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,61,00,.96,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,62,00,1.05,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,63,00,1.13,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,64,00,1.22,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,65,00,1.33,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,66,00,1.43,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,67,00,1.54,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,68,00,1.67,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,69,00,1.82,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,70,00,1.98,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,71,00,2.15,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,72,00,2.34,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,73,00,2.54,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,74,00,2.75,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,75,00,2.97,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,76,00,3.21,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,77,00,3.49,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,78,00,3.79,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,79,00,4.14,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,80,00,4.53,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,81,00,5.28,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,82,00,6.10,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,83,00,6.64,,,,,,,,,,F,SM,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
