credit_code,debit_code,row_count,distinct_policy_count,total_amount,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
20,256,4,4,21155.88,700.0,9977.92,5288.97,20191029,20250904
256,20,4,2,27514.94,1643.97,22500.0,6878.735,20190826,20220126
530,38,4,4,38431.59,142.0,26902.0,9607.8975,20180531,20230504
565,20,4,3,14153.63,2032.89,4120.37,3538.4075,20171001,20201101
61,38,4,4,10425.99,6.91,5380.4,2606.4975,20180419,20230503
12,11,3,3,2136.83,5.4,2031.33,712.2767,20181114,20250417
12,112,3,3,9820.29,1423.0,6749.98,3273.43,20190702,20221003
12,150,3,1,68.0,2.0,61.0,22.6667,20190601,20190601
12,2,3,3,131.09,20.0,82.65,43.6967,20191220,20220208
12,254,3,3,8659.06,55.78,5459.07,2886.3533,20190701,20240620
12,310,3,2,3150.12,277.78,2594.56,1050.04,20180621,20260410
12,517,3,3,14491.25,1872.87,7329.17,4830.4167,20231211,20250819
12,91,3,3,4400.0,1000.0,2000.0,1466.6667,20200123,20240606
20,530,3,3,32044.0,142.0,26902.0,10681.3333,20191219,20230502
20,710,3,3,630.39,40.9,548.0,210.13,20191029,20200825
37,91,3,3,11000.0,3000.0,4000.0,3666.6667,20240423,20251020
38,90,3,2,15265.57,2051.4,11162.77,5088.5233,20180502,20190719
49,710,3,3,3.43,0.09,3.0,1.1433,20230309,20250307
580,12,3,1,68.0,2.0,61.0,22.6667,20190601,20190601
61,210,3,3,2.72,0.16,1.83,0.9067,20251231,20251231
710,49,3,3,0.62,0.02,0.5,0.2067,20220721,20241125
110,2,2,1,53.28,26.64,26.64,26.64,20190503,20190503
110,710,2,2,33.41,10.03,23.38,16.705,20240110,20240528
12,530,2,2,20906.27,6463.4,14442.87,10453.135,20230427,20230427
12,94,2,2,6259.12,700.01,5559.11,3129.56,20210415,20250903
126,561,2,1,634.2,317.1,317.1,317.1,20180301,20180320
13,150,2,2,92.9,35.77,57.13,46.45,20181101,20190624
13,220,2,1,19319.44,8996.16,10323.28,9659.72,20180621,20220621
20,630,2,2,59.86,1.56,58.3,29.93,20190711,20191219
20,90,2,2,6681.49,1670.99,5010.5,3340.745,20191217,20191219
256,110,2,2,89.1,29.73,59.37,44.55,20181226,20200929
413,37,2,1,3000.0,720.26,2279.74,1500.0,20251020,20251020
46,12,2,2,64.67,25.0,39.67,32.335,20230913,20250227
530,94,2,1,10000.0,5000.0,5000.0,5000.0,20180913,20180913
710,210,2,2,199.41,25.0,174.41,99.705,20211116,20231212
94,20,2,2,10477.96,3162.72,7315.24,5238.98,20200221,20200325
95,210,2,2,51.7,25.48,26.22,25.85,20180517,20230220
11,39,1,1,100.1,100.1,100.1,100.1,20250409,20250409
11,45,1,1,2031.33,2031.33,2031.33,2031.33,20240731,20240731
11,61,1,1,5.4,5.4,5.4,5.4,20181114,20181114
110,21,1,1,23.3,23.3,23.3,23.3,20190327,20190327
110,210,1,1,312.95,312.95,312.95,312.95,20190107,20190107
110,92,1,1,678.13,678.13,678.13,678.13,20250122,20250122
110,94,1,1,29.73,29.73,29.73,29.73,20180913,20180913
12,45,1,1,91.64,91.64,91.64,91.64,20240306,20240306
12,451,1,1,84.35,84.35,84.35,84.35,20230214,20230214
13,126,1,1,4260.0,4260.0,4260.0,4260.0,20240626,20240626
13,210,1,1,0.86,0.86,0.86,0.86,20210719,20210719
2,90,1,1,49.54,49.54,49.54,49.54,20220411,20220411
20,13,1,1,6266.66,6266.66,6266.66,6266.66,20210203,20210203
20,38,1,1,11162.77,11162.77,11162.77,11162.77,20180502,20180502
20,560,1,1,843.83,843.83,843.83,843.83,20240129,20240129
21,2,1,1,95.55,95.55,95.55,95.55,20190813,20190813
21,61,1,1,11.65,11.65,11.65,11.65,20190327,20190327
210,44,1,1,25.0,25.0,25.0,25.0,20210309,20210309
210,710,1,1,50.0,50.0,50.0,50.0,20211214,20211214
220,20,1,1,8996.16,8996.16,8996.16,8996.16,20180621,20180621
256,630,1,1,6.46,6.46,6.46,6.46,20181226,20181226
310,12,1,1,2594.56,2594.56,2594.56,2594.56,20260413,20260413
310,20,1,1,10841.41,10841.41,10841.41,10841.41,20180621,20180621
37,61,1,1,5500.0,5500.0,5500.0,5500.0,20190822,20190822
38,20,1,1,8129.96,8129.96,8129.96,8129.96,20201022,20201022
413,2,1,1,50.0,50.0,50.0,50.0,20240104,20240104
44,110,1,1,25.0,25.0,25.0,25.0,20201217,20201217
44,210,1,1,25.0,25.0,25.0,25.0,20201013,20201013
49,21,1,1,62.88,62.88,62.88,62.88,20220328,20220328
515,12,1,1,169.8,169.8,169.8,169.8,20210901,20210901
515,20,1,1,93.29,93.29,93.29,93.29,20250901,20250901
516,12,1,1,150.18,150.18,150.18,150.18,20260303,20260303
517,112,1,1,153.65,153.65,153.65,153.65,20241001,20241001
530,12,1,1,0.01,0.01,0.01,0.01,20181220,20181220
560,90,1,1,843.83,843.83,843.83,843.83,20240725,20240725
561,12,1,1,241.09,241.09,241.09,241.09,20230227,20230227
561,21,1,1,317.1,317.1,317.1,317.1,20180223,20180223
565,13,1,1,4807.58,4807.58,4807.58,4807.58,20240516,20240516
630,38,1,1,1.56,1.56,1.56,1.56,20191219,20191219
630,94,1,1,6.46,6.46,6.46,6.46,20180913,20180913
710,110,1,1,12.13,12.13,12.13,12.13,20250117,20250117
710,20,1,1,548.0,548.0,548.0,548.0,20200825,20200825
710,21,1,1,0.1,0.1,0.1,0.1,20190607,20190607
715,12,1,1,1.0,1.0,1.0,1.0,20220322,20220322
94,254,1,1,9977.92,9977.92,9977.92,9977.92,20191025,20191025
