policy_number,beneficiary_sequence,beneficiary_count,beneficiary_codes_present,trust_present_flag,business_present_flag,percent_allocation_available_flag,duplicate_sequence_flag
9010428258,0,1,B1,N,N,Y,N
9010428259,0,1,B1,N,N,Y,N
9010428747,0,4,B1|B2,N,N,N,Y
9010428771,0,1,B1,N,N,Y,N
9010429064,0,1,B1,N,N,Y,N
9010429066,0,3,B1,N,N,N,Y
9010429259,0,3,B1,N,N,N,Y
9010429417,0,2,B1|B2,N,N,N,Y
9010429532,0,2,B1,N,N,N,Y
9010429558,0,1,B1,N,Y,Y,N
9010429710,0,3,B1|B2,N,N,N,Y
9010429711,0,3,B1|B2,N,N,N,Y
9010429893,0,3,B1|B2,N,N,N,Y
9010429958,0,4,B1|B2,N,N,N,Y
9010429965,0,2,B1,N,N,N,Y
9010430017,0,4,B1,N,N,N,Y
9010430023,0,6,B1|B2,N,N,N,Y
9010430086,0,2,B1,N,Y,N,Y
9010430295,0,2,B1|B2,N,N,N,Y
9010430296,0,5,B1|B2,N,N,N,Y
9010430993,0,4,B1,N,N,N,Y
9010431301,0,2,B1,N,Y,N,Y
9010431510,0,4,B1|B2,N,N,N,Y
9010431738,0,2,B1,N,N,N,Y
9010432120,0,4,B1|B2,N,Y,Y,Y
9010432254,0,2,B1,N,N,N,Y
9010432414,0,6,B1|B2,N,N,N,Y
9010432493,0,2,B1|B2,N,N,N,Y
9010432494,0,3,B1|B2,N,N,N,Y
9010432631,0,3,B1,N,N,N,Y
9010432782,0,1,B1,N,N,Y,N
9010432865,0,2,B1,N,N,N,Y
9010432866,0,2,B1,N,N,N,Y
9010433471,0,3,B1|B2,N,N,N,Y
9010433630,0,3,B1|B2,N,N,N,Y
9010433786,0,1,B1,N,N,Y,N
9010434092,0,2,B1|B2,N,N,N,Y
9010434418,0,4,B1|B2,N,N,N,Y
9010434419,0,6,B1|B2,N,N,N,Y
9010434421,0,2,B1,N,N,N,Y
9010434422,0,6,B1,N,N,N,Y
9010434424,0,2,B1,N,N,N,Y
9010434544,0,4,B1,N,N,N,Y
9010434659,0,2,B1,N,N,N,Y
9010434747,0,4,B1,N,N,N,Y
9010434876,0,6,B1,N,N,N,Y
9010435244,0,2,B1|B2,N,Y,N,Y
9010435248,0,2,B1|B2,N,Y,N,Y
9010435466,0,2,B1|B2,N,N,N,Y
9010435609,0,1,B1,N,N,Y,N
9010435671,0,2,B1|B2,N,Y,N,Y
9010435672,0,2,B1|B2,N,Y,N,Y
9010435673,0,2,B1|B2,N,N,N,Y
9010436028,0,2,B1|B2,N,N,N,Y
9010436044,0,2,B1|B2,N,N,N,Y
9010436082,0,2,B1,N,N,N,Y
9010436083,0,2,B1,N,N,N,Y
9010436085,0,2,B1|B2,N,N,N,Y
9010436406,0,4,B1|B2,N,N,N,Y
9010436541,0,4,B1|B2,N,N,N,Y
9010436599,0,1,B1,N,Y,Y,N
9010436691,0,2,B1|B2,N,N,N,Y
9010436712,0,2,B1|B2,N,N,N,Y
9010436727,0,2,B1,N,Y,N,Y
9010436782,0,1,B1,N,Y,Y,N
9010436955,0,4,B1,N,N,N,Y
9010436959,0,4,B1|B2,N,N,N,Y
9010437076,0,2,B1|B2,N,N,N,Y
9010437232,0,2,B1|B2,N,N,N,Y
9010437335,0,2,B1,N,N,Y,Y
9010437794,0,1,B1,N,Y,Y,N
9010438028,0,4,B1|B2,N,N,Y,Y
9010438063,0,6,B1|B2,N,N,N,Y
9010438073,0,4,B1|B2,N,N,Y,Y
9010438325,0,5,B1|B2,N,N,N,Y
9010438523,0,4,B1|B2,N,N,N,Y
9010438524,0,2,B1|B2,N,N,N,Y
9010438525,0,2,B1,N,N,N,Y
9010438554,0,2,B1,N,N,N,Y
9010438556,0,4,B1,N,Y,Y,Y
9010438820,0,2,B1|B2,N,Y,N,Y
9010438821,0,7,B1|B2,N,Y,N,Y
9010438861,0,4,B1|B2,N,Y,Y,Y
9010438926,0,4,B1|B2,N,Y,Y,Y
9010438938,0,5,B1,N,N,N,Y
9010438942,0,4,B1|B2,N,Y,N,Y
9010439084,0,1,B1,N,N,Y,N
9010439128,0,4,B1|B2,N,N,N,Y
9010439156,0,3,B1|B2,N,N,N,Y
9010439181,0,3,B1|B2,N,N,N,Y
9010439277,0,2,B1|B2,N,Y,N,Y
9010439435,0,1,B1,N,N,Y,N
9010439527,0,1,B1,N,N,Y,N
9010439836,0,1,B1,N,Y,Y,N
9010439999,0,2,B1|B2,N,N,N,Y
9010440000,0,1,B1,N,N,Y,N
9010440345,0,2,B1,N,N,N,Y
9010440370,0,3,B1,N,N,N,Y
9010440371,0,1,B1,N,Y,Y,N
9010440631,0,2,B1|B2,N,Y,N,Y
9010441082,0,6,B1|B2,N,N,Y,Y
9010441084,0,2,B1,N,Y,Y,Y
9010441085,0,4,B1|B2,N,N,Y,Y
9010441927,0,2,B1|B2,N,N,N,Y
9010442216,0,1,B1,N,Y,Y,N
9010442222,0,2,B1|B2,N,N,N,Y
9010442230,0,4,B1,N,N,N,Y
9010442330,0,2,B1|B2,N,Y,N,Y
9010442332,0,4,B1|B2,N,N,N,Y
9010442551,0,2,B1|B2,N,N,N,Y
9010442552,0,3,B1|B2,N,Y,N,Y
9010442906,0,4,B1|B2,N,N,N,Y
9010443032,0,2,B1,N,N,N,Y
9010443109,0,4,B1|B2,N,N,Y,Y
9010443161,0,3,B1|B2,N,Y,N,Y
9010443287,0,2,B1,N,N,N,Y
9010443296,0,2,B1,N,N,N,Y
9010443389,0,1,B1,N,N,Y,N
9010443432,0,1,B1,N,Y,Y,N
9010443433,0,1,B1,N,Y,Y,N
9010443646,0,2,B1,N,N,N,Y
9010443816,0,2,B1|B2,N,N,N,Y
9010444207,0,2,B1|B2,N,N,N,Y
9010444283,0,2,B1|B2,N,Y,N,Y
9010444917,0,2,B1,N,N,N,Y
9010445074,0,1,B1,N,N,Y,N
9010445091,0,2,B1|B2,N,N,N,Y
9010445131,0,1,B1,N,Y,Y,N
9010445275,0,3,B1|B2,N,N,N,Y
9010445351,0,2,B1,N,N,N,Y
9010445575,0,2,B1,N,N,N,Y
9010445719,0,4,B1,N,N,N,Y
9010446088,0,4,B1|B2,N,N,N,Y
9010446237,0,6,B1|B2,N,N,N,Y
9010446416,0,2,B1|B2,N,Y,N,Y
9010446638,0,2,B1|B2,N,N,N,Y
9010446741,0,2,B1,N,N,N,Y
9010446852,0,4,B1|B2,N,Y,Y,Y
9010447475,0,4,B1|B2,N,N,N,Y
9010447574,0,2,B1|B2,N,N,N,Y
9010448025,0,1,B1,N,Y,Y,N
9010448181,0,3,B1|B2,N,N,N,Y
9010448375,0,2,B1|B2,N,Y,N,Y
9010448609,0,2,B1|B2,N,Y,N,Y
9010448806,0,2,B1|B2,N,N,N,Y
9010448810,0,2,B1|B2,N,Y,N,Y
9010448828,0,6,B1|B2,N,N,N,Y
9010449013,0,2,B1|B2,N,N,N,Y
9010449017,0,3,B1|B2,N,Y,N,Y
9010449050,0,4,B1|B2,N,Y,Y,Y
9010449074,0,2,B1|B2,N,N,N,Y
9010449075,0,3,B1|B2,N,N,N,Y
9010449155,0,4,B1,N,N,N,Y
9010449158,0,3,B1|B2,N,N,N,Y
9010449333,0,3,B1|B2,N,N,N,Y
9010449334,0,2,B1|B2,N,N,N,Y
9010449417,0,2,B1|B2,N,Y,N,Y
9010449498,0,1,B1,N,N,Y,N
9010449512,0,2,B1,N,N,N,Y
9010449514,0,2,B1|B2,N,Y,N,Y
9010449532,0,2,B1|B2,N,N,N,Y
9010449559,0,1,B1,N,N,Y,N
9010449959,0,1,B1,N,N,Y,N
9010450135,0,2,B1|B2,N,Y,N,Y
9010450174,0,2,B1|B2,N,N,N,Y
9010450300,0,2,B1|B2,N,N,N,Y
9010450809,0,2,B1|B2,N,Y,N,Y
9010450811,0,3,B1|B2,N,Y,N,Y
9010450906,0,2,B1|B2,N,N,N,Y
9010451148,0,2,B1|B2,N,N,N,Y
9010451149,0,2,B1|B2,N,N,N,Y
9010451215,0,2,B1,N,Y,N,Y
9010451385,0,4,B1|B2,N,N,Y,Y
9010451453,0,2,B1|B2,N,N,N,Y
9010451596,0,2,B1|B2,N,N,N,Y
9010451650,0,2,B1,N,Y,Y,Y
9010452169,0,4,B1,N,N,N,Y
9010452304,0,2,B1|B2,N,N,N,Y
9010452305,0,2,B1|B2,N,N,N,Y
9010452516,0,2,B1,N,N,N,Y
9010452575,0,3,B1|B2,N,N,N,Y
9010454002,0,4,B1|B2,N,Y,Y,Y
9010454003,0,4,B1|B2,N,Y,Y,Y
9010455341,0,2,B1|B2,N,N,N,Y
9010455617,0,1,B1,N,N,Y,N
9010455884,0,2,B1|B2,N,Y,N,Y
9010456114,0,3,B1,N,N,N,Y
9010456182,0,1,B1,N,N,Y,N
9010456183,0,1,B1,N,N,Y,N
9010456184,0,1,B1,N,N,Y,N
9010456188,0,3,B1|B2,N,N,N,Y
9010456751,0,4,B1|B2,N,N,Y,Y
9010456928,0,4,B1|B2,N,Y,Y,Y
9010457291,0,4,B1|B2,N,Y,Y,Y
9010457536,0,4,B1|B2,N,N,Y,Y
9010457537,0,4,B1|B2,N,N,Y,Y
9010457603,0,2,B1,N,N,N,Y
9010457623,0,8,B1|B2,N,N,N,Y
9010458190,0,6,B1|B2,N,N,N,Y
9010458520,0,6,B1|B2,N,N,Y,Y
9010458525,0,4,B1|B2,N,N,Y,Y
9010458526,0,4,B1,N,N,Y,Y
9010458657,0,2,B1|B2,N,N,N,Y
9010458663,0,6,B1|B2,N,N,Y,Y
9010458744,0,4,B1,N,N,Y,Y
9010459011,0,1,B1,N,N,Y,N
9010459050,0,1,B1,N,N,Y,N
9010459164,0,3,B1|B2,N,Y,N,Y
9010459336,0,2,B1|B2,N,N,N,Y
9010459421,0,4,B1|B2,N,Y,Y,Y
9010459527,0,1,B1,N,N,Y,N
9010459579,0,1,B1,N,N,Y,N
9010459653,0,6,B1,N,N,Y,Y
9010459723,0,2,B1|B2,N,N,N,Y
9010459814,0,4,B1|B2,N,Y,Y,Y
9010459850,0,1,B1,N,N,Y,N
9010459970,0,1,B1,N,N,Y,N
9010460276,0,4,B1,N,N,Y,Y
9010460323,0,4,B1,N,N,N,Y
9010460406,0,2,B1|B2,N,N,N,Y
9010460652,0,4,B1|B2,N,Y,Y,Y
9010460653,0,2,B1,N,N,Y,Y
9010460886,0,4,B1|B2,N,N,Y,Y
9010461210,0,2,B1,N,N,N,Y
9010461689,0,4,B1|B2,N,Y,Y,Y
9010461753,0,4,B1|B2,N,N,Y,Y
9010462057,0,2,B1|B2,N,N,N,Y
9010462415,0,1,B1,N,N,Y,N
9010462630,0,2,B1|B2,N,Y,N,Y
9010462631,0,3,B1|B2,N,N,N,Y
9010462759,0,3,B1|B2,N,N,N,Y
9010462839,0,5,B1,N,N,N,Y
9010463017,0,2,B1|B2,N,Y,N,Y
9010463161,0,6,B1,N,N,Y,Y
9010463190,0,6,B1|B2,N,N,N,Y
9010463420,0,2,B1|B2,N,N,N,Y
9010463537,0,2,B1|B2,N,N,N,Y
9010463553,0,4,B1,N,N,N,Y
9010464265,0,4,B1|B2,N,N,Y,Y
9010464590,0,12,B1|B2,N,N,Y,Y
9010464869,0,5,B1|B2,N,N,N,Y
9010464870,0,5,B1|B2,N,N,N,Y
9010465265,0,4,B1|B2,N,N,Y,Y
9010465331,0,2,B1|B2,N,Y,N,Y
9010465363,0,4,B1,N,N,N,Y
9010465451,0,2,B1,N,N,Y,Y
9010466391,0,3,B1|B2,N,N,N,Y
9010466392,0,3,B1|B2,N,N,N,Y
9010466458,0,4,B1|B2,N,Y,Y,Y
9010466470,0,4,B1,N,N,N,Y
9010466471,0,2,B1|B2,N,N,N,Y
9010466472,0,1,B1,N,N,Y,N
9010466473,0,1,B1,N,N,Y,N
9010466702,0,1,B1,N,N,Y,N
9010466706,0,2,B1|B2,N,N,N,Y
9010466978,0,4,B1|B2,N,N,Y,Y
9010467025,0,4,B1|B2,N,N,Y,Y
9010467061,0,3,B1|B2,N,N,N,Y
9010467154,0,4,B1|B2,N,N,N,Y
9010467173,0,2,B1|B2,N,Y,N,Y
9010467185,0,4,B1|B2,N,Y,Y,Y
9010467190,0,4,B1|B2,N,Y,Y,Y
9010467500,0,2,B1|B2,N,N,N,Y
9010467771,0,2,B1|B2,N,Y,N,Y
9010468945,0,4,B1,N,N,N,Y
9010468946,0,5,B1|B2,N,N,N,Y
9010469081,0,4,B1|B2,N,N,Y,Y
9010469430,0,4,B1|B2,N,Y,N,Y
9010469579,0,6,B1|B2,N,N,Y,Y
9010469666,0,2,B1|B2,N,N,N,Y
9010469728,0,4,B1|B2,N,N,Y,Y
9010469896,0,3,B1|B2,N,N,N,Y
9010469984,0,3,B1,N,N,N,Y
9010469985,0,2,B1|B2,N,Y,N,Y
9010470522,0,2,B1|B2,N,N,N,Y
9010471046,0,4,B1|B2,N,N,N,Y
9010471532,0,4,B1|B2,N,Y,Y,Y
9010471534,0,6,B1|B2,N,N,Y,Y
9010471769,0,4,B1,N,N,Y,Y
9010471933,0,2,B1|B2,N,N,N,Y
9010472182,0,2,B1|B2,N,Y,N,Y
9010472183,0,2,B1|B2,N,Y,N,Y
9010473137,0,1,B1,N,N,Y,N
9010473866,0,2,B1|B2,N,Y,N,Y
9010473867,0,3,B1|B2,N,N,N,Y
9010473868,0,2,B1,N,N,N,Y
9010474317,0,3,B1|B2,N,N,N,Y
9010474318,0,3,B1|B2,N,N,N,Y
9010474519,0,5,B1|B2,N,N,N,Y
9010474522,0,2,B1|B2,N,Y,N,Y
9010475571,0,4,B1|B2,N,Y,N,Y
9010475576,0,3,B1|B2,N,N,N,Y
9010475850,0,6,B1|B2,N,Y,N,Y
9010476803,0,6,B1,N,N,N,Y
9010477512,0,3,B1,N,N,N,Y
9010477513,0,4,B1|B2,N,N,N,Y
9010477989,0,1,B1,N,N,Y,N
9010478048,0,4,B1|B2,N,N,Y,Y
9010478213,0,2,B1|B2,N,N,N,Y
9010478214,0,2,B1|B2,N,N,N,Y
9010478259,0,4,B1|B2,N,N,Y,Y
9010478260,0,4,B1|B2,N,N,Y,Y
9010478285,0,2,B1|B2,N,Y,N,Y
9010478574,0,6,B1,N,N,Y,Y
9010478890,0,4,B1|B2,N,N,Y,Y
9010479749,0,10,B1|B2,N,Y,Y,Y
9010480683,0,4,B1,N,N,Y,Y
9010481459,0,2,B1|B2,N,N,N,Y
9010483380,0,2,B1,N,N,Y,Y
9010483386,0,2,B1|B2,N,Y,N,Y
9010484578,0,2,B1|B2,N,Y,N,Y
9010484821,0,8,B1,N,N,Y,Y
9010484864,0,2,B1|B2,N,N,N,Y
9010486919,0,4,B1|B2,N,N,Y,Y
9010486961,0,4,B1|B2,N,Y,Y,Y
9010486964,0,4,B1|B2,N,Y,Y,Y
9010487125,0,2,B1|B2,N,N,N,Y
9010487396,0,4,B1,N,N,N,Y
9010487886,0,2,B1|B2,N,N,N,Y
9010487888,0,2,B1|B2,N,Y,N,Y
9010488273,0,3,B1,N,N,N,Y
9010488274,0,3,B1|B2,N,N,N,Y
9010488878,0,3,B1|B2,N,N,N,Y
9010489508,0,2,B1|B2,N,N,N,Y
9010491000,0,1,B1,N,Y,Y,N
9010492604,0,3,B1,N,N,N,Y
9010494171,0,2,B1|B2,N,N,N,Y
9010494229,0,2,B1|B2,N,N,N,Y
9010495113,0,3,B1|B2,N,N,N,Y
9010495120,0,11,B1|B2,N,N,N,Y
9010495122,0,2,B1|B2,N,N,N,Y
9010496486,0,2,B1|B2,N,N,N,Y
9010497263,0,2,B1|B2,N,N,N,Y
9010497264,0,2,B1|B2,N,N,N,Y
9010497363,0,2,B1|B2,N,N,N,Y
9010497768,0,2,B1|B2,N,N,N,Y
9010498153,0,2,B1,N,N,N,Y
9010498260,0,6,B1|B2,N,N,N,Y
9010498617,0,1,B1,N,N,Y,N
9010499269,0,1,B1,N,N,Y,N
9010499349,0,1,B1,N,N,Y,N
9010499674,0,2,B2,N,Y,N,Y
9010499702,0,10,B1|B2,N,Y,Y,Y
9010500671,0,2,B1|B2,N,N,N,Y
9010500769,0,2,B1|B2,N,N,N,Y
9010501142,0,2,B1|B2,N,N,N,Y
9010501836,0,2,B1|B2,N,N,N,Y
9010502776,0,1,B1,N,N,Y,N
9010502820,0,2,B1|B2,N,N,N,Y
9010502995,0,2,B1|B2,N,Y,N,Y
9010502996,0,2,B1|B2,N,Y,N,Y
9010503391,0,1,B1,N,N,Y,N
9010503560,0,4,B1|B2,N,N,Y,Y
9010505294,0,2,B1,N,N,Y,Y
9010505297,0,2,B1,N,N,Y,Y
9010505481,0,1,B1,N,N,Y,N
9010505549,0,2,B1|B2,N,N,N,Y
9010506408,0,2,B1|B2,N,Y,N,Y
9010506497,0,3,B1|B2,N,N,N,Y
9010506789,0,2,B1,N,N,Y,Y
9010506832,0,1,B1,N,N,Y,N
9010507004,0,2,B1|B2,N,N,N,Y
9010507005,0,1,B1,N,N,Y,N
9010507705,0,2,B1|B2,N,N,N,Y
9010510553,0,2,B1|B2,N,N,N,Y
9010510671,0,2,B1|B2,N,N,N,Y
9010510979,0,2,B1|B2,N,N,N,Y
9010511203,0,1,B1,N,Y,Y,N
9010511240,0,2,B1,N,Y,Y,Y
9010511355,0,4,B1|B2,N,N,Y,Y
9010511795,0,6,B1|B2,N,N,Y,Y
9010512061,0,4,B1|B2,N,Y,Y,Y
9010513607,0,6,B1|B2,N,N,Y,Y
9010513627,0,2,B1|B2,N,N,N,Y
9010513711,0,2,B1|B2,N,N,N,Y
9010513712,0,3,B1|B2,N,N,N,Y
9010513848,0,2,B1|B2,N,N,N,Y
9010513849,0,2,B1|B2,N,N,N,Y
9010514051,0,4,B1|B2,N,N,Y,Y
9010514052,0,4,B1|B2,N,N,Y,Y
9010515598,0,2,B1|B2,N,N,N,Y
9010516211,0,2,B1|B2,N,Y,N,Y
9010516466,0,4,B1|B2,N,Y,Y,Y
9010517231,0,5,B1,N,N,N,Y
9010518048,0,2,B1|B2,N,Y,N,Y
9010518049,0,2,B1|B2,N,Y,N,Y
9010518050,0,2,B1|B2,N,Y,N,Y
