credit_account,debit_account,row_count,distinct_policy_count,total_amount,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
1056,2030,116,88,440753.69,100.0,73371.4,3799.6008,20171231,20251219
2019,XX0306R,115,6,6699.79,30.59,114.08,58.259,20180201,20260226
XX0306R,2019,115,6,6699.79,30.59,114.08,58.259,20180201,20260226
1017,2032,112,107,634746.53,16.2,73541.13,5667.3797,20180107,20251222
XX0305R,XX0305R,100,1,2686.0,26.86,26.86,26.86,20180102,20260403
1058,2019,99,50,513615.78,100.44,39515.55,5188.0382,20191029,20251023
2019,2032,89,70,596830.06,0.01,46125.62,6705.9557,20180414,20251201
2031,XX4113R,89,89,469290.55,1461.48,21041.0,5272.9275,20180101,20260108
1015,2039,87,69,503799.34,52.27,32740.96,5790.797,20180119,20260421
2032,XX0108R,87,33,1475400.34,5.36,119000.0,16958.6246,20180516,20260118
2032,XX3803R,86,85,9465.36,3.72,1780.58,110.0623,20180107,20260105
XX0307R,2019,85,3,6269.97,22.31,132.56,73.7644,20170814,20220314
XX0112F,1018,82,7,3456.34,17.4,106.08,42.1505,20181026,20260317
1016,XX0113R,81,67,3915.03,14.49,159.1,48.3337,20180125,20260406
5007CFR,1018,78,1,-140.4,-1.8,-1.8,-1.8,20180117,20240617
2031,XX3606R,76,71,251322.75,75.44,26656.04,3306.8783,20180209,20251208
2031,XX4605R,75,34,447031.75,22.39,22153.96,5960.4233,20171226,20260101
1016,XX0106R,70,24,816.11,6.16,60.19,11.6587,20180123,20260416
2028,XX0116R,70,20,3876.56,15.78,527.2,55.3794,20171201,20250718
2019,2028,69,67,8723.46,9.92,651.6,126.427,20180109,20250610
2019,XX0307R,68,3,6269.97,55.89,160.65,92.2054,20170814,20220314
XX0113R,1015,68,25,174751.72,1.54,15000.0,2569.8782,20180328,20230824
XX0112R,1097,65,39,24.58,0.02,3.47,0.3782,20180131,20260228
2031,XX4106R,64,57,281572.88,17.57,20705.83,4399.5763,20180209,20251208
XX0116R,1097,64,27,34.46,0.04,4.9,0.5384,20180601,20260331
2031,XX0113R,62,57,3421.39,0.74,598.74,55.1837,20180126,20260108
1015,1058,61,48,464005.62,3.6,50000.0,7606.6495,20180612,20240125
2031,XX0103R,57,50,609.21,0.16,114.74,10.6879,20180116,20260413
XX4106R,2031,56,55,236786.5,568.84,27704.86,4228.3304,20180209,20251208
2031,XX4612R,54,38,242306.17,480.0,39700.0,4487.1513,20171104,20251215
XX0312R,2019,54,1,1224.0,2.0,61.0,22.6667,20180201,20190601
XX6112S,2019,54,38,148053.25,17.12,13883.33,2741.7269,20171104,20251215
1016,XX0112R,53,36,942.89,0.35,117.5,17.7904,20180625,20260201
2032,XX0107R,51,23,901203.14,2.07,125000.0,17670.6498,20180120,20250814
2032,XX0119R,51,18,100403.76,1.63,7513.69,1968.7012,20180128,20260107
2031,XX4416R,45,23,266385.31,947.03,15824.01,5919.6736,20190305,20260116
2032,XX0112R,45,23,714649.69,1.5,150000.0,15881.1042,20180612,20260322
2031,XX4613R,43,34,202107.22,1485.0,13183.33,4700.1679,20171216,20260101
XX6113S,2019,43,34,172573.87,156.17,13183.33,4013.3458,20171216,20260101
2031,XX4616R,40,20,251788.96,66.76,16207.41,6294.724,20180215,20260318
XX6105S,2019,39,34,215886.98,69.9,32740.96,5535.5636,20171226,20260101
1015,2019,36,32,180990.47,42.5,22184.93,5027.5131,20190809,20260210
2032,XX3870R,36,31,1581.78,0.38,344.05,43.9383,20051003,20250828
1016,XX0116R,35,26,928.04,12.5,142.1,26.5154,20181115,20260320
2019,1056,35,34,111442.17,3.0,14834.64,3184.062,20180417,20260120
2032,XX0111R,35,34,452149.04,3340.74,32145.01,12918.544,20180119,20250929
1015,1017,34,24,142475.31,547.55,23531.76,4190.4503,20171021,20260318
1016,2019,34,22,1891.39,5.84,349.6,55.6291,20180205,20260323
2019,1062,34,4,993.61,16.53,171.51,29.2238,20180314,20240806
2032,XX3805R,34,32,7708.02,18.86,772.94,226.7065,20180225,20250605
1016,XX0105R,33,29,1277.43,9.92,305.25,38.71,20181101,20260302
1017,XX4803R,33,6,4516.67,26.21,196.81,136.8688,20180401,20260401
2019,XX0107R,33,1,1007.93,1.13,70.29,30.5433,20170814,20170814
2019,XX0308R,33,1,11248.05,340.85,340.85,340.85,20180322,20260322
XX0308R,2019,33,1,11248.05,340.85,340.85,340.85,20180322,20260322
XXXXXX0049,2019,31,26,4257.95,8.99,591.04,137.3532,20191216,20260427
2019,XX4903R,30,6,4696.03,90.95,204.42,156.5343,20180201,20260401
2039,2028,30,26,3790.22,6.87,527.2,126.3407,20180320,20240522
XX0306R,XX0306R,30,1,1811.1,60.37,60.37,60.37,20180806,20210106
XX4605R,1015,30,13,239500.82,133.29,22153.96,7983.3607,20171226,20260101
XX4616R,1015,30,15,170877.76,66.76,16207.41,5695.9253,20180215,20260318
2019,XX6112S,28,14,84270.61,52.27,13883.33,3009.6646,20171021,20251215
2028,2019,28,22,1620.39,30.29,144.95,57.8711,20170922,20230629
XX4612R,1015,28,14,93902.67,683.33,13883.33,3353.6668,20171021,20251215
XX0112F,2019,27,5,7768.31,100.1,2031.33,287.7152,20210101,20250417
1016,XX0103R,26,22,355.75,2.19,60.0,13.6827,20180415,20260101
2041,XX3703R,25,2,2590.38,56.05,183.09,103.6152,20180621,20251231
XX0106R,1097,25,11,6.54,0.06,1.37,0.2616,20180131,20250531
XX0107R,1097,25,12,15.93,0.04,2.58,0.6372,20190731,20251031
1016,XX0107R,24,17,4473.09,17.69,1872.95,186.3787,20180126,20251123
2019,XX6113S,23,17,94786.65,161.78,13183.33,4121.1587,20171101,20260101
2031,XX4603R,23,18,73020.68,764.0,7120.93,3174.8122,20171106,20250901
XX4613R,1015,23,17,115829.03,2432.92,13183.33,5036.0448,20171101,20260101
XX6103S,2019,23,18,89531.49,38.42,9104.51,3892.6735,20171106,20250901
2031,XX4111R,22,11,116460.05,999.99,18123.51,5293.6386,20180620,20220801
XX0116R,1015,22,15,131031.69,6.46,20000.0,5955.9859,20180326,20230901
XX2500,XX3805R,22,5,10.79,0.01,5.27,0.4905,20180517,20230403
XX6116S,2019,22,20,228412.79,181.79,29529.35,10382.3995,20180215,20260318
1016,XX0108R,21,16,2377.06,0.28,678.13,113.1933,20180320,20260315
2028,XX0112R,21,5,465.59,1.04,65.94,22.171,20181215,20251202
2031,XX4606R,21,17,68967.98,31.25,9175.68,3284.1895,20180412,20250601
2019,1078,20,12,1037.88,10.08,163.79,51.894,20210317,20210317
2019,XX0312R,20,1,1224.0,2.0,68.0,61.2,20180201,20190601
XX4105R,2031,20,20,145474.99,38.96,37670.49,7273.7495,20180119,20250707
XX6106S,2019,20,17,17364.3,23.23,3700.0,868.215,20180412,20250601
1016,1018,19,9,943.04,6.0,100.0,49.6337,20180104,20260211
2032,1058,19,16,132112.92,143.56,38728.6,6953.3116,20180213,20210526
2032,2019,19,18,16816.6,6.91,5380.4,885.0842,20180210,20250105
2032,XX3806R,19,18,2324.85,20.49,533.9,122.3605,20180127,20241003
XX2500,2019,19,17,1916.3,25.0,312.95,100.8579,20161207,20261128
XX4606R,2031,19,16,52449.12,805.07,13889.28,2760.48,20180412,20250601
2031,XX3616R,18,18,263889.93,839.6,91999.48,14660.5517,20180321,20250304
XX0119R,1097,17,15,59.33,0.73,9.75,3.49,20180228,20260331
XXXXXX0044,2019,17,14,1715.37,10.8,414.46,100.9041,20181204,20250702
2019,XX6116S,16,15,169458.05,4912.65,29399.03,10591.1281,20180215,20260318
XX4116R,2031,16,16,142777.87,122.55,36094.85,8923.6169,20180216,20240716
2019,XX6105S,15,13,190371.69,118.96,32740.96,12691.446,20171226,20260101
2019,XXXXXX0256,15,12,62882.55,1001.28,12509.99,4192.17,20220310,20260408
2031,XX0107R,15,13,710.3,0.07,156.23,47.3533,20210624,20260220
2031,XX3605R,15,15,144608.34,78.56,37670.49,9640.556,20180123,20250707
XX6203S,2019,15,2,599.25,7.92,77.98,39.95,20180301,20251101
2031,XX4413R,14,14,76050.0,3000.0,15000.0,5432.1429,20191128,20251001
2032,XX3808R,14,14,5624.27,16.65,3176.92,401.7336,20180516,20260118
2019,XXXXXX0043,13,9,8.45,0.1,1.0,0.65,20211201,20221210
2032,2023,13,13,50964.33,266.65,9240.69,3920.3331,20180422,20241117
XX3813R,1015,13,13,416.94,3.13,85.22,32.0723,20180328,20230613
XX3903R,1015,13,9,28789.62,924.75,4466.67,2214.5862,20171001,20250901
1062,2019,12,2,1603.56,117.84,257.67,133.63,20180129,20230221
2019,XX6103S,12,9,49362.39,323.83,9104.51,4113.5325,20180621,20250901
2031,XX4403R,12,9,27915.3,40.54,5991.1,2326.275,20190415,20250815
XX0103R,1015,12,5,34761.64,0.65,5601.0,2896.8033,20181014,20230424
XX4603R,1015,12,9,38584.75,2244.88,6174.65,3215.3958,20180621,20250901
2019,XX0116R,11,7,16017.94,26.64,14442.87,1456.1764,20190503,20251215
2031,2023,11,10,39690.46,466.76,11935.58,3608.2236,20180302,20250916
2031,XX0119R,10,7,203.99,0.64,42.29,20.399,20180214,20210901
2031,XX4713R,10,9,38423.19,2032.89,6684.11,3842.319,20180121,20220218
XX0113R,2032,10,8,11612.22,0.75,8000.0,1161.222,20180415,20250301
XX6313S,2019,10,9,38423.19,2032.89,6684.11,3842.319,20180121,20220218
2032,XX2500,9,9,1490.56,14.78,312.95,165.6178,20181101,20250105
2032,XX3812R,9,9,571.48,17.44,222.39,63.4978,20180612,20260322
1016,XX0119R,8,8,175.98,11.56,45.5,21.9975,20210101,20260324
2028,XX0108R,8,2,112.78,0.01,50.23,14.0975,20210401,20220425
2031,2019,8,8,27709.02,16.98,7329.17,3463.6275,20201115,20250503
2031,XX0108R,8,8,1170.22,2.96,678.13,146.2775,20190520,20260303
2031,XX4119R,8,8,23091.84,883.85,4046.58,2886.48,20180214,20210901
1015,XX4606R,7,4,22117.9,1234.36,13889.28,3159.7,20200223,20250601
1016,XX0126R,7,6,187.68,7.88,43.2,26.8114,20210315,20210326
2019,1015,7,6,6610.03,0.01,6423.26,944.29,20190222,20231208
2019,XX3816R,7,6,262.41,1.13,120.08,37.4871,20220513,20240619
2019,XX6106S,7,4,3295.86,66.11,2112.5,470.8371,20200223,20250601
2028,XX0107R,7,3,499.05,1.13,200.7,71.2929,20180314,20221201
2031,XX0105R,7,6,408.12,10.85,168.79,58.3029,20180504,20260408
2031,XX4470R,7,3,1955.59,0.01,764.73,279.37,20180301,20250103
2032,XX3811R,7,7,779.66,11.99,462.7,111.38,20180119,20230926
XX0105R,1097,7,6,1.93,0.1,0.62,0.2757,20181130,20250731
XX3606R,1015,7,4,18826.9,654.82,12903.36,2689.5571,20200223,20250601
XX4606R,1015,7,4,22107.67,2296.21,7260.92,3158.2386,20200223,20250601
2019,XX4016R,6,6,2254.09,317.1,482.18,375.6817,20180320,20231004
2031,XX0106R,6,4,124.81,17.33,22.33,20.8017,20180209,20180914
2031,XX4412R,6,6,12781.43,494.15,6793.52,2130.2383,20181229,20250822
2032,XX3819R,6,6,193.34,15.67,57.32,32.2233,20180128,20230810
XX0108R,1097,6,5,46.89,0.33,33.86,7.815,20180430,20251212
XX3816R,1015,6,6,338.39,12.74,132.41,56.3983,20190222,20230901
XX4412R,2031,6,6,12781.43,494.15,6793.52,2130.2383,20181229,20250822
XX6207S,XX6107R,6,1,484.84,75.35,86.4,80.8067,20180421,20230421
XXXXXX0256,XX0113R,6,4,38421.69,29.73,12990.0,6403.615,20180625,20201217
2019,XX3813R,5,3,110.97,8.98,35.91,22.194,20200130,20230508
2019,XX3903R,5,5,8690.31,31.2,2823.83,1738.062,20180823,20250108
2031,XX4170R,5,3,2763.93,234.84,1438.6,552.786,20180123,20231216
2031,XX4619R,5,3,21389.17,3033.75,5031.87,4277.834,20191007,20250820
2031,XX4803R,5,5,355.34,7.53,199.7,71.068,20191110,20250901
XX0170R,1015,5,4,3694.52,5.63,2000.0,738.904,20190817,20241011
XX6119S,2019,5,3,19688.49,1333.07,5031.87,3937.698,20191007,20250820
1015,XXXXXX0256,4,4,21155.88,700.0,9977.92,5288.97,20191029,20250904
1016,1017,4,4,131.0,6.0,50.0,32.75,20190204,20260202
2019,XX3811R,4,2,338.92,75.39,95.89,84.73,20181015,20230504
2028,XX0106R,4,3,52.71,8.49,20.2,13.1775,20200322,20250603
2028,XX0170R,4,1,23.38,0.99,10.7,5.845,20230228,20240228
2032,XX3807R,4,4,578.64,16.66,419.46,144.66,20200706,20240919
2039,2032,4,4,10425.99,6.91,5380.4,2606.4975,20180419,20230503
XX4416R,2031,4,4,116803.99,2415.38,91999.48,29200.9975,20190305,20250304
XX4470R,1015,4,2,955.58,0.01,502.0,238.895,20181106,20250103
XX4616R,2031,4,4,6078.87,191.99,5480.64,1519.7175,20180523,20251111
XXXXXX0256,1015,4,2,27514.94,1643.97,22500.0,6878.735,20190826,20220126
1015,8047,3,3,630.39,40.9,548.0,210.13,20191029,20200825
1015,XX0113R,3,1,163.72,40.93,81.86,54.5733,20190710,20190711
2019,1016,3,3,131.09,20.0,82.65,43.6967,20191220,20220208
2019,2023,3,2,3150.12,277.78,2594.56,1050.04,20180621,20260410
2019,2079,3,3,2136.83,5.4,2031.33,712.2767,20181114,20250417
2019,XX4005R,3,3,1862.92,176.67,1357.0,620.9733,20220818,20231212
2019,XX6103R,3,3,14491.25,1872.87,7329.17,4830.4167,20231211,20250819
2019,XX6119S,3,2,11364.95,1333.07,5021.25,3788.3167,20191007,20250720
2019,XX6203S,3,3,9820.29,1423.0,6749.98,3273.43,20190702,20221003
2019,XXXXXX0254,3,3,8659.06,55.78,5459.07,2886.3533,20190701,20240620
2030,1056,3,3,11000.0,3000.0,4000.0,3666.6667,20240423,20251020
2031,XX4703R,3,2,15025.43,4019.14,5972.47,5008.4767,20180101,20240601
2031,XX4712R,3,3,27808.34,1670.0,24266.67,9269.4467,20190801,20241111
2032,1056,3,2,15265.57,2051.4,11162.77,5088.5233,20180502,20190719
2039,XX2500,3,3,2.72,0.16,1.83,0.9067,20251231,20251231
8047,XXXXXX0049,3,3,0.62,0.02,0.5,0.2067,20220721,20241125
XX2500,XX3812R,3,1,0.26,0.01,0.22,0.0867,20210207,20210719
XX3816R,2019,3,3,825.2,30.67,722.72,275.0667,20221101,20240620
XX4403R,2031,3,3,6903.18,746.6,3906.65,2301.06,20190415,20230815
XX4413R,1015,3,3,25000.0,5000.0,15000.0,8333.3333,20200701,20240101
XX4605R,2031,3,3,274.68,0.43,189.94,91.56,20210601,20241215
XX4619R,1015,3,2,13065.63,3033.75,5021.25,4355.21,20191007,20250720
XX6303S,2019,3,2,26174.3,6387.12,11043.33,8724.7667,20180101,20240601
XX6312S,2019,3,3,27808.34,1670.0,24266.67,9269.4467,20190801,20241111
XXXXXX0049,8047,3,3,3.43,0.09,3.0,1.1433,20230309,20250307
XXXXXX0256,XX0116R,3,2,26522.77,59.37,20000.0,8840.9233,20200929,20230427
1015,1056,2,2,6681.49,1670.99,5010.5,3340.745,20191217,20191219
1015,XX4616R,2,2,394.58,191.99,202.59,197.29,20180523,20190101
1017,2030,2,1,3000.0,720.26,2279.74,1500.0,20251020,20251020
1018,2019,2,2,64.67,25.0,39.67,32.335,20230913,20250227
1056,XX2500,2,2,51.7,25.48,26.22,25.85,20180517,20230220
1058,1015,2,2,10477.96,3162.72,7315.24,5238.98,20200221,20200325
2019,1058,2,2,6259.12,700.01,5559.11,3129.56,20210415,20250903
2019,XX0105R,2,2,1285.43,568.18,717.25,642.715,20200422,20250306
2019,XX0112R,2,2,384.93,105.21,279.72,192.465,20190730,20250806
2019,XX0119R,2,1,51.19,23.81,27.38,25.595,20200821,20200821
2019,XX0126R,2,2,56.67,8.67,48.0,28.335,20210223,20210916
2019,XX3803R,2,2,78.92,34.73,44.19,39.46,20210415,20211207
2019,XX6303S,2,1,12723.97,6336.85,6387.12,6361.985,20171001,20180101
2019,XX6313S,2,2,6153.26,2032.89,4120.37,3076.63,20190128,20201101
2028,XX0113R,2,2,32.1,11.65,20.45,16.05,20190301,20191001
2031,2041,2,1,19319.44,8996.16,10323.28,9659.72,20180621,20220621
2031,XX0109R,2,1,48.75,10.6,38.15,24.375,20190624,20190624
2031,XX0116R,2,2,4288.43,28.43,4260.0,2144.215,20201113,20240626
2031,XX3907R,2,1,2984.12,903.41,2080.71,1492.06,20240319,20240319
2031,XX4107R,2,1,4007.17,1238.16,2769.01,2003.585,20240319,20240319
2031,XX4706R,2,1,4383.33,33.81,4349.52,2191.665,20240516,20240516
8047,XX2500,2,2,199.41,25.0,174.41,99.705,20211116,20231212
XX0105R,1015,2,2,55000.0,25000.0,30000.0,27500.0,20190828,20231228
XX0106R,1015,2,1,30006.55,6.55,30000.0,15003.275,20220113,20220113
XX0113R,1058,2,1,5029.73,29.73,5000.0,2514.865,20180913,20180913
XX0116R,1016,2,1,53.28,26.64,26.64,26.64,20190503,20190503
XX0116R,XXXXXX0256,2,2,20906.27,6463.4,14442.87,10453.135,20230427,20230427
XX0119R,1015,2,1,7513.69,13.69,7500.0,3756.845,20200720,20200720
XX3805R,1015,2,2,233.03,113.36,119.67,116.515,20190828,20231228
XX3870R,1015,2,2,5.16,1.56,3.6,2.58,20190817,20220424
XX3870R,2019,2,2,176.1,1.04,175.06,88.05,20200114,20240528
XX4105R,1015,2,1,14081.87,3958.16,10123.71,7040.935,20200101,20200101
XX4112R,1015,2,1,4150.0,776.08,3373.92,2075.0,20220201,20220201
XX4170R,1015,2,1,843.83,355.61,488.22,421.915,20231216,20231216
XX4703R,1015,2,1,8000.37,3981.23,4019.14,4000.185,20171001,20180101
XX4713R,1015,2,2,6153.26,2032.89,4120.37,3076.63,20190128,20201101
1015,2031,1,1,6266.66,6266.66,6266.66,6266.66,20210203,20210203
1015,2032,1,1,11162.77,11162.77,11162.77,11162.77,20180502,20180502
1015,XX0103R,1,1,5000.0,5000.0,5000.0,5000.0,20200423,20200423
1015,XX0108R,1,1,678.13,678.13,678.13,678.13,20250122,20250122
1015,XX0111R,1,1,26902.0,26902.0,26902.0,26902.0,20230502,20230502
1015,XX0116R,1,1,59.37,59.37,59.37,59.37,20200825,20200825
1015,XX0119R,1,1,13.69,13.69,13.69,13.69,20200821,20200821
1015,XX0170R,1,1,142.0,142.0,142.0,142.0,20191219,20191219
1015,XX3813R,1,1,58.3,58.3,58.3,58.3,20190711,20190711
1015,XX3870R,1,1,1.56,1.56,1.56,1.56,20191219,20191219
1015,XX4170R,1,1,843.83,843.83,843.83,843.83,20240129,20240129
1016,1056,1,1,49.54,49.54,49.54,49.54,20220411,20220411
1017,1016,1,1,50.0,50.0,50.0,50.0,20240104,20240104
1058,XXXXXX0254,1,1,9977.92,9977.92,9977.92,9977.92,20191025,20191025
2019,7046,1,1,84.35,84.35,84.35,84.35,20230214,20230214
2019,XX0103R,1,1,185.0,185.0,185.0,185.0,20200722,20200722
2019,XX0111R,1,1,6463.4,6463.4,6463.4,6463.4,20230427,20230427
2019,XX3805R,1,1,16.39,16.39,16.39,16.39,20240207,20240207
2019,XX3818R,1,1,14.74,14.74,14.74,14.74,20220601,20220601
2019,XX6170S,1,1,843.83,843.83,843.83,843.83,20231216,20231216
2019,XXXXXX0045,1,1,91.64,91.64,91.64,91.64,20240306,20240306
2023,1015,1,1,10841.41,10841.41,10841.41,10841.41,20180621,20180621
2023,2019,1,1,2594.56,2594.56,2594.56,2594.56,20260413,20260413
2028,1016,1,1,95.55,95.55,95.55,95.55,20190813,20190813
2028,2039,1,1,11.65,11.65,11.65,11.65,20190327,20190327
2028,XX0103R,1,1,119.16,119.16,119.16,119.16,20201112,20201112
2028,XX0119R,1,1,25.21,25.21,25.21,25.21,20200816,20200816
2030,2039,1,1,5500.0,5500.0,5500.0,5500.0,20190822,20190822
2031,XX0305R,1,1,35.77,35.77,35.77,35.77,20190624,20190624
2031,XX0306R,1,1,57.13,57.13,57.13,57.13,20181101,20181101
2031,XX2500,1,1,0.86,0.86,0.86,0.86,20210719,20210719
2031,XX4670R,1,1,843.83,843.83,843.83,843.83,20231216,20231216
2031,ZZZZXX0561,1,1,13650.0,13650.0,13650.0,13650.0,20230601,20230601
2032,1015,1,1,8129.96,8129.96,8129.96,8129.96,20201022,20201022
2041,1015,1,1,8996.16,8996.16,8996.16,8996.16,20180621,20180621
2079,1077,1,1,100.1,100.1,100.1,100.1,20250409,20250409
2079,2039,1,1,5.4,5.4,5.4,5.4,20181114,20181114
2079,XXXXXX0045,1,1,2031.33,2031.33,2031.33,2031.33,20240731,20240731
8047,1015,1,1,548.0,548.0,548.0,548.0,20200825,20200825
8047,2028,1,1,0.1,0.1,0.1,0.1,20190607,20190607
8047,XX0106R,1,1,12.13,12.13,12.13,12.13,20250117,20250117
XX0103F,1058,1,1,5000.0,5000.0,5000.0,5000.0,20180913,20180913
XX0103R,XXXXXX0256,1,1,5000.0,5000.0,5000.0,5000.0,20200423,20200423
XX0107R,1015,1,1,50000.0,50000.0,50000.0,50000.0,20180807,20180807
XX0108R,1015,1,1,678.13,678.13,678.13,678.13,20250111,20250111
XX0108R,1056,1,1,678.13,678.13,678.13,678.13,20250122,20250122
XX0108R,2032,1,1,18.33,18.33,18.33,18.33,20250716,20250716
XX0111R,1015,1,1,26902.0,26902.0,26902.0,26902.0,20221224,20221224
XX0111R,2032,1,1,26902.0,26902.0,26902.0,26902.0,20230504,20230504
XX0111R,XXXXXX0256,1,1,6463.4,6463.4,6463.4,6463.4,20230427,20230427
XX0113R,2028,1,1,23.3,23.3,23.3,23.3,20190327,20190327
XX0113R,XXXXXX0256,1,1,6775.18,6775.18,6775.18,6775.18,20180531,20180531
