transaction_code,code_position,row_count,distinct_policy_count,total_amount,positive_amount_count,negative_amount_count,zero_amount_count,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
256,DEBIT_CODE,24,20,123183.28,24,0,0,700.0,14442.87,5132.6367,20180531,20260408
520,CREDIT_CODE,21,19,165361.18,21,0,0,0.01,91999.48,7874.3419,20181106,20250822
47,DEBIT_CODE,20,12,1037.88,20,0,0,10.08,163.79,51.894,20210317,20210317
90,DEBIT_CODE,20,19,88692.87,20,0,0,3.0,14834.64,4434.6435,20180502,20240805
44,CREDIT_CODE,19,14,1765.37,19,0,0,10.8,414.46,92.9142,20181204,20250702
565,DEBIT_CODE,18,15,85640.29,18,0,0,33.81,24266.67,4757.7939,20180101,20241111
115,CREDIT_CODE,17,15,96789.16,17,0,0,1670.0,24266.67,5693.48,20180101,20241111
126,DEBIT_CODE,16,13,9597.61,16,0,0,142.1,4260.0,599.8506,20180205,20251215
92,DEBIT_CODE,16,15,41455.77,16,0,0,8.22,9141.86,2590.9856,20180417,20260120
256,CREDIT_CODE,15,8,97465.86,15,0,0,6.46,22500.0,6497.724,20180625,20230427
562,CREDIT_CODE,13,9,28789.62,13,0,0,924.75,4466.67,2214.5862,20171001,20250901
43,DEBIT_CODE,13,9,8.45,13,0,0,0.1,1.0,0.65,20211201,20221210
62,CREDIT_CODE,12,2,1603.56,12,0,0,117.84,257.67,133.63,20180129,20230221
1020,CREDIT_CODE,7,4,18826.9,7,0,0,654.82,12903.36,2689.5571,20200223,20250601
2,DEBIT_CODE,7,6,329.92,7,0,0,20.0,95.55,47.1314,20190503,20240104
91,DEBIT_CODE,6,6,15400.0,6,0,0,1000.0,4000.0,2566.6667,20200123,20251020
565,CREDIT_CODE,5,4,18961.21,5,0,0,2032.89,4807.58,3792.242,20171001,20240516
150,DEBIT_CODE,5,3,160.9,5,0,0,2.0,61.0,32.18,20181101,20190624
112,DEBIT_CODE,4,4,9973.94,4,0,0,153.65,6749.98,2493.485,20190702,20241001
115,DEBIT_CODE,4,3,18877.23,4,0,0,2032.89,6387.12,4719.3075,20171001,20201101
254,DEBIT_CODE,4,4,18636.98,4,0,0,55.78,9977.92,4659.245,20190701,20240620
96,DEBIT_CODE,4,4,412.09,4,0,0,53.74,169.8,103.0225,20180626,20220124
11,CREDIT_CODE,3,3,2136.83,3,0,0,5.4,2031.33,712.2767,20181114,20250409
580,CREDIT_CODE,3,1,68.0,3,0,0,2.0,61.0,22.6667,20190601,20190601
11,DEBIT_CODE,3,3,2136.83,3,0,0,5.4,2031.33,712.2767,20181114,20250417
46,CREDIT_CODE,2,2,64.67,2,0,0,25.0,39.67,32.335,20230913,20250227
515,CREDIT_CODE,2,2,263.09,2,0,0,93.29,169.8,131.545,20210901,20250901
561,CREDIT_CODE,2,2,558.19,2,0,0,241.09,317.1,279.095,20180223,20230227
95,CREDIT_CODE,2,2,51.7,2,0,0,25.48,26.22,25.85,20180517,20230220
220,DEBIT_CODE,2,1,19319.44,2,0,0,8996.16,10323.28,9659.72,20180621,20220621
45,DEBIT_CODE,2,2,2122.97,2,0,0,91.64,2031.33,1061.485,20240306,20240731
516,CREDIT_CODE,1,1,150.18,1,0,0,150.18,150.18,150.18,20260303,20260303
517,CREDIT_CODE,1,1,153.65,1,0,0,153.65,153.65,153.65,20241001,20241001
715,CREDIT_CODE,1,1,1.0,1,0,0,1.0,1.0,1.0,20220322,20220322
39,DEBIT_CODE,1,1,100.1,1,0,0,100.1,100.1,100.1,20250409,20250409
