MPOLICY,MPLAN,MANNLFEE,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE,BEFORE_Q,AFTER_Q,DELTA_Q,BEFORE_MTHD,AFTER_MTHD,DELTA_MTHD,MMODEPREM,MPREM,MUNIT,MBILLFRM,MMODE
010367705C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,9.36000,5.29500,2,01
010368703C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,15.96000,6.86500,2,01
010371171C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,17.04000,6.43000,2,01
010371356C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,12.00000,4.13000,2,01
010373918C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,44.36,47.13,2.77,15.07,16.00,0.93,10.80,9.48000,17.65720,1,01
010374099C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,13.10,15.75,2.65,4.45,5.35,0.90,6.66,6.40000,7.72582,1,01
010374837C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,11.64000,4.25773,2,01
010374838C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,11.04000,4.48913,2,01
010376522C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,22.68,25.33,2.65,7.70,8.60,0.90,95.60,8.56000,10.00000,1,12
010376529C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,8.52000,5.81700,2,01
010377918C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,20.00,.00,19.07270,2,01
010378485C,196065,10.00,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696,0.00,2.65,2.65,0.00,0.90,0.90,12.81,.00,6.16180,1,01
010378830C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,30.82,33.47,2.65,10.47,11.37,0.90,10.99,11.63000,10.00000,2,01
010379405C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,36.17,38.82,2.65,12.29,13.19,0.90,12.75,13.65000,10.00000,2,01
010379477C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,0.00,2.65,2.65,0.00,0.90,0.90,6.57,.00,9.06179,2,01
010379478C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,0.00,2.65,2.65,0.00,0.90,0.90,6.77,.00,9.14150,2,01
010380049C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,20.54,23.19,2.65,6.97,7.88,0.91,87.50,7.75000,10.00000,1,12
010380625C,196065,10.00,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696,0.00,2.65,2.65,0.00,0.90,0.90,22.45,.00,2.73538,1,06
010380627C,196065,10.00,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696,8.20,10.85,2.65,2.78,3.68,0.90,40.93,12.37000,2.50000,1,12
010380808C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,29.04,31.69,2.65,9.86,10.76,0.90,62.19,10.96000,10.00000,1,06
010381516C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,10.80,.00,2.18604,1,01
010381745C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,8.88000,12.33800,2,01
010382426C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,34.98,37.63,2.65,11.88,12.78,0.90,37.63,13.20000,10.00000,2,03
010382448C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.11,2.88,2.77,0.04,0.98,0.94,62.40,.03555,11.81440,1,06
010382931C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,32.81,35.46,2.65,11.14,12.04,0.90,35.46,12.38000,10.00000,1,03
010385636C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,54.26,56.91,2.65,18.43,19.33,0.90,19.33,13.65000,15.00000,1,01
010388767C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,31.80,17.64000,6.21100,1,03
010389802C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,58.83,61.48,2.65,19.98,20.88,0.90,232.00,22.20000,10.00000,1,12
010390061C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,31.19,12.00000,4.12893,1,06
010390251C,196065,10.00,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696,5.30,7.95,2.65,1.80,2.70,0.90,31.54,10.00,2.00000,1,12
010391004C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,15.48000,7.07800,2,01
010391355C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,42.29,45.06,2.77,14.36,15.30,0.94,62.40,11.64000,13.71152,1,06
010391359C,280END,10.00,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711,7.64,10.29,2.65,2.60,3.50,0.90,3.84,14.42000,2.00000,2,01
010391422C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,12.24000,4.04900,2,01
010391679C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,18.24000,6.00700,2,01
010391840C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,10.08000,4.91700,2,01
010391841C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,5.40,.00,5.16536,1,01
010391876C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.85,16.62,2.77,4.70,5.64,0.94,5.40,8.52000,6.13449,1,01
010391878C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,14.16,16.93,2.77,4.81,5.75,0.94,5.40,9.36000,5.70908,1,01
010391895C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,12.00000,4.13000,2,01
010392930C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,17.72,20.48,2.76,6.02,6.96,0.94,60.00,11.64000,5.74328,1,12
010393142C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,120.01,17.04000,6.43000,1,12
010393143C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,60.00,9.96000,4.97600,1,12
010393158C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,31.80,18.24000,6.00700,1,03
010393401C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,13.68000,8.00900,2,01
010393899C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.80,16.56000,6.61600,1,01
010393931C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,62.40,.00,12.43498,1,06
010394249C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,62.40,15.96000,6.86500,1,06
010394353C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,62.40,14.16000,7.73700,1,06
010395098C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,14.58,17.35,2.77,4.95,5.89,0.94,31.20,9.60000,5.73124,1,06
010395211C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,13.68000,8.00900,2,01
010395761C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,44.93,47.70,2.77,15.26,16.20,0.94,15.00,23.52000,7.20900,2,01
010396186C,17085M,10.44,52.0000,25.0000,9.0000,8.3333,5.4288,2.6100,0.9396,0.8700,27.39,30.00,2.61,9.86,10.80,0.94,30.00,11.64000,9.41200,2,03
010396425C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,16.56000,6.61600,2,01
010397118C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,60.83,63.60,2.77,20.66,21.60,0.94,20.00,12.60000,18.21900,2,01
010397318C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,31.80,.00,3.62603,1,03
010397493C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,12.60000,8.69500,2,01
010397528C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,60.00,11.64000,4.25800,1,12
010397583C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,44.93,47.70,2.77,15.26,16.20,0.94,47.70,14.52000,11.67800,1,03
010398274C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,13.68000,8.00900,2,01
010398471C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,12.00000,9.13000,1,12
010398475C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,19.56000,5.60100,1,12
010399927C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,16.56000,6.61600,2,01
010400462C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,14.16000,7.73700,2,01
010401087C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,13.68000,8.00900,1,12
010401181C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,23.52000,4.65800,2,01
010401210C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,13.32000,8.22500,2,01
010401534C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,15.90,.00,4.80436,1,03
010401565C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,12.46,15.23,2.77,4.23,5.17,0.94,60.00,9.96000,4.72185,1,12
010402010C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,46.09,48.86,2.77,15.65,16.59,0.94,120.01,24.36000,7.13957,1,12
010402014C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,18.83,21.59,2.76,6.39,7.33,0.94,10.80,16.56000,4.29022,1,01
010402060C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,15.96000,6.86500,2,01
010402061C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,44.93,47.70,2.77,15.26,16.20,0.94,15.00,19.56000,8.66900,2,01
010402105C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,44.93,47.70,2.77,15.26,16.20,0.94,15.00,15.00000,11.30400,2,01
010402899C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,42.52,45.29,2.77,14.44,15.38,0.94,31.80,12.00000,13.37206,1,03
010403109C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,31.80,15.96000,6.86500,1,03
010403117C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,8.40000,5.90000,2,01
010403516C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,59.99,9.84000,5.03600,2,12
010403789C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,12.00000,9.13000,2,01
010403872C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,20.09,22.86,2.77,6.82,7.76,0.94,31.20,11.64000,6.51378,1,06
010403916C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,5.40,.00,1.28006,1,01
010404600C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,60.83,63.60,2.77,20.66,21.60,0.94,20.00,16.56000,13.86200,2,01
010404602C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,35.96,38.72,2.76,12.21,13.15,0.94,31.80,13.68000,9.91897,1,03
010404604C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,15.90,.00,4.49002,1,03
010404605C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,15.90,.00,5.09267,1,03
010404857C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,12.96000,8.45400,2,01
010405175C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,5.40,.00,1.14470,1,01
010405440C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.01,31.78,2.77,9.85,10.79,0.94,9.99,8.88000,12.33000,2,01
010405642C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,10.80,.00,1.11372,1,01
010405858C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,119.99,20.28000,5.40200,2,12
010406576C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,10.44000,4.74700,2,01
010406962C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,10.00,.00,.88367,1,01
010407023C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,32.81,35.46,2.65,11.14,12.04,0.90,11.64,12.38000,10.00000,2,01
010407237C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,5.00,.00,2.92695,1,01
010407534C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,60.00,12.60000,3.93300,1,12
010407670C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,0.00,2.77,2.77,0.00,0.94,0.94,10.00,.00,8.23694,2,01
010407925C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,60.84,63.60,2.76,20.66,21.60,0.94,20.00,18.96000,12.10800,2,01
010410616C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,19.56000,5.60100,2,01
010411499C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,19.56000,5.60100,2,01
010411577C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,60.84,63.60,2.76,20.66,21.60,0.94,20.00,18.96000,12.10800,2,01
010411920C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,29.04,31.69,2.65,9.86,10.76,0.90,10.41,10.96000,10.00000,2,01
010412522C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,55.68,58.33,2.65,18.91,19.81,0.90,19.15,17.51000,12.00000,2,01
010412525C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,18.96000,5.77800,2,01
010412526C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,22.68000,4.83100,2,01
010412640C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,13.32000,8.22500,2,01
010412641C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,12.00000,9.13000,1,12
010413421C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,12.00000,9.13000,2,12
010413628C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,19.56000,5.60100,2,01
010413745C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,29.92,32.57,2.65,10.16,11.06,0.90,63.91,11.29000,10.00000,1,06
010414235C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,23.52000,4.65800,2,01
010415834C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,22.68000,4.83100,2,01
010417200C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,60.83,63.60,2.77,20.66,21.60,0.94,21.60,21.84000,10.51100,1,01
010417838C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,31.80,17.64000,6.21100,1,03
010420853C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,18.24000,6.00700,2,01
010420983C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,12.24000,8.95100,2,01
010422033C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,12.60000,8.69500,1,12
010422221C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,60.00,10.32000,4.80200,1,12
010422722C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.04,31.80,2.76,9.86,10.80,0.94,10.00,17.04000,6.43000,2,01
010422977C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,67.02,69.67,2.65,22.76,23.66,0.90,22.87,16.86000,15.00000,2,01
010423540C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,120.00,16.56000,6.61600,1,12
010424185C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,17.94,20.71,2.77,6.09,7.03,0.94,5.40,9.12000,7.42332,1,01
010425845C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.80,14.52000,7.54500,1,01
010425928C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,29.03,31.80,2.77,9.86,10.80,0.94,10.00,19.56000,5.60100,2,01
010425941C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,29.92,32.57,2.65,10.16,11.06,0.90,63.91,11.29000,10.00000,1,06
010425944C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,40.09,42.74,2.65,13.62,14.52,0.90,14.03,15.13000,10.00000,2,01
010426747C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,50.11,52.76,2.65,17.02,17.92,0.90,52.76,18.91000,10.00000,1,03
