MPOLICY,MPLAN,MMODE,MBILLFRM,ANNUAL_PREMIUM,POLICY_FEE,MODE_PREMIUM,EXPECTED_ANNUAL_X_FACTOR,DIFF,WITHIN_02,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE
010374837C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010374838C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010378830C,1960PO,1,2,126.30,10.00,10.99,126.3000,-115.3100,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010379477C,1960PO,1,2,10.00,10.00,6.57,10.0000,-3.4300,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010379478C,1960PO,1,2,10.00,10.00,6.77,10.0000,-3.2300,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010380049C,1960PO,12,1,87.50,10.00,87.50,7.8750,79.6250,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010380627C,196065,12,1,40.93,10.00,40.93,3.6846,37.2454,N,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696
010380808C,1960PO,6,1,119.60,10.00,62.19,62.1920,-0.0020,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010381516C,170858,1,1,10.44,10.44,10.80,10.4400,0.3600,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010382426C,1960PO,3,2,142.00,10.00,37.63,37.6300,0.0000,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010382448C,170858,6,1,10.44,10.44,62.40,5.4288,56.9712,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010388767C,17085M,3,1,120.00,10.44,31.80,31.8000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010390061C,170858,6,1,59.99,10.44,31.19,31.1948,-0.0048,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010390251C,196065,12,1,10.00,10.00,31.54,0.9002,30.6398,N,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696
010391004C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391355C,17085M,6,1,120.00,10.44,62.40,62.4000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391679C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391840C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391876C,170858,1,1,60.00,10.44,5.40,60.0000,-54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391878C,170858,1,1,60.00,10.44,5.40,60.0000,-54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010391895C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010392930C,170858,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010393142C,170858,12,1,120.01,10.44,120.01,10.8009,109.2091,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010393143C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010393401C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010393899C,17085M,1,1,120.00,10.44,10.80,120.0000,-109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010394353C,17085M,6,1,120.00,10.44,62.40,62.4000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010395098C,170858,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010395211C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010396186C,17085M,3,2,120.00,10.44,30.00,30.0000,0.0000,Y,52.0000,25.0000,9.0000,8.3333,5.4288,2.6100,0.9396,0.8700
010396425C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010397118C,17085M,1,2,240.00,10.44,20.00,240.0000,-220.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010397493C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010397528C,170858,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010398471C,17085M,12,1,120.00,10.44,120.00,10.8000,109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010398475C,17085M,12,1,120.00,10.44,120.00,10.8000,109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010399927C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010401087C,17085M,12,1,120.00,10.44,120.00,10.8000,109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010401210C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010401565C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010402105C,17085M,1,2,180.00,10.44,15.00,180.0000,-165.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010402899C,170858,3,1,120.00,10.44,31.80,31.8000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403109C,170858,3,1,120.01,10.44,31.80,31.8027,-0.0027,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403117C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403516C,170858,12,2,59.99,10.44,59.99,4.9991,54.9909,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403789C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403872C,170858,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010403916C,170858,1,1,10.44,10.44,5.40,10.4400,-5.0400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010404600C,170858,1,2,239.99,10.44,20.00,239.9900,-219.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010404602C,17085M,3,1,120.00,10.44,31.80,31.8000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010405175C,170858,1,1,10.44,10.44,5.40,10.4400,-5.0400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010405440C,17085M,1,2,119.93,10.44,9.99,119.9300,-109.9400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010406576C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010407023C,1960PO,1,2,133.80,10.00,11.64,133.8000,-122.1600,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010407237C,170858,1,1,10.44,10.44,5.00,10.4400,-5.4400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010407534C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010407670C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010407925C,17085M,1,2,240.01,10.44,20.00,240.0100,-220.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010410616C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010411577C,17085M,1,2,240.01,10.44,20.00,240.0100,-220.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010411920C,1960PO,1,2,119.60,10.00,10.41,119.6000,-109.1900,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010412525C,170858,1,2,119.99,10.44,10.00,119.9900,-109.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010412641C,170858,12,1,120.00,10.44,120.00,10.8000,109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010413421C,170858,12,2,120.00,10.44,120.00,10.0000,110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010417838C,170858,3,1,120.00,10.44,31.80,31.8000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010420853C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010422221C,170858,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010422722C,17085M,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010422977C,1960PO,1,2,262.90,10.00,22.87,262.9000,-240.0300,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010423540C,17085M,12,1,120.00,10.44,120.00,10.8000,109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010424185C,17085M,1,1,60.00,10.44,5.40,60.0000,-54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010425941C,1960PO,6,1,122.90,10.00,63.91,63.9080,0.0020,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010425944C,1960PO,1,2,161.30,10.00,14.03,161.3000,-147.2700,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010426859C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010427442C,170858,1,1,10.44,10.44,5.40,10.4400,-5.0400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010428259C,170858,1,1,10.44,10.44,5.40,10.4400,-5.0400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010428688C,170858,12,1,10.44,10.44,180.01,0.9396,179.0704,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010428747C,1960PO,1,2,10.00,10.00,76.87,10.0000,66.8700,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010429066C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010430017C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010430993C,170858,1,2,119.99,10.44,10.00,119.9900,-109.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010431301C,1960PO,12,1,319.50,10.00,319.50,28.7550,290.7450,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010431510C,170858,1,2,180.00,10.44,15.00,180.0000,-165.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010432414C,17085M,1,2,119.99,10.44,10.00,119.9900,-109.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010432631C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010433471C,170858,1,1,10.44,10.44,10.80,10.4400,0.3600,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010433630C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010434418C,1960PO,6,1,74.00,10.00,38.48,38.4800,0.0000,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010434421C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010435244C,170858,6,1,59.99,10.44,31.20,31.1948,0.0052,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010435609C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010435671C,1960PO,1,2,257.60,10.00,22.41,257.6000,-235.1900,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010435673C,196065,1,2,36.80,10.00,3.20,36.8000,-33.6000,N,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696
010436082C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010436083C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010436406C,1991PL,12,1,20.00,20.00,406.26,1.8006,404.4594,N,52.0039,26.4956,9.0030,8.6960,10.4008,5.2991,1.8006,1.7392
010436541C,170858,1,1,120.00,10.44,10.80,120.0000,-109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010436712C,170858,12,1,10.44,10.44,60.01,0.9396,59.0704,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010436782C,1960PO,6,1,165.10,10.00,85.85,85.8520,-0.0020,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010436959C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010437076C,17085M,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010437232C,17085M,1,2,180.00,10.44,15.00,180.0000,-165.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438063C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438073C,17085M,1,2,119.99,10.44,10.00,119.9900,-109.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438523C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438524C,170858,6,1,10.44,10.44,31.20,5.4288,25.7712,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438525C,170858,1,1,60.00,10.44,5.40,60.0000,-54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438554C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438556C,1960PO,12,1,130.00,10.00,130.00,11.7000,118.3000,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010438820C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010438861C,170858,3,1,10.44,10.44,60.00,2.7666,57.2334,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010439128C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010439156C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010439999C,1960PO,12,2,214.70,10.00,214.70,18.6830,196.0170,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010440631C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010441084C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010441085C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010442216C,170858,6,2,119.99,10.44,60.00,59.9950,0.0050,Y,50.0000,26.5000,9.0000,8.3333,5.2200,2.7666,0.9396,0.8700
010442222C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010442906C,1960PO,6,1,78.30,10.00,40.72,40.7160,0.0040,Y,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010443287C,17085M,1,1,180.01,10.44,16.20,180.0100,-163.8100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010443389C,1960PO,3,1,10.00,10.00,32.55,2.6500,29.9000,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010443433C,1960PO,1,2,10.00,10.00,6.57,10.0000,-3.4300,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010443646C,170858,1,1,120.00,10.44,10.80,120.0000,-109.2000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010444917C,170858,6,1,119.99,10.44,62.40,62.3948,0.0052,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010446088C,1960OL,12,1,10.00,10.00,374.64,0.9003,373.7397,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010446237C,17085M,12,1,180.00,10.44,180.00,16.2000,163.8000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010446741C,170858,12,1,120.01,10.44,120.01,10.8009,109.2091,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010447475C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010447559C,1991PL,1,1,20.00,20.00,13.60,20.0000,-6.4000,N,52.0039,26.4956,9.0030,8.6960,10.4008,5.2991,1.8006,1.7392
010448181C,17085M,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010448375C,170858,1,1,119.99,10.44,10.80,119.9900,-109.1900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010448609C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010448806C,170858,6,1,119.99,10.44,62.40,62.3948,0.0052,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010448828C,1960OL,1,2,146.50,10.00,12.75,146.5000,-133.7500,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010449013C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010449017C,170858,1,1,10.44,10.44,21.60,10.4400,11.1600,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010449333C,170858,3,1,120.00,10.44,31.80,31.8000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010449334C,17085M,6,2,120.00,10.44,60.00,60.0000,0.0000,Y,50.0000,26.5000,9.0000,8.3333,5.2200,2.7666,0.9396,0.8700
010449417C,170858,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010449498C,196065,6,1,168.85,10.00,87.80,87.8000,0.0000,Y,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696
010449514C,17085M,3,1,120.01,10.44,31.80,31.8027,-0.0027,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010450135C,170858,12,1,120.01,10.44,120.01,10.8009,109.2091,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010450174C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010450300C,1960OL,12,1,55.85,10.00,55.85,5.0282,50.8218,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010450811C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010450906C,1960OL,1,2,121.55,10.00,10.58,121.5500,-110.9700,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010451148C,170858,1,2,59.99,10.44,5.00,59.9900,-54.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010451149C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010451385C,170858,1,2,10.44,10.44,20.00,10.4400,9.5600,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010451453C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010451650C,17085M,1,2,120.00,10.44,10.00,120.0000,-110.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010452304C,17085M,1,2,59.99,10.44,5.00,59.9900,-54.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010452305C,170858,1,2,59.99,10.44,5.00,59.9900,-54.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010452575C,1960OL,1,2,100.95,10.00,8.78,100.9500,-92.1700,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010455341C,170858,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010456114C,170858,1,2,120.01,10.44,10.00,120.0100,-110.0100,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010456182C,170858,1,1,10.44,10.44,5.40,10.4400,-5.0400,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010456751C,170858,1,1,60.00,10.44,5.40,60.0000,-54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010457536C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010457623C,1960OL,1,2,150.70,10.00,13.11,150.7000,-137.5900,N,52.0039,26.4956,9.0030,8.6960,5.2004,2.6496,0.9003,0.8696
010458525C,170858,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010458526C,17085M,12,1,60.00,10.44,60.00,5.4000,54.6000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010459011C,17085M,3,2,180.01,10.44,45.00,45.0025,-0.0025,Y,52.0000,25.0000,9.0000,8.3333,5.4288,2.6100,0.9396,0.8700
