policy_number,mplan,effective_date,reason
9010804854,1659C2,20231227,full_surrender_560_excluded
9010807493,1659C2,20190425,full_surrender_560_excluded
9010807493,1659C2,20190425,full_surrender_560_excluded
9010809739,1659CR,20240528,full_surrender_560_excluded
9010809739,1659CR,20240528,full_surrender_560_excluded
9010821385,1659CR,20210623,full_surrender_560_excluded
9010821385,1659CR,20210623,full_surrender_560_excluded
9010822046,1659C2,20191223,full_surrender_560_excluded
9010822046,1659C2,20191223,full_surrender_560_excluded
9010823095,1659CR,20190729,full_surrender_560_excluded
9010823095,1659CR,20190729,full_surrender_560_excluded
9010824299,1659C2,20230330,full_surrender_560_excluded
9010824299,1659C2,20230330,full_surrender_560_excluded
9010825434,1659CR,20230530,full_surrender_560_excluded
9010825434,1659CR,20230530,full_surrender_560_excluded
9010829942,1659CR,20180809,full_surrender_560_excluded
9010829942,1659CR,20180809,full_surrender_560_excluded
9010832205,1659C2,20220531,full_surrender_560_excluded
9010832205,1659C2,20220531,full_surrender_560_excluded
9010840848,1659C2,20200330,full_surrender_560_excluded
9010840848,1659C2,20200330,full_surrender_560_excluded
9010852357,1659CR,20211025,full_surrender_560_excluded
9010852357,1659CR,20211025,full_surrender_560_excluded
9010854157,1659CR,20240401,full_surrender_560_excluded
9010854157,1659CR,20240401,full_surrender_560_excluded
9010858396,1659C2,20201001,full_surrender_560_excluded
9010858396,1659C2,20201001,full_surrender_560_excluded
9010864474,1659CR,20240114,full_surrender_560_excluded
9010864474,1659CR,20240114,full_surrender_560_excluded
9010867974,1659SR,20220106,full_surrender_560_excluded
9010867974,1659SR,20220106,full_surrender_560_excluded
9010884052,1659CR,20190823,full_surrender_560_excluded
9010886851,1659C2,20210913,full_surrender_560_excluded
9010886851,1659C2,20210913,full_surrender_560_excluded
9010900620,1659CR,20190925,full_surrender_560_excluded
9010900620,1659CR,20190925,full_surrender_560_excluded
9010928261,1659C2,20250321,full_surrender_560_excluded
9010928261,1659C2,20250321,full_surrender_560_excluded
9010974048,1659C2,20231020,full_surrender_560_excluded
9010974048,1659C2,20231020,full_surrender_560_excluded
9010997600,1659CR,20180824,full_surrender_560_excluded
9011016293,1659C2,20240501,full_surrender_560_excluded
9011016293,1659C2,20240501,full_surrender_560_excluded
9011035652,1659CR,20190515,full_surrender_560_excluded
9011035652,1659CR,20190515,full_surrender_560_excluded
9011041480,1659CR,20181031,full_surrender_560_excluded
9011041480,1659CR,20181031,full_surrender_560_excluded
9011053076,1659C2,20241018,full_surrender_560_excluded
9011053076,1659C2,20241018,full_surrender_560_excluded
9011054606,1659C2,20250414,full_surrender_560_excluded
9011054606,1659C2,20250414,full_surrender_560_excluded
9011067789,1659CR,20230221,full_surrender_560_excluded
9011067789,1659CR,20230221,full_surrender_560_excluded
9011074929,1659CR,20200127,full_surrender_560_excluded
