MPOLICY,MBENTYP,MDATE,MBEN,_SRC,_POL
9010367132C,4,20210801,87.76,517,9010367132
9010367132C,4,20220801,90.58,517,9010367132
9010367132C,4,20230801,93.36,517,9010367132
9010367132C,4,20240801,96.18,517,9010367132
9010367132C,4,20250801,99.01,517,9010367132
9010367133C,4,20180801,80.06,517,9010367133
9010367133C,4,20190801,82.65,517,9010367133
9010367133C,4,20200801,85.24,517,9010367133
9010367133C,4,20210801,87.88,517,9010367133
9010367133C,4,20220801,90.46,517,9010367133
9010367133C,4,20230801,93.05,517,9010367133
9010367133C,4,20240801,95.64,517,9010367133
9010367133C,4,20250801,98.23,517,9010367133
9010367704C,4,20180701,79.56,517,9010367704
9010367704C,4,20190701,81.99,517,9010367704
9010367704C,4,20200701,84.42,517,9010367704
9010367704C,4,20210701,86.85,517,9010367704
9010367704C,4,20220701,89.33,517,9010367704
9010367704C,4,20230701,91.81,517,9010367704
9010367704C,4,20240701,94.24,517,9010367704
9010367704C,4,20250701,96.72,517,9010367704
9010367705C,4,20180701,79.53,517,9010367705
9010367705C,4,20190701,82.23,517,9010367705
9010367705C,4,20200701,84.98,517,9010367705
9010367705C,4,20210701,87.74,517,9010367705
9010367705C,4,20220701,90.49,517,9010367705
9010367705C,4,20230701,93.24,517,9010367705
9010367705C,4,20240701,96.00,517,9010367705
9010368703C,4,20180801,164.62,517,9010368703
9010368703C,4,20190801,168.33,517,9010368703
9010368703C,4,20200801,171.97,517,9010368703
9010371171C,4,20180801,160.04,517,9010371171
9010371171C,4,20190801,163.45,517,9010371171
9010371171C,4,20200801,166.79,517,9010371171
9010371171C,4,20210801,170.20,517,9010371171
9010371171C,4,20220801,173.55,517,9010371171
9010371171C,4,20230801,176.89,517,9010371171
9010371356C,4,20180901,78.76,517,9010371356
9010371356C,4,20190901,81.03,517,9010371356
9010371356C,4,20200901,83.34,517,9010371356
9010371356C,4,20210901,85.61,517,9010371356
9010371356C,4,20220901,87.93,517,9010371356
9010371356C,4,20230901,90.20,517,9010371356
9010371356C,4,20240901,92.47,517,9010371356
9010371356C,4,20250901,94.70,517,9010371356
9010373918C,4,20181015,176.36,517,9010373918
9010373918C,4,20191015,182.25,517,9010373918
9010373918C,4,20201015,188.15,517,9010373918
9010374779C,4,20181015,128.70,517,9010374779
9010374837C,4,20181015,79.28,517,9010374837
9010374837C,4,20191015,81.58,517,9010374837
9010374837C,4,20201015,83.92,517,9010374837
9010374837C,4,20211015,86.26,517,9010374837
9010374837C,4,20221015,88.65,517,9010374837
9010374837C,4,20231015,90.95,517,9010374837
9010374837C,4,20241015,93.29,517,9010374837
9010374837C,4,20251015,95.63,517,9010374837
9010374838C,4,20181015,80.80,517,9010374838
9010374838C,4,20191015,83.36,517,9010374838
9010374838C,4,20201015,85.88,517,9010374838
9010374838C,4,20211015,88.44,517,9010374838
9010374838C,4,20221015,90.99,517,9010374838
9010374838C,4,20231015,93.55,517,9010374838
9010374838C,4,20241015,96.11,517,9010374838
9010374838C,4,20251015,98.67,517,9010374838
9010376522C,4,20181006,127.80,517,9010376522
9010376522C,4,20191006,132.20,517,9010376522
9010376522C,4,20201006,136.80,517,9010376522
9010376522C,4,20211006,141.40,517,9010376522
9010376529C,4,20181015,76.03,517,9010376529
9010378830C,3,20181024,169.40,514,9010378830
9010378830C,3,20191024,174.10,514,9010378830
9010378830C,3,20201024,178.60,514,9010378830
9010378830C,3,20211024,183.10,514,9010378830
9010378830C,3,20221024,187.30,514,9010378830
9010378830C,3,20231024,191.50,514,9010378830
9010378830C,3,20241024,195.60,514,9010378830
9010378830C,3,20251024,199.70,514,9010378830
9010379405C,4,20181101,187.10,517,9010379405
9010379405C,4,20191101,191.40,517,9010379405
9010379405C,4,20201101,195.70,517,9010379405
9010379405C,4,20211101,200.00,517,9010379405
9010379405C,4,20221101,204.40,517,9010379405
9010380049C,4,20181113,113.70,517,9010380049
9010380049C,4,20191113,117.70,517,9010380049
9010380049C,4,20201113,121.80,517,9010380049
9010380049C,4,20211113,125.90,517,9010380049
9010380049C,4,20221113,130.20,517,9010380049
9010380049C,4,20231113,134.50,517,9010380049
9010380049C,4,20241113,138.90,517,9010380049
9010380049C,4,20251113,143.50,517,9010380049
9010380627C,4,20181125,31.13,517,9010380627
9010380627C,4,20191125,32.05,517,9010380627
9010380627C,4,20201125,32.93,517,9010380627
9010380627C,4,20211125,33.80,517,9010380627
9010380627C,4,20221125,34.68,517,9010380627
9010380627C,4,20231125,35.55,517,9010380627
9010380627C,4,20241125,36.35,517,9010380627
9010380627C,4,20251125,37.13,517,9010380627
9010380808C,3,20181201,160.70,514,9010380808
9010380808C,3,20191201,165.60,514,9010380808
9010380808C,3,20201201,170.30,514,9010380808
9010380808C,3,20211201,174.90,514,9010380808
9010380808C,3,20221201,179.40,514,9010380808
9010380808C,3,20231201,183.80,514,9010380808
9010380808C,3,20241201,188.00,514,9010380808
9010380808C,3,20251201,192.10,514,9010380808
9010381745C,4,20180101,162.86,517,9010381745
9010381745C,4,20190101,168.91,517,9010381745
9010381745C,4,20200101,174.83,517,9010381745
9010382426C,3,20180112,180.10,514,9010382426
9010382426C,3,20190112,184.50,514,9010382426
9010382426C,3,20200112,188.80,514,9010382426
9010382426C,3,20210112,193.10,514,9010382426
9010382426C,3,20220112,197.30,514,9010382426
9010382426C,3,20230112,201.60,514,9010382426
9010382426C,3,20240112,206.00,514,9010382426
9010382426C,3,20250112,210.30,514,9010382426
9010382426C,3,20260112,214.40,514,9010382426
9010382931C,4,20180117,173.20,517,9010382931
9010382931C,4,20190117,177.90,517,9010382931
9010382931C,4,20200117,182.40,517,9010382931
9010382931C,4,20210117,186.70,517,9010382931
9010382931C,4,20220117,190.90,517,9010382931
9010385636C,4,20180209,274.05,517,9010385636
9010388767C,4,20180401,153.72,517,9010388767
9010388767C,4,20190401,157.08,517,9010388767
9010388767C,4,20200401,160.37,517,9010388767
9010388767C,4,20210401,163.66,517,9010388767
9010388767C,4,20220401,166.95,517,9010388767
9010388767C,4,20230401,170.24,517,9010388767
9010388767C,4,20240401,173.47,517,9010388767
9010388767C,4,20250401,176.70,517,9010388767
9010388767C,4,20260401,179.81,517,9010388767
9010389651C,4,20180501,292.84,517,9010389651
9010389651C,4,20190501,299.07,517,9010389651
9010389651C,4,20200501,305.08,517,9010389651
9010389651C,4,20210501,311.10,517,9010389651
9010389651C,4,20220501,316.89,517,9010389651
9010389651C,4,20230501,322.46,517,9010389651
9010389651C,4,20240501,328.04,517,9010389651
9010389802C,1,20180401,225.60,515,9010389802
9010389802C,1,20190401,229.10,515,9010389802
9010389802C,1,20200401,232.50,515,9010389802
9010390061C,4,20180501,76.43,517,9010390061
9010390061C,4,20190501,78.74,517,9010390061
9010390061C,4,20200501,81.01,517,9010390061
9010390061C,4,20210501,83.32,517,9010390061
9010390061C,4,20220501,85.59,517,9010390061
9010390061C,4,20230501,87.90,517,9010390061
9010390061C,4,20240501,90.18,517,9010390061
9010390061C,4,20250501,92.45,517,9010390061
9010390061C,4,20260501,94.68,517,9010390061
9010391004C,4,20180501,161.94,517,9010391004
9010391004C,4,20190501,165.91,517,9010391004
9010391004C,4,20200501,169.80,517,9010391004
9010391004C,4,20210501,173.62,517,9010391004
9010391004C,4,20220501,177.30,517,9010391004
9010391004C,4,20230501,180.91,517,9010391004
9010391004C,4,20240501,184.52,517,9010391004
9010391004C,4,20250501,188.06,517,9010391004
9010391004C,4,20260501,191.67,517,9010391004
9010391228C,4,20180421,75.35,517,9010391228
9010391228C,4,20190421,77.34,517,9010391228
9010391228C,4,20200421,79.55,517,9010391228
9010391228C,4,20210421,81.97,517,9010391228
9010391228C,4,20220421,84.23,517,9010391228
9010391228C,4,20230421,86.40,517,9010391228
9010391359C,4,20180426,31.62,517,9010391359
9010391359C,4,20190426,32.60,517,9010391359
9010391359C,4,20200426,33.58,517,9010391359
9010391359C,4,20210426,34.58,517,9010391359
9010391411C,4,20180601,128.64,517,9010391411
9010391411C,4,20190601,131.16,517,9010391411
9010391411C,4,20200601,133.64,517,9010391411
9010391422C,4,20180601,76.81,517,9010391422
9010391422C,4,20190601,79.08,517,9010391422
9010391582C,4,20180601,286.32,517,9010391582
9010391582C,4,20190601,292.21,517,9010391582
9010391582C,4,20200601,298.09,517,9010391582
9010391582C,4,20210601,303.77,517,9010391582
9010391582C,4,20220601,309.23,517,9010391582
9010391582C,4,20230601,314.70,517,9010391582
9010391679C,1,20180601,150.90,515,9010391679
9010391679C,1,20190601,154.14,515,9010391679
9010391679C,1,20200601,157.32,515,9010391679
9010391679C,1,20210601,160.57,515,9010391679
9010391679C,1,20220601,163.81,515,9010391679
9010391679C,1,20230601,166.99,515,9010391679
9010391679C,1,20240601,170.12,515,9010391679
9010391679C,1,20250601,173.24,515,9010391679
9010391679C,1,20260601,176.19,515,9010391679
9010391840C,4,20180601,77.34,517,9010391840
9010391840C,4,20190601,79.95,517,9010391840
9010391840C,4,20200601,82.56,517,9010391840
9010391840C,4,20210601,85.21,517,9010391840
9010391840C,4,20220601,87.82,517,9010391840
9010391840C,4,20230601,90.47,517,9010391840
9010391840C,4,20240601,93.18,517,9010391840
9010391840C,4,20250601,95.88,517,9010391840
9010391840C,4,20260601,98.59,517,9010391840
9010391895C,4,20180601,76.45,517,9010391895
9010391895C,4,20190601,78.76,517,9010391895
9010391895C,4,20200601,81.03,517,9010391895
9010391895C,4,20210601,83.34,517,9010391895
9010391895C,4,20220601,85.61,517,9010391895
9010391895C,4,20230601,87.93,517,9010391895
9010391895C,4,20240601,90.20,517,9010391895
9010391895C,4,20250601,92.47,517,9010391895
9010391895C,4,20260601,94.70,517,9010391895
9010392117C,4,20180601,264.55,517,9010392117
9010392117C,4,20190601,269.66,517,9010392117
9010392138C,4,20180601,269.53,517,9010392138
9010392138C,4,20190601,274.80,517,9010392138
9010392138C,4,20200601,279.99,517,9010392138
9010392138C,4,20231211,7329.17,517,9010392138
9010392763C,4,20180601,123.59,517,9010392763
9010393142C,4,20180701,156.57,517,9010393142
9010393142C,4,20190701,160.04,517,9010393142
9010393142C,4,20200701,163.45,517,9010393142
9010393142C,4,20210701,166.79,517,9010393142
9010393142C,4,20220701,170.20,517,9010393142
9010393142C,4,20230701,173.55,517,9010393142
9010393142C,4,20240701,176.89,517,9010393142
9010393142C,4,20250701,180.23,517,9010393142
9010393143C,4,20180701,77.48,517,9010393143
9010393143C,4,20190701,80.06,517,9010393143
9010393143C,4,20200701,82.65,517,9010393143
9010393143C,4,20210701,85.24,517,9010393143
9010393143C,4,20220701,87.88,517,9010393143
9010393143C,4,20230701,90.46,517,9010393143
9010393143C,4,20240701,93.05,517,9010393143
9010393143C,4,20250701,95.64,517,9010393143
9010393158C,4,20180701,150.90,517,9010393158
9010393158C,4,20190701,154.14,517,9010393158
9010393158C,4,20200701,157.32,517,9010393158
9010393401C,4,20180701,167.15,517,9010393401
9010393401C,4,20190701,171.79,517,9010393401
9010393401C,4,20200701,176.36,517,9010393401
9010393401C,4,20210701,180.84,517,9010393401
9010393401C,4,20220701,185.33,517,9010393401
9010393401C,4,20230701,189.65,517,9010393401
9010393401C,4,20240701,193.90,517,9010393401
9010393401C,4,20250701,197.98,517,9010393401
9010393899C,4,20180701,158.39,517,9010393899
9010393899C,4,20190701,162.03,517,9010393899
9010393899C,4,20200701,165.53,517,9010393899
9010393899C,4,20210701,169.04,517,9010393899
9010393899C,4,20220701,172.41,517,9010393899
9010393899C,4,20230701,175.85,517,9010393899
9010393899C,4,20240701,179.29,517,9010393899
9010393899C,4,20250701,182.60,517,9010393899
9010394249C,4,20180701,160.78,517,9010394249
9010394249C,4,20190701,164.62,517,9010394249
9010394249C,4,20200701,168.33,517,9010394249
9010394249C,4,20210701,171.97,517,9010394249
9010394249C,4,20220701,175.54,517,9010394249
9010394249C,4,20230701,179.04,517,9010394249
9010394249C,4,20240701,182.54,517,9010394249
9010394353C,4,20180701,165.26,517,9010394353
9010394353C,4,20190701,169.75,517,9010394353
9010394353C,4,20200701,174.16,517,9010394353
9010394353C,4,20210701,178.49,517,9010394353
9010394353C,4,20220701,182.75,517,9010394353
9010394353C,4,20230701,186.85,517,9010394353
9010394353C,4,20240701,190.87,517,9010394353
9010394353C,4,20250701,194.82,517,9010394353
9010395211C,4,20180801,167.15,517,9010395211
9010395211C,4,20190801,171.79,517,9010395211
9010395211C,4,20200801,176.36,517,9010395211
9010395211C,4,20210801,180.84,517,9010395211
9010395211C,4,20220801,185.33,517,9010395211
9010395211C,4,20230801,189.65,517,9010395211
9010395211C,4,20240801,193.90,517,9010395211
9010395211C,4,20250801,197.98,517,9010395211
9010395382C,4,20180801,286.32,517,9010395382
9010395382C,4,20190801,292.21,517,9010395382
9010395382C,4,20200801,298.09,517,9010395382
9010395382C,4,20210801,303.77,517,9010395382
9010395382C,4,20220801,309.23,517,9010395382
9010395382C,4,20230801,314.70,517,9010395382
9010395411C,1,20180801,142.40,515,9010395411
9010395411C,1,20190801,145.48,515,9010395411
9010395411C,1,20200801,148.45,515,9010395411
9010395411C,1,20210801,151.42,515,9010395411
9010395411C,1,20220801,154.34,515,9010395411
9010395411C,4,20230801,157.14,517,9010395411
9010395411C,4,20240801,159.85,517,9010395411
9010395411C,4,20250801,162.55,517,9010395411
9010395761C,4,20180801,203.15,517,9010395761
9010395879C,4,20180801,126.27,517,9010395879
9010395879C,4,20190801,128.70,517,9010395879
9010396147C,4,20180801,136.64,517,9010396147
9010396147C,4,20190801,139.44,517,9010396147
9010396147C,4,20200801,142.25,517,9010396147
9010396147C,4,20210801,144.96,517,9010396147
9010396147C,4,20220801,147.57,517,9010396147
9010396147C,4,20230801,150.18,517,9010396147
9010396186C,4,20180901,170.07,517,9010396186
9010396186C,4,20190901,175.25,517,9010396186
9010396186C,4,20200901,180.33,517,9010396186
9010396186C,4,20210901,185.51,517,9010396186
9010396186C,4,20220901,190.69,517,9010396186
9010396186C,4,20230901,195.96,517,9010396186
9010396186C,4,20240901,201.04,517,9010396186
9010396186C,4,20250901,206.22,517,9010396186
9010396425C,4,20180901,158.39,517,9010396425
9010396425C,4,20190901,162.03,517,9010396425
9010396425C,4,20200901,165.53,517,9010396425
9010396425C,4,20210901,169.04,517,9010396425
9010396425C,4,20220901,172.41,517,9010396425
9010396425C,4,20230901,175.85,517,9010396425
9010396425C,4,20240901,179.29,517,9010396425
9010396425C,4,20250901,182.67,517,9010396425
9010397118C,4,20180901,354.36,517,9010397118
9010397118C,4,20190901,364.56,517,9010397118
9010397118C,4,20200901,374.95,517,9010397118
9010397118C,4,20210901,385.15,517,9010397118
9010397118C,4,20220901,395.35,517,9010397118
9010397118C,4,20230901,405.55,517,9010397118
9010397118C,4,20240901,415.58,517,9010397118
9010397118C,4,20250901,425.41,517,9010397118
9010397493C,4,20180901,169.12,517,9010397493
9010397493C,4,20190901,173.99,517,9010397493
9010397493C,4,20200901,178.94,517,9010397493
9010397493C,4,20210901,183.81,517,9010397493
9010397493C,4,20220901,188.68,517,9010397493
9010397493C,4,20230901,193.55,517,9010397493
9010397493C,4,20240901,198.33,517,9010397493
9010397493C,4,20250901,203.03,517,9010397493
9010397528C,4,20180901,76.94,517,9010397528
9010397528C,4,20190901,79.28,517,9010397528
9010397528C,4,20200901,81.58,517,9010397528
9010397528C,4,20210901,83.93,517,9010397528
9010397528C,4,20220901,86.27,517,9010397528
9010397528C,4,20230901,88.65,517,9010397528
9010397528C,4,20240901,90.95,517,9010397528
9010397528C,2,20241114,90.95,516,9010397528
9010397528C,1,20250901,93.29,515,9010397528
9010397528C,1,20250901,93.29,515,9010397528
9010397528C,2,20250901,93.29,516,9010397528
9010397583C,4,20180901,255.05,517,9010397583
9010397583C,4,20190901,261.82,517,9010397583
9010397583C,4,20200901,268.36,517,9010397583
9010397583C,4,20210901,274.90,517,9010397583
9010397945C,4,20181001,123.59,517,9010397945
9010398274C,4,20181001,167.15,517,9010398274
9010398274C,4,20191001,171.79,517,9010398274
9010398274C,4,20201001,176.36,517,9010398274
9010398274C,4,20211001,180.84,517,9010398274
9010398274C,4,20221001,185.33,517,9010398274
9010398274C,4,20231001,189.65,517,9010398274
9010398471C,4,20181001,169.00,517,9010398471
9010398471C,4,20191001,174.11,517,9010398471
9010398471C,4,20201001,179.13,517,9010398471
9010398471C,4,20211001,184.24,517,9010398471
9010398471C,4,20221001,189.26,517,9010398471
9010398471C,4,20231001,194.38,517,9010398471
9010398471C,4,20241001,199.40,517,9010398471
9010398471C,4,20251001,204.42,517,9010398471
9010398475C,4,20181001,145.23,517,9010398475
9010398475C,4,20191001,148.37,517,9010398475
9010398475C,4,20201001,151.45,517,9010398475
9010398475C,4,20211001,154.53,517,9010398475
9010398475C,4,20221001,157.56,517,9010398475
9010398475C,4,20231001,160.47,517,9010398475
9010398475C,4,20241001,163.38,517,9010398475
9010398475C,4,20251001,166.13,517,9010398475
9010399927C,4,20181101,158.39,517,9010399927
9010399927C,4,20191101,162.03,517,9010399927
9010399927C,4,20201101,165.53,517,9010399927
9010399927C,4,20211101,169.04,517,9010399927
9010399927C,4,20221101,172.41,517,9010399927
9010399927C,4,20231101,175.85,517,9010399927
9010399927C,4,20241101,179.29,517,9010399927
9010399927C,4,20251101,182.67,517,9010399927
9010400462C,4,20181101,165.26,517,9010400462
9010400462C,4,20191101,169.75,517,9010400462
9010400462C,4,20201101,174.16,517,9010400462
9010400462C,4,20211101,178.49,517,9010400462
9010401087C,4,20181101,167.15,517,9010401087
9010401087C,2,20191101,171.79,516,9010401087
9010401087C,2,20201101,176.36,516,9010401087
9010401087C,2,20211101,180.84,516,9010401087
9010401087C,2,20221101,185.33,516,9010401087
9010401087C,2,20231101,189.65,516,9010401087
9010401087C,2,20241101,193.90,516,9010401087
9010401087C,2,20251101,197.98,516,9010401087
9010401210C,4,20181101,167.71,517,9010401210
9010401210C,4,20191101,172.40,517,9010401210
9010401210C,4,20201101,177.17,517,9010401210
9010401210C,4,20211101,181.77,517,9010401210
9010401210C,4,20221101,186.38,517,9010401210
9010401210C,4,20231101,190.90,517,9010401210
9010401210C,4,20241101,195.34,517,9010401210
9010401210C,4,20251101,199.62,517,9010401210
9010402014C,4,20181101,158.39,517,9010402014
9010402014C,4,20191101,162.03,517,9010402014
9010402060C,1,20181201,160.78,515,9010402060
9010402060C,1,20191201,164.62,515,9010402060
9010402060C,1,20201201,168.33,515,9010402060
9010402060C,1,20211201,171.97,515,9010402060
9010402060C,1,20221201,175.54,515,9010402060
9010402061C,1,20181201,224.79,515,9010402061
9010402061C,1,20191201,229.64,515,9010402061
9010402061C,1,20201201,234.41,515,9010402061
9010402061C,1,20211201,239.18,515,9010402061
9010402061C,1,20221201,243.86,515,9010402061
9010402105C,4,20181201,252.87,517,9010402105
9010402105C,4,20191201,259.31,517,9010402105
9010402105C,4,20201201,265.64,517,9010402105
9010402105C,4,20211201,271.86,517,9010402105
9010402105C,4,20221201,277.85,517,9010402105
9010402105C,4,20231201,283.62,517,9010402105
9010402105C,4,20241201,289.38,517,9010402105
9010402105C,4,20251201,295.03,517,9010402105
9010403109C,1,20181201,160.78,515,9010403109
9010403109C,1,20191201,164.62,515,9010403109
9010403109C,1,20201201,168.33,515,9010403109
9010403109C,1,20211201,171.97,515,9010403109
9010403109C,1,20221201,175.54,515,9010403109
9010403109C,1,20231201,179.04,515,9010403109
9010403109C,1,20241201,182.54,515,9010403109
9010403109C,1,20251201,186.04,515,9010403109
9010403117C,4,20181201,69.92,517,9010403117
9010403117C,4,20191201,72.57,517,9010403117
9010403117C,4,20201201,75.34,517,9010403117
9010403117C,4,20211201,78.06,517,9010403117
9010403117C,4,20221201,80.89,517,9010403117
9010403117C,4,20231201,83.72,517,9010403117
9010403117C,4,20241201,86.55,517,9010403117
9010403117C,4,20251201,89.39,517,9010403117
9010403222C,4,20181201,139.76,517,9010403222
9010403222C,4,20191201,142.74,517,9010403222
9010403222C,4,20201201,145.61,517,9010403222
9010403222C,4,20211201,148.48,517,9010403222
9010403222C,4,20221201,151.24,517,9010403222
9010403222C,4,20231201,153.90,517,9010403222
9010403222C,4,20241201,156.56,517,9010403222
9010403516C,4,20181201,77.05,517,9010403516
9010403516C,4,20191201,79.72,517,9010403516
9010403516C,4,20201201,82.34,517,9010403516
9010403516C,4,20211201,85.01,517,9010403516
9010403516C,4,20221201,87.68,517,9010403516
9010403516C,4,20231201,90.35,517,9010403516
9010403516C,4,20241201,93.01,517,9010403516
9010403516C,4,20251201,95.78,517,9010403516
9010403789C,3,20181201,169.00,514,9010403789
9010403789C,3,20191201,174.11,514,9010403789
9010403789C,3,20201201,179.13,514,9010403789
9010403789C,3,20211201,184.24,514,9010403789
9010403789C,3,20221201,189.26,514,9010403789
9010403789C,3,20231201,194.38,514,9010403789
9010403789C,3,20241201,199.40,514,9010403789
