PLAN,member_tables,missing_members,key_tables,has_gp_rates,a3_gap
1970JB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1970PA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
1991PL,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1CSIMN,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L1095,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L10OD,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L10PR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L10SO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L10SR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L14SC,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L15GD,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L16GD,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1L17SP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1OLPUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
1POPUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
1SALMI,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1SALML,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1SALOL,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
221END,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
222END,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
261PUA,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
265PUA,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
2665ST,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
280END,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
280PUA,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
2961ME,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
528CTR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
542STR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
543CTR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
560STR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5646AT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5667AT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
578CTR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
578STR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
57ATCR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5CDT10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5L0110,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5L01MA,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5L0510,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
5L075Y,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
719CDT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
719CTR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
719SDT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7619DT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7619PU,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7647CH,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
7647FP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7647SP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7686S3,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7687J3,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7690DT,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
778FTR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
7SDT10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
901ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9065WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9085WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
90OLWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
90PDTH,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
90POWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
910RWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
910SWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
920ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
934JWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
934SWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
943CWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
94PDIS,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
9595WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
960ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
960CWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
960GIO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
960SWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
965ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9665WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
967ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
976658,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
976659,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
977ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
980JPO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
982JPO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
986JPO,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
9896WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
996ADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9ADB10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9ADB15,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
9CDTWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9CTRWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS20,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS24,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS25,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS29,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS70,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS80,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DIS90,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DS24B,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9DS24C,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9FTRWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9GPO10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9GPO79,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9JPO10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9JPO46,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9L01WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9L05WP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9L16PF,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9OLDWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9POADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9SLADB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9STRWP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9WP646,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
9WPL10,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
A60MIR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
A96DAR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
