PLAN,FORM,DESCR,PAR,SEX,BASIS,NFOINT,LOANINT,LOANINTX,DEPINT,VARDB,VARGP,LOAGE,HIAGE,RENEW,PAYYRS,PAYAGE,INSYRS,INSAGE,ANNL,SEMI,QTRL,MTHD,MTHB,ANNLFEE,SEMIFEE,QTRLFEE,MTHDFEE,MTHBFEE,INITVAL,MKTG,PRODUCT,CALCADV,COMMID,MINUNIT,MAXUNIT,BPOLFEE,BACTIVE,RRULE,AGTRSV,AUTONFO,PLANTYPE,INTMETHTV,INTMETHCV,DEFICIENCY,HDEDMETHOD,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,CONVCOMM,PLANNAME,HRENEW,HLOB,HCOMMIP,HRIGPKEY,SIMPLEINT,MLAPSE,MNOTE10,MNAICLOB,MNFOANNV,MGTDANNV
17CSI7,10827,CSI LIFE $7500,0,B,,F,0.00,22,0.00,4,4,46,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CSI LIFE $7500,,,,,,0,,NAPLAN,,
10827 MN5K,10827,CSI LIFE MN $5000,0,B,,,0.00,22,0.00,4,4,46,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CSI LIFE MN $5000,,,,,,0,,NAPLAN,,
976658,1576,DISABILITY WAIVER OF PREMIUM RIDER,0,B,,,0.00,22,0.00,4,4,15,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DISABILITY WAIVER OF PREMIUM RIDER,,,,,,0,,NAPLAN,,
976659,1576,DISABILITY WAIVER OF PREMIUM RIDER,0,B,,,0.00,22,0.00,4,4,15,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DISABILITY WAIVER OF PREMIUM RIDER,,,,,,0,,NAPLAN,,
977ADB,1577,ACCIDENTAL DEATH BENEFIT RIDER,0,B,,,0.00,22,0.00,4,4,15,60,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT RIDER,,,,,,0,,NAPLAN,,
578CTR,1578,DEPENDENT CHILD TERM RIDER,0,B,,,0.00,22,0.00,4,4,00,24,T,00,25,00,25,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DEPENDENT CHILD TERM RIDER,,,,,,0,,NAPLAN,,
778FTR,1578,FAMILY TERM RIDER,0,B,,,0.00,22,0.00,4,4,18,59,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,FAMILY TERM RIDER,,,,,,0,,NAPLAN,,
1578 SPSPU,1578,PAID UP SPOUSE TERM RIDER,0,B,,,0.00,22,0.00,4,4,18,65,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,PAID UP SPOUSE TERM RIDER,,,,,,0,,NAPLAN,,
9CTRWP,NA,1578 CTR WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,00,24,T,00,25,00,25,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,1578 CTR WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
9FTRWP,NA,1578 FTR WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,18,59,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,1578 FTR WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
1579 GPO,1579,GUARANTEED PURCHASE OPTION RIDER,0,B,,,0.00,22,0.00,4,4,00,40,T,08,00,08,00,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,GUARANTEED PURCHASE OPTION RIDER,,,,,,0,,NAPLAN,,
980JPO,1580,JUVENILE FUTURE PURCHASE OPTION RIDER,0,B,,,0.00,22,0.00,4,4,00,21,T,00,40,00,40,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,JUVENILE FUTURE PURCHASE OPTION RIDER,,,,,,0,,NAPLAN,,
9595WP,1596,DISABILITY WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,18,59,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DISABILITY WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
996ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,B,,,0.00,22,0.00,4,4,00,60,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,08,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT RIDER,,,,,,0,,NAPLAN,,
1596 667,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,B,,,0.00,22,0.00,4,4,15,60,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT RIDER,,,,,,0,,NAPLAN,,
901ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,B,,,0.00,22,0.00,4,4,00,60,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,08,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT RIDER,,,,,,0,,NAPLAN,,
619 CH PU,619,DECR TERM PAID UP FOR CHILD,0,B,,,0.00,22,0.00,4,4,00,22,T,00,22,00,22,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DECR TERM PAID UP FOR CHILD,,,,,,0,,NAPLAN,,
7619DT,619,DECREASING TERM,0,B,,,0.00,22,0.00,4,4,00,59,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DECREASING TERM,,,,,,0,,NAPLAN,,
719CDT,619,CHILD DECREASING TERM,0,B,,,0.00,22,0.00,4,4,00,22,T,00,23,00,23,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CHILD DECREASING TERM,,,,,,0,,NAPLAN,,
719SDT,619,SPOUSE DECREASING TERM,0,B,,,0.00,22,0.00,4,4,00,59,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,SPOUSE DECREASING TERM,,,,,,0,,NAPLAN,,
7619PU,619,DECREASING TERM PAID UP FOR SPOUSE,0,B,,,0.00,22,0.00,4,4,00,65,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,DECREASING TERM PAID UP FOR SPOUSE,,,,,,0,,NAPLAN,,
221END,620,ENDOWMENT AT AGE 85,0,B,,2,0.00,22,0.00,4,4,15,60,T,00,85,00,85,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ENDOWMENT AT AGE 85,,,,,,0,,NAPLAN,,
621 PUA,620,PAID UP ADDS - ENDOWMENT AT AGE 85,0,B,,,0.00,22,0.00,4,4,15,60,T,00,85,00,85,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,PAID UP ADDS - ENDOWMENT AT AGE 85,,,,,,0,,NAPLAN,,
222END,620,20 PAY ENDOWMENT AT AGE 85,0,B,,2,0.00,22,0.00,4,4,00,60,T,20,00,00,85,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,20 PAY ENDOWMENT AT AGE 85,,,,,,0,,NAPLAN,,
630 JEB,620,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,0,B,,,0.00,22,0.00,4,4,00,14,T,00,65,100,00,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,,,,,,0,,NAPLAN,,
646 ART,667,ANNUAL RENEWABLE TERM,0,B,,,0.00,22,0.00,4,4,20,60,T,00,69,00,69,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ANNUAL RENEWABLE TERM,,,,,,0,,NAPLAN,,
7647FP,647,FAMILY LIFE DECREASING TERM,0,B,,2,0.00,22,0.00,4,4,20,60,T,00,69,00,69,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,FAMILY LIFE DECREASING TERM,,,,,,0,,NAPLAN,,
7647CH,647,CHILD - FAMILY LIFE DECREASING TERM,0,B,,,0.00,22,0.00,4,4,20,60,T,00,69,00,69,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CHILD - FAMILY LIFE DECREASING TERM,,,,,,0,,NAPLAN,,
7647SP,647,SPOUSE - FAMILY LIFE DECREASING TERM,0,B,,,0.00,22,0.00,4,4,20,60,T,00,69,00,69,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,SPOUSE - FAMILY LIFE DECREASING TERM,,,,,,0,,NAPLAN,,
1658C1,658,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,01,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
1658CS,658,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,01,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
1659C2,659,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,00,85,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,05,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
1659CS,659,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,00,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,05,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
1659CR,659,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,00,85,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,16,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
1659SR,659,INTEREST-SENSITIVE WHOLE LIFE,0,B,,A,0.00,22,0.00,4,4,00,85,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,16,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
265PUA,665,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,0,B,,,0.00,22,0.00,4,4,00,50,T,00,95,00,95,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,,,,,,0,,NAPLAN,,
2665ST,665,STATESMAN MOD ENDOW AT 95,0,B,,,0.00,22,0.00,4,4,00,50,T,00,95,00,95,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,STATESMAN MOD ENDOW AT 95,,,,,,0,,NAPLAN,,
1666WL,666,MULTIPLE INSUREDS WHOLE LIFE,0,B,,,0.00,22,0.00,4,4,00,75,T,100,00,100,00,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,MULTIPLE INSUREDS WHOLE LIFE,,,,,,0,,NAPLAN,,
5667AT,667,ANNUAL RENEWABLE TERM,0,B,,,0.00,22,0.00,4,4,00,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ANNUAL RENEWABLE TERM,,,,,,0,,NAPLAN,,
667 ART CR,667,ART PREFERRED CREDIT LIFE,0,B,,,0.00,22,0.00,4,4,00,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ART PREFERRED CREDIT LIFE,,,,,,0,,NAPLAN,,
1668SP,668,SINGLE PREMIUM WHOLE LIFE,0,B,,G,0.00,22,0.00,4,4,01,85,T,00,00,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,11,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,SINGLE PREMIUM WHOLE LIFE,,,,,,0,,NAPLAN,,
669 SR GD,659,INTEREST-SENSITIVE WHOLE LIFE,0,B,,,0.00,22,0.00,4,4,50,85,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,16,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,INTEREST-SENSITIVE WHOLE LIFE,,,,,,0,,NAPLAN,,
170858,960,LIFE PAID UP AT 85/88,0,B,,,0.00,22,0.00,4,4,00,70,T,00,88,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,LIFE PAID UP AT 85/88,,,,,,0,,NAPLAN,,
170588,960,LIFE PAID UP AT 85/88,0,B,,,0.00,22,0.00,4,4,00,70,T,00,88,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,LIFE PAID UP AT 85/88,,,,,,0,,NAPLAN,,
17085M,960,LIFE PAID UP AT 85/88,0,B,,,0.00,22,0.00,4,4,00,70,T,00,85,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,LIFE PAID UP AT 85/88,,,,,,0,,NAPLAN,,
170PUA,960,PAID UP ADDS - LIFE PAID UP AT 85/88,0,B,,,0.00,22,0.00,4,4,00,70,T,00,88,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,PAID UP ADDS - LIFE PAID UP AT 85/88,,,,,,0,,NAPLAN,,
