MPOLICY,MSTATUS,MNFOPT_BEFORE,MNFOPT_AFTER
018258AC,45,0,3
018258BC,45,0,3
018258CC,45,0,3
018284CC,45,0,3
018284DC,45,0,3
018306FC,45,0,3
018313AC,45,0,3
018313BC,45,0,3
018313DC,45,0,3
018330AC,45,0,3
018330BC,45,0,3
018330CC,45,0,3
018355C,45,0,3
018386C,45,0,3
018465CC,45,0,3
018491C,45,0,3
018492C,45,0,3
018495BC,45,0,3
018495CC,45,0,3
018499AC,45,0,3
018499BC,45,0,3
018499DC,45,0,3
018509C,45,0,3
018510C,45,0,3
018528C,45,0,3
018529C,45,0,3
018586C,45,0,3
018645AC,45,0,3
018645CC,45,0,3
018712C,45,0,3
018719C,45,0,3
018721C,45,0,3
018845BC,45,0,3
018845CC,45,0,3
018900C,45,0,3
018909C,45,0,3
018912C,45,0,3
01FG8314BC,45,0,3
01FG8314DC,45,0,3
01FG8314EC,45,0,3
01FG8314FC,45,0,3
01ML4140BC,45,0,3
01ML4140CC,45,0,3
01ML4150C,45,0,3
01ML8314BC,45,0,3
01ML8378BC,45,0,3
01ML8378CC,45,0,3
01ML8378DC,45,0,3
01ML8378EC,45,0,3
01ML8597C,45,0,3
