reconstructed_claim_id,claim_family,mresidual_candidate,decomposition_status,balancing_status,residual_reason,derivation_status,derivation_confidence
RC-9010378710-1-DEATH_CLAIM-C0-20210210,DEATH_CLAIM,-1715.85,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010378710-2-DEATH_CLAIM-C0-20210210,DEATH_CLAIM,1715.85,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010378829-1-DEATH_CLAIM-C0-20210829,DEATH_CLAIM,-2174.45,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010378829-2-DEATH_CLAIM-C0-20210829,DEATH_CLAIM,2174.45,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,SURRENDER_CLAIM,7437.83,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,SURRENDER_CLAIM,4912.6,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010382520-1-DEATH_CLAIM-C0-20200820,DEATH_CLAIM,-2807.24,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010382520-3-DEATH_CLAIM-C0-20200820,DEATH_CLAIM,2807.24,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010382931-1-DEATH_CLAIM-C0-20220210,DEATH_CLAIM,-7290.3,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010382931-2-DEATH_CLAIM-C0-20220210,DEATH_CLAIM,7603.4,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,DEATH_CLAIM,-999.48,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C1-20210707,DEATH_CLAIM,-5999.58,RESIDUAL_REMAINS,UNBALANCED,RESIDUAL_REMAINS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010385491-2-DEATH_CLAIM-C0-20190501,DEATH_CLAIM,6999.06,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,SURRENDER_CLAIM,9556.45,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010389651-1-DEATH_CLAIM-C0-20240727,DEATH_CLAIM,-11421.18,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010389651-2-DEATH_CLAIM-C0-20240727,DEATH_CLAIM,11421.18,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,SURRENDER_CLAIM,8178.76,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,SURRENDER_CLAIM,3997.03,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010391359-1-DEATH_CLAIM-C0-20211119,DEATH_CLAIM,739.94,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010391359-2-DEATH_CLAIM-C0-20211119,DEATH_CLAIM,1118.65,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,SURRENDER_CLAIM,2418.29,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,SURRENDER_CLAIM,8174.98,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,SURRENDER_CLAIM,3422.27,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,DEATH_CLAIM,-910.01,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010392763-2-DEATH_CLAIM-C0-20220408,DEATH_CLAIM,910.01,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010393158-1-DEATH_CLAIM-C0-20210207,DEATH_CLAIM,-5314.7,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010393158-2-DEATH_CLAIM-C0-20210207,DEATH_CLAIM,5295.97,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010393181-1-SURRENDER_CLAIM-C1-20190701,SURRENDER_CLAIM,2504.5,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010393931-1-SURRENDER_CLAIM-C0-20251208,SURRENDER_CLAIM,9141.86,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010394249-1-DEATH_CLAIM-C0-20240916,DEATH_CLAIM,-6179.15,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010394249-2-DEATH_CLAIM-C0-20240916,DEATH_CLAIM,6142.86,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010394662-1-DEATH_CLAIM-C0-20211009,DEATH_CLAIM,-2011.4,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010394662-2-DEATH_CLAIM-C0-20211009,DEATH_CLAIM,2011.4,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395382-1-DEATH_CLAIM-C0-20240528,DEATH_CLAIM,6498.69,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395382-2-DEATH_CLAIM-C0-20240528,DEATH_CLAIM,9795.0,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395761-1-SURRENDER_CLAIM-C1-20190729,SURRENDER_CLAIM,6088.47,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395878-1-DEATH_CLAIM-C0-20180113,DEATH_CLAIM,-3289.62,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395878-2-DEATH_CLAIM-C0-20180113,DEATH_CLAIM,3289.62,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,DEATH_CLAIM,-568.26,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010395879-2-DEATH_CLAIM-C0-20230114,DEATH_CLAIM,568.26,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010396147-1-DEATH_CLAIM-C0-20250106,DEATH_CLAIM,-5117.83,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010396147-2-DEATH_CLAIM-C0-20250106,DEATH_CLAIM,5117.83,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010397583-1-SURRENDER_CLAIM-C4-20220831,SURRENDER_CLAIM,8295.9,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010397945-1-DEATH_CLAIM-C0-20211113,DEATH_CLAIM,-1179.56,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010397945-2-DEATH_CLAIM-C0-20211113,DEATH_CLAIM,1179.56,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,DEATH_CLAIM,-7079.91,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010398274-2-DEATH_CLAIM-C0-20240313,DEATH_CLAIM,7073.78,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,DEATH_CLAIM,-5458.11,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010398591-2-DEATH_CLAIM-C0-20190827,DEATH_CLAIM,5458.11,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010400462-1-SURRENDER_CLAIM-C5-20220428,SURRENDER_CLAIM,5125.38,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010401181-1-DEATH_CLAIM-C0-20180316,DEATH_CLAIM,-3942.48,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010401181-2-DEATH_CLAIM-C0-20180316,DEATH_CLAIM,3937.32,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010402060-1-SURRENDER_CLAIM-C0-20230925,SURRENDER_CLAIM,5178.89,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010402061-1-SURRENDER_CLAIM-C0-20230925,SURRENDER_CLAIM,7197.72,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010403922-1-DEATH_CLAIM-C0-20240412,DEATH_CLAIM,-4835.78,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010403922-2-DEATH_CLAIM-C0-20240412,DEATH_CLAIM,4835.78,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010404857-1-DEATH_CLAIM-C0-20180118,DEATH_CLAIM,2161.3,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010405642-1-SURRENDER_CLAIM-C0-20191121,SURRENDER_CLAIM,964.44,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010405858-1-SURRENDER_CLAIM-C0-20200113,SURRENDER_CLAIM,4236.32,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010406795-1-DEATH_CLAIM-C0-20180706,DEATH_CLAIM,-3361.51,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010406795-2-DEATH_CLAIM-C0-20180706,DEATH_CLAIM,3361.51,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,DEATH_CLAIM,-4548.17,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010407533-2-DEATH_CLAIM-C0-20250911,DEATH_CLAIM,4548.17,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010410566-1-DEATH_CLAIM-C0-20230429,DEATH_CLAIM,-2162.48,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010410566-2-DEATH_CLAIM-C0-20230429,DEATH_CLAIM,2162.48,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010410714-1-DEATH_CLAIM-C0-20190611,DEATH_CLAIM,-2695.25,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010410714-2-DEATH_CLAIM-C0-20190611,DEATH_CLAIM,2695.25,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C0-20200830,DEATH_CLAIM,-4131.25,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C1-20210930,DEATH_CLAIM,-10467.29,RESIDUAL_REMAINS,UNBALANCED,RESIDUAL_REMAINS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010411499-2-DEATH_CLAIM-C0-20200830,DEATH_CLAIM,14596.92,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010411727-1-DEATH_CLAIM-C0-20190315,DEATH_CLAIM,-7235.67,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010412522-1-DEATH_CLAIM-C0-20190718,DEATH_CLAIM,-8435.43,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010412522-2-DEATH_CLAIM-C0-20190718,DEATH_CLAIM,8426.78,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010412526-1-DEATH_CLAIM-C0-20200727,DEATH_CLAIM,-4366.24,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010412526-2-DEATH_CLAIM-C0-20200727,DEATH_CLAIM,4354.63,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010412640-1-SURRENDER_CLAIM-C0-20180412,SURRENDER_CLAIM,4986.15,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010413417-1-DEATH_CLAIM-C0-20181227,DEATH_CLAIM,-4632.2,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010413417-2-DEATH_CLAIM-C0-20181227,DEATH_CLAIM,4632.2,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010413628-1-DEATH_CLAIM-C0-20210531,DEATH_CLAIM,-4633.54,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010413628-2-DEATH_CLAIM-C0-20210531,DEATH_CLAIM,4613.22,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010413745-1-SURRENDER_CLAIM-C0-20180622,SURRENDER_CLAIM,5928.52,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010414235-1-DEATH_CLAIM-C0-20201120,DEATH_CLAIM,-4402.74,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010414235-2-DEATH_CLAIM-C0-20201120,DEATH_CLAIM,4239.07,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010415834-1-DEATH_CLAIM-C0-20200601,DEATH_CLAIM,-4549.63,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010415834-2-DEATH_CLAIM-C0-20200601,DEATH_CLAIM,4354.63,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010417200-1-DEATH_CLAIM-C0-20200521,DEATH_CLAIM,7239.79,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010417200-2-DEATH_CLAIM-C0-20200521,DEATH_CLAIM,5836.13,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010418562-1-DEATH_CLAIM-C0-20180504,DEATH_CLAIM,-3089.41,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010418562-2-DEATH_CLAIM-C0-20180504,DEATH_CLAIM,3089.41,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010420983-1-SURRENDER_CLAIM-C0-20180108,SURRENDER_CLAIM,-4564.05,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010422033-1-SURRENDER_CLAIM-C3-20210601,SURRENDER_CLAIM,5313.88,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010424798-1-DEATH_CLAIM-C0-20230921,DEATH_CLAIM,-4041.72,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010424798-2-DEATH_CLAIM-C0-20230921,DEATH_CLAIM,4041.72,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
