plan,field,baseline_value,overlay_value
9OLDWP,FORM,8139,L10 WP OLD
L10 WP SRN,FORM,8139,L10 WP SRN
9ADB15,FORM,L15 INHER,L15 ADB
10L171,FORM,L17,L17 1
117JPO,FORM,L17,L17 1 JPO
10L172,FORM,L17,L17 2+
17MJPO,FORM,L17,L17 2+ JPO
1SALMI,FORM,SAL ML,SAL MULTPL
1SALOL,FORM,,SAL OL
WP 646,FORM,0823,WP 646
117JPO,DESCR,SINGLE PREMIUM WHOLE LIFE,L17 JUVENILE PURCHASE OPTION
17MJPO,DESCR,SINGLE PREMIUM WHOLE LIFE,L17 MULTI JUVENILE PURCHASE OPTION
920ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 621 END85
965ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 665 STME95
960ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT,"ACCIDENTAL DB - 960 LP85-M, 960 OL"
9POADB,PLANNAME,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - 960 PO
9665WP,PLANNAME,WAIVER OF PREMIUM,WAIVER OF PREM - 665 STME95
9896WP,PLANNAME,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 665 STME95
9085WP,PLANNAME,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - 960 LP85-M
9065WP,PLANNAME,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 LP65
90OLWP,PLANNAME,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 OL
90POWP,PLANNAME,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 PO
960SWP,PLANNAME,WAIVER OF PREMIUM - SPOUSE,"SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO"
90PDTH,PLANNAME,PAYOR DEATH,PAYOR DEATH - 960 OL
17CSI3,PLANNAME,CSI LIFE $3000,GRADED DEATH BENEFIT WL - 100% AFTER YR2
17CSI5,PLANNAME,CSI LIFE $5000,GRADED DEATH BENEFIT WL - 100% AFTER YR2
17CSI7,PLANNAME,CSI LIFE $7500,GRADED DEATH BENEFIT WL - 100% AFTER YR2
976658,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 658 CEN I
976659,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 659 CEN II
977ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - 658 CEN I, 659 CEN II"
578CTR,PLANNAME,DEPENDENT CHILD TERM RIDER,DEPENDENT CTR - 658 CEN I
778FTR,PLANNAME,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II"
9FTRWP,PLANNAME,1578 FTR WAIVER OF PREMIUM,"FTR WAIV OF PREM - 658 CEN I, 659 CEN II"
980JPO,PLANNAME,JUVENILE FUTURE PURCHASE OPTION RIDER,"JUV FUT PURCH OP - 658 CEN I, 659 CEN II"
9595WP,PLANNAME,DISABILITY WAIVER OF PREMIUM,DISABILITY WAVIER OF PREM - 667 ART
996ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - L05 10Y LT, L07 5Y LT"
901ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DB RIDER -  L01 10Y LT
7619DT,PLANNAME,DECREASING TERM,DECREASING TERM TO AGE 65
719CDT,PLANNAME,CHILD DECREASING TERM,CHILD DECREASING TERM - 619 DT
719SDT,PLANNAME,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM - 619 DT
7619PU,PLANNAME,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM TO AGE 65
222END,PLANNAME,20 PAY ENDOWMENT AT AGE 85,"ENDOWMENT AT AGE 85, PREM PAY FOR 20YR"
7647FP,PLANNAME,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECR TERM - 647 FLP
7647CH,PLANNAME,CHILD - FAMILY LIFE DECREASING TERM,CHILD FAMILY DECR TERM - 647 FLP
7647SP,PLANNAME,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE FAMILY LIFE DECR TERM - 647 FLP
1658C1,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB"
1658CS,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, FIXED PREMIUM"
1659C2,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN"
1659CS,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: FIXED PREM OP, VAN, GDB"
1659CR,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN"
1659SR,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: VAN PREM, LOAN OP, GDB"
265PUA,PLANNAME,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PUAS FOR 665 STME95
