mpolicy,mphase,claimnum,family,lifecycle,before_claimstat,after_claimstat,reason,has_payment,mpaid,pddate,origsttus
010425845C,1,RC-9010425845,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7547.16,20210625,3
010425845C,1,RC-9010425845,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010426657C,1,RC-9010426657,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010434419C,1,RC-9010434419,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5603.16,20240224,3
010434421C,1,RC-9010434421,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010434747C,1,RC-9010434747,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,8311.59,,99
010436599C,1,RC-9010436599,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1256.98,20190212,3
010438325C,1,RC-9010438325,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,4104.54,20231225,3
010439084C,1,RC-9010439084,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010444283C,1,RC-9010444283,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010445131C,1,RC-9010445131,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5644.66,20201201,3
010445575C,1,RC-9010445575,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010458657C,1,RC-9010458657,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5056.24,20191012,3
010459336C,1,RC-9010459336,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010459970C,1,RC-9010459970,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3580.00,20190621,3
010459970C,1,RC-9010459970,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010463537C,1,RC-9010463537,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010464590C,1,RC-9010464590,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3427.26,20200118,3
010465265C,1,RC-9010465265,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1687.59,20190224,3
010469430C,1,RC-9010469430,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,5528.53,,99
010473137C,1,RC-9010473137,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5248.51,20190807,3
010473866C,1,RC-9010473866,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010475576C,1,RC-9010475576,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5268.37,20211004,3
010478259C,1,RC-9010478259,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1644.11,20190919,3
010478574C,1,RC-9010478574,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5695.12,20200218,3
010487886C,1,RC-9010487886,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010494171C,1,RC-9010494171,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010495113C,1,RC-9010495113,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010495113C,1,RC-9010495113,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010495113C,1,RC-9010495113,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010496486C,1,RC-9010496486,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2003.75,20231120,3
010497768C,1,RC-9010497768,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,4333.93,,99
010499269C,1,RC-9010499269,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1504.34,20180115,3
010500769C,1,RC-9010500769,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10046.28,20230824,3
010501466C,1,RC-9010501466,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5006.90,20201116,3
010506789C,1,RC-9010506789,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7578.07,20210116,3
010510671C,1,RC-9010510671,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010512061C,1,RC-9010512061,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010521160C,1,RC-9010521160,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
010529993C,1,RC-9010529993,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010530033C,1,RC-9010530033,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010540781C,1,RC-9010540781,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010544182C,1,RC-9010544182,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,4388.64,20201005,3
010545623C,1,RC-9010545623,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010547488C,1,RC-9010547488,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010549966C,1,RC-9010549966,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
010578820C,1,RC-9010578820,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1683.88,20200118,3
010580464C,1,RC-9010580464,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1828.19,20200712,3
010718495C,1,RC-9010718495,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20220214,3
010724403C,1,RC-9010724403,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,100000.00,20220711,3
010726319C,1,RC-9010726319,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010736283C,1,RC-9010736283,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25027.65,20190214,3
010737619C,1,RC-9010737619,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010738751C,1,RC-9010738751,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010740836C,1,RC-9010740836,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5000.00,20191108,3
010740877C,1,RC-9010740877,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50000.00,20210214,3
010741302C,1,RC-9010741302,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010741334C,1,RC-9010741334,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010742224C,1,RC-9010742224,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25060.22,20220411,3
010742814C,1,RC-9010742814,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5009.42,20180630,3
010743074C,1,RC-9010743074,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8065.46,20181229,3
010744412C,1,RC-9010744412,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11703.34,20221103,3
010745344C,1,RC-9010745344,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,40340.02,20180225,3
010745640C,1,RC-9010745640,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15152.24,20231009,3
010745811C,1,RC-9010745811,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50007.18,20241016,3
010746498C,1,RC-9010746498,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50041.07,20181005,3
010747241C,1,RC-9010747241,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,14822.88,20180806,3
010747320C,1,RC-9010747320,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010747438C,1,RC-9010747438,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,40081.38,20180602,3
010748070C,1,RC-9010748070,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6545.81,20190211,3
010748517C,1,RC-9010748517,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5018.86,20180508,3
010749054C,1,RC-9010749054,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10174.71,20190313,3
010749401C,1,RC-9010749401,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010749968C,1,RC-9010749968,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5000.00,20221025,3
010752477C,1,RC-9010752477,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,76119.15,20190620,3
010752513C,1,RC-9010752513,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010752513C,1,RC-9010752513,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010753311C,1,RC-9010753311,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9062.00,20210730,3
010753687C,1,RC-9010753687,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7918.96,20240914,3
010756020C,1,RC-9010756020,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5103.26,20201217,3
010756024C,1,RC-9010756024,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25151.02,20250605,3
010756033C,1,RC-9010756033,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11449.59,20231027,3
010756033C,1,RC-9010756033,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,11449.59,,99
010756540C,1,RC-9010756540,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010756929C,1,RC-9010756929,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,26665.02,20250610,3
010756931C,1,RC-9010756931,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,40015.70,20220905,3
010757042C,1,RC-9010757042,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5036.82,20210520,3
010757508C,1,RC-9010757508,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3975.00,20200305,3
010757536C,1,RC-9010757536,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12824.73,20230918,3
010757542C,1,RC-9010757542,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8213.38,20180120,3
010757551C,1,RC-9010757551,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11226.64,20250918,3
010757817C,1,RC-9010757817,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10413.54,20180318,3
010758520C,1,RC-9010758520,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010758549C,1,RC-9010758549,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6000.00,20190202,3
010758573C,1,RC-9010758573,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20250704,3
010759357C,1,RC-9010759357,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5040.60,20180701,3
010759932C,1,RC-9010759932,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20220518,3
010759932C,1,RC-9010759932,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010759932C,1,RC-9010759932,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010760294C,1,RC-9010760294,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20200811,3
010760297C,1,RC-9010760297,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25048.97,20181214,3
010760840C,1,RC-9010760840,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010760865C,1,RC-9010760865,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6901.24,20200505,3
010760872C,1,RC-9010760872,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12000.00,20190309,3
010761804C,1,RC-9010761804,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010761804C,1,RC-9010761804,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010761874C,1,RC-9010761874,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7000.00,20210731,3
010761943C,1,RC-9010761943,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8975.78,20200109,3
010761966C,1,RC-9010761966,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010762076C,1,RC-9010762076,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010762319C,1,RC-9010762319,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25037.72,20240625,3
010762319C,1,RC-9010762319,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,25037.72,,99
010762319C,1,RC-9010762319,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,25037.72,,99
010762678C,1,RC-9010762678,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9049.49,20190626,3
010763006C,1,RC-9010763006,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,75565.35,,99
010763450C,1,RC-9010763450,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5030.20,20230825,3
010764120C,1,RC-9010764120,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9085.30,20230821,3
010764121C,1,RC-9010764121,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12774.89,20240817,3
010764348C,1,RC-9010764348,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,29467.34,20180920,3
010764374C,1,RC-9010764374,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9000.00,20191206,3
010764376C,1,RC-9010764376,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,30312.30,20230217,3
010764400C,1,RC-9010764400,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10576.61,20181116,3
010764812C,1,RC-9010764812,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,21927.73,20230809,3
010764837C,1,RC-9010764837,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9028.23,20241025,3
010765339C,1,RC-9010765339,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010766527C,1,RC-9010766527,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010766910C,1,RC-9010766910,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20230726,3
010767770C,1,RC-9010767770,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010768069C,1,RC-9010768069,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5012.72,20210614,3
010768207C,1,RC-9010768207,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25011.13,20180828,3
010768339C,1,RC-9010768339,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010768503C,1,RC-9010768503,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10592.22,20220417,3
010768629C,1,RC-9010768629,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5000.00,20201016,3
010768635C,1,RC-9010768635,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25295.39,20191221,3
010769032C,1,RC-9010769032,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20200602,3
010769176C,1,RC-9010769176,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,14405.08,20221003,3
010769190C,1,RC-9010769190,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010769191C,1,RC-9010769191,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010769227C,1,RC-9010769227,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25349.94,20200419,3
010770571C,1,RC-9010770571,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25026.91,20231009,3
010770580C,1,RC-9010770580,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12357.82,20200630,3
010770844C,1,RC-9010770844,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010771352C,1,RC-9010771352,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12970.35,20180802,3
010771654C,1,RC-9010771654,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,14220.53,20240227,3
010772668C,1,RC-9010772668,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010772683C,1,RC-9010772683,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5034.94,20230618,3
010773088C,1,RC-9010773088,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10050.96,20190223,3
010773107C,1,RC-9010773107,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010773109C,1,RC-9010773109,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010773243C,1,RC-9010773243,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010774773C,1,RC-9010774773,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,51004.34,20241104,3
010774794C,1,RC-9010774794,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010774973C,1,RC-9010774973,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010775323C,1,RC-9010775323,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12750.12,20200925,3
010775940C,1,RC-9010775940,SURRENDER_CLAIM,,99,99,FAMILY_SURRENDER_BUCKET,False,0.00,,99
010776002C,1,RC-9010776002,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2693.63,20210306,3
010776442C,1,RC-9010776442,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20200806,3
010776445C,1,RC-9010776445,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,42237.84,20240603,3
010776555C,1,RC-9010776555,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11143.98,20200203,3
010776651C,1,RC-9010776651,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010776672C,1,RC-9010776672,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11801.28,20240610,3
010776672C,1,RC-9010776672,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010776814C,1,RC-9010776814,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8001.15,20201029,3
010777043C,1,RC-9010777043,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25003.82,20191019,3
010777124C,1,RC-9010777124,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7745.28,20231120,3
010777546C,1,RC-9010777546,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25390.71,20231209,3
010777788C,1,RC-9010777788,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7400.00,20181209,3
010777793C,1,RC-9010777793,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,14724.31,20230429,3
010778142C,1,RC-9010778142,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5387.67,20190227,3
010778299C,1,RC-9010778299,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,1549.28,,99
010778474C,1,RC-9010778474,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8510.20,20210508,3
010778474C,1,RC-9010778474,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,8510.20,,99
010778519C,1,RC-9010778519,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25638.52,20240729,3
010778635C,1,RC-9010778635,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25000.00,20220521,3
010778834C,1,RC-9010778834,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9696.51,20220624,3
010778841C,1,RC-9010778841,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,33488.31,20180502,3
010778841C,1,RC-9010778841,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010778913C,1,RC-9010778913,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8000.00,20190110,3
010779191C,1,RC-9010779191,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25592.54,20191023,3
010779197C,1,RC-9010779197,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20385.14,20250706,3
010779736C,1,RC-9010779736,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20371.99,20201126,3
010780000C,1,RC-9010780000,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7714.25,20190802,3
010780003C,1,RC-9010780003,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3264.29,20231018,3
010780003C,1,RC-9010780003,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,3264.29,,99
010780050C,1,RC-9010780050,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50044.15,20220714,3
010780403C,1,RC-9010780403,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25415.33,20190722,3
010780411C,1,RC-9010780411,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20180202,3
010780791C,1,RC-9010780791,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20230127,3
010781775C,1,RC-9010781775,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3521.25,20220304,3
010781863C,1,RC-9010781863,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15197.07,20230125,3
010782018C,1,RC-9010782018,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,29519.06,20240916,3
010782357C,1,RC-9010782357,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,19520.40,20231225,3
010782592C,1,RC-9010782592,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7026.74,20210427,3
010782818C,1,RC-9010782818,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010782822C,1,RC-9010782822,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5108.04,20180711,3
010783086C,1,RC-9010783086,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,38961.93,20240518,3
