MPOLICY,SOURCE_POLICY,VALIDATION_STATUS,INTEREST_RATE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,BACKED_OUT_BALANCE,CHECK1_ABS_DIFF,CHECK2_ABS_DIFF,COHORT,CUT
9010463537C,9010463537,EXACT,5.0000,31.62,1.66,33.28,31.62,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010465331C,9010465331,EXACT,5.0000,3250.39,171.07,3421.46,3250.39,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010467154C,9010467154,EXACT,5.0000,2411.92,126.94,2538.86,2411.92,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010471046C,9010471046,EXACT,5.0000,607.29,31.96,639.25,607.29,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010478214C,9010478214,EXACT,5.0000,29.74,1.57,31.31,29.74,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010486961C,9010486961,EXACT,5.0000,9583.82,504.41,10088.23,9583.82,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010491000C,9010491000,EXACT,5.0000,2241.08,117.95,2359.03,2241.08,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010495113C,9010495113,EXACT,5.0000,152.17,8.01,160.18,152.17,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010518545C,9010518545,EXACT,5.0000,6743.43,354.92,7098.35,6743.43,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010520217C,9010520217,EXACT,5.0000,205.87,10.84,216.71,205.87,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010520451C,9010520451,EXACT,5.0000,2508.85,132.04,2640.89,2508.85,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010546964C,9010546964,EXACT,5.0000,16290.00,857.37,17147.37,16290.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010547021C,9010547021,EXACT,5.0000,10871.29,572.17,11443.46,10871.29,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010550088C,9010550088,EXACT,5.0000,357.82,18.83,376.65,357.82,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010565013C,9010565013,EXACT,5.0000,4662.83,245.41,4908.24,4662.83,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010567983C,9010567983,EXACT,5.0000,53.00,2.79,55.79,53.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010719815C,9010719815,EXACT,7.4000,513.22,41.01,554.23,513.22,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010722734C,9010722734,EXACT,7.4000,912.00,72.88,984.88,912.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010728696C,9010728696,EXACT,7.4000,1036.69,82.85,1119.54,1036.69,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010733665C,9010733665,EXACT,7.4000,687.75,54.96,742.71,687.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010735585C,9010735585,EXACT,7.4000,30.00,2.40,32.40,30.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010745749C,9010745749,EXACT,7.4000,32.40,2.59,34.99,32.40,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010746846C,9010746846,EXACT,7.4000,271.00,21.66,292.66,271.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010747636C,9010747636,EXACT,7.4000,134.75,10.77,145.52,134.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010749906C,9010749906,EXACT,7.4000,18.75,1.50,20.25,18.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010750265C,9010750265,EXACT,7.4000,1269.25,101.43,1370.68,1269.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010753409C,9010753409,EXACT,7.4000,121.00,9.67,130.67,121.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010754480C,9010754480,EXACT,7.4000,15.04,1.20,16.24,15.04,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010756833C,9010756833,EXACT,7.4000,1293.52,103.37,1396.89,1293.52,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010756909C,9010756909,EXACT,7.4000,30.00,2.40,32.40,30.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010759555C,9010759555,EXACT,7.4000,5940.81,474.75,6415.56,5940.81,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010760840C,9010760840,EXACT,7.4000,358.20,28.63,386.83,358.20,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010760873C,9010760873,EXACT,7.4000,14062.87,1123.81,15186.68,14062.87,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010761966C,9010761966,ROUNDING,7.4000,7.24,0.56,7.80,7.22,0.00,0.02,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010764348C,9010764348,EXACT,7.4000,108.97,8.71,117.68,108.97,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010766920C,9010766920,EXACT,7.4000,53.62,4.28,57.90,53.62,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010766921C,9010766921,EXACT,7.4000,81.25,6.49,87.74,81.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010769345C,9010769345,EXACT,7.4000,112.75,9.01,121.76,112.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010770721C,9010770721,EXACT,7.4000,5561.76,444.46,6006.22,5561.76,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010772919C,9010772919,EXACT,7.4000,23872.52,1907.74,25780.26,23872.52,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010773681C,9010773681,EXACT,7.4000,297.52,23.78,321.30,297.52,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010773682C,9010773682,EXACT,7.4000,201.67,16.12,217.79,201.67,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010778474C,9010778474,EXACT,7.4000,50.79,4.06,54.85,50.79,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010778653C,9010778653,EXACT,7.4000,287.25,22.96,310.21,287.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010780510C,9010780510,EXACT,7.4000,18.69,1.49,20.18,18.69,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010785163C,9010785163,EXACT,7.4000,9346.67,746.93,10093.60,9346.67,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010786800C,9010786800,EXACT,7.4000,57.51,4.60,62.11,57.51,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010787668C,9010787668,EXACT,7.4000,204.00,16.30,220.30,204.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010789546C,9010789546,EXACT,7.4000,298.75,23.87,322.62,298.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010790531C,9010790531,EXACT,7.4000,196.39,15.69,212.08,196.39,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010790532C,9010790532,EXACT,7.4000,142.54,11.39,153.93,142.54,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010790754C,9010790754,EXACT,7.4000,979.95,78.31,1058.26,979.95,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010791498C,9010791498,EXACT,7.4000,8675.31,693.28,9368.59,8675.31,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010792541C,9010792541,EXACT,7.4000,2903.43,232.02,3135.45,2903.43,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010793451C,9010793451,EXACT,7.4000,82.50,6.59,89.09,82.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010794112C,9010794112,EXACT,7.4000,642.43,51.34,693.77,642.43,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010794265C,9010794265,EXACT,7.4000,6.48,0.52,7.00,6.48,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010797197C,9010797197,EXACT,7.4000,2004.37,160.18,2164.55,2004.37,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010800286C,9010800286,EXACT,7.4000,121.00,9.67,130.67,121.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010802647C,9010802647,EXACT,7.4000,136.00,10.87,146.87,136.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010807566C,9010807566,EXACT,7.4000,14669.50,1172.29,15841.79,14669.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010808548C,9010808548,EXACT,7.4000,15873.33,1268.49,17141.82,15873.33,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010811250C,9010811250,EXACT,7.4000,1255.14,100.30,1355.44,1255.14,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010811319C,9010811319,EXACT,7.4000,9090.67,726.47,9817.14,9090.67,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010814167C,9010814167,EXACT,7.4000,287.25,22.96,310.21,287.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010814172C,9010814172,EXACT,7.4000,3311.56,264.64,3576.20,3311.56,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010814390C,9010814390,EXACT,7.4000,263.00,21.02,284.02,263.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010817483C,9010817483,EXACT,7.4000,10161.53,812.04,10973.57,10161.53,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010819271C,9010819271,EXACT,7.4000,7652.03,611.50,8263.53,7652.03,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010819774C,9010819774,EXACT,7.4000,17791.40,1421.77,19213.17,17791.40,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010827528C,9010827528,EXACT,7.4000,4323.57,345.51,4669.08,4323.57,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010827575C,9010827575,EXACT,7.4000,85.70,6.85,92.55,85.70,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010828370C,9010828370,EXACT,7.4000,45.00,3.60,48.60,45.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010832740C,9010832740,EXACT,7.4000,6055.68,483.93,6539.61,6055.68,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010839784C,9010839784,EXACT,7.4000,13198.25,1054.72,14252.97,13198.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010840848C,9010840848,EXACT,7.4000,157.50,12.59,170.09,157.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010842857C,9010842857,EXACT,7.4000,200.50,16.02,216.52,200.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010845706C,9010845706,EXACT,7.4000,81.77,6.53,88.30,81.77,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010847571C,9010847571,EXACT,7.4000,1362.84,108.91,1471.75,1362.84,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010853285C,9010853285,EXACT,7.4000,8100.17,647.31,8747.48,8100.17,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010856189C,9010856189,EXACT,7.4000,2071.80,165.56,2237.36,2071.80,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010858613C,9010858613,EXACT,7.4000,73.25,5.85,79.10,73.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010862097C,9010862097,EXACT,7.4000,127.25,10.17,137.42,127.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010864397C,9010864397,EXACT,7.4000,3698.23,295.54,3993.77,3698.23,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010867974C,9010867974,EXACT,7.4000,114.03,9.11,123.14,114.03,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010872404C,9010872404,EXACT,7.4000,2190.73,175.07,2365.80,2190.73,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010872406C,9010872406,EXACT,7.4000,2353.53,188.08,2541.61,2353.53,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010873155C,9010873155,EXACT,7.4000,3550.58,283.74,3834.32,3550.58,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010875065C,9010875065,EXACT,7.4000,13289.19,1061.99,14351.18,13289.19,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010878099C,9010878099,EXACT,7.4000,1674.34,133.80,1808.14,1674.34,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010882408C,9010882408,EXACT,7.4000,317.01,25.33,342.34,317.01,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010883172C,9010883172,EXACT,7.4000,2350.89,187.87,2538.76,2350.89,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010883244C,9010883244,EXACT,7.4000,1861.20,148.74,2009.94,1861.20,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010895934C,9010895934,EXACT,7.4000,3461.13,276.59,3737.72,3461.13,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010897662C,9010897662,EXACT,7.4000,4385.39,350.45,4735.84,4385.39,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010897663C,9010897663,EXACT,7.4000,1579.59,126.23,1705.82,1579.59,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010905200C,9010905200,EXACT,7.4000,138.25,11.05,149.30,138.25,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010908068C,9010908068,EXACT,7.4000,5232.09,418.12,5650.21,5232.09,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010908669C,9010908669,EXACT,7.4000,3063.70,244.83,3308.53,3063.70,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010913799C,9010913799,EXACT,7.4000,4288.41,342.70,4631.11,4288.41,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010924513C,9010924513,EXACT,7.4000,234.51,18.74,253.25,234.51,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010924660C,9010924660,EXACT,7.4000,7668.43,612.81,8281.24,7668.43,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010928507C,9010928507,EXACT,7.4000,5200.05,415.55,5615.60,5200.05,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010958268C,9010958268,EXACT,7.4000,152.57,12.19,164.76,152.57,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010969329C,9010969329,EXACT,7.4000,11428.91,913.33,12342.24,11428.91,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010979005C,9010979005,EXACT,7.4000,3056.77,244.28,3301.05,3056.77,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010987089C,9010987089,EXACT,7.4000,8333.87,665.99,8999.86,8333.87,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011006697C,9011006697,EXACT,7.4000,2599.48,207.73,2807.21,2599.48,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011029547C,9011029547,EXACT,7.4000,5027.42,401.76,5429.18,5027.42,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011050803C,9011050803,EXACT,7.4000,1658.80,132.56,1791.36,1658.80,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011050804C,9011050804,EXACT,7.4000,1658.80,132.56,1791.36,1658.80,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011060710C,9011060710,EXACT,7.4000,2989.05,238.87,3227.92,2989.05,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011068750C,9011068750,EXACT,7.4000,1693.38,135.32,1828.70,1693.38,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011068751C,9011068751,EXACT,7.4000,1502.85,120.10,1622.95,1502.85,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011071480C,9011071480,EXACT,7.4000,121.00,9.67,130.67,121.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011075863C,9011075863,EXACT,7.4000,2040.00,163.02,2203.02,2040.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011100907C,9011100907,EXACT,7.4000,71.49,5.71,77.20,71.49,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011106598C,9011106598,EXACT,7.4000,1838.65,146.93,1985.58,1838.65,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011118229C,9011118229,EXACT,7.4000,121.00,9.67,130.67,121.00,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011118555C,9011118555,EXACT,7.4000,1724.73,137.83,1862.56,1724.73,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011118615C,9011118615,EXACT,7.4000,12623.07,1008.75,13631.82,12623.07,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011139474C,9011139474,EXACT,7.4000,22124.17,1768.02,23892.19,22124.17,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011151436C,9011151436,EXACT,7.4000,67.07,5.36,72.43,67.07,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011152870C,9011152870,EXACT,7.4000,112.75,9.01,121.76,112.75,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011177896C,9011177896,EXACT,7.4000,988.09,78.96,1067.05,988.09,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011179153C,9011179153,EXACT,7.4000,9639.50,770.33,10409.83,9639.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011189530C,9011189530,EXACT,7.4000,92.86,7.42,100.28,92.86,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011189851C,9011189851,EXACT,7.4000,2714.71,216.94,2931.65,2714.71,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011190388C,9011190388,EXACT,7.4000,171.76,13.73,185.49,171.76,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011191779C,9011191779,EXACT,7.4000,17470.10,1396.10,18866.20,17470.10,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011191892C,9011191892,EXACT,7.4000,573.54,45.83,619.37,573.54,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011192121C,9011192121,EXACT,7.4000,139.10,11.12,150.22,139.10,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011193165C,9011193165,EXACT,7.4000,5276.49,421.66,5698.15,5276.49,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011194729C,9011194729,EXACT,7.4000,15.07,1.20,16.27,15.07,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011198305C,9011198305,EXACT,7.4000,5053.42,403.84,5457.26,5053.42,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011198306C,9011198306,EXACT,7.4000,4308.12,344.28,4652.40,4308.12,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011198871C,9011198871,EXACT,7.4000,71.90,5.75,77.65,71.90,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011200196C,9011200196,EXACT,7.4000,1991.90,159.18,2151.08,1991.90,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011200570C,9011200570,EXACT,7.4000,5804.89,463.89,6268.78,5804.89,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011200673C,9011200673,EXACT,7.4000,110.42,8.82,119.24,110.42,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011200872C,9011200872,EXACT,7.4000,11495.44,918.64,12414.08,11495.44,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011203455C,9011203455,EXACT,7.4000,4065.97,324.93,4390.90,4065.97,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011210768C,9011210768,EXACT,7.4000,3421.31,273.41,3694.72,3421.31,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011210769C,9011210769,EXACT,7.4000,1757.54,140.45,1897.99,1757.54,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011211133C,9011211133,EXACT,7.4000,8.27,0.66,8.93,8.27,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011211134C,9011211134,EXACT,7.4000,18.79,1.50,20.29,18.79,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011211324C,9011211324,EXACT,7.4000,142.50,11.39,153.89,142.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011211325C,9011211325,EXACT,7.4000,142.50,11.39,153.89,142.50,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011212339C,9011212339,EXACT,7.4000,307.08,24.54,331.62,307.08,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011215024C,9011215024,EXACT,7.4000,34091.73,2724.39,36816.12,34091.73,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011221537C,9011221537,EXACT,7.4000,6175.82,493.53,6669.35,6175.82,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011225015C,9011225015,EXACT,7.4000,4270.03,341.23,4611.26,4270.03,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011226273C,9011226273,EXACT,7.4000,7531.03,601.83,8132.86,7531.03,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011261640C,9011261640,EXACT,7.4000,4731.42,378.10,5109.52,4731.42,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011262630C,9011262630,EXACT,7.4000,5297.27,423.32,5720.59,5297.27,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011263483C,9011263483,EXACT,7.4000,2062.08,164.79,2226.87,2062.08,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011263484C,9011263484,EXACT,7.4000,2576.78,205.92,2782.70,2576.78,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011268761C,9011268761,EXACT,7.4000,319.28,25.51,344.79,319.28,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9011273928C,9011273928,EXACT,7.4000,10196.73,814.86,11011.59,10196.73,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
