MPOLICY,MPHASE,MPLAN,base_MPHSTAT,before_MPHSTAT,before_MEFFDATE,before_MAGE,before_MLASTANN,before_MPAYUP,after_MPHSTAT,after_MEFFDATE,after_MAGE,after_MLASTANN,after_MPAYUP
010395879C,2,1708PA,53,56,19730801,42,53,20190801,56,19710801,40,55,19710801
010396147C,2,1708PA,53,56,19730801,38,53,20230801,56,19710801,36,55,19710801
010396186C,2,1708PA,22,22,19730901,15,53,20430901,41,19710901,13,55,19710901
010396425C,2,1708PA,22,22,19730901,30,53,20310901,41,19710901,28,55,19710901
010397118C,2,1708PA,22,22,19730901,18,53,20400901,41,19710901,16,55,19710901
010397318C,2,1708PA,53,56,19730901,24,53,20340901,56,19710901,22,55,19710901
010397493C,2,1708PA,22,22,19730901,18,53,20400901,41,19710901,16,55,19710901
010397528C,2,1708PA,22,22,19730901,18,53,20430901,41,19710901,16,55,19710901
010397583C,2,1708PA,55,56,19730901,23,53,20350901,56,19710901,21,55,19710901
010397945C,2,1708PA,53,56,20101001,80,16,20181001,56,19711001,41,55,19711001
010398274C,2,1708PA,53,56,19731001,24,53,20371001,56,19711001,22,55,19711001
010398471C,2,1708PA,22,22,19731001,16,53,20421001,41,19711001,14,55,19711001
010398475C,2,1708PA,22,22,19731001,32,53,20261001,41,19711001,30,55,19711001
010398591C,2,1708PA,53,56,19731001,44,53,20171001,56,19711001,42,55,19711001
010399927C,2,1708PA,22,22,19731101,30,53,20311101,41,19711101,28,55,19711101
010400462C,2,1708PA,55,56,19731101,22,53,20361101,56,19711101,20,55,19711101
010401087C,2,1708PA,22,22,19731101,21,53,20371101,41,19711101,19,55,19711101
010401181C,2,1708PA,53,56,19731101,37,53,20211101,56,19711101,35,55,19711101
010401210C,2,1708PA,22,22,19731101,23,53,20381101,41,19711101,21,55,19711101
010401565C,2,1708PA,44,56,19731101,09,53,20491101,41,19711101,07,55,19711101
010402010C,2,1708PA,53,56,19731101,41,53,20201101,56,19711101,39,55,19711101
010402014C,2,1708PA,53,56,19731101,30,53,20311101,56,19711101,28,55,19711101
010402105C,2,1708PA,22,22,19731201,24,53,20341201,41,19711201,22,55,19711201
010402899C,2,1708PA,44,56,19731201,19,53,20421201,41,19711201,17,55,19711201
010403109C,2,1708PA,22,22,19731201,29,53,20321201,41,19711201,27,55,19711201
010403117C,2,1708PA,22,22,19731201,02,53,20591201,41,19711201,00,55,19711201
010403222C,2,1708PA,41,22,19731201,34,53,20241201,41,19711201,32,55,19711201
010403516C,2,1708PA,22,22,19731201,11,53,20501201,41,19711201,09,55,19711201
010403872C,2,1708PA,44,56,19731201,18,53,20431201,41,19711201,16,55,19711201
010403922C,2,1708PA,53,56,19731201,36,53,20221201,56,19711201,34,55,19711201
010404600C,2,1708PA,22,22,19731201,30,53,20311201,41,19711201,28,55,19711201
010404602C,2,1708PA,44,56,19731201,21,53,20371201,41,19711201,19,55,19711201
010404857C,2,1708PA,53,56,19731201,19,53,20391201,56,19711201,17,55,19711201
010405440C,2,1708PA,22,22,19731228,02,53,20561228,41,19711228,00,55,19711228
010405802C,2,1708PA,41,22,19731228,34,53,20241228,41,19711228,32,55,19711228
010405858C,2,1708PA,55,56,19731228,33,53,20251228,56,19711228,31,55,19711228
010406576C,2,1708PA,22,22,19740201,11,52,20480201,41,19720201,09,54,19720201
010406795C,2,1708PA,53,56,19740201,55,52,20070201,56,19720201,53,54,19720201
010407533C,2,1708PA,53,56,19740201,40,52,20220201,56,19720201,38,54,19720201
010407534C,2,1708PA,22,22,19740201,18,52,20410201,41,19720201,16,54,19720201
010407670C,2,1708PA,45,56,19740201,35,52,20270201,41,19720201,33,54,19720201
010407925C,2,1708PA,22,22,19740301,31,52,20280301,41,19720301,29,54,19720301
010408371C,2,1708PA,41,22,19740301,35,52,20240301,41,19720301,33,54,19720301
010410566C,2,1708PA,53,56,19740301,49,52,20130301,56,19720301,47,54,19720301
010410616C,2,1708PA,22,22,19740301,32,52,20270301,41,19720301,30,54,19720301
010410714C,2,1708PA,53,56,19740301,45,52,20140301,56,19720301,43,54,19720301
010411499C,2,1708PA,53,56,19740301,32,52,20270301,56,19720301,30,54,19720301
010411577C,2,1708PA,22,22,19740401,31,52,20280401,41,19720401,29,54,19720401
010411920C,4,1960PA,22,22,19740224,22,52,20550224,41,19720224,20,54,19720224
010412522C,2,1960PA,53,56,19740301,36,52,20410301,56,19720301,34,54,19720301
010412525C,2,1708PA,22,22,19740401,34,52,20280401,41,19720401,32,54,19720401
010412526C,2,1708PA,53,56,19740401,36,52,20230401,56,19720401,34,54,19720401
010412640C,2,1708PA,55,56,19740401,20,52,20390401,56,19720401,18,54,19720401
010412641C,2,1708PA,22,22,19740401,19,52,20430401,41,19720401,17,54,19720401
010413417C,2,1708PA,53,56,19740401,46,52,20130401,56,19720401,44,54,19720401
010413421C,2,1708PA,22,22,19740401,19,52,20430401,41,19720401,17,54,19720401
010413628C,2,1708PA,53,56,19740401,32,52,20270401,56,19720401,30,54,19720401
010414235C,2,1708PA,53,56,19740501,37,52,20220501,56,19720501,35,54,19720501
010415834C,2,1708PA,53,56,19740501,36,52,20230501,56,19720501,34,54,19720501
010417200C,2,1708PA,53,56,19740501,35,52,20240501,56,19720501,33,54,19720501
010417838C,2,1708PA,22,22,19740501,32,52,20300501,41,19720501,30,54,19720501
010418562C,2,1708PA,53,56,19740501,46,52,20160501,56,19720501,44,54,19720501
010419054C,2,1708PA,41,22,19740601,36,52,20260601,41,19720601,34,54,19720601
010420853C,2,1708PA,22,22,19740601,33,52,20290601,41,19720601,31,54,19720601
010420983C,2,1708PA,55,56,19740601,20,52,20420601,56,19720601,18,54,19720601
010422033C,2,1708PA,55,56,19740601,18,52,20410601,56,19720601,16,54,19720601
010422221C,2,1708PA,22,22,19740601,13,52,20490601,41,19720601,11,54,19720601
010422722C,2,1708PA,22,22,19740701,28,52,20310701,41,19720701,26,54,19720701
010422977C,3,1960PA,22,22,19740524,35,52,20420524,41,19720524,33,54,19720524
010423540C,2,1708PA,22,22,19740701,27,52,20320701,41,19720701,25,54,19720701
010424185C,2,1708PA,44,56,19740701,05,52,20540701,41,19720701,03,54,19720701
010424798C,2,1708PA,53,56,19740701,42,52,20200701,56,19720701,40,54,19720701
010425718C,2,1708PA,53,56,19740701,47,52,20150701,56,19720701,45,54,19720701
010425720C,2,1708PA,53,56,19740701,41,52,20180701,56,19720701,39,54,19720701
010425928C,2,1708PA,53,56,19740701,35,52,20270701,56,19720701,33,54,19720701
010425941C,2,1960PA,22,22,19740613,23,52,20540613,41,19720613,21,54,19720613
010425942C,2,1960PA,55,56,19740613,22,52,20170613,56,19720613,20,54,19720613
010426657C,2,1708PA,53,56,19740801,47,52,20150801,56,19720801,45,54,19720801
010426747C,2,1960PA,55,56,19740701,38,52,20390701,56,19720701,36,54,19720701
010426858C,2,1708PA,53,56,19740801,22,52,20400801,56,19720801,20,54,19720801
010426859C,2,1708PA,22,22,19740801,17,52,20450801,41,19720801,15,54,19720801
010426961C,2,1708PA,53,56,19740801,24,52,20350801,56,19720801,22,54,19720801
010427456C,2,1708PA,41,22,19740801,35,52,20240801,41,19720801,33,54,19720801
010427457C,2,1708PA,53,56,19740801,42,52,20200801,56,19720801,40,54,19720801
010427723C,2,1708PA,53,56,19740901,24,52,20380901,56,19720901,22,54,19720901
010428771C,2,1708PA,53,56,19740901,51,52,20080901,56,19720901,49,54,19720901
010429064C,2,1708PA,53,56,19740901,36,52,20260901,56,19720901,34,54,19720901
010429066C,2,1708PA,22,22,19740901,15,52,20440901,41,19720901,13,54,19720901
010429259C,2,1960PA,53,56,19740828,41,52,20360828,56,19720828,39,54,19720828
010429417C,3,1960PA,41,22,19740815,23,52,20160815,41,19720815,21,54,19720815
010429532C,2,1708PA,53,56,19740901,45,52,20170901,56,19720901,43,54,19720901
010429558C,2,1708PA,53,56,19740901,28,52,20340901,56,19720901,26,54,19720901
010429710C,2,1708PA,55,56,19740901,32,52,20270901,56,19720901,30,54,19720901
010429711C,2,1708PA,55,56,19740901,29,52,20330901,56,19720901,27,54,19720901
010429958C,2,1708PA,53,56,19741001,39,52,20231001,56,19721001,37,54,19721001
010429965C,2,1708PA,53,56,19741001,26,52,20331001,56,19721001,24,54,19721001
010430017C,2,1708PA,22,22,19741001,29,52,20331001,41,19721001,27,54,19721001
010430023C,2,1708PA,53,56,19741001,36,52,20261001,56,19721001,34,54,19721001
010430086C,2,1708PA,53,56,19741001,47,52,20151001,56,19721001,45,54,19721001
010430295C,2,1708PA,55,56,19741001,06,52,20531001,56,19721001,04,54,19721001
010430296C,2,1708PA,53,56,19741001,33,52,20291001,56,19721001,31,54,19721001
010430993C,2,1708PA,22,22,19741001,26,52,20361001,41,19721001,24,54,19721001
010431301C,4,1960PA,22,22,19740925,26,52,20510925,41,19720925,24,54,19720925
010431510C,2,1708PA,22,22,19741101,34,52,20281101,41,19721101,32,54,19721101
010431738C,2,1708PA,53,56,19741101,50,52,20091101,56,19721101,48,54,19721101
010432254C,2,1708PA,41,22,19741101,37,52,20221101,41,19721101,35,54,19721101
010432414C,2,1708PA,22,22,19741101,33,52,20261101,41,19721101,31,54,19721101
010432631C,2,1708PA,22,22,19741101,09,52,20531101,41,19721101,07,54,19721101
010432782C,2,1708PA,53,56,19741101,40,52,20221101,56,19721101,38,54,19721101
010432782C,3,1708PA,53,56,20061101,72,20,20221101,56,19721101,38,54,19721101
010432865C,2,1708PA,55,56,19741101,28,52,20311101,56,19721101,26,54,19721101
010432866C,2,1708PA,55,56,19741101,25,52,20371101,56,19721101,23,54,19721101
010433630C,2,1708PA,22,22,19741201,08,52,20511201,41,19721201,06,54,19721201
010433786C,2,1708PA,53,56,19741201,43,52,20161201,56,19721201,41,54,19721201
010434092C,2,1708PA,41,22,19741201,43,52,20191201,41,19721201,41,54,19721201
010434418C,2,1960PA,22,22,19741110,02,52,20751110,41,19721110,00,54,19721110
010434419C,2,1708PA,53,56,19741201,32,52,20271201,56,19721201,30,54,19721201
010434421C,2,1708PA,22,22,19741201,28,52,20341201,41,19721201,26,54,19721201
010434422C,2,1708PA,41,22,19741201,42,52,20201201,41,19721201,40,54,19721201
010434424C,2,1708PA,55,56,19741201,29,52,20301201,56,19721201,27,54,19721201
010434544C,2,1708PA,41,22,19741201,37,52,20251201,41,19721201,35,54,19721201
010434659C,2,1708PA,41,22,19741201,45,52,20171201,41,19721201,43,54,19721201
010434747C,2,1708PA,53,56,19741201,51,52,20111201,56,19721201,49,54,19721201
010434876C,2,1708PA,53,56,19741201,46,52,20131201,56,19721201,44,54,19721201
010435244C,2,1708PA,22,22,19750101,15,51,20480101,41,19730101,13,53,19730101
010435248C,2,1708PA,55,56,19750101,38,51,20250101,56,19730101,36,53,19730101
010435466C,2,1708PA,53,56,19750101,51,51,20120101,56,19730101,49,53,19730101
010435609C,2,1708PA,22,22,19750101,13,51,20470101,41,19730101,11,53,19730101
010436044C,2,1708PA,53,56,19750115,40,51,20230115,56,19730115,38,53,19730115
010436082C,2,1708PA,22,22,19750115,27,51,20330115,41,19730115,25,53,19730115
010436083C,2,1708PA,22,22,19750115,23,51,20400115,41,19730115,21,53,19730115
010436541C,2,1708PA,22,22,19750201,22,51,20410201,41,19730201,20,53,19730201
010436599C,2,1708PA,53,56,19750201,31,51,20290201,56,19730201,29,53,19730201
010436691C,2,1708PA,53,56,19750201,50,51,20130201,56,19730201,48,53,19730201
010436727C,2,1708PA,53,56,19750201,48,51,20150201,56,19730201,46,53,19730201
010436955C,2,1708PA,53,56,19750215,40,51,20200215,56,19730215,38,53,19730215
010436959C,2,1708PA,22,22,19750215,35,51,20280215,41,19730215,33,53,19730215
010437076C,2,1708PA,22,22,19750215,25,51,20350215,41,19730215,23,53,19730215
010437232C,2,1708PA,22,22,19750215,21,51,20390215,41,19730215,19,53,19730215
010437335C,2,1708PA,53,56,19750215,36,51,20240215,56,19730215,34,53,19730215
010437794C,2,1708PA,53,56,19750301,48,51,20120301,56,19730301,46,53,19730301
010438063C,2,1708PA,22,22,19750301,27,51,20360301,41,19730301,25,53,19730301
010438073C,2,1708PA,22,22,19750301,23,51,20370301,41,19730301,21,53,19730301
010438523C,2,1708PA,22,22,19750315,10,51,20500315,41,19730315,08,53,19730315
010438525C,2,1708PA,44,56,19750315,02,51,20610315,41,19730315,00,53,19730315
010438554C,2,1708PA,22,22,19750315,29,51,20310315,41,19730315,27,53,19730315
010438556C,4,1960PA,22,22,19750309,28,51,20500309,41,19730309,26,53,19730309
010438820C,2,1708PA,22,22,19750315,33,51,20300315,41,19730315,31,53,19730315
010438821C,2,1708PA,53,56,19750315,36,51,20270315,56,19730315,34,53,19730315
010438926C,2,1708PA,41,22,19750401,39,51,20240401,41,19730401,37,53,19730401
010438938C,2,1708PA,41,22,19750401,41,51,20220401,41,19730401,39,53,19730401
010438942C,2,1708PA,53,56,19750401,44,51,20160401,56,19730401,42,53,19730401
010439128C,2,1708PA,22,22,19750401,19,51,20410401,41,19730401,17,53,19730401
010439156C,2,1708PA,22,22,19750401,03,51,20600401,41,19730401,01,53,19730401
010439277C,2,1960PA,41,22,19750314,19,51,20210314,41,19730314,17,53,19730314
010439435C,2,1708PA,41,22,19750401,39,51,20240401,41,19730401,37,53,19730401
010439527C,3,1708PA,53,56,20110415,75,15,20240415,56,19730415,37,53,19730415
010439836C,2,1960PA,53,56,19750401,45,51,20330401,56,19730401,43,53,19730401
010439999C,2,1960PA,22,22,19750326,40,51,20380326,41,19730326,38,53,19730326
010440000C,2,1960PA,41,22,19750326,36,51,20040326,41,19730326,34,53,19730326
010440345C,2,1708PA,53,56,19750501,47,51,20160501,56,19730501,45,53,19730501
010440370C,2,1708PA,53,56,19750501,32,51,20280501,56,19730501,30,53,19730501
010440371C,3,1960PA,41,22,19750404,31,51,20090404,41,19730404,29,53,19730404
010440631C,2,1708PA,22,22,19750515,30,51,20330515,41,19730515,28,53,19730515
010441082C,2,1708PA,41,22,19750601,37,51,20260601,41,19730601,35,53,19730601
010441084C,2,1708PA,22,22,19750601,11,51,20490601,41,19730601,09,53,19730601
010441085C,2,1708PA,22,22,19750601,14,51,20460601,41,19730601,12,53,19730601
010441927C,2,1708PA,53,56,19750615,35,51,20250615,56,19730615,33,53,19730615
010442216C,2,1708PA,22,22,19750701,26,51,20370701,41,19730701,24,53,19730701
010442222C,2,1708PA,22,22,19750615,19,51,20410615,41,19730615,17,53,19730615
010442230C,2,1708PA,53,56,19750601,25,51,20380601,56,19730601,23,53,19730601
010442330C,2,1708PA,55,56,19750701,37,51,20260701,56,19730701,35,53,19730701
010442332C,2,1708PA,55,56,19750701,33,51,20270701,56,19730701,31,53,19730701
010442552C,2,1708PA,53,56,19750701,13,51,20470701,56,19730701,11,53,19730701
010442906C,2,1960PA,22,22,19750712,02,51,20760712,41,19730712,00,53,19730712
010443032C,2,1708PA,41,22,19750715,41,51,20220715,41,19730715,39,53,19730715
010443109C,2,1708PA,53,56,19750801,40,51,20230801,56,19730801,38,53,19730801
010443287C,2,1708PA,22,22,19750801,32,51,20280801,41,19730801,30,53,19730801
010443296C,2,1708PA,41,22,19750801,45,51,20150801,41,19730801,43,53,19730801
010443432C,3,1960PA,41,22,19750718,32,51,20080718,41,19730718,30,53,19730718
010443646C,2,1708PA,44,56,19750815,09,51,20540815,41,19730815,07,53,19730815
010443816C,2,1708PA,53,56,19750815,42,51,20180815,56,19730815,40,53,19730815
010444207C,2,1708PA,53,56,19750901,26,51,20340901,56,19730901,24,53,19730901
010444283C,2,1708PA,55,56,19750915,52,51,20110915,56,19730915,50,53,19730915
010444917C,2,1708PA,22,22,19751001,36,51,20271001,41,19731001,34,53,19731001
010445074C,2,1708PA,53,56,19751015,24,51,20391015,56,19731015,22,53,19731015
010445091C,2,1708PA,53,56,19751015,30,51,20301015,56,19731015,28,53,19731015
010445351C,2,1708PA,53,56,19751015,37,51,20231015,56,19731015,35,53,19731015
010445575C,2,1708PA,55,56,19751101,51,51,20121101,56,19731101,49,53,19731101
010445719C,2,1708PA,53,56,19751101,49,51,20141101,56,19731101,47,53,19731101
010446237C,2,1708PA,22,22,19751115,26,51,20341115,41,19731115,24,53,19731115
010446416C,2,1708PA,55,56,19751115,55,51,20081115,56,19731115,53,53,19731115
010446638C,2,1708PA,53,56,19751201,26,51,20341201,56,19731201,24,53,19731201
010446741C,2,1708PA,22,22,19751201,31,51,20321201,41,19731201,29,53,19731201
010446852C,2,1708PA,53,56,19751215,30,51,20301215,56,19731215,28,53,19731215
010447475C,2,1708PA,22,22,19760101,29,50,20320101,41,19740101,27,52,19740101
010447574C,2,1708PA,53,56,19760101,50,50,20140101,56,19740101,48,52,19740101
010448025C,2,1708PA,53,56,19760201,43,50,20210201,56,19740201,41,52,19740201
010448181C,2,1708PA,22,22,19760201,28,50,20330201,41,19740201,26,52,19740201
010448375C,2,1708PA,44,56,19760215,36,50,20280215,41,19740215,34,52,19740215
010448609C,2,1708PA,22,22,19760215,32,50,20320215,41,19740215,30,52,19740215
010448806C,2,1708PA,22,22,19760215,34,50,20300215,41,19740215,32,52,19740215
010448810C,2,1960PA,41,22,19760201,38,50,20030201,41,19740201,36,52,19740201
010448828C,4,1960PA,22,22,19760104,23,50,20530104,41,19740104,21,52,19740104
010449013C,2,1708PA,22,22,19760301,07,50,20540301,41,19740301,05,52,19740301
010449050C,2,1708PA,53,56,19760301,36,50,20250301,56,19740301,34,52,19740301
010449074C,2,1708PA,53,56,19760301,22,50,20390301,56,19740301,20,52,19740301
010449075C,2,1708PA,53,56,19760301,45,50,20190301,56,19740301,43,52,19740301
010449155C,2,1708PA,41,22,19760301,41,50,20230301,41,19740301,39,52,19740301
010449158C,2,1708PA,41,22,19760301,38,50,20260301,41,19740301,36,52,19740301
010449333C,2,1708PA,22,22,19760301,25,50,20390301,41,19740301,23,52,19740301
010449334C,2,1708PA,22,22,19760301,17,50,20440301,41,19740301,15,52,19740301
010449417C,2,1708PA,22,22,19760301,27,50,20370301,41,19740301,25,52,19740301
010449512C,2,1708PA,53,56,19760315,53,50,20110315,56,19740315,51,52,19740315
010449514C,2,1708PA,22,22,19760315,30,50,20310315,41,19740315,28,52,19740315
010449559C,2,1708PA,53,56,19760315,44,50,20200315,56,19740315,42,52,19740315
010449959C,2,1708PA,53,56,19760401,49,50,20120401,56,19740401,47,52,19740401
010450135C,2,1708PA,22,22,19760401,28,50,20360401,41,19740401,26,52,19740401
010450174C,2,1708PA,22,22,19760401,33,50,20310401,41,19740401,31,52,19740401
010450300C,3,1960PA,22,22,19760312,09,50,20670312,41,19740312,07,52,19740312
010450809C,2,1708PA,41,22,19760415,38,50,20260415,41,19740415,36,52,19740415
010450811C,2,1708PA,22,22,19760415,14,50,20470415,41,19740415,12,52,19740415
010451148C,2,1708PA,22,22,19760501,15,50,20490501,41,19740501,13,52,19740501
010451149C,2,1708PA,22,22,19760501,13,50,20510501,41,19740501,11,52,19740501
010451215C,2,1960PA,53,56,19760410,25,50,20510410,56,19740410,23,52,19740410
010451453C,2,1708PA,22,22,19760515,08,50,20530515,41,19740515,06,52,19740515
010451650C,2,1708PA,22,22,19760515,34,50,20270515,41,19740515,32,52,19740515
010452169C,2,1708PA,55,56,19760601,06,50,20550601,56,19740601,04,52,19740601
010452304C,2,1708PA,22,22,19760601,12,50,20490601,41,19740601,10,52,19740601
010452305C,2,1708PA,22,22,19760601,15,50,20490601,41,19740601,13,52,19740601
010452516C,2,1708PA,53,56,19760615,42,50,20220615,56,19740615,40,52,19740615
010454002C,2,1708PA,53,56,19760715,40,50,20240715,56,19740715,38,52,19740715
010454003C,2,1708PA,55,56,19760715,05,50,20560715,56,19740715,03,52,19740715
010455341C,2,1708PA,22,22,19760801,14,50,20500801,41,19740801,12,52,19740801
010456114C,2,1708PA,22,22,19760815,33,50,20310815,41,19740815,31,52,19740815
010456751C,2,1708PA,44,56,19760901,14,50,20500901,41,19740901,12,52,19740901
010456928C,2,1708PA,53,56,19760915,20,50,20410915,56,19740915,18,52,19740915
010457291C,2,1708PA,53,56,19761001,40,50,20241001,56,19741001,38,52,19741001
010457536C,2,1708PA,22,22,19761001,10,50,20541001,41,19741001,08,52,19741001
010457537C,2,1708PA,53,56,19761001,08,50,20531001,56,19741001,06,52,19741001
010457603C,2,1708PA,53,56,19761001,23,50,20411001,56,19741001,21,52,19741001
010458190C,2,1708PA,55,56,19761101,31,50,20301101,56,19741101,29,52,19741101
010458520C,2,1708PA,55,56,19761115,19,50,20451115,56,19741115,17,52,19741115
010458525C,2,1708PA,22,22,19761115,21,50,20431115,41,19741115,19,52,19741115
010458526C,2,1708PA,22,22,19761115,22,50,20391115,41,19741115,20,52,19741115
010458657C,2,1960PA,53,56,19761102,51,50,20251102,56,19741102,49,52,19741102
010458663C,2,1708PA,53,56,19761115,41,50,20231115,56,19741115,39,52,19741115
010458744C,2,1708PA,55,56,19761115,26,50,20351115,56,19741115,24,52,19741115
010459011C,2,1708PA,22,22,19761201,22,50,20391201,41,19741201,20,52,19741201
010459050C,2,1708PA,55,56,19761201,55,50,20061201,56,19741201,53,52,19741201
010459164C,2,1708PA,53,56,19761215,50,50,20111215,56,19741215,48,52,19741215
010459336C,2,1708PA,41,22,19770101,45,49,20200101,41,19750101,43,51,19750101
010459421C,2,1708PA,22,22,19770101,15,49,20500101,41,19750101,13,51,19750101
