SCOPE,MPOLICY,MPHASE,MPLAN,FIELD,BASELINE,CURRENT
PHASE1,9010395382C,1,17085M,MLASTANN,55,54
PHASE1,9010395411C,1,170858,MLASTANN,55,54
PHASE1,9010395761C,1,170858,MLASTANN,55,54
PHASE1,9010395878C,1,17085M,MLASTANN,55,54
PHASE1,9010395879C,1,170858,MLASTANN,55,54
PHASE1,9010396147C,1,170858,MLASTANN,55,54
PHASE1,9010396186C,1,17085M,MLASTANN,55,54
PHASE1,9010396425C,1,170858,MLASTANN,55,54
PHASE1,9010397118C,1,17085M,MLASTANN,55,54
PHASE1,9010397318C,1,17085M,MLASTANN,55,54
PHASE1,9010397493C,1,17085M,MLASTANN,55,54
PHASE1,9010397528C,1,170858,MLASTANN,55,54
PHASE1,9010397583C,1,17085M,MLASTANN,55,54
PHASE1,9010397945C,1,170858,MLASTANN,55,54
PHASE1,9010398274C,1,170858,MLASTANN,55,54
PHASE1,9010398471C,1,17085M,MLASTANN,55,54
PHASE1,9010398475C,1,17085M,MLASTANN,55,54
PHASE1,9010398591C,1,170858,MLASTANN,55,54
PHASE1,9010399927C,1,170858,MLASTANN,55,54
PHASE1,9010400462C,1,17085M,MLASTANN,55,54
PHASE1,9010401087C,1,17085M,MLASTANN,55,54
PHASE1,9010401181C,1,17085M,MLASTANN,55,54
PHASE1,9010401210C,1,170858,MLASTANN,55,54
PHASE1,9010401534C,1,170858,MLASTANN,55,54
PHASE1,9010402010C,1,170858,MLASTANN,55,54
PHASE1,9010402014C,1,170858,MLASTANN,55,54
PHASE1,9010402060C,1,170858,MLASTANN,55,54
PHASE1,9010402061C,1,17085M,MLASTANN,55,54
PHASE1,9010402105C,1,17085M,MLASTANN,55,54
PHASE1,9010403109C,1,170858,MLASTANN,55,54
PHASE1,9010403117C,1,170858,MLASTANN,55,54
PHASE1,9010403222C,1,17085M,MLASTANN,55,54
PHASE1,9010403516C,1,170858,MLASTANN,55,54
PHASE1,9010403789C,1,17085M,MLASTANN,55,54
PHASE1,9010403922C,1,17085M,MLASTANN,55,54
PHASE1,9010404600C,1,170858,MLASTANN,55,54
PHASE1,9010404604C,1,170858,MLASTANN,55,54
PHASE1,9010404605C,1,170858,MLASTANN,55,54
PHASE1,9010404857C,1,17085M,MLASTANN,55,54
PHASE1,9010405440C,1,17085M,MLASTANN,55,54
PHASE1,9010405642C,1,170858,MLASTANN,55,54
PHASE1,9010405802C,1,17085M,MLASTANN,55,54
PHASE1,9010405858C,1,17085M,MLASTANN,55,54
PHASE1,9010406576C,1,17085M,MLASTANN,54,53
PHASE1,9010406795C,1,170858,MLASTANN,54,53
PHASE1,9010406962C,1,170858,MLASTANN,54,53
PHASE1,9010407023C,1,1960PO,MLASTANN,54,53
PHASE1,9010407533C,1,170858,MLASTANN,54,53
PHASE1,9010407534C,1,17085M,MLASTANN,54,53
PHASE1,9010407925C,1,17085M,MLASTANN,54,53
PHASE1,9010408371C,1,17085M,MLASTANN,54,53
PHASE1,9010410566C,1,170858,MLASTANN,54,53
PHASE1,9010410616C,1,17085M,MLASTANN,54,53
PHASE1,9010410714C,1,17085M,MLASTANN,54,53
PHASE1,9010411499C,1,17085M,MLASTANN,54,53
PHASE1,9010411577C,1,17085M,MLASTANN,54,53
PHASE1,9010411727C,1,196065,MLASTANN,54,53
PHASE1,9010411920C,1,1960PO,MLASTANN,54,53
PHASE1,9010412522C,1,1960PO,MLASTANN,54,53
PHASE1,9010412525C,1,170858,MLASTANN,54,53
PHASE1,9010412526C,1,17085M,MLASTANN,54,53
PHASE1,9010412640C,1,17085M,MLASTANN,54,53
PHASE1,9010412641C,1,170858,MLASTANN,54,53
PHASE1,9010413417C,1,17085M,MLASTANN,54,53
PHASE1,9010413421C,1,170858,MLASTANN,54,53
PHASE1,9010413628C,1,17085M,MLASTANN,54,53
PHASE1,9010413745C,1,1960PO,MLASTANN,54,53
PHASE1,9010414235C,1,17085M,MLASTANN,54,53
PHASE1,9010415834C,1,17085M,MLASTANN,54,53
PHASE1,9010417200C,1,17085M,MLASTANN,54,53
PHASE1,9010417838C,1,170858,MLASTANN,54,53
PHASE1,9010418088C,1,196065,MLASTANN,54,53
PHASE1,9010418562C,1,170858,MLASTANN,54,53
PHASE1,9010419054C,1,170858,MLASTANN,54,53
PHASE1,9010420853C,1,170858,MLASTANN,54,53
PHASE1,9010420983C,1,170858,MLASTANN,54,53
PHASE1,9010422033C,1,17085M,MLASTANN,54,53
PHASE1,9010422221C,1,170858,MLASTANN,54,53
PHASE1,9010422417C,1,196065,MLASTANN,54,53
PHASE1,9010422722C,1,17085M,MLASTANN,54,53
PHASE1,9010422977C,1,1960PO,MLASTANN,54,53
PHASE1,9010423540C,1,17085M,MLASTANN,54,53
PHASE1,9010424798C,1,170858,MLASTANN,54,53
PHASE1,9010425718C,1,170858,MLASTANN,54,53
PHASE1,9010425720C,1,17085M,MLASTANN,54,53
PHASE1,9010425845C,1,17085M,MLASTANN,54,53
PHASE1,9010425928C,1,170858,MLASTANN,54,53
PHASE1,9010425941C,1,1960PO,MLASTANN,54,53
PHASE1,9010425942C,1,196065,MLASTANN,54,53
PHASE1,9010425944C,1,1960PO,MLASTANN,54,53
PHASE1,9010426657C,1,170858,MLASTANN,54,53
PHASE1,9010426747C,1,1960PO,MLASTANN,54,53
PHASE1,9010426858C,1,170858,MLASTANN,54,53
PHASE1,9010426859C,1,170858,MLASTANN,54,53
PHASE1,9010426961C,1,17085M,MLASTANN,54,53
PHASE1,9010427456C,1,17085M,MLASTANN,54,53
PHASE1,9010427457C,1,170858,MLASTANN,54,53
PHASE1,9010427723C,1,170858,MLASTANN,54,53
PHASE1,9010428258C,1,170858,MLASTANN,54,53
PHASE1,9010428771C,1,17085M,MLASTANN,54,53
PHASE1,9010429064C,1,170858,MLASTANN,54,53
PHASE1,9010429066C,1,17085M,MLASTANN,54,53
PHASE1,9010429259C,1,1960PO,MLASTANN,54,53
PHASE1,9010429417C,1,196065,MLASTANN,54,53
PHASE1,9010429532C,1,170858,MLASTANN,54,53
PHASE1,9010429558C,1,170858,MLASTANN,54,53
PHASE1,9010429710C,1,17085M,MLASTANN,54,53
PHASE1,9010429711C,1,170858,MLASTANN,54,53
PHASE1,9010429893C,1,170858,MLASTANN,54,53
PHASE1,9010429958C,1,170858,MLASTANN,54,53
PHASE1,9010429965C,1,17085M,MLASTANN,54,53
PHASE1,9010430017C,1,170858,MLASTANN,54,53
PHASE1,9010430023C,1,170858,MLASTANN,54,53
PHASE1,9010430086C,1,170858,MLASTANN,54,53
PHASE1,9010430295C,1,17085M,MLASTANN,54,53
PHASE1,9010430296C,1,170858,MLASTANN,54,53
PHASE1,9010430993C,1,170858,MLASTANN,54,53
PHASE1,9010431301C,1,1960PO,MLASTANN,54,53
PHASE1,9010431510C,1,170858,MLASTANN,54,53
PHASE1,9010431738C,1,17085M,MLASTANN,54,53
PHASE1,9010432120C,1,170858,MLASTANN,54,53
PHASE1,9010432254C,1,17085M,MLASTANN,54,53
PHASE1,9010432414C,1,17085M,MLASTANN,54,53
PHASE1,9010432493C,1,170858,MLASTANN,54,53
PHASE1,9010432494C,1,170858,MLASTANN,54,53
PHASE1,9010432631C,1,170858,MLASTANN,54,53
PHASE1,9010432782C,1,170858,MLASTANN,54,53
PHASE1,9010432865C,1,17085M,MLASTANN,54,53
PHASE1,9010432866C,1,170858,MLASTANN,54,53
PHASE1,9010433630C,1,17085M,MLASTANN,54,53
PHASE1,9010433786C,1,17085M,MLASTANN,54,53
PHASE1,9010434092C,1,170858,MLASTANN,54,53
PHASE1,9010434418C,1,1960PO,MLASTANN,54,53
PHASE1,9010434419C,1,17085M,MLASTANN,54,53
PHASE1,9010434421C,1,170858,MLASTANN,54,53
PHASE1,9010434422C,1,170858,MLASTANN,54,53
PHASE1,9010434424C,1,17085M,MLASTANN,54,53
PHASE1,9010434544C,1,170858,MLASTANN,54,53
PHASE1,9010434659C,1,170858,MLASTANN,54,53
PHASE1,9010434747C,1,170858,MLASTANN,54,53
PHASE1,9010434876C,1,17085M,MLASTANN,54,53
PHASE1,9010435244C,1,170858,MLASTANN,53,52
PHASE1,9010435248C,1,170858,MLASTANN,53,52
PHASE1,9010435466C,1,170858,MLASTANN,53,52
PHASE1,9010435609C,1,17085M,MLASTANN,53,52
PHASE1,9010435671C,1,1960PO,MLASTANN,54,53
PHASE1,9010435672C,1,196065,MLASTANN,54,53
PHASE1,9010435673C,1,196065,MLASTANN,53,52
PHASE1,9010436028C,1,170858,MLASTANN,53,52
PHASE1,9010436044C,1,170858,MLASTANN,53,52
PHASE1,9010436082C,1,17085M,MLASTANN,53,52
PHASE1,9010436083C,1,170858,MLASTANN,53,52
PHASE1,9010436085C,1,196065,MLASTANN,53,52
PHASE1,9010436541C,1,170858,MLASTANN,53,52
PHASE1,9010436599C,1,17085M,MLASTANN,53,52
PHASE1,9010436691C,1,170858,MLASTANN,53,52
PHASE1,9010436727C,1,170858,MLASTANN,53,52
PHASE1,9010436782C,1,1960PO,MLASTANN,53,52
PHASE1,9010436955C,1,17085M,MLASTANN,53,52
PHASE1,9010436959C,1,170858,MLASTANN,53,52
PHASE1,9010437076C,1,17085M,MLASTANN,53,52
PHASE1,9010437232C,1,17085M,MLASTANN,53,52
PHASE1,9010437335C,1,17085M,MLASTANN,53,52
PHASE1,9010437794C,1,17085M,MLASTANN,53,52
PHASE1,9010438028C,1,170858,MLASTANN,53,52
PHASE1,9010438063C,1,170858,MLASTANN,53,52
PHASE1,9010438073C,1,17085M,MLASTANN,53,52
PHASE1,9010438325C,1,170858,MLASTANN,53,52
PHASE1,9010438523C,1,17085M,MLASTANN,53,52
PHASE1,9010438554C,1,17085M,MLASTANN,53,52
PHASE1,9010438556C,1,1960PO,MLASTANN,53,52
PHASE1,9010438820C,1,170858,MLASTANN,53,52
PHASE1,9010438821C,1,170858,MLASTANN,53,52
PHASE1,9010438926C,1,170858,MLASTANN,53,52
PHASE1,9010438938C,1,170858,MLASTANN,53,52
PHASE1,9010438942C,1,17085M,MLASTANN,53,52
PHASE1,9010439084C,1,280END,MLASTANN,53,52
PHASE1,9010439128C,1,17085M,MLASTANN,53,52
PHASE1,9010439156C,1,170858,MLASTANN,53,52
PHASE1,9010439181C,1,170858,MLASTANN,53,52
PHASE1,9010439277C,1,196065,MLASTANN,53,52
PHASE1,9010439435C,1,170858,MLASTANN,53,52
PHASE1,9010439527C,1,170858,MLASTANN,53,52
PHASE1,9010439836C,1,1960PO,MLASTANN,53,52
PHASE1,9010439999C,1,1960PO,MLASTANN,53,52
PHASE1,9010440000C,1,196065,MLASTANN,53,52
PHASE1,9010440345C,1,170858,MLASTANN,53,52
PHASE1,9010440370C,1,17085M,MLASTANN,53,52
PHASE1,9010440371C,1,196065,MLASTANN,53,52
PHASE1,9010440631C,1,170858,MLASTANN,53,52
PHASE1,9010441082C,1,170858,MLASTANN,53,52
PHASE1,9010441084C,1,17085M,MLASTANN,53,52
PHASE1,9010441085C,1,17085M,MLASTANN,53,52
PHASE1,9010441927C,1,17085M,MLASTANN,53,52
PHASE1,9010442216C,1,170858,MLASTANN,53,52
PHASE1,9010442222C,1,17085M,MLASTANN,53,52
PHASE1,9010442230C,1,170858,MLASTANN,53,52
PHASE1,9010442330C,1,170858,MLASTANN,53,52
PHASE1,9010442332C,1,17085M,MLASTANN,53,52
PHASE1,9010442551C,1,170858,MLASTANN,53,52
PHASE1,9010442552C,1,17085M,MLASTANN,53,52
PHASE1,9010442906C,1,1960PO,MLASTANN,53,52
PHASE1,9010443032C,1,170858,MLASTANN,53,52
PHASE1,9010443109C,1,170858,MLASTANN,53,52
PHASE1,9010443161C,1,170858,MLASTANN,53,52
PHASE1,9010443287C,1,17085M,MLASTANN,53,52
PHASE1,9010443296C,1,17085M,MLASTANN,53,52
PHASE1,9010443432C,1,196065,MLASTANN,53,52
PHASE1,9010443816C,1,17085M,MLASTANN,53,52
PHASE1,9010444207C,1,17085M,MLASTANN,53,52
PHASE1,9010444283C,1,170858,MLASTANN,53,52
PHASE1,9010444917C,1,170858,MLASTANN,53,52
PHASE1,9010445074C,1,170858,MLASTANN,53,52
PHASE1,9010445091C,1,17085M,MLASTANN,53,52
PHASE1,9010445131C,1,170858,MLASTANN,53,52
PHASE1,9010445275C,1,1960OL,MLASTANN,53,52
PHASE1,9010445351C,1,17085M,MLASTANN,53,52
PHASE1,9010445575C,1,170858,MLASTANN,53,52
PHASE1,9010445719C,1,170858,MLASTANN,53,52
PHASE1,9010446237C,1,17085M,MLASTANN,53,52
PHASE1,9010446416C,1,170858,MLASTANN,53,52
PHASE1,9010446638C,1,17085M,MLASTANN,53,52
PHASE1,9010446741C,1,170858,MLASTANN,53,52
PHASE1,9010446852C,1,17085M,MLASTANN,53,52
PHASE1,9010447475C,1,17085M,MLASTANN,52,51
PHASE1,9010447574C,1,170858,MLASTANN,52,51
PHASE1,9010448025C,1,170858,MLASTANN,52,51
PHASE1,9010448181C,1,17085M,MLASTANN,52,51
PHASE1,9010448609C,1,170858,MLASTANN,52,51
PHASE1,9010448806C,1,170858,MLASTANN,52,51
PHASE1,9010448810C,1,196065,MLASTANN,52,51
PHASE1,9010448828C,1,1960OL,MLASTANN,52,51
PHASE1,9010449013C,1,17085M,MLASTANN,52,51
PHASE1,9010449050C,1,17085M,MLASTANN,52,51
PHASE1,9010449074C,1,17085M,MLASTANN,52,51
PHASE1,9010449075C,1,170858,MLASTANN,52,51
PHASE1,9010449155C,1,170858,MLASTANN,52,51
PHASE1,9010449158C,1,170858,MLASTANN,52,51
PHASE1,9010449333C,1,170858,MLASTANN,52,51
PHASE1,9010449334C,1,17085M,MLASTANN,52,51
PHASE1,9010449417C,1,170858,MLASTANN,52,51
PHASE1,9010449498C,1,196065,MLASTANN,52,51
PHASE1,9010449512C,1,170858,MLASTANN,52,51
PHASE1,9010449514C,1,17085M,MLASTANN,52,51
PHASE1,9010449532C,1,196065,MLASTANN,52,51
PHASE1,9010449559C,1,170858,MLASTANN,52,51
PHASE1,9010449959C,1,17085M,MLASTANN,52,51
PHASE1,9010450135C,1,170858,MLASTANN,52,51
PHASE1,9010450174C,1,170858,MLASTANN,52,51
PHASE1,9010450300C,1,1960OL,MLASTANN,52,51
PHASE1,9010450809C,1,170858,MLASTANN,52,51
PHASE1,9010450811C,1,17085M,MLASTANN,52,51
PHASE1,9010450906C,1,1960OL,MLASTANN,52,51
PHASE1,9010451148C,1,170858,MLASTANN,52,51
PHASE1,9010451149C,1,170858,MLASTANN,52,51
PHASE1,9010451215C,1,1960OL,MLASTANN,52,51
PHASE1,9010451453C,1,17085M,MLASTANN,52,51
PHASE1,9010451596C,1,170858,MLASTANN,52,51
PHASE1,9010451650C,1,17085M,MLASTANN,52,51
PHASE1,9010452169C,1,17085M,MLASTANN,52,51
PHASE1,9010452304C,1,17085M,MLASTANN,52,51
PHASE1,9010452305C,1,170858,MLASTANN,52,51
PHASE1,9010452516C,1,170858,MLASTANN,52,51
PHASE1,9010452575C,1,1960OL,MLASTANN,52,51
PHASE1,9010454002C,1,170858,MLASTANN,52,51
PHASE1,9010454003C,1,17085M,MLASTANN,52,51
PHASE1,9010455341C,1,170858,MLASTANN,52,51
PHASE1,9010455617C,1,1960OL,MLASTANN,52,51
PHASE1,9010455884C,1,170858,MLASTANN,52,51
PHASE1,9010456114C,1,170858,MLASTANN,52,51
PHASE1,9010456183C,1,170858,MLASTANN,52,51
PHASE1,9010456184C,1,170858,MLASTANN,52,51
PHASE1,9010456188C,1,170858,MLASTANN,52,51
PHASE1,9010456928C,1,17085M,MLASTANN,52,51
PHASE1,9010457291C,1,170858,MLASTANN,52,51
PHASE1,9010457536C,1,170858,MLASTANN,52,51
PHASE1,9010457537C,1,17085M,MLASTANN,52,51
PHASE1,9010457603C,1,170858,MLASTANN,52,51
PHASE1,9010457623C,1,1960OL,MLASTANN,52,51
PHASE1,9010458190C,1,17085M,MLASTANN,52,51
PHASE1,9010458520C,1,170858,MLASTANN,52,51
PHASE1,9010458525C,1,170858,MLASTANN,52,51
PHASE1,9010458526C,1,17085M,MLASTANN,52,51
PHASE1,9010458657C,1,1960OL,MLASTANN,52,51
PHASE1,9010458663C,1,170858,MLASTANN,52,51
PHASE1,9010458744C,1,17085M,MLASTANN,52,51
PHASE1,9010459011C,1,17085M,MLASTANN,52,51
PHASE1,9010459050C,1,17085M,MLASTANN,52,51
PHASE1,9010459164C,1,17085M,MLASTANN,52,51
PHASE1,9010459336C,1,170858,MLASTANN,51,50
PHASE1,9010459421C,1,170858,MLASTANN,51,50
PHASE1,9010459527C,1,17085M,MLASTANN,51,50
PHASE1,9010459579C,1,170858,MLASTANN,51,50
PHASE1,9010459653C,1,170858,MLASTANN,51,50
PHASE1,9010459814C,1,170858,MLASTANN,51,50
PHASE1,9010459970C,1,170858,MLASTANN,51,50
PHASE1,9010460276C,1,170858,MLASTANN,51,50
PHASE1,9010460323C,1,1960OL,MLASTANN,51,50
PHASE1,9010460406C,1,1960OL,MLASTANN,51,50
PHASE1,9010460652C,1,17085M,MLASTANN,51,50
PHASE1,9010460653C,1,170858,MLASTANN,51,50
PHASE1,9010460886C,1,17085M,MLASTANN,51,50
PHASE1,9010461210C,1,1960OL,MLASTANN,51,50
PHASE1,9010461689C,1,170858,MLASTANN,51,50
PHASE1,9010461753C,1,170858,MLASTANN,51,50
PHASE1,9010462057C,1,170858,MLASTANN,51,50
PHASE1,9010462415C,1,170858,MLASTANN,51,50
PHASE1,9010462630C,1,170858,MLASTANN,51,50
PHASE1,9010462631C,1,17085M,MLASTANN,51,50
PHASE1,9010462759C,1,1960OL,MLASTANN,51,50
PHASE1,9010462839C,1,170858,MLASTANN,51,50
PHASE1,9010463017C,1,1960OL,MLASTANN,51,50
PHASE1,9010463161C,1,196065,MLASTANN,51,50
PHASE1,9010463190C,1,1960PO,MLASTANN,51,50
PHASE1,9010463420C,1,170858,MLASTANN,51,50
PHASE1,9010463537C,1,1960OL,MLASTANN,51,50
PHASE1,9010463553C,1,170858,MLASTANN,51,50
PHASE1,9010464265C,1,170858,MLASTANN,51,50
PHASE1,9010464590C,1,170858,MLASTANN,51,50
PHASE1,9010464869C,1,17085M,MLASTANN,51,50
PHASE1,9010464870C,1,170858,MLASTANN,51,50
PHASE1,9010465265C,1,170858,MLASTANN,51,50
PHASE1,9010465331C,1,170858,MLASTANN,51,50
PHASE1,9010465363C,1,17085M,MLASTANN,51,50
PHASE1,9010465451C,1,17085M,MLASTANN,51,50
PHASE1,9010466391C,1,17085M,MLASTANN,51,50
PHASE1,9010466392C,1,170858,MLASTANN,51,50
PHASE1,9010466458C,1,17085M,MLASTANN,51,50
PHASE1,9010466470C,1,170858,MLASTANN,51,50
PHASE1,9010466473C,1,170858,MLASTANN,51,50
PHASE1,9010466702C,1,170858,MLASTANN,51,50
PHASE1,9010466706C,1,170858,MLASTANN,51,50
PHASE1,9010466978C,1,170858,MLASTANN,51,50
PHASE1,9010467025C,1,17085M,MLASTANN,51,50
PHASE1,9010467061C,1,1960OL,MLASTANN,51,50
PHASE1,9010467154C,1,1960OL,MLASTANN,51,50
PHASE1,9010467173C,1,17085M,MLASTANN,51,50
PHASE1,9010467185C,1,17085M,MLASTANN,51,50
PHASE1,9010467190C,1,17085M,MLASTANN,51,50
PHASE1,9010467500C,1,1960OL,MLASTANN,51,50
PHASE1,9010467771C,1,170858,MLASTANN,51,50
PHASE1,9010468945C,1,17085M,MLASTANN,50,49
PHASE1,9010468946C,1,170858,MLASTANN,50,49
PHASE1,9010469081C,1,17085M,MLASTANN,50,49
PHASE1,9010469430C,1,1960OL,MLASTANN,50,49
PHASE1,9010469579C,1,17085M,MLASTANN,50,49
PHASE1,9010469666C,1,1960OL,MLASTANN,50,49
PHASE1,9010469896C,1,1960OL,MLASTANN,50,49
PHASE1,9010469984C,1,196065,MLASTANN,50,49
PHASE1,9010469985C,1,196065,MLASTANN,50,49
PHASE1,9010471046C,1,1960OL,MLASTANN,50,49
PHASE1,9010471769C,1,170858,MLASTANN,50,49
PHASE1,9010471933C,1,1960OL,MLASTANN,50,49
PHASE1,9010472182C,1,17085M,MLASTANN,50,49
PHASE1,9010472183C,1,170858,MLASTANN,50,49
PHASE1,9010473137C,1,170858,MLASTANN,50,49
PHASE1,9010473866C,1,170858,MLASTANN,50,49
PHASE1,9010473867C,1,17085M,MLASTANN,50,49
PHASE1,9010473868C,1,170858,MLASTANN,50,49
PHASE1,9010474317C,1,17085M,MLASTANN,50,49
PHASE1,9010474318C,1,170858,MLASTANN,50,49
PHASE1,9010474519C,1,170858,MLASTANN,50,49
PHASE1,9010474522C,1,170858,MLASTANN,50,49
PHASE1,9010475571C,1,170858,MLASTANN,50,49
PHASE1,9010475576C,1,170858,MLASTANN,50,49
PHASE1,9010475850C,1,170858,MLASTANN,50,49
PHASE1,9010476803C,1,17085M,MLASTANN,50,49
PHASE1,9010477512C,1,17085M,MLASTANN,50,49
PHASE1,9010477513C,1,170858,MLASTANN,50,49
PHASE1,9010477989C,1,170858,MLASTANN,50,49
PHASE1,9010478213C,1,1960OL,MLASTANN,50,49
PHASE1,9010478214C,1,1960OL,MLASTANN,50,49
PHASE1,9010478259C,1,170858,MLASTANN,50,49
PHASE1,9010478260C,1,170858,MLASTANN,50,49
PHASE1,9010478285C,1,170858,MLASTANN,50,49
PHASE1,9010478574C,1,170858,MLASTANN,50,49
PHASE1,9010479749C,1,170858,MLASTANN,50,49
PHASE1,9010481459C,1,1960OL,MLASTANN,50,49
PHASE1,9010483380C,1,170858,MLASTANN,49,48
PHASE1,9010483386C,1,17085M,MLASTANN,49,48
PHASE1,9010484578C,1,1960OL,MLASTANN,49,48
PHASE1,9010484821C,1,170858,MLASTANN,49,48
PHASE1,9010484864C,1,1960OL,MLASTANN,49,48
PHASE1,9010486919C,1,170858,MLASTANN,49,48
PHASE1,9010486961C,1,170858,MLASTANN,49,48
PHASE1,9010486964C,1,17085M,MLASTANN,49,48
PHASE1,9010487125C,1,17085M,MLASTANN,49,48
PHASE1,9010487396C,1,170858,MLASTANN,49,48
PHASE1,9010487886C,1,1960OL,MLASTANN,49,48
PHASE1,9010487888C,1,1960OL,MLASTANN,49,48
PHASE1,9010488273C,1,17085M,MLASTANN,49,48
PHASE1,9010488274C,1,170858,MLASTANN,49,48
PHASE1,9010488878C,1,1960OL,MLASTANN,49,48
PHASE1,9010489508C,1,17085M,MLASTANN,49,48
PHASE1,9010491000C,1,1960OL,MLASTANN,49,48
PHASE1,9010492604C,1,1960OL,MLASTANN,49,48
PHASE1,9010494171C,1,170858,MLASTANN,49,48
