POLICY_NUMBER,MPOLICY,CONTRACT_CODE,CONTRACT_REASON,PAID_UP_TYPE,CURRENT_KEY,PROPOSED_KEY,CURRENT_MSTATUS,PROPOSED_MSTATUS,EMITTED_MSTATUS,WOULD_CHANGE,PROPOSED_UNMAPPED
9010391876,010391876C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010391878,010391878C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010391895,010391895C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010392117,010392117C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010392930,010392930C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010393142,010393142C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010393143,010393143C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010393401,010393401C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010393899,010393899C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010394353,010394353C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010395098,010395098C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010395211,010395211C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010395411,010395411C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010396186,010396186C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010396425,010396425C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010397118,010397118C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010397493,010397493C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010397528,010397528C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010398471,010398471C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010398475,010398475C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010399927,010399927C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010401087,010401087C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010401210,010401210C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010401565,010401565C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010402105,010402105C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010402899,010402899C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010403109,010403109C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010403117,010403117C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010403222,010403222C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010403516,010403516C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010403789,010403789C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010403872,010403872C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010403916,010403916C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010404600,010404600C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010404602,010404602C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010405175,010405175C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010405440,010405440C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010405802,010405802C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010406576,010406576C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010407023,010407023C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010407237,010407237C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010407534,010407534C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010407670,010407670C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010407925,010407925C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010408371,010408371C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010410616,010410616C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010411577,010411577C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010411920,010411920C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010412525,010412525C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010412641,010412641C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010413421,010413421C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010417838,010417838C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010419054,010419054C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010420853,010420853C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010422221,010422221C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010422417,010422417C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010422722,010422722C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010422977,010422977C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010423540,010423540C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010424185,010424185C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010425941,010425941C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010425944,010425944C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010426859,010426859C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010427442,010427442C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010427456,010427456C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010428259,010428259C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010428688,010428688C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010428747,010428747C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010429066,010429066C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010429417,010429417C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010430017,010430017C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010430993,010430993C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010431301,010431301C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010431510,010431510C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010432254,010432254C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010432414,010432414C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010432631,010432631C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010433471,010433471C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010433630,010433630C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010434092,010434092C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010434418,010434418C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010434421,010434421C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010434422,010434422C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010434544,010434544C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010434659,010434659C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010435244,010435244C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010435609,010435609C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010435671,010435671C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010435672,010435672C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010435673,010435673C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010436082,010436082C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010436083,010436083C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010436406,010436406C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010436541,010436541C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010436712,010436712C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010436782,010436782C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010436959,010436959C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010437076,010437076C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010437232,010437232C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438063,010438063C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438073,010438073C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438523,010438523C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438524,010438524C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010438525,010438525C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010438554,010438554C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438556,010438556C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438820,010438820C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010438861,010438861C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010438926,010438926C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010438938,010438938C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010439128,010439128C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010439156,010439156C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010439277,010439277C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010439435,010439435C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010439999,010439999C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010440000,010440000C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010440371,010440371C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010440631,010440631C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010441082,010441082C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010441084,010441084C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010441085,010441085C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010442216,010442216C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010442222,010442222C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010442906,010442906C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010443032,010443032C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010443287,010443287C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010443296,010443296C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010443389,010443389C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010443432,010443432C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010443433,010443433C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010443646,010443646C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010444917,010444917C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010446088,010446088C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010446237,010446237C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010446741,010446741C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010447475,010447475C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010447559,010447559C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010448181,010448181C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010448375,010448375C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010448609,010448609C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010448806,010448806C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010448810,010448810C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010448828,010448828C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449013,010449013C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449017,010449017C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010449155,010449155C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010449158,010449158C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010449333,010449333C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449334,010449334C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449417,010449417C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449498,010449498C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010449514,010449514C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010450135,010450135C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010450174,010450174C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010450300,010450300C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010450809,010450809C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010450811,010450811C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010450906,010450906C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010451148,010451148C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010451149,010451149C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010451385,010451385C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010451453,010451453C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010451650,010451650C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010452304,010452304C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010452305,010452305C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010452575,010452575C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010455341,010455341C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010456114,010456114C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010456182,010456182C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010456751,010456751C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010457536,010457536C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010457623,010457623C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010458525,010458525C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010458526,010458526C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010459011,010459011C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010459336,010459336C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010459421,010459421C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010459527,010459527C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010459723,010459723C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010459814,010459814C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010459850,010459850C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010460323,010460323C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010460406,010460406C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010460653,010460653C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010461210,010461210C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010462057,010462057C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010462415,010462415C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010462759,010462759C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010463017,010463017C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010463537,010463537C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010463553,010463553C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010465331,010465331C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010465363,010465363C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010466391,010466391C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010466392,010466392C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010466471,010466471C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010466472,010466472C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010466706,010466706C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010466978,010466978C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010467025,010467025C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010467154,010467154C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010467185,010467185C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010467500,010467500C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010467771,010467771C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010468945,010468945C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010469579,010469579C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010469666,010469666C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010469728,010469728C,A,RS,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010470522,010470522C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010471046,010471046C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010471532,010471532C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010471534,010471534C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010473867,010473867C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010473868,010473868C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010474317,010474317C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010474318,010474318C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010478048,010478048C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010478213,010478213C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010478214,010478214C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010478890,010478890C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010480683,010480683C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010481459,010481459C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010483386,010483386C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010484578,010484578C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010484864,010484864C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010486961,010486961C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010487125,010487125C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010487396,010487396C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010487886,010487886C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010487888,010487888C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010488273,010488273C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010488878,010488878C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010492604,010492604C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010495113,010495113C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010495120,010495120C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010495122,010495122C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010497263,010497263C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010497264,010497264C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010499349,010499349C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010500671,010500671C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010501142,010501142C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010502776,010502776C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010502995,010502995C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010503391,010503391C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010505481,010505481C,A,RI,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010506408,010506408C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010506497,010506497C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010507004,010507004C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010507005,010507005C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010510553,010510553C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010510671,010510671C,A,RS,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010510979,010510979C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010511203,010511203C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010511795,010511795C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010513607,010513607C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010513627,010513627C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010513711,010513711C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010513848,010513848C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010513849,010513849C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010514052,010514052C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010516466,010516466C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010518048,010518048C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010518049,010518049C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010518051,010518051C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010518545,010518545C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010520451,010520451C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010521213,010521213C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010523097,010523097C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010524282,010524282C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010525250,010525250C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010527102,010527102C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010527103,010527103C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010527336,010527336C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010529613,010529613C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010529993,010529993C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010530033,010530033C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010540774,010540774C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010540781,010540781C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010541669,010541669C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010542288,010542288C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010543558,010543558C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010543559,010543559C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010544183,010544183C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010545623,010545623C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010546964,010546964C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010547021,010547021C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010547892,010547892C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010550088,010550088C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010552856,010552856C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010555054,010555054C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010555714,010555714C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010556634,010556634C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010556736,010556736C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010560185,010560185C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010565013,010565013C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010567983,010567983C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010576755,010576755C,A,RS,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010578323,010578323C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010580685,010580685C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010583923,010583923C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010590419,010590419C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010591112,010591112C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010598049,010598049C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010598050,010598050C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010615191,010615191C,A,,,ST_A_,ST_A_,22,22,22,False,False
