POLICY_NUMBER,INTEREST_TYPE,INT_METHOD,NOTE
9010397945   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010400462   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010401565   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010402014   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010402105   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010403109   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010403789   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010404600   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010404602   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010404857   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010405440   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010407925   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010410566   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010413628   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010417200   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010420983   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010422033   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010422417   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010422722   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010425720   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010425941   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010425942   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010425944   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010426657   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010426747   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010427456   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010428771   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010429710   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010429711   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010431738   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010434092   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010434421   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010435244   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010435671   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010435672   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010435673   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010436599   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010436782   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010437232   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010438325   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010438556   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010438821   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010438938   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010438942   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010439128   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010439156   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010439277   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010439435   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010439999   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010440000   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010442332   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010442552   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010442906   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010443109   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010443287   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010444283   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010445275   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010446852   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010448025   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010448375   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010449155   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010449417   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010449498   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010451453   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010452169   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010452304   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010452305   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010454002   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010455341   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010456114   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010456751   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010458520   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010458525   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010458526   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010458663   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010459723   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010460886   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010461210   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010462630   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010462631   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010462839   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010463190   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010463420   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010463537   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010464869   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010464870   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010465331   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010466392   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010466470   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010466471   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010466472   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010467061   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010467154   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010467173   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010467771   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010469081   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010469728   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010469896   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010471046   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010471534   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010472182   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010472183   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010473137   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010474519   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010474522   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010476803   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010477512   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010477513   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010477989   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010478213   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010478214   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010478285   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010486919   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010486961   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010486964   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010487396   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010487886   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010488273   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010488274   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010491000   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010495113   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010496486   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010497768   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010499674   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010500769   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010501142   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010501836   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010502995   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010502996   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010510553   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010510671   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010510979   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010511203   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010513711   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010518048   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010518049   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010518545   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010520217   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010520451   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010521651   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010523058   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010525250   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010526524   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010529613   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010529993   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010532612   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010544182   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010545623   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010546964   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010547021   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010547488   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010549966   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010550088   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010550564   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010564241   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010565013   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010567983   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010583923   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010586005   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010639996   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010653596   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010718278   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010719815   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010722516   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010722734   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010726104   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010728696   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010730647   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010730780   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010731970   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010733472   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010733665   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010735585   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010736035   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010736283   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010736935   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010738161   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010738539   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010741234   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010741334   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010741943   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010743395   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010743832   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010745749   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010745811   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010746846   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010747243   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010747320   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010747636   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010748070   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
9010748073   ,F            ,D         ,PLOAN INTEREST_TYPE/INT_METHOD not used for MLOANINTX per Issue #32 v1.2.
