Old_Value,New_Value
9010425720,010425720C
9010425845,010425845C
9010425928,010425928C
9010425941,010425941C
9010425942,010425942C
9010425944,010425944C
9010426657,010426657C
9010426747,010426747C
9010426858,010426858C
9010426859,010426859C
9010426961,010426961C
9010427442,010427442C
9010427456,010427456C
9010427457,010427457C
9010427723,010427723C
9010428258,010428258C
9010428259,010428259C
9010428688,010428688C
9010428747,010428747C
9010428771,010428771C
9010429064,010429064C
9010429066,010429066C
9010429259,010429259C
9010429417,010429417C
9010429532,010429532C
9010429558,010429558C
9010429710,010429710C
9010429711,010429711C
9010429893,010429893C
9010429958,010429958C
9010429965,010429965C
9010430017,010430017C
9010430023,010430023C
9010430086,010430086C
9010430295,010430295C
9010430296,010430296C
9010430993,010430993C
9010431301,010431301C
9010431510,010431510C
9010431738,010431738C
9010432120,010432120C
9010432254,010432254C
9010432414,010432414C
9010432493,010432493C
9010432494,010432494C
9010432631,010432631C
9010432782,010432782C
9010432865,010432865C
9010432866,010432866C
9010433471,010433471C
9010433630,010433630C
9010433786,010433786C
9010434092,010434092C
9010434418,010434418C
9010434419,010434419C
9010434421,010434421C
9010434422,010434422C
9010434424,010434424C
9010434544,010434544C
9010434659,010434659C
9010434747,010434747C
9010434876,010434876C
9010435244,010435244C
9010435248,010435248C
9010435466,010435466C
9010435609,010435609C
9010435671,010435671C
9010435672,010435672C
9010435673,010435673C
9010436028,010436028C
9010436044,010436044C
9010436082,010436082C
9010436083,010436083C
9010436085,010436085C
9010436406,010436406C
9010436541,010436541C
9010436599,010436599C
9010436691,010436691C
9010436712,010436712C
9010436727,010436727C
9010436782,010436782C
9010436955,010436955C
9010436959,010436959C
9010437076,010437076C
9010437232,010437232C
9010437335,010437335C
9010437794,010437794C
9010438028,010438028C
9010438063,010438063C
9010438073,010438073C
9010438325,010438325C
9010438523,010438523C
9010438524,010438524C
9010438525,010438525C
9010438554,010438554C
9010438556,010438556C
9010438820,010438820C
9010438821,010438821C
9010438861,010438861C
9010438926,010438926C
9010438938,010438938C
9010438942,010438942C
9010439084,010439084C
9010439128,010439128C
9010439156,010439156C
9010439181,010439181C
9010439277,010439277C
9010439435,010439435C
9010439527,010439527C
9010439836,010439836C
9010439999,010439999C
9010440000,010440000C
9010440345,010440345C
9010440370,010440370C
9010440371,010440371C
9010440631,010440631C
9010441082,010441082C
9010441084,010441084C
9010441085,010441085C
9010441927,010441927C
9010442216,010442216C
9010442222,010442222C
9010442230,010442230C
9010442330,010442330C
9010442332,010442332C
9010442551,010442551C
9010442552,010442552C
9010442906,010442906C
9010443032,010443032C
9010443109,010443109C
9010443161,010443161C
9010443287,010443287C
9010443296,010443296C
9010443389,010443389C
9010443432,010443432C
9010443433,010443433C
9010443646,010443646C
9010443816,010443816C
9010444207,010444207C
9010444283,010444283C
9010444917,010444917C
9010445074,010445074C
9010445091,010445091C
9010445131,010445131C
9010445275,010445275C
9010445351,010445351C
9010445575,010445575C
9010445719,010445719C
9010446088,010446088C
9010446237,010446237C
9010446416,010446416C
9010446638,010446638C
9010446741,010446741C
9010446852,010446852C
9010447475,010447475C
9010447559,010447559C
9010447574,010447574C
9010448025,010448025C
9010448181,010448181C
9010448375,010448375C
9010448609,010448609C
9010448806,010448806C
9010448810,010448810C
9010448828,010448828C
9010449013,010449013C
9010449017,010449017C
9010449050,010449050C
9010449074,010449074C
9010449075,010449075C
9010449155,010449155C
9010449158,010449158C
9010449333,010449333C
9010449334,010449334C
9010449417,010449417C
9010449498,010449498C
9010449512,010449512C
9010449514,010449514C
9010449532,010449532C
9010449559,010449559C
9010449959,010449959C
9010450135,010450135C
9010450174,010450174C
9010450300,010450300C
9010450809,010450809C
9010450811,010450811C
9010450906,010450906C
9010451148,010451148C
9010451149,010451149C
9010451215,010451215C
9010451385,010451385C
9010451453,010451453C
9010451596,010451596C
9010451650,010451650C
9010452169,010452169C
9010452304,010452304C
9010452305,010452305C
9010452516,010452516C
9010452575,010452575C
9010454002,010454002C
9010454003,010454003C
9010455341,010455341C
9010455617,010455617C
9010455884,010455884C
9010456114,010456114C
9010456182,010456182C
9010456183,010456183C
9010456184,010456184C
9010456188,010456188C
9010456751,010456751C
9010456928,010456928C
9010457291,010457291C
9010457536,010457536C
9010457537,010457537C
9010457603,010457603C
9010457623,010457623C
9010458190,010458190C
9010458520,010458520C
9010458525,010458525C
9010458526,010458526C
9010458657,010458657C
9010458663,010458663C
9010458744,010458744C
9010459011,010459011C
9010459050,010459050C
9010459164,010459164C
9010459336,010459336C
9010459421,010459421C
9010459527,010459527C
9010459579,010459579C
9010459653,010459653C
9010459723,010459723C
9010459814,010459814C
9010459850,010459850C
9010459970,010459970C
9010460276,010460276C
9010460323,010460323C
9010460406,010460406C
9010460652,010460652C
9010460653,010460653C
9010460886,010460886C
9010461210,010461210C
9010461689,010461689C
9010461753,010461753C
9010462057,010462057C
9010462415,010462415C
9010462630,010462630C
9010462631,010462631C
9010462759,010462759C
9010462839,010462839C
9010463017,010463017C
9010463161,010463161C
9010463190,010463190C
9010463420,010463420C
9010463537,010463537C
9010463553,010463553C
9010464265,010464265C
9010464590,010464590C
9010464869,010464869C
9010464870,010464870C
9010465265,010465265C
9010465331,010465331C
9010465363,010465363C
9010465451,010465451C
9010466391,010466391C
9010466392,010466392C
9010466458,010466458C
9010466470,010466470C
9010466471,010466471C
9010466472,010466472C
9010466473,010466473C
9010466702,010466702C
9010466706,010466706C
9010466978,010466978C
9010467025,010467025C
9010467061,010467061C
9010467154,010467154C
9010467173,010467173C
9010467185,010467185C
9010467190,010467190C
9010467500,010467500C
9010467771,010467771C
9010468945,010468945C
9010468946,010468946C
9010469081,010469081C
9010469430,010469430C
9010469579,010469579C
9010469666,010469666C
9010469728,010469728C
9010469896,010469896C
9010469984,010469984C
9010469985,010469985C
9010470522,010470522C
9010471046,010471046C
9010471532,010471532C
9010471534,010471534C
9010471769,010471769C
9010471933,010471933C
9010472182,010472182C
9010472183,010472183C
9010473137,010473137C
9010473866,010473866C
9010473867,010473867C
9010473868,010473868C
9010474317,010474317C
9010474318,010474318C
9010474519,010474519C
9010474522,010474522C
9010475571,010475571C
9010475576,010475576C
9010475850,010475850C
9010476803,010476803C
9010477512,010477512C
9010477513,010477513C
9010477989,010477989C
9010478048,010478048C
9010478213,010478213C
9010478214,010478214C
9010478259,010478259C
9010478260,010478260C
9010478285,010478285C
9010478574,010478574C
9010478890,010478890C
9010479749,010479749C
9010480683,010480683C
9010481459,010481459C
9010483380,010483380C
9010483386,010483386C
9010484578,010484578C
9010484821,010484821C
9010484864,010484864C
9010486919,010486919C
9010486961,010486961C
9010486964,010486964C
9010487125,010487125C
9010487396,010487396C
9010487886,010487886C
9010487888,010487888C
9010488273,010488273C
9010488274,010488274C
9010488878,010488878C
9010489508,010489508C
9010491000,010491000C
9010492604,010492604C
9010494171,010494171C
9010494229,010494229C
9010495113,010495113C
9010495120,010495120C
9010495122,010495122C
9010496486,010496486C
9010497263,010497263C
9010497264,010497264C
9010497363,010497363C
9010497768,010497768C
9010498153,010498153C
9010498260,010498260C
9010498617,010498617C
9010499269,010499269C
9010499349,010499349C
9010499674,010499674C
9010499702,010499702C
9010500671,010500671C
9010500769,010500769C
9010501142,010501142C
9010501466,010501466C
9010501836,010501836C
9010502776,010502776C
9010502820,010502820C
9010502995,010502995C
9010502996,010502996C
9010503391,010503391C
9010503560,010503560C
9010505294,010505294C
9010505297,010505297C
9010505481,010505481C
9010505549,010505549C
9010506408,010506408C
9010506497,010506497C
9010506789,010506789C
9010506832,010506832C
9010507004,010507004C
9010507005,010507005C
9010507705,010507705C
9010510553,010510553C
9010510671,010510671C
9010510979,010510979C
9010511203,010511203C
9010511240,010511240C
9010511355,010511355C
9010511795,010511795C
9010512061,010512061C
9010513607,010513607C
9010513627,010513627C
9010513711,010513711C
9010513712,010513712C
9010513848,010513848C
9010513849,010513849C
9010514051,010514051C
9010514052,010514052C
9010515598,010515598C
9010516211,010516211C
9010516466,010516466C
9010517231,010517231C
9010518048,010518048C
9010518049,010518049C
9010518050,010518050C
9010518051,010518051C
9010518545,010518545C
9010520217,010520217C
9010520451,010520451C
9010521160,010521160C
9010521213,010521213C
9010521651,010521651C
9010521756,010521756C
9010523058,010523058C
9010523097,010523097C
9010524029,010524029C
9010524282,010524282C
9010525250,010525250C
9010526232,010526232C
9010526522,010526522C
9010526524,010526524C
9010526526,010526526C
9010527102,010527102C
9010527103,010527103C
9010527336,010527336C
9010529613,010529613C
9010529973,010529973C
9010529993,010529993C
9010530033,010530033C
9010532612,010532612C
9010538650,010538650C
9010539198,010539198C
9010540774,010540774C
9010540781,010540781C
9010541669,010541669C
9010542288,010542288C
9010543558,010543558C
9010543559,010543559C
9010544182,010544182C
9010544183,010544183C
9010545196,010545196C
9010545623,010545623C
9010546961,010546961C
9010546964,010546964C
9010547021,010547021C
9010547488,010547488C
9010547892,010547892C
9010548366,010548366C
9010549966,010549966C
9010550088,010550088C
9010550564,010550564C
9010552856,010552856C
9010555054,010555054C
9010555714,010555714C
9010556634,010556634C
9010556736,010556736C
9010557142,010557142C
9010559537,010559537C
9010560185,010560185C
9010564241,010564241C
9010565013,010565013C
9010567983,010567983C
9010576755,010576755C
9010578323,010578323C
9010578820,010578820C
9010580464,010580464C
9010580685,010580685C
9010581795,010581795C
9010583923,010583923C
9010586005,010586005C
9010590419,010590419C
9010591112,010591112C
9010598049,010598049C
9010598050,010598050C
9010607249,010607249C
9010615191,010615191C
9010615192,010615192C
9010639996,010639996C
9010653595,010653595C
9010653596,010653596C
9010713704,010713704C
9010713705,010713705C
9010713707,010713707C
9010715467,010715467C
9010716973,010716973C
9010716974,010716974C
9010717034,010717034C
9010717447,010717447C
9010718276,010718276C
9010718277,010718277C
9010718278,010718278C
9010718309,010718309C
9010718495,010718495C
9010719553,010719553C
9010719815,010719815C
9010720088,010720088C
9010720759,010720759C
9010721848,010721848C
9010721849,010721849C
9010722345,010722345C
9010722516,010722516C
9010722550,010722550C
9010722734,010722734C
9010723386,010723386C
9010723387,010723387C
9010723388,010723388C
9010723523,010723523C
9010723524,010723524C
9010724403,010724403C
9010724510,010724510C
9010725643,010725643C
9010726104,010726104C
9010726317,010726317C
9010726318,010726318C
9010726319,010726319C
9010726922,010726922C
9010728696,010728696C
9010728947,010728947C
9010729500,010729500C
9010729999,010729999C
9010730145,010730145C
9010730647,010730647C
9010730780,010730780C
9010731277,010731277C
9010731278,010731278C
9010731296,010731296C
9010731608,010731608C
9010731970,010731970C
9010732078,010732078C
9010732270,010732270C
9010732271,010732271C
9010732276,010732276C
9010732278,010732278C
9010732280,010732280C
9010732281,010732281C
9010732975,010732975C
9010733162,010733162C
9010733472,010733472C
9010733564,010733564C
9010733665,010733665C
9010734462,010734462C
9010734951,010734951C
9010734954,010734954C
9010735160,010735160C
9010735585,010735585C
9010735611,010735611C
9010735781,010735781C
9010735918,010735918C
9010736035,010736035C
9010736036,010736036C
9010736283,010736283C
9010736643,010736643C
9010736702,010736702C
9010736703,010736703C
9010736736,010736736C
9010736738,010736738C
9010736935,010736935C
9010737378,010737378C
9010737417,010737417C
9010737619,010737619C
9010738161,010738161C
9010738207,010738207C
9010738539,010738539C
9010738672,010738672C
9010738751,010738751C
9010738752,010738752C
9010738753,010738753C
9010738936,010738936C
9010739212,010739212C
9010739794,010739794C
9010739795,010739795C
9010739886,010739886C
9010739887,010739887C
9010740132,010740132C
9010740836,010740836C
9010740877,010740877C
9010741231,010741231C
9010741232,010741232C
9010741234,010741234C
9010741302,010741302C
9010741334,010741334C
9010741943,010741943C
9010742224,010742224C
9010742225,010742225C
9010742814,010742814C
9010743074,010743074C
9010743082,010743082C
9010743395,010743395C
9010743638,010743638C
9010743832,010743832C
9010744223,010744223C
9010744412,010744412C
9010744489,010744489C
9010744818,010744818C
9010745169,010745169C
9010745344,010745344C
9010745456,010745456C
9010745640,010745640C
9010745749,010745749C
9010745750,010745750C
9010745751,010745751C
9010745752,010745752C
9010745811,010745811C
9010746005,010746005C
9010746173,010746173C
9010746424,010746424C
9010746498,010746498C
9010746670,010746670C
9010746844,010746844C
9010746846,010746846C
9010747013,010747013C
9010747186,010747186C
9010747241,010747241C
9010747243,010747243C
9010747320,010747320C
9010747437,010747437C
9010747438,010747438C
9010747636,010747636C
9010747875,010747875C
9010747876,010747876C
9010748070,010748070C
9010748073,010748073C
9010748253,010748253C
9010748300,010748300C
9010748334,010748334C
9010748335,010748335C
9010748404,010748404C
9010748432,010748432C
9010748517,010748517C
9010748556,010748556C
9010749038,010749038C
9010749041,010749041C
9010749042,010749042C
9010749053,010749053C
9010749054,010749054C
9010749401,010749401C
9010749459,010749459C
9010749463,010749463C
9010749628,010749628C
9010749842,010749842C
9010749843,010749843C
9010749849,010749849C
9010749906,010749906C
9010749907,010749907C
9010749942,010749942C
9010749968,010749968C
9010750265,010750265C
9010750754,010750754C
9010750755,010750755C
9010750812,010750812C
9010750813,010750813C
9010751057,010751057C
9010751933,010751933C
9010751934,010751934C
9010751937,010751937C
9010752132,010752132C
9010752133,010752133C
9010752138,010752138C
9010752477,010752477C
9010752513,010752513C
9010752580,010752580C
9010752698,010752698C
9010752699,010752699C
9010752702,010752702C
9010752703,010752703C
9010752831,010752831C
9010753311,010753311C
9010753409,010753409C
9010753675,010753675C
9010753676,010753676C
9010753687,010753687C
9010754231,010754231C
9010754233,010754233C
9010754235,010754235C
9010754355,010754355C
9010754359,010754359C
9010754480,010754480C
9010754485,010754485C
9010754538,010754538C
9010754539,010754539C
9010754898,010754898C
9010754964,010754964C
9010755152,010755152C
9010755271,010755271C
9010755495,010755495C
9010755885,010755885C
9010756020,010756020C
9010756024,010756024C
9010756033,010756033C
9010756034,010756034C
9010756091,010756091C
9010756212,010756212C
9010756279,010756279C
9010756442,010756442C
9010756540,010756540C
9010756833,010756833C
9010756895,010756895C
9010756906,010756906C
9010756909,010756909C
9010756916,010756916C
9010756925,010756925C
9010756926,010756926C
9010756927,010756927C
9010756928,010756928C
9010756929,010756929C
9010756931,010756931C
9010756934,010756934C
9010756936,010756936C
9010756937,010756937C
9010756938,010756938C
9010756939,010756939C
9010756940,010756940C
9010756941,010756941C
9010756972,010756972C
9010757042,010757042C
9010757071,010757071C
9010757392,010757392C
9010757508,010757508C
9010757536,010757536C
9010757538,010757538C
9010757541,010757541C
9010757542,010757542C
9010757551,010757551C
9010757553,010757553C
9010757561,010757561C
9010757606,010757606C
9010757607,010757607C
9010757801,010757801C
9010757817,010757817C
9010757826,010757826C
9010757827,010757827C
9010757840,010757840C
9010758074,010758074C
9010758447,010758447C
9010758520,010758520C
9010758538,010758538C
9010758540,010758540C
9010758549,010758549C
9010758550,010758550C
9010758573,010758573C
9010758940,010758940C
9010759008,010759008C
9010759357,010759357C
9010759385,010759385C
9010759529,010759529C
9010759530,010759530C
9010759537,010759537C
9010759541,010759541C
9010759548,010759548C
9010759550,010759550C
9010759552,010759552C
9010759555,010759555C
9010759559,010759559C
9010759705,010759705C
9010759932,010759932C
9010760069,010760069C
9010760160,010760160C
9010760294,010760294C
9010760295,010760295C
9010760296,010760296C
9010760297,010760297C
9010760298,010760298C
9010760304,010760304C
9010760306,010760306C
9010760840,010760840C
9010760851,010760851C
9010760865,010760865C
9010760872,010760872C
9010760873,010760873C
9010760874,010760874C
9010760931,010760931C
9010760942,010760942C
9010760943,010760943C
9010761092,010761092C
9010761357,010761357C
9010761450,010761450C
9010761552,010761552C
9010761554,010761554C
9010761635,010761635C
9010761639,010761639C
9010761653,010761653C
9010761672,010761672C
9010761673,010761673C
9010761674,010761674C
9010761804,010761804C
9010761870,010761870C
9010761874,010761874C
9010761882,010761882C
9010761885,010761885C
9010761913,010761913C
9010761943,010761943C
9010761965,010761965C
9010761966,010761966C
9010762047,010762047C
9010762068,010762068C
9010762076,010762076C
9010762079,010762079C
9010762319,010762319C
9010762331,010762331C
9010762332,010762332C
9010762461,010762461C
9010762558,010762558C
9010762559,010762559C
9010762560,010762560C
9010762678,010762678C
9010763006,010763006C
9010763012,010763012C
9010763063,010763063C
9010763377,010763377C
9010763378,010763378C
9010763416,010763416C
9010763450,010763450C
9010764120,010764120C
9010764121,010764121C
9010764124,010764124C
9010764158,010764158C
9010764248,010764248C
9010764250,010764250C
9010764319,010764319C
9010764321,010764321C
9010764322,010764322C
9010764339,010764339C
9010764341,010764341C
9010764348,010764348C
9010764368,010764368C
9010764369,010764369C
9010764374,010764374C
9010764376,010764376C
9010764379,010764379C
9010764385,010764385C
9010764392,010764392C
9010764400,010764400C
9010764684,010764684C
9010764810,010764810C
9010764812,010764812C
9010764818,010764818C
9010764834,010764834C
9010764837,010764837C
9010764842,010764842C
9010765068,010765068C
9010765198,010765198C
9010765270,010765270C
9010765318,010765318C
9010765320,010765320C
9010765337,010765337C
9010765339,010765339C
9010765429,010765429C
9010765929,010765929C
9010765930,010765930C
9010765931,010765931C
9010765936,010765936C
9010765949,010765949C
9010766057,010766057C
9010766060,010766060C
9010766062,010766062C
9010766284,010766284C
9010766527,010766527C
9010766554,010766554C
9010766671,010766671C
9010766679,010766679C
9010766847,010766847C
9010766896,010766896C
9010766898,010766898C
9010766910,010766910C
9010766920,010766920C
9010766921,010766921C
9010767171,010767171C
9010767172,010767172C
9010767222,010767222C
9010767719,010767719C
9010767768,010767768C
9010767770,010767770C
9010767772,010767772C
9010767776,010767776C
9010768067,010768067C
9010768069,010768069C
9010768207,010768207C
9010768208,010768208C
9010768209,010768209C
9010768339,010768339C
9010768384,010768384C
9010768385,010768385C
9010768503,010768503C
9010768629,010768629C
9010768635,010768635C
9010768802,010768802C
9010768997,010768997C
9010769001,010769001C
9010769032,010769032C
9010769176,010769176C
9010769184,010769184C
9010769190,010769190C
9010769191,010769191C
9010769195,010769195C
9010769198,010769198C
9010769220,010769220C
9010769221,010769221C
9010769227,010769227C
9010769232,010769232C
9010769233,010769233C
9010769345,010769345C
9010769554,010769554C
9010769606,010769606C
9010769711,010769711C
9010769714,010769714C
9010770062,010770062C
9010770571,010770571C
9010770572,010770572C
9010770580,010770580C
9010770719,010770719C
9010770720,010770720C
9010770721,010770721C
9010770722,010770722C
9010770816,010770816C
9010770844,010770844C
9010770865,010770865C
9010770904,010770904C
9010771065,010771065C
9010771070,010771070C
9010771111,010771111C
9010771339,010771339C
9010771349,010771349C
9010771352,010771352C
9010771354,010771354C
9010771532,010771532C
9010771580,010771580C
9010771588,010771588C
9010771654,010771654C
9010771658,010771658C
9010771662,010771662C
9010771679,010771679C
9010771763,010771763C
9010771832,010771832C
9010771833,010771833C
9010772297,010772297C
9010772298,010772298C
9010772668,010772668C
9010772683,010772683C
9010772840,010772840C
9010772898,010772898C
9010772903,010772903C
9010772913,010772913C
9010772915,010772915C
9010772916,010772916C
9010772919,010772919C
9010772957,010772957C
9010773088,010773088C
9010773107,010773107C
9010773109,010773109C
9010773243,010773243C
9010773267,010773267C
9010773468,010773468C
9010773561,010773561C
9010773573,010773573C
9010773575,010773575C
9010773681,010773681C
9010773682,010773682C
9010773856,010773856C
9010773882,010773882C
9010774107,010774107C
9010774109,010774109C
9010774328,010774328C
9010774329,010774329C
9010774484,010774484C
9010774490,010774490C
9010774527,010774527C
9010774643,010774643C
9010774644,010774644C
9010774772,010774772C
9010774773,010774773C
9010774774,010774774C
9010774793,010774793C
9010774794,010774794C
9010774795,010774795C
9010774868,010774868C
9010774973,010774973C
9010775172,010775172C
9010775239,010775239C
9010775240,010775240C
9010775244,010775244C
9010775323,010775323C
9010775418,010775418C
9010775583,010775583C
9010775722,010775722C
9010775723,010775723C
9010775940,010775940C
9010776002,010776002C
9010776005,010776005C
9010776007,010776007C
9010776025,010776025C
9010776027,010776027C
9010776061,010776061C
9010776062,010776062C
9010776157,010776157C
9010776221,010776221C
9010776442,010776442C
9010776445,010776445C
9010776450,010776450C
9010776502,010776502C
9010776555,010776555C
9010776651,010776651C
9010776653,010776653C
9010776672,010776672C
9010776811,010776811C
9010776812,010776812C
9010776813,010776813C
9010776814,010776814C
9010776831,010776831C
9010776832,010776832C
9010776900,010776900C
9010776908,010776908C
9010776909,010776909C
9010776918,010776918C
9010777042,010777042C
9010777043,010777043C
9010777059,010777059C
9010777124,010777124C
9010777133,010777133C
9010777321,010777321C
9010777322,010777322C
9010777439,010777439C
9010777501,010777501C
9010777546,010777546C
9010777662,010777662C
9010777665,010777665C
9010777788,010777788C
9010777793,010777793C
9010778016,010778016C
9010778142,010778142C
9010778181,010778181C
9010778262,010778262C
9010778263,010778263C
9010778299,010778299C
9010778303,010778303C
9010778304,010778304C
9010778361,010778361C
9010778381,010778381C
9010778464,010778464C
9010778474,010778474C
9010778519,010778519C
9010778635,010778635C
9010778653,010778653C
9010778697,010778697C
9010778702,010778702C
9010778707,010778707C
9010778834,010778834C
9010778841,010778841C
9010778913,010778913C
9010778914,010778914C
9010779031,010779031C
9010779032,010779032C
9010779034,010779034C
9010779074,010779074C
9010779130,010779130C
9010779191,010779191C
9010779197,010779197C
9010779456,010779456C
9010779551,010779551C
9010779552,010779552C
9010779553,010779553C
9010779556,010779556C
9010779563,010779563C
9010779718,010779718C
9010779719,010779719C
9010779720,010779720C
9010779727,010779727C
9010779736,010779736C
9010779847,010779847C
9010779912,010779912C
9010780000,010780000C
9010780003,010780003C
9010780046,010780046C
9010780050,010780050C
9010780131,010780131C
9010780202,010780202C
9010780205,010780205C
9010780206,010780206C
9010780393,010780393C
9010780403,010780403C
9010780408,010780408C
9010780411,010780411C
9010780510,010780510C
9010780526,010780526C
9010780591,010780591C
9010780597,010780597C
9010780667,010780667C
9010780668,010780668C
9010780791,010780791C
9010780870,010780870C
9010781047,010781047C
9010781117,010781117C
9010781121,010781121C
9010781128,010781128C
9010781300,010781300C
9010781368,010781368C
9010781702,010781702C
9010781713,010781713C
9010781721,010781721C
9010781775,010781775C
9010781852,010781852C
9010781853,010781853C
9010781863,010781863C
9010782018,010782018C
9010782022,010782022C
9010782062,010782062C
9010782063,010782063C
9010782064,010782064C
9010782078,010782078C
9010782119,010782119C
9010782192,010782192C
9010782332,010782332C
9010782357,010782357C
9010782571,010782571C
9010782592,010782592C
9010782640,010782640C
9010782671,010782671C
9010782675,010782675C
9010782676,010782676C
9010782818,010782818C
9010782822,010782822C
9010783066,010783066C
9010783070,010783070C
9010783071,010783071C
9010783085,010783085C
9010783086,010783086C
9010783087,010783087C
9010783101,010783101C
9010783102,010783102C
9010783138,010783138C
9010783269,010783269C
9010783278,010783278C
9010783296,010783296C
9010783347,010783347C
9010783502,010783502C
9010783715,010783715C
9010783747,010783747C
9010783785,010783785C
9010783786,010783786C
9010783867,010783867C
9010783883,010783883C
9010784045,010784045C
9010784054,010784054C
9010784074,010784074C
9010784075,010784075C
9010784179,010784179C
9010784248,010784248C
9010784249,010784249C
9010784250,010784250C
9010784251,010784251C
9010784261,010784261C
9010784370,010784370C
9010784372,010784372C
9010784379,010784379C
9010784529,010784529C
9010784592,010784592C
9010784596,010784596C
9010784731,010784731C
9010784732,010784732C
9010784742,010784742C
9010784756,010784756C
9010784757,010784757C
9010784767,010784767C
9010784914,010784914C
9010784918,010784918C
9010784922,010784922C
9010784936,010784936C
9010784946,010784946C
9010784950,010784950C
9010785049,010785049C
9010785059,010785059C
9010785061,010785061C
9010785099,010785099C
9010785163,010785163C
9010785164,010785164C
9010785284,010785284C
9010785298,010785298C
9010785300,010785300C
9010785310,010785310C
9010785320,010785320C
9010785324,010785324C
9010785777,010785777C
9010785831,010785831C
9010785834,010785834C
9010785921,010785921C
9010785932,010785932C
9010786015,010786015C
9010786057,010786057C
9010786152,010786152C
9010786153,010786153C
9010786237,010786237C
9010786240,010786240C
9010786243,010786243C
9010786312,010786312C
9010786316,010786316C
9010786321,010786321C
9010786324,010786324C
9010786425,010786425C
9010786490,010786490C
9010786800,010786800C
9010786823,010786823C
9010786824,010786824C
9010786872,010786872C
