lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,authority_source,mapping_status,crosswalk_ql_plan_code,crosswalk_ql_form_number,crosswalk_ql_plan_description,crosswalk_ql_friendly_name,governance_notes
10827 MN5K,10827 MN5K,10827,CSI Life MN $5000,CSI Life MN $5000,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1CSIMN,10827 MN5K,CSI Life MN $5000,CSI Life MN $5000,Catalog seeded from stable emit; crosswalk proposes PLAN=1CSIMN
1576 658,976658,1576,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,976658,1576 658,Disability Waiver of Premium Rider,Disability Waiver of Prem - 658 CEN I,Catalog seeded from stable emit
1576 659,976659,1576,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,976659,1576 659,Disability Waiver of Premium Rider,Disability Waiver of Prem - 659 CEN II,Catalog seeded from stable emit
1577 ADB,977ADB,1577,Accidental Death Benefit Rider,Accidental Death Benefit Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,977ADB,1577 ADB,Accidental Death Benefit Rider,"Accidental DB - 658 CEN I, 659 CEN II",Catalog seeded from stable emit
1578 CTR,578CTR,1578,Dependent Child Term Rider,Dependent Child Term Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,578CTR,1578 CTR,Dependent Child Term Rider,Dependent CTR - 658 CEN I,Catalog seeded from stable emit
1578 FTR,778FTR,1578,FAMILY TERM RIDER,FAMILY TERM RIDER,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,778FTR,1578 FTR,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II",Catalog seeded from stable emit
1578 SPSPU,1578 SPSPU,1578,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,578STR,1578 SPSPU,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,Catalog seeded from stable emit; crosswalk proposes PLAN=578STR
1578CTR WP,9CTRWP,NA,1578 CTR Waiver of Premium,1578 CTR Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9CTRWP,1578CTR WP,1578 CTR Waiver of Premium,1578 CTR WAIVER OF PREMIUM,Catalog seeded from stable emit
1578FTR WP,9FTRWP,NA,1578 FTR Waiver of Premium,1578 FTR Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9FTRWP,1578FTR WP,1578 FTR Waiver of Premium,"FTR Waiv of Prem - 658 CEN I, 659 CEN II",Catalog seeded from stable emit
1579 GPO,1579 GPO,1579,Guaranteed Purchase Option Rider,Guaranteed Purchase Option Rider,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9GPO79,1579 GPO,Guaranteed Purchase Option Rider,Guaranteed Purchase Option Rider,Catalog seeded from stable emit; crosswalk proposes PLAN=9GPO79
1580 JPO,980JPO,1580,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,980JPO,1580 JPO,Juvenile Future Purchase Option Rider,"Juv Fut Purch Op - 658 CEN I, 659 CEN II",Catalog seeded from stable emit
1595,9595WP,1596,Disability Waiver of Premium,Disability Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9595WP,1595,Disability Waiver of Premium,Disability Wavier of Prem - 667 ART,Catalog seeded from stable emit
1596,996ADB,1596,Accidental Death Benefit Rider,Accidental Death Benefit Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,996ADB,1596,Accidental Death Benefit Rider,"Accidental DB - L05 10Y LT, L07 5Y LT",Catalog seeded from stable emit
1596 667,1596 667,1596,Accidental Death Benefit Rider,Accidental Death Benefit Rider,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,967ADB,1596 667,Accidental Death Benefit Rider,Accidental Death Benefit Rider,Catalog seeded from stable emit; crosswalk proposes PLAN=967ADB
1596 L01,901ADB,1596,Accidental Death Benefit Rider,Accidental Death Benefit Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,901ADB,1596 L01,Accidental Death Benefit Rider,Accidental DB Rider -  L01 10Y LT,Catalog seeded from stable emit
619 CH PU,619 CH PU,619,Decr Term Paid Up for Child,Decr Term Paid Up for Child,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,719CTR,619 CH PU,Decr Term Paid Up for Child,Decr Term Paid Up for Child,Catalog seeded from stable emit; crosswalk proposes PLAN=719CTR
619 DT,7619DT,619,Decreasing Term,Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7619DT,619 DT,Decreasing Term,Decreasing Term to age 65,Catalog seeded from stable emit
619 DT CH,719CDT,619,Child Decreasing Term,Child Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,719CDT,619 DT CH,Child Decreasing Term,Child Decreasing Term - 619 DT,Catalog seeded from stable emit
619 DT SP,719SDT,619,Spouse Decreasing Term,Spouse Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,719SDT,619 DT SP,Spouse Decreasing Term,Spouse Decreasing Term - 619 DT,Catalog seeded from stable emit
619 SPS PU,7619PU,619,Decreasing Term Paid Up for Spouse,Decreasing Term Paid Up for Spouse,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7619PU,619 SPS PU,Decreasing Term Paid Up for Spouse,Decreasing Term to age 65,Catalog seeded from stable emit
621 END85,221END,620,Endowment at Age 85,Endowment at Age 85,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,221END,621 END85,Endowment at Age 85,Endowment at Age 85,Catalog seeded from stable emit
621 PUA,621 PUA,620,Paid Up Adds - Endowment at Age 85,Paid Up Adds - Endowment at Age 85,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,121PUA,621 PUA,Paid Up Adds - Endowment at Age 85,Paid Up Adds - Endowment at Age 85,Catalog seeded from stable emit; crosswalk proposes PLAN=121PUA
622 END85,222END,620,20 Pay Endowment at Age 85,20 Pay Endowment at Age 85,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,222END,622 END85,20 Pay Endowment at Age 85,"Endowment at age 85, Prem Pay for 20Yr",Catalog seeded from stable emit
630 JEB,630 JEB,620,Juvenile Estate Builder Life Pd Up at 65,Juvenile Estate Builder Life Pd Up at 65,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,130JEB,630 JEB,Juvenile Estate Builder Life Pd Up at 65,Juvenile Estate Builder Life Pd Up at 65,Catalog seeded from stable emit; crosswalk proposes PLAN=130JEB
646 ART,646 ART,667,Annual Renewable Term,Annual Renewable Term,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,5646AT,646 ART,Annual Renewable Term,Annual Renewable Term,Catalog seeded from stable emit; crosswalk proposes PLAN=5646AT
647 FLP,7647FP,647,Family Life Decreasing Term,Family Life Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7647FP,647 FLP,Family Life Decreasing Term,Family Life Decr Term - 647 FLP,Catalog seeded from stable emit
647 FLP CH,7647CH,647,Child - Family Life Decreasing Term,Child - Family Life Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7647CH,647 FLP CH,Child - Family Life Decreasing Term,Child Family Decr Term - 647 FLP,Catalog seeded from stable emit
647 FLP SP,7647SP,647,Spouse - Family Life Decreasing Term,Spouse - Family Life Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7647SP,647 FLP SP,Spouse - Family Life Decreasing Term,Spouse Family Life Decr Term - 647 FLP,Catalog seeded from stable emit
658 CEN I,1658C1,658,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1658C1,658 CEN I,Interest-Sensitive Whole Life,"CENSI-LIFE I: WL, CV, Loan Options, GDB",Catalog seeded from stable emit
658 CEN SD,1658CS,658,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1658CS,658 CEN SD,Interest-Sensitive Whole Life,"CENSI-LIFE I: WL, Fixed Premium",Catalog seeded from stable emit
659 CEN II,1659C2,659,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1659C2,659 CEN II,Interest-Sensitive Whole Life,"CENSI-LIFE II: WL, Fixed Prem Op, Van",Catalog seeded from stable emit
659 CEN SD,1659CS,659,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1659CS,659 CEN SD,Interest-Sensitive Whole Life,"CENSI-LIFE II: Fixed Prem Op, Van, GDB",Catalog seeded from stable emit
659 CEN SR,1659CR,659,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1659CR,659 CEN SR,Interest-Sensitive Whole Life,"CENSI-LIFE II: WL, Fixed Prem Op, Van",Catalog seeded from stable emit
659 SR GD,1659SR,659,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1659SR,659 SR GD,Interest-Sensitive Whole Life,"CENSI-LIFE II: Van Prem, Loan Op, GDB",Catalog seeded from stable emit
665 PUA,265PUA,665,Paid Up Adds - Statesman Mod Endow at 95,Paid Up Adds - Statesman Mod Endow at 95,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,265PUA,665 PUA,Paid Up Adds - Statesman Mod Endow at 95,PUAs for 665 STME95,Catalog seeded from stable emit
665 STME95,2665ST,665,Statesman Mod Endow at 95,Statesman Mod Endow at 95,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,2665ST,665 STME95,Statesman Mod Endow at 95,Modified Premium Endowment at age 95,Catalog seeded from stable emit
666 WL,1666WL,666,Multiple Insureds Whole Life,Multiple Insureds Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1666WL,666 WL,Multiple Insureds Whole Life,"WL, Guar Rates & CV, DB Increases",Catalog seeded from stable emit
667 ART,5667AT,667,Annual Renewable Term,Annual Renewable Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,5667AT,667 ART,Annual Renewable Term,Annual Renewable Term,Catalog seeded from stable emit
667 ART CR,667 ART CR,667,ART Preferred Credit Life,ART Preferred Credit Life,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,57ATCR,667 ART CR,ART Preferred Credit Life,ART Preferred Credit Life,Catalog seeded from stable emit; crosswalk proposes PLAN=57ATCR
668 SPWL,1668SP,668,Single Premium Whole Life,Single Premium Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1668SP,668 SPWL,Single Premium Whole Life,Single Premium Whole Life,Catalog seeded from stable emit
669 SR GD,669 SR GD,659,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1669SR,669 SR GD,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,Catalog seeded from stable emit; crosswalk proposes PLAN=1669SR
670 GL85-8,170858,960,Life Paid Up at 85/88,Life Paid Up at 85/88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,170858,670 GL85-8,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,Catalog seeded from stable emit
670 GL8588,170588,960,Life Paid Up at 85/88,Life Paid Up at 85/88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,170588,670 GL8588,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,Catalog seeded from stable emit
670 GL85-M,17085M,960,Life Paid Up at 85/88,Life Paid Up at 85/88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,17085M,670 GL85-M,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,Catalog seeded from stable emit
670 PUA,170PUA,960,Paid Up Adds - Life Paid Up at 85/88,Paid Up Adds - Life Paid Up at 85/88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,170PUA,670 PUA,Paid Up Adds - Life Paid Up at 85/88,"PUAs for 670 GL 8588, 85-8, 85-M",Catalog seeded from stable emit
679 CEN SD,1679CS,679,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1679CS,679 CEN SD,Interest-Sensitive Whole Life,"Choice Plus: Van Prem, Empl Spon, Loans",Catalog seeded from stable emit
686S 30MRG,686S 30MRG,686,Decreasing Term Life,Decreasing Term Life,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,7686S3,686S 30MRG,Decreasing Term Life,Decreasing Term Life,Catalog seeded from stable emit; crosswalk proposes PLAN=7686S3
687J 30MRG,687J 30MRG,687,Joint Decreasing Term Life,Joint Decreasing Term Life,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,7687J3,687J 30MRG,Joint Decreasing Term Life,Joint Decreasing Term Life,Catalog seeded from stable emit; crosswalk proposes PLAN=7687J3
690 DT 65,690 DT 65,690,Dec Term to 65 Convertible,Dec Term to 65 Convertible,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,7690DT,690 DT 65,Dec Term to 65 Convertible,Dec Term to 65 Convertible,Catalog seeded from stable emit; crosswalk proposes PLAN=7690DT
8034 30MRG,8034 30MRG,8034,Disability Waiver of Premium 30MRG,Disability Waiver of Premium 30MRG,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,934SWP,8034 30MRG,Disability Waiver of Premium 30MRG,Disability Waiver of Premium 30MRG,Catalog seeded from stable emit; crosswalk proposes PLAN=934SWP
8034 J30MT,8034 J30MT,8034,Disability Waiver of Premium Joint 30 MT,Disability Waiver of Premium Joint 30 MT,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,934JWP,8034 J30MT,Disability Waiver of Premium Joint 30 MT,Disability Waiver of Premium Joint 30 MT,Catalog seeded from stable emit; crosswalk proposes PLAN=934JWP
8042 STR,542STR,8042,Spouse Term Rider,Spouse Term Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,542STR,8042 STR,Spouse Term Rider,Spouse Term Rider - 658 CEN I,Catalog seeded from stable emit
8042STR WP,9STRWP,NA,8042 STR Waiver of Premium,8042 STR Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9STRWP,8042STR WP,8042 STR Waiver of Premium,STR Waiver of Premium - 658 CEN I,Catalog seeded from stable emit
8043 CTR,543CTR,8043,Dependent Child Term Rider,Dependent Child Term Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,543CTR,8043 CTR,Dependent Child Term Rider,Dependent Child Term Rider,Catalog seeded from stable emit
8043CTR WP,8043CTR WP,NA,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,943CWP,8043CTR WP,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,Catalog seeded from stable emit; crosswalk proposes PLAN=943CWP
8046 JPO,8046 JPO,8046,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9JPO46,8046 JPO,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,Catalog seeded from stable emit; crosswalk proposes PLAN=9JPO46
8115,9L05WP,8115,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9L05WP,8115,Disability Waiver of Premium Rider,Disability Waiver of Premium - L05 10YLT,Catalog seeded from stable emit
8115 L01,9L01WP,8115,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9L01WP,8115 L01,Disability Waiver of Premium Rider,Disability Waiver of Premium - L01 10YLT,Catalog seeded from stable emit
826,560STR,826,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,560STR,826,Paid Up Spouse Term Rider,"Paid Up STR - 960 LP85-M, 960 OL, 960 PO",Catalog seeded from stable emit
828,528CTR,828,Child's Term Insurance,Child's Term Insurance,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,528CTR,828,Child's Term Insurance,"CTR for 960 LP65, 960 OL, 960 PO",Catalog seeded from stable emit
8286 GI 1,986JPO,8286,Juvenile Future Purchase Option,Juvenile Future Purchase Option,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,986JPO,8286 GI 1,Juvenile Future Purchase Option,Juv Future Purchase Option - L17,Catalog seeded from stable emit
8286 GI 2+,982JPO,8286,Juvenile Future Purchase Option,Juvenile Future Purchase Option,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,982JPO,8286 GI 2+,Juvenile Future Purchase Option,Juv Future Purchase Option - L17,Catalog seeded from stable emit
863,A60MIR,863,Monthly Income Rider,Monthly Income Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,A60MIR,863,Monthly Income Rider,"Monthly Income Rider- 960 LP85-M, 960 PO",Catalog seeded from stable emit
889 960,960GIO,889,960 Guarantee Insurability Option,960 Guarantee Insurability Option,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,960GIO,889 960,960 Guarantee Insurability Option,Guarantee Insurability Option - 960 OL,Catalog seeded from stable emit
896 DAR,A96DAR,896,Deposit Annuity Rider,Deposit Annuity Rider,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,A96DAR,896 DAR,Deposit Annuity Rider,Deposit Annuity Rider - 665 STME95,Catalog seeded from stable emit
897 666,1666AI,666,Additional Insureds 666 WL,Additional Insureds 666 WL,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1666AI,897 666,Additional Insureds 666 WL,Additional Insureds 666 WL,Catalog seeded from stable emit
960 65 PUA,165PUA,960,Paid Up Adds - Life Paid Up at Age 65,Paid Up Adds - Life Paid Up at Age 65,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,165PUA,960 65 PUA,Paid Up Adds - Life Paid Up at Age 65,PUAs for 960 LP65,Catalog seeded from stable emit
960 LP PUA,185PUA,960,Paid Up Adds - Life PU at Age 85-88,Paid Up Adds - Life PU at Age 85-88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,185PUA,960 LP PUA,Paid Up Adds - Life PU at Age 85-88,PUA - 960 LP85-M,Catalog seeded from stable emit
960 LP65,196065,960,Life Paid Up at Age 65,Life Paid Up at Age 65,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,196065,960 LP65,Life Paid Up at Age 65,Life Paid Up at Age 65,Catalog seeded from stable emit
960 LP85-M,196085,960,Life Paid Up at Age 85-88,Life Paid Up at Age 85-88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,196085,960 LP85-M,Life Paid Up at Age 85-88,Life Policy - Paid Up M Age 85 F Age 88,Catalog seeded from stable emit
960 OL,1960OL,960,Ordinary Whole Life,Ordinary Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1960OL,960 OL,Ordinary Whole Life,Ordinary Whole Life,Catalog seeded from stable emit
960 OL PUA,1OLPUA,960,Paid Up Adds - Ordinary Whole Life,Paid Up Adds - Ordinary Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1OLPUA,960 OL PUA,Paid Up Adds - Ordinary Whole Life,PUAs for 960 OL,Catalog seeded from stable emit
960 PO,1960PO,960,Preferred Ordinary Whole Life,Preferred Ordinary Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1960PO,960 PO,Preferred Ordinary Whole Life,Preferred Ordinary Whole Life,Catalog seeded from stable emit
960 PO PUA,1POPUA,960,Paid Up Adds - Pref Ordinary Whole Life,Paid Up Adds - Pref Ordinary Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1POPUA,960 PO PUA,Paid Up Adds - Pref Ordinary Whole Life,PUAs for 960 PO,Catalog seeded from stable emit
961 ME65,961 ME65,961,Modified Endowment at 65,Modified Endowment at 65,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,2961ME,961 ME65,Modified Endowment at 65,Modified Endowment at 65,Catalog seeded from stable emit; crosswalk proposes PLAN=2961ME
961 PUA,961 PUA,961,Paid Up Adds - Modified Endowment at 65,Paid Up Adds - Modified Endowment at 65,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,261PUA,961 PUA,Paid Up Adds - Modified Endowment at 65,Paid Up Adds - Modified Endowment at 65,Catalog seeded from stable emit; crosswalk proposes PLAN=261PUA
970 JEB,970 JEB,970,Juvenile Est Build PU at 85 Life,Juvenile Est Build PU at 85 Life,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1970JB,970 JEB,Juvenile Est Build PU at 85 Life,Juvenile Est Build PU at 85 Life,Catalog seeded from stable emit; crosswalk proposes PLAN=1970JB
970 PUA,970 PUA,970,Paid Up Adds - Juv Est Build PU at 85,Paid Up Adds - Juv Est Build PU at 85,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1970PA,970 PUA,Paid Up Adds - Juv Est Build PU at 85,Paid Up Adds - Juv Est Build PU at 85,Catalog seeded from stable emit; crosswalk proposes PLAN=1970PA
980 END65,280END,980,Endowment at Age 65,Endowment at Age 65,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,280END,980 END65,Endowment at Age 65,Endowment at Age 65,Catalog seeded from stable emit
980 PUA,280PUA,960,Paid Up Adds - Endowment at Age 65,Paid Up Adds - Endowment at Age 65,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,280PUA,980 PUA,Paid Up Adds - Endowment at Age 65,PUAs for 980 END65,Catalog seeded from stable emit
991 PWL,1991PL,991,Pension Whole Life,Pension Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1991PL,991 PWL,Pension Whole Life,All Pension Whole Life in RPU status,Catalog seeded from stable emit
DISCHO2475,9DIS25,,Home Office Discount - 24.75%,Home Office Discount - 24.75%,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9DIS24,DISCHO2475,Home Office Discount - 24.75%,"Discnt 24.75% - L10 LP95, L10 OLD, 619DT",Catalog seeded from stable emit; crosswalk proposes PLAN=9DIS24
