MPOLICY,MPHASE,MPLAN_BEFORE,MPLAN_OPTION_B,LIFEPRO_PLAN,MUNIT,FACE,MAGE,PAAGERAT_CV_ROWS,CATALOG_IN_QUIKPLAN,CATALOG_QUIKCVS_ROWS,SYNTH_QUIKCVS_ROWS,OPTION_B_CHANGES_MPLAN
010425928C,2,1708PA,170PUA,670 PUA,5.43021,5430.21,35,175,Y,0,0,Y
010425941C,2,1960PA,1POPUA,960 PO PUA,6.68126,6681.26,23,200,Y,0,0,Y
010425942C,2,1960PA,165PUA,960 65 PUA,2.18015,2180.15,22,66,Y,0,0,Y
010426657C,2,1708PA,170PUA,670 PUA,5.38041,5380.41,47,175,Y,0,0,Y
010426747C,2,1960PA,1POPUA,960 PO PUA,7.13282,7132.82,38,200,Y,0,0,Y
010426858C,2,1708PA,170PUA,670 PUA,5.84165,5841.65,22,175,Y,0,0,Y
010426859C,2,1708PA,170PUA,670 PUA,3.69703,3697.03,17,175,Y,0,0,Y
010426961C,2,1708PA,170PUA,670 PUA,10.73576,10735.76,24,175,Y,0,0,Y
010427456C,2,1708PA,170PUA,670 PUA,10.43919,10439.19,35,175,Y,0,0,Y
010427457C,2,1708PA,170PUA,670 PUA,4.01972,4019.72,42,175,Y,0,0,Y
010427723C,2,1708PA,170PUA,670 PUA,5.46914,5469.14,24,175,Y,0,0,Y
010428771C,2,1708PA,170PUA,670 PUA,.00844,8.44,51,175,Y,0,0,Y
010429064C,2,1708PA,170PUA,670 PUA,11.10379,11103.79,36,175,Y,0,0,Y
010429066C,2,1708PA,170PUA,670 PUA,3.64866,3648.66,15,175,Y,0,0,Y
010429259C,2,1960PA,1POPUA,960 PO PUA,7.41145,7411.45,41,200,Y,0,0,Y
010429417C,3,1960PA,165PUA,960 65 PUA,1.53458,1534.58,23,66,Y,0,0,Y
010429532C,2,1708PA,170PUA,670 PUA,3.31735,3317.35,45,175,Y,0,0,Y
010429558C,2,1708PA,170PUA,670 PUA,5.32236,5322.36,28,175,Y,0,0,Y
010429710C,2,1708PA,170PUA,670 PUA,4.79301,4793.01,32,175,Y,0,0,Y
010429711C,2,1708PA,170PUA,670 PUA,6.22062,6220.62,29,175,Y,0,0,Y
010429958C,2,1708PA,170PUA,670 PUA,10.16184,10161.84,39,175,Y,0,0,Y
010429965C,2,1708PA,170PUA,670 PUA,10.41831,10418.31,26,175,Y,0,0,Y
010430017C,2,1708PA,170PUA,670 PUA,6.73209,6732.09,29,175,Y,0,0,Y
010430023C,2,1708PA,170PUA,670 PUA,4.75361,4753.61,36,175,Y,0,0,Y
010430086C,2,1708PA,170PUA,670 PUA,2.90127,2901.27,47,175,Y,0,0,Y
010430295C,2,1708PA,170PUA,670 PUA,3.68193,3681.93,06,175,Y,0,0,Y
010430296C,2,1708PA,170PUA,670 PUA,5.52593,5525.93,33,175,Y,0,0,Y
010430993C,2,1708PA,170PUA,670 PUA,7.07746,7077.46,26,175,Y,0,0,Y
010431301C,4,1960PA,1POPUA,960 PO PUA,20.07986,20079.86,26,200,Y,0,0,Y
010431510C,2,1708PA,170PUA,670 PUA,9.17245,9172.45,34,175,Y,0,0,Y
010431738C,2,1708PA,170PUA,670 PUA,2.74940,2749.40,50,175,Y,0,0,Y
010432254C,2,1708PA,170PUA,670 PUA,6.35933,6359.33,37,175,Y,0,0,Y
010432414C,2,1708PA,170PUA,670 PUA,5.63792,5637.92,33,175,Y,0,0,Y
010432631C,2,1708PA,170PUA,670 PUA,4.14498,4144.98,09,175,Y,0,0,Y
010432782C,2,1708PA,170PUA,670 PUA,1.61904,1619.04,40,175,Y,0,0,Y
010432782C,3,1708PA,170PUA,670 PUA,.61800,618.00,72,175,Y,0,0,Y
010432865C,2,1708PA,170PUA,670 PUA,13.07324,13073.24,28,175,Y,0,0,Y
010432866C,2,1708PA,170PUA,670 PUA,14.54004,14540.04,25,175,Y,0,0,Y
010433630C,2,1708PA,170PUA,670 PUA,4.04950,4049.50,08,175,Y,0,0,Y
010433786C,2,1708PA,170PUA,670 PUA,4.80135,4801.35,43,175,Y,0,0,Y
010434092C,2,1708PA,170PUA,670 PUA,3.17812,3178.12,43,175,Y,0,0,Y
010434418C,2,1960PA,1POPUA,960 PO PUA,7.35109,7351.09,02,200,Y,0,0,Y
010434419C,2,1708PA,170PUA,670 PUA,.00009,0.09,32,175,Y,0,0,Y
010434421C,2,1708PA,170PUA,670 PUA,4.83204,4832.04,28,175,Y,0,0,Y
010434422C,2,1708PA,170PUA,670 PUA,6.24651,6246.51,42,175,Y,0,0,Y
010434424C,2,1708PA,170PUA,670 PUA,9.09435,9094.35,29,175,Y,0,0,Y
010434544C,2,1708PA,170PUA,670 PUA,5.48632,5486.32,37,175,Y,0,0,Y
010434659C,2,1708PA,170PUA,670 PUA,3.31735,3317.35,45,175,Y,0,0,Y
010434747C,2,1708PA,170PUA,670 PUA,3.38959,3389.59,51,175,Y,0,0,Y
010434876C,2,1708PA,170PUA,670 PUA,3.91241,3912.41,46,175,Y,0,0,Y
010435244C,2,1708PA,170PUA,670 PUA,2.36094,2360.94,15,175,Y,0,0,Y
010435248C,2,1708PA,170PUA,670 PUA,4.01217,4012.17,38,175,Y,0,0,Y
010435466C,2,1708PA,170PUA,670 PUA,2.18990,2189.90,51,175,Y,0,0,Y
010435609C,2,1708PA,170PUA,670 PUA,3.65394,3653.94,13,175,Y,0,0,Y
010436044C,2,1708PA,170PUA,670 PUA,3.80294,3802.94,40,175,Y,0,0,Y
010436082C,2,1708PA,170PUA,670 PUA,6.55032,6550.32,27,175,Y,0,0,Y
010436083C,2,1708PA,170PUA,670 PUA,7.44418,7444.18,23,175,Y,0,0,Y
010436541C,2,1708PA,170PUA,670 PUA,7.56061,7560.61,22,175,Y,0,0,Y
010436599C,2,1708PA,170PUA,670 PUA,1.69343,1693.43,31,175,Y,0,0,Y
010436691C,2,1708PA,170PUA,670 PUA,2.35803,2358.03,50,175,Y,0,0,Y
010436727C,2,1708PA,170PUA,670 PUA,2.70721,2707.21,48,175,Y,0,0,Y
010436955C,2,1708PA,170PUA,670 PUA,3.78749,3787.49,40,175,Y,0,0,Y
010436959C,2,1708PA,170PUA,670 PUA,5.79127,5791.27,35,175,Y,0,0,Y
010437076C,2,1708PA,170PUA,670 PUA,6.83021,6830.21,25,175,Y,0,0,Y
010437232C,2,1708PA,170PUA,670 PUA,10.48586,10485.86,21,175,Y,0,0,Y
010437335C,2,1708PA,170PUA,670 PUA,4.85202,4852.02,36,175,Y,0,0,Y
010437794C,2,1708PA,170PUA,670 PUA,2.19031,2190.31,48,175,Y,0,0,Y
010438063C,2,1708PA,170PUA,670 PUA,6.95656,6956.56,27,175,Y,0,0,Y
010438073C,2,1708PA,170PUA,670 PUA,7.07704,7077.04,23,175,Y,0,0,Y
010438523C,2,1708PA,170PUA,670 PUA,3.93830,3938.30,10,175,Y,0,0,Y
010438525C,2,1708PA,170PUA,670 PUA,2.21858,2218.58,02,175,Y,0,0,Y
010438554C,2,1708PA,170PUA,670 PUA,6.27834,6278.34,29,175,Y,0,0,Y
010438556C,4,1960PA,1POPUA,960 PO PUA,7.54035,7540.35,28,200,Y,0,0,Y
010438820C,2,1708PA,170PUA,670 PUA,6.10772,6107.72,33,175,Y,0,0,Y
010438821C,2,1708PA,170PUA,670 PUA,8.19273,8192.73,36,175,Y,0,0,Y
010438926C,2,1708PA,170PUA,670 PUA,4.13000,4130.00,39,175,Y,0,0,Y
010438938C,2,1708PA,170PUA,670 PUA,2.67276,2672.76,41,175,Y,0,0,Y
010438942C,2,1708PA,170PUA,670 PUA,1.60731,1607.31,44,175,Y,0,0,Y
010439128C,2,1708PA,170PUA,670 PUA,.18655,186.55,19,175,Y,0,0,Y
010439156C,2,1708PA,170PUA,670 PUA,1.43854,1438.54,03,175,Y,0,0,Y
010439277C,2,1960PA,165PUA,960 65 PUA,1.75889,1758.89,19,66,Y,0,0,Y
010439435C,2,1708PA,170PUA,670 PUA,.05016,50.16,39,175,Y,0,0,Y
010439527C,3,1708PA,170PUA,670 PUA,1.29759,1297.59,75,175,Y,0,0,Y
010439836C,2,1960PA,1POPUA,960 PO PUA,8.85346,8853.46,45,200,Y,0,0,Y
010439999C,2,1960PA,1POPUA,960 PO PUA,8.03684,8036.84,40,200,Y,0,0,Y
010440000C,2,1960PA,165PUA,960 65 PUA,1.28351,1283.51,36,66,Y,0,0,Y
010440345C,2,1708PA,170PUA,670 PUA,2.90043,2900.43,47,175,Y,0,0,Y
010440370C,2,1708PA,170PUA,670 PUA,4.88320,4883.20,32,175,Y,0,0,Y
010440371C,3,1960PA,165PUA,960 65 PUA,4.83035,4830.35,31,66,Y,0,0,Y
010440631C,2,1708PA,170PUA,670 PUA,6.58173,6581.73,30,175,Y,0,0,Y
010441082C,2,1708PA,170PUA,670 PUA,5.48606,5486.06,37,175,Y,0,0,Y
010441084C,2,1708PA,170PUA,670 PUA,3.88634,3886.34,11,175,Y,0,0,Y
010441085C,2,1708PA,170PUA,670 PUA,3.70391,3703.91,14,175,Y,0,0,Y
010441927C,2,1708PA,170PUA,670 PUA,4.32840,4328.40,35,175,Y,0,0,Y
010442216C,2,1708PA,170PUA,670 PUA,6.84350,6843.50,26,175,Y,0,0,Y
010442222C,2,1708PA,170PUA,670 PUA,3.42158,3421.58,19,175,Y,0,0,Y
010442230C,2,1708PA,170PUA,670 PUA,14.53814,14538.14,25,175,Y,0,0,Y
010442330C,2,1708PA,170PUA,670 PUA,4.79469,4794.69,37,175,Y,0,0,Y
010442332C,2,1708PA,170PUA,670 PUA,3.35253,3352.53,33,175,Y,0,0,Y
010442552C,2,1708PA,170PUA,670 PUA,3.07459,3074.59,13,175,Y,0,0,Y
010442906C,2,1960PA,1POPUA,960 PO PUA,7.15409,7154.09,02,200,Y,0,0,Y
010443032C,2,1708PA,170PUA,670 PUA,4.29110,4291.10,41,175,Y,0,0,Y
010443109C,2,1708PA,170PUA,670 PUA,1.54193,1541.93,40,175,Y,0,0,Y
010443287C,2,1708PA,170PUA,670 PUA,8.67622,8676.22,32,175,Y,0,0,Y
010443296C,2,1708PA,170PUA,670 PUA,1.64184,1641.84,45,175,Y,0,0,Y
010443432C,3,1960PA,165PUA,960 65 PUA,2.45510,2455.10,32,66,Y,0,0,Y
010443646C,2,1708PA,170PUA,670 PUA,3.70702,3707.02,09,175,Y,0,0,Y
010443816C,2,1708PA,170PUA,670 PUA,3.18976,3189.76,42,175,Y,0,0,Y
010444207C,2,1708PA,170PUA,670 PUA,5.68399,5683.99,26,175,Y,0,0,Y
010444283C,2,1708PA,170PUA,670 PUA,1.74065,1740.65,52,175,Y,0,0,Y
010444917C,2,1708PA,170PUA,670 PUA,5.47250,5472.50,36,175,Y,0,0,Y
010445074C,2,1708PA,170PUA,670 PUA,6.62880,6628.80,24,175,Y,0,0,Y
010445091C,2,1708PA,170PUA,670 PUA,4.42190,4421.90,30,175,Y,0,0,Y
010445351C,2,1708PA,170PUA,670 PUA,5.91138,5911.38,37,175,Y,0,0,Y
010445575C,2,1708PA,170PUA,670 PUA,2.20087,2200.87,51,175,Y,0,0,Y
010445719C,2,1708PA,170PUA,670 PUA,5.31821,5318.21,49,175,Y,0,0,Y
010446237C,2,1708PA,170PUA,670 PUA,10.11022,10110.22,26,175,Y,0,0,Y
010446416C,2,1708PA,170PUA,670 PUA,1.62398,1623.98,55,175,Y,0,0,Y
010446638C,2,1708PA,170PUA,670 PUA,11.04685,11046.85,26,175,Y,0,0,Y
010446741C,2,1708PA,170PUA,670 PUA,6.25848,6258.48,31,175,Y,0,0,Y
010446852C,2,1708PA,170PUA,670 PUA,5.51317,5513.17,30,175,Y,0,0,Y
010447475C,2,1708PA,170PUA,670 PUA,6.09471,6094.71,29,175,Y,0,0,Y
010447574C,2,1708PA,170PUA,670 PUA,4.96057,4960.57,50,175,Y,0,0,Y
010448025C,2,1708PA,170PUA,670 PUA,3.47150,3471.50,43,175,Y,0,0,Y
010448181C,2,1708PA,170PUA,670 PUA,5.23871,5238.71,28,175,Y,0,0,Y
010448375C,2,1708PA,170PUA,670 PUA,3.10613,3106.13,36,175,Y,0,0,Y
010448609C,2,1708PA,170PUA,670 PUA,6.09396,6093.96,32,175,Y,0,0,Y
010448806C,2,1708PA,170PUA,670 PUA,5.75296,5752.96,34,175,Y,0,0,Y
010448810C,2,1960PA,165PUA,960 65 PUA,.62787,627.87,38,66,Y,0,0,Y
010448828C,4,1960PA,1OLPUA,960 OL PUA,4.63710,4637.10,23,100,Y,0,0,Y
010449013C,2,1708PA,170PUA,670 PUA,8.75535,8755.35,07,175,Y,0,0,Y
010449050C,2,1708PA,170PUA,670 PUA,3.77193,3771.93,36,175,Y,0,0,Y
010449074C,2,1708PA,170PUA,670 PUA,2.29683,2296.83,22,175,Y,0,0,Y
010449075C,2,1708PA,170PUA,670 PUA,1.36352,1363.52,45,175,Y,0,0,Y
010449155C,2,1708PA,170PUA,670 PUA,3.70660,3706.60,41,175,Y,0,0,Y
010449158C,2,1708PA,170PUA,670 PUA,3.73996,3739.96,38,175,Y,0,0,Y
010449333C,2,1708PA,170PUA,670 PUA,6.74802,6748.02,25,175,Y,0,0,Y
010449334C,2,1708PA,170PUA,670 PUA,7.55622,7556.22,17,175,Y,0,0,Y
010449417C,2,1708PA,170PUA,670 PUA,6.27372,6273.72,27,175,Y,0,0,Y
010449512C,2,1708PA,170PUA,670 PUA,1.89381,1893.81,53,175,Y,0,0,Y
