PLAN,HAS_ANY_FACTOR,GP_KEYS,GP_FACTORS,GP_STUB,DB_KEYS,DB_FACTORS,DB_STUB,CV_KEYS,CV_FACTORS,CV_STUB,TV_KEYS,TV_FACTORS,TV_STUB,DV_KEYS,DV_FACTORS,DV_STUB
17MJPO,Y,2,38,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
196065,Y,2,112,OK,0,0,ADD_DEFAULT_KEY,1,501,OK,2,986,OK,1,233,OK
196085,Y,2,142,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,284,OK,0,0,ADD_DEFAULT_KEY
1960OL,Y,2,142,OK,0,0,ADD_DEFAULT_KEY,1,501,OK,2,1015,OK,1,283,OK
1960PO,Y,2,142,OK,0,0,ADD_DEFAULT_KEY,2,1001,OK,2,1008,OK,2,668,OK
1970JB,Y,1,15,OK,1,96,OK,1,127,OK,2,252,OK,1,76,OK
1991PL,Y,1,61,OK,0,0,ADD_DEFAULT_KEY,2,690,OK,2,696,OK,2,286,OK
1CSIMN,Y,2,60,OK,1,132,OK,2,270,OK,2,264,OK,0,0,ADD_DEFAULT_KEY
1L1095,Y,6,568,OK,0,0,ADD_DEFAULT_KEY,6,3246,OK,6,3096,OK,0,0,ADD_DEFAULT_KEY
1L10OD,Y,6,568,OK,0,0,ADD_DEFAULT_KEY,6,3285,OK,6,3096,OK,0,0,ADD_DEFAULT_KEY
1L10PR,Y,3,284,OK,0,0,ADD_DEFAULT_KEY,3,1623,OK,6,3096,OK,0,0,ADD_DEFAULT_KEY
1L10SO,Y,6,568,OK,0,0,ADD_DEFAULT_KEY,6,3285,OK,6,3096,OK,0,0,ADD_DEFAULT_KEY
1L10SR,Y,6,568,OK,0,0,ADD_DEFAULT_KEY,6,3246,OK,2,1000,OK,0,0,ADD_DEFAULT_KEY
1L14SC,Y,2,82,OK,0,0,ADD_DEFAULT_KEY,2,332,OK,2,328,OK,0,0,ADD_DEFAULT_KEY
1L15GD,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,332,OK,2,328,OK,0,0,ADD_DEFAULT_KEY
1L16GD,Y,2,82,OK,2,186,OK,2,192,OK,2,188,OK,0,0,ADD_DEFAULT_KEY
1L17SP,Y,2,38,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,38,OK,0,0,ADD_DEFAULT_KEY
1SALMI,Y,1,66,OK,0,0,ADD_DEFAULT_KEY,1,516,OK,1,508,OK,0,0,ADD_DEFAULT_KEY
1SALML,Y,2,135,OK,0,0,ADD_DEFAULT_KEY,1,516,OK,1,508,OK,0,0,ADD_DEFAULT_KEY
1SALOL,Y,2,135,OK,0,0,ADD_DEFAULT_KEY,1,516,OK,1,508,OK,0,0,ADD_DEFAULT_KEY
221END,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,1,247,OK,2,476,OK,1,229,OK
222END,Y,1,46,OK,0,0,ADD_DEFAULT_KEY,1,433,OK,2,726,OK,1,122,OK
261PUA,Y,2,112,OK,0,0,ADD_DEFAULT_KEY,2,486,OK,2,472,OK,2,339,OK
265PUA,Y,1,12,OK,1,510,OK,1,383,OK,2,760,OK,1,187,OK
2665ST,Y,1,12,OK,1,510,OK,1,383,OK,2,760,OK,1,187,OK
280END,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,496,OK,2,472,OK,2,408,OK
280PUA,Y,2,112,OK,0,0,ADD_DEFAULT_KEY,2,496,OK,2,472,OK,2,408,OK
2961ME,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,486,OK,2,472,OK,2,339,OK
528CTR,Y,1,19,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,1,1,OK,0,0,ADD_DEFAULT_KEY
542STR,Y,1,38,OK,1,48,OK,0,0,ADD_DEFAULT_KEY,2,88,OK,0,0,ADD_DEFAULT_KEY
543CTR,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,2,OK,0,0,ADD_DEFAULT_KEY
560STR,Y,1,32,OK,0,0,ADD_DEFAULT_KEY,1,116,OK,1,122,OK,0,0,ADD_DEFAULT_KEY
5646AT,Y,2,101,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,82,OK,1,86,OK
5667AT,Y,2,162,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
578CTR,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
578STR,Y,1,41,OK,1,48,OK,1,129,OK,2,240,OK,0,0,ADD_DEFAULT_KEY
57ATCR,Y,1,74,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
5CDT10,Y,1,26,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,6,6,OK,0,0,ADD_DEFAULT_KEY
5L0110,Y,4,308,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,4,424,OK,0,0,ADD_DEFAULT_KEY
5L01MA,Y,1,360,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,2,OK,0,0,ADD_DEFAULT_KEY
5L0510,Y,4,268,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,4,424,OK,0,0,ADD_DEFAULT_KEY
5L075Y,Y,4,340,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,3,318,OK,0,0,ADD_DEFAULT_KEY
719CDT,Y,1,23,OK,1,23,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
719CTR,Y,1,23,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,46,OK,0,0,ADD_DEFAULT_KEY
719SDT,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,90,OK,0,0,ADD_DEFAULT_KEY
7619DT,Y,1,60,OK,1,66,OK,0,0,ADD_DEFAULT_KEY,2,122,OK,0,0,ADD_DEFAULT_KEY
7619PU,Y,1,60,OK,1,66,OK,0,0,ADD_DEFAULT_KEY,2,428,OK,0,0,ADD_DEFAULT_KEY
7647FP,Y,1,99,OK,1,49,OK,0,0,ADD_DEFAULT_KEY,2,268,OK,0,0,ADD_DEFAULT_KEY
7647SP,Y,0,0,ADD_DEFAULT_KEY,1,49,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
7686S3,Y,0,0,ADD_DEFAULT_KEY,1,3,OK,0,0,ADD_DEFAULT_KEY,4,466,OK,0,0,ADD_DEFAULT_KEY
7687J3,Y,4,129,OK,1,3,OK,0,0,ADD_DEFAULT_KEY,3,330,OK,0,0,ADD_DEFAULT_KEY
7690DT,Y,1,99,OK,1,66,OK,0,0,ADD_DEFAULT_KEY,2,108,OK,1,51,OK
778FTR,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,101,OK,0,0,ADD_DEFAULT_KEY
7SDT10,Y,1,47,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,6,264,OK,0,0,ADD_DEFAULT_KEY
901ADB,Y,1,51,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,4,384,OK,0,0,ADD_DEFAULT_KEY
9065WP,Y,2,82,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,164,OK,0,0,ADD_DEFAULT_KEY
9085WP,Y,2,82,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
90OLWP,Y,2,82,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
90PDTH,Y,1,11,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
90POWP,Y,1,41,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
910RWP,Y,2,74,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,7,618,OK,0,0,ADD_DEFAULT_KEY
910SWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
920ADB,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
934JWP,Y,2,52,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
934SWP,Y,4,156,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
943CWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9595WP,Y,2,84,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
960ADB,Y,1,52,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,200,OK,0,0,ADD_DEFAULT_KEY
960CWP,Y,1,19,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
960GIO,Y,1,38,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
960SWP,Y,1,32,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,194,OK,0,0,ADD_DEFAULT_KEY
965ADB,Y,1,36,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,144,OK,0,0,ADD_DEFAULT_KEY
9665WP,Y,2,72,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
967ADB,Y,1,81,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
976659,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,8,656,OK,0,0,ADD_DEFAULT_KEY
977ADB,Y,1,46,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
980JPO,Y,1,22,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
982JPO,Y,1,19,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9896WP,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,144,OK,0,0,ADD_DEFAULT_KEY
996ADB,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,4,384,OK,0,0,ADD_DEFAULT_KEY
9ADB10,Y,1,46,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,6,661,OK,0,0,ADD_DEFAULT_KEY
9CDTWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9CTRWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS20,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS24,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS25,Y,1,12,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS29,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS70,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS80,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DIS90,Y,1,12,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DS24B,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9DS24C,Y,1,1,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9FTRWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9GPO10,Y,1,41,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9GPO79,Y,1,41,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9JPO10,Y,2,38,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9JPO46,Y,1,22,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9L01WP,Y,4,168,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,4,408,OK,0,0,ADD_DEFAULT_KEY
9L05WP,Y,4,168,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9L16PF,Y,0,0,ADD_DEFAULT_KEY,2,2,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9OLDWP,Y,6,222,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9POADB,Y,1,52,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,192,OK,0,0,ADD_DEFAULT_KEY
9SLADB,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9STRWP,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9WP646,Y,1,40,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
9WPL10,Y,6,222,OK,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY
A60MIR,Y,2,112,OK,1,141,OK,0,0,ADD_DEFAULT_KEY,1,197,OK,0,0,ADD_DEFAULT_KEY
A96DAR,Y,1,99,OK,0,0,ADD_DEFAULT_KEY,1,240,OK,1,5,OK,1,227,OK
