PLAN,HAS_FACTOR_RATES,ACTUAL_PLANVALOPT,EXP_M1_R7_PLANVALOPT,EXP_M2_UI_PLANVALOPT,M1_GAP_COUNT,M2_GAP_COUNT,M1_GAPS,M2_GAPS,FAMILIES_PRESENT
1666WL,Y,Y,Y,Y,2,0,BDVARYCV:Y->N;BDVARYTV:Y->N,,"CV,TV"
1668SP,Y,Y,Y,Y,2,0,BDVARYCV:Y->N;BDVARYTV:Y->N,,"CV,TV"
1669SR,Y,Y,Y,Y,2,3,BDVARYGP:Y->N;BDVARYCV:Y->N,BDVARYDB:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV"
1679CS,Y,Y,Y,Y,1,3,BDVARYCV:Y->N,BDVARYGP:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
170588,Y,Y,Y,Y,1,2,BDVARYCV:Y->N,BDVARYTV:N->Y;BDVARYDV:N->Y,"CV,TV,DV"
170858,Y,Y,Y,Y,3,0,BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,,"CV,TV,DV"
17085M,Y,Y,Y,Y,0,5,,BDVARYGP:N->Y;BDVARYCV:N->Y;BDVARYTV:N->Y;BDVARYDV:N->Y;STVARYGP:N->Y,"GP,CV,TV,DV"
170PUA,N,Y,N,N,3,3,PLANVALOPT:Y->N;GDVARYCV:Y->N;GDVARYTV:Y->N,PLANVALOPT:Y->N;GDVARYCV:Y->N;GDVARYTV:Y->N,
17CSI3,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,DB,CV,TV"
17CSI5,Y,Y,Y,Y,3,0,BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,,"DB,CV,TV"
17CSI7,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,DB,CV,TV"
17MJPO,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
185PUA,N,Y,N,N,3,3,PLANVALOPT:Y->N;GDVARYCV:Y->N;GDVARYTV:Y->N,PLANVALOPT:Y->N;GDVARYCV:Y->N;GDVARYTV:Y->N,
196065,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,CV,TV,DV"
196085,Y,Y,Y,Y,1,4,GDVARYTV:N->Y,GDVARYTV:N->Y;BDVARYGP:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
1960OL,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,CV,TV,DV"
1960PO,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,CV,TV,DV"
1970JB,Y,Y,Y,Y,4,2,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV,DV"
1970PA,N,N,N,N,0,0,,,
1991PL,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,CV,TV,DV"
1CSIMN,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,DB,CV,TV"
1L1095,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,CV,TV"
1L10OD,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYCV:Y->N,BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1L10PR,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYCV:Y->N,BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1L10SO,Y,Y,Y,Y,1,3,BDVARYGP:Y->N,BDVARYCV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1L10SR,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYCV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1L14SC,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,CV,TV"
1L15GD,Y,Y,Y,Y,2,0,BDVARYCV:Y->N;BDVARYTV:Y->N,,"CV,TV"
1L16GD,Y,Y,Y,Y,4,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,DB,CV,TV"
1L17SP,Y,Y,Y,Y,1,4,GDVARYTV:N->Y,GDVARYTV:N->Y;BDVARYGP:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
1OLPUA,N,N,N,N,0,0,,,
1POPUA,N,Y,N,N,2,2,PLANVALOPT:Y->N;GDVARYCV:Y->N,PLANVALOPT:Y->N;GDVARYCV:Y->N,
1SALMI,Y,Y,N,Y,2,3,PLANVALOPT:Y->N;BDVARYGP:Y->N,BDVARYCV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1SALML,Y,Y,Y,Y,0,4,,BDVARYGP:N->Y;BDVARYCV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1SALOL,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,CV,TV"
221END,Y,Y,Y,Y,3,0,BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,,"CV,TV,DV"
222END,Y,Y,Y,Y,3,2,BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,CV,TV,DV"
261PUA,Y,Y,Y,Y,2,3,BDVARYGP:Y->N;BDVARYCV:Y->N,BDVARYTV:N->Y;BDVARYDV:N->Y;STVARYGP:N->Y,"GP,CV,TV,DV"
265PUA,Y,Y,Y,Y,1,5,BDVARYCV:Y->N,BDVARYGP:N->Y;BDVARYDB:N->Y;BDVARYTV:N->Y;BDVARYDV:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV,DV"
2665ST,Y,Y,Y,Y,5,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,DB,CV,TV,DV"
280END,Y,Y,Y,Y,3,0,BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,,"CV,TV,DV"
280PUA,Y,Y,Y,Y,2,3,BDVARYGP:Y->N;BDVARYCV:Y->N,BDVARYTV:N->Y;BDVARYDV:N->Y;STVARYGP:N->Y,"GP,CV,TV,DV"
2961ME,Y,Y,Y,Y,3,0,BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,,"CV,TV,DV"
528CTR,Y,Y,N,Y,3,1,PLANVALOPT:Y->N;BDVARYGP:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,TV"
542STR,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV"
543CTR,Y,Y,Y,Y,2,1,BDVARYGP:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,TV"
560STR,Y,Y,N,Y,4,1,PLANVALOPT:Y->N;BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,CV,TV"
5646AT,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,TV,DV"
5667AT,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
578CTR,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
578STR,Y,Y,Y,Y,3,2,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV"
57ATCR,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
5CDT10,Y,Y,Y,Y,1,2,BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,TV"
5L0110,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
5L01MA,Y,Y,Y,Y,2,1,BDVARYGP:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,TV"
5L0510,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
5L075Y,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
719CDT,Y,Y,N,Y,2,2,PLANVALOPT:Y->N;BDVARYGP:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB"
719CTR,Y,Y,Y,Y,1,2,BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,TV"
719SDT,Y,Y,Y,Y,1,0,BDVARYTV:Y->N,,TV
7619DT,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV"
7619PU,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV"
7647CH,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
7647FP,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV"
7647SP,Y,N,N,Y,0,2,,PLANVALOPT:N->Y;BDVARYDB:N->Y,DB
7686S3,Y,Y,Y,Y,2,0,BDVARYDB:Y->N;BDVARYTV:Y->N,,"DB,TV"
7687J3,Y,Y,Y,Y,2,2,BDVARYGP:Y->N;BDVARYTV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV"
7690DT,Y,Y,Y,Y,3,2,BDVARYGP:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,TV,DV"
778FTR,Y,Y,Y,Y,1,0,BDVARYTV:Y->N,,TV
7SDT10,Y,Y,Y,Y,1,2,BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,TV"
901ADB,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9065WP,Y,Y,Y,Y,2,3,GDVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9085WP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
90OLWP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
90PDTH,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
90POWP,Y,N,N,Y,0,3,,PLANVALOPT:N->Y;BDVARYGP:N->Y;STVARYGP:N->Y,GP
910RWP,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
910SWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
920ADB,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
934JWP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
934SWP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
943CWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
94PDIS,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
9595WP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
960ADB,Y,N,Y,Y,2,5,PLANVALOPT:N->Y;GDVARYTV:N->Y,PLANVALOPT:N->Y;GDVARYTV:N->Y;BDVARYGP:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
960CWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
960GIO,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
960SWP,Y,Y,Y,Y,2,3,GDVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
965ADB,Y,Y,Y,Y,2,3,GDVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9665WP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
967ADB,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
976658,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
976659,Y,F,Y,Y,5,6,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y;UWVARYTV:N->Y,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y,TV
977ADB,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
980JPO,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
982JPO,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
986JPO,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
9896WP,Y,F,Y,Y,4,5,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y;BDVARYTV:N->Y,TV
996ADB,Y,F,Y,Y,5,6,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y;UWVARYTV:N->Y,PLANVALOPT:F->Y;GDVARYGP:0->N;GDVARYDB:0->N;GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y,TV
9ADB10,Y,N,Y,Y,3,6,PLANVALOPT:N->Y;GDVARYTV:N->Y;UWVARYTV:N->Y,PLANVALOPT:N->Y;GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9ADB15,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
9CDTWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9CTRWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS20,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS24,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS25,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS29,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS70,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS80,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DIS90,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DS24B,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9DS24C,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9FTRWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9GPO10,Y,N,N,Y,0,3,,PLANVALOPT:N->Y;BDVARYGP:N->Y;STVARYGP:N->Y,GP
9GPO79,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9JPO10,Y,Y,Y,Y,0,2,,BDVARYGP:N->Y;STVARYGP:N->Y,GP
9JPO46,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9L01WP,Y,Y,Y,Y,3,4,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;UWVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9L05WP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
9L16PF,Y,Y,Y,Y,1,0,BDVARYDB:Y->N,,DB
9OLDWP,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
9POADB,Y,Y,Y,Y,2,3,GDVARYTV:N->Y;BDVARYGP:Y->N,GDVARYTV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,TV"
9SLADB,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9STRWP,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9WP646,Y,Y,N,Y,2,1,PLANVALOPT:Y->N;BDVARYGP:Y->N,STVARYGP:N->Y,GP
9WPL10,Y,Y,Y,Y,1,1,BDVARYGP:Y->N,STVARYGP:N->Y,GP
A60MIR,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYDB:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,DB,TV"
A96DAR,Y,Y,N,Y,5,1,PLANVALOPT:Y->N;BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,STVARYGP:N->Y,"GP,CV,TV,DV"
