RECONCILIATION_ID,SOURCE_PLAN_CODE,NORMALIZED_PLAN_CODE,SOURCE_PLAN_NAME,NORMALIZED_PLAN_NAME,PRODUCT_FAMILY,BASE_OR_RIDER,ACTIVE_OR_HISTORICAL,ISSUE_DATE_FROM,ISSUE_DATE_TO,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_QUIK_OUTPUT,IN_ACCESS_EXTRACT,IN_PRODUCT_DOCUMENTS,IN_CASH_VALUE_ARCHIVES,IN_GROSS_PREMIUM_SOURCE,HAS_POLICY_POPULATION_EVIDENCE,HAS_RATE_REQUIREMENT,HAS_RATE_SOURCE,HAS_QLADMIN_MAPPING,POSSIBLE_ALIAS,POSSIBLE_PARENT_PLAN,POSSIBLE_RIDER_RELATIONSHIP,POSSIBLE_STATE_VARIATION,POSSIBLE_ISSUE_ERA_VARIATION,POSSIBLE_DUPLICATE,POSSIBLE_TYPO,PROPOSED_SCOPE_STATUS,PROPOSED_AUTHORITY_STATUS,RECONCILIATION_STATUS,CONFIDENCE,REQUIRED_DECISION,RELATED_DECISION_ID,NOTES
CIT-PR-0011,051G,051G,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0012,052G,052G,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0013,053G,053G,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0014,054G,054G,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0015,057,057,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0016,057F,057F,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0017,057G,057G,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0018,0D0G,0D0G,RATING,RATING,Rated Premium / Substandard,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0019,10,10,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0020,100,100,MERCHANDISE/SERVICE,MERCHANDISE/SERVICE,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0021,100V,100V,SPECIAL VAULT POLICY,SPECIAL VAULT POLICY,,BASE,UNKNOWN,,,N,Y,Y,N,N,N,N,N,N,N,UNKNOWN,N,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,DBF_ONLY,MEDIUM,CIT-DEC-003,CIT-DEC-003,
CIT-PR-0022,1011,1011,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0023,1012,1012,PAIDUP/PAID IN FULL 2001 CSO,PAIDUP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0024,1013,1013,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0025,1014,1014,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0026,1015,1015,REDUCED PAID UP LIFE 41 CSO 3,REDUCED PAID UP LIFE 41 CSO 3,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0027,101C,101C,PAID-UP/REDUCED PD UP 2001 COM,PAID-UP/REDUCED PD UP 2001 COM,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0028,101G,101G,REDUCED PAID UP LIFE 58 CSO 3,REDUCED PAID UP LIFE 58 CSO 3,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0029,101K,101K,PAID UP/REDUCED PD UP 80 CSO,PAID UP/REDUCED PD UP 80 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0030,101M,101M,PD UP OR PD IN FULL 80 CSO,PD UP OR PD IN FULL 80 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0031,101N,101N,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0032,101P,101P,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0033,101Q,101Q,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0034,101R,101R,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0035,101X,101X,PAID UP/PAID IN FULL 2001 CSO,PAID UP/PAID IN FULL 2001 CSO,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0036,165,165,LIFE PAID UP AT 65,LIFE PAID UP AT 65,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0037,3ALF,3ALF,SINGLE PREMIUM FEMALE,SINGLE PREMIUM FEMALE,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0038,3ALM,3ALM,SINGLE PREMIUM MALE,SINGLE PREMIUM MALE,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0039,3PFN,3PFN,PERMA LIFE FEMALE 13N,PERMA LIFE FEMALE 13N,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:3P,3P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0040,3PFS,3PFS,PERMA LIFE FEMALE 13S,PERMA LIFE FEMALE 13S,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:3P,3P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0041,3PMN,3PMN,PERMA LIFE MALE 13N,PERMA LIFE MALE 13N,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:3P,3P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0042,3PMS,3PMS,PERMA LIFE MALE 13S,PERMA LIFE MALE 13S,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:3P,3P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0043,3R1F,3R1F,FEMALE TEN YEAR TERM,FEMALE TEN YEAR TERM,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0044,3R1M,3R1M,MALE TEN YEAR TERM,MALE TEN YEAR TERM,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0045,3R2G,3R2G,20 YEAR PAY,20 YEAR PAY,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0046,3R5F,3R5F,FEMALE FIVE YEAR TERM RIDER,FEMALE FIVE YEAR TERM RIDER,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0047,3R5M,3R5M,MALE FIVE YEAR TERM RIDER,MALE FIVE YEAR TERM RIDER,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0048,3R6G,3R6G,PAID UP AT 65,PAID UP AT 65,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0049,3RWG,3RWG,WHOLE LIFE CASH,WHOLE LIFE CASH,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0050,3X1F,3X1F,FEMALE TEN YEAR TERM,FEMALE TEN YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0051,3X1M,3X1M,MALE TEN YEAR TERM,MALE TEN YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0052,3X5F,3X5F,FEMALE FIVE YEAR TERM,FEMALE FIVE YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0053,3X5M,3X5M,MALE FIVE YEAR TERM,MALE FIVE YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0054,466G,466G,REDUCED PAID-UP ENDOW @ 65 58,REDUCED PAID-UP ENDOW @ 65 58,Paid-Up / Nonforfeiture,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0055,6,6,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0056,8021,8021,EXTENDED INSURANCE 2001 CET,EXTENDED INSURANCE 2001 CET,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0057,8022,8022,EXTENDED TERM,EXTENDED TERM,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0058,8023,8023,EXTENDED TERM,EXTENDED TERM,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0059,8024,8024,EXTENDED TERM,EXTENDED TERM,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0060,8025,8025,EXTENDED INSURANCE 41 CSO 3 1/,EXTENDED INSURANCE 41 CSO 3 1/,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0061,802C,802C,EXTENDED INSURANCE 2001 CSO,EXTENDED INSURANCE 2001 CSO,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0062,802E,802E,EXTENDED TERM 2017 CSO RESERVE,EXTENDED TERM 2017 CSO RESERVE,,BASE,UNKNOWN,,,N,Y,N,N,N,N,N,N,N,N,UNKNOWN,N,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,DBF_ONLY,MEDIUM,CIT-DEC-003,CIT-DEC-003,
CIT-PR-0063,802G,802G,EXTENDED INSURANCE 58 CSO 3,EXTENDED INSURANCE 58 CSO 3,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0064,802K,802K,EXTENDED INSURANCE 80 CET,EXTENDED INSURANCE 80 CET,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0065,802L,802L,EXTENDED INSURANCE 80 CSO 4.5%,EXTENDED INSURANCE 80 CSO 4.5%,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0066,802M,802M,EXTENDED TERM 80 CSO,EXTENDED TERM 80 CSO,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,Y,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0067,802N,802N,Nonforfeiture Status,Nonforfeiture Status,Nonforfeiture Status,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
