SOURCE_PLAN_CODE,PRODUCT_FAMILY,BASE_OR_RIDER,PROPOSED_SCOPE_STATUS,GROSS_PREMIUM,CASH_VALUE,NET_PREMIUM,RESERVE,DIVIDEND_PUA,LOAN_VALUES,LOAN_INTEREST,COI,EXPENSE,INTEREST_CREDITING,OTHER,EXTENDED_TERM,PAID_UP,MODAL_FACTOR,GUIDELINE_PREMIUM,SETTLEMENT_FACTOR
053G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
054G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
057,,BASE,IN_SCOPE_PENDING_SOURCE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
057F,,BASE,IN_SCOPE_PENDING_SOURCE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
057G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
0D0G,Rated Premium / Substandard,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
10,,BASE,IN_SCOPE_PENDING_SOURCE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
100,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
100V,,BASE,IN_SCOPE_BASE_PLAN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
1011,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
1012,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
1013,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
1014,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
1015,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101C,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101G,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101K,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101M,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101N,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101P,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101Q,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101R,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
101X,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
165,Paid-Up / Nonforfeiture,BASE,IN_SCOPE_BASE_PLAN,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3ALF,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3ALM,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_AUTHORITY_PENDING,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3PFN,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3PFS,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3PMN,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3PMS,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3R1F,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3R1M,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
3R2G,Traditional Permanent Life,BASE,IN_SCOPE_BASE_PLAN,REQUIRED_AUTHORITY_PENDING,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,REQUIRED_CONVERTED_DRAFT,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,REQUIRES_ACTUARIAL_REVIEW,REQUIRED_CONVERTED_DRAFT,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
