RELATIONSHIP_ID,PLAN_CODE_A,PLAN_CODE_B,RELATIONSHIP_TYPE,EVIDENCE,CONFIDENCE,CANONICAL_CODE_RECOMMENDATION,IMPACT_ON_PLAN_COUNT,IMPACT_ON_RATE_MAPPING,APPROVAL_REQUIRED,NOTES
CIT-REL-0014,B2FS,B2MN,SEX_VARIATION,"Shared stem B2; codes ['B2FN', 'B2FS', 'B2MN', 'B2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0015,B2MN,B2MS,SMOKER_VARIATION,"Shared stem B2; codes ['B2FN', 'B2FS', 'B2MN', 'B2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0016,B3FN,B3FS,SMOKER_VARIATION,"Shared stem B3; codes ['B3FN', 'B3FS', 'B3MN', 'B3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0017,B3FS,B3MN,SEX_VARIATION,"Shared stem B3; codes ['B3FN', 'B3FS', 'B3MN', 'B3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0018,B3MN,B3MS,SMOKER_VARIATION,"Shared stem B3; codes ['B3FN', 'B3FS', 'B3MN', 'B3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0019,BLFN,BLFS,SMOKER_VARIATION,"Shared stem BL; codes ['BLFN', 'BLFS', 'BLMN', 'BLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0020,BLFS,BLMN,SEX_VARIATION,"Shared stem BL; codes ['BLFN', 'BLFS', 'BLMN', 'BLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0021,BLMN,BLMS,SMOKER_VARIATION,"Shared stem BL; codes ['BLFN', 'BLFS', 'BLMN', 'BLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0022,DPFN,DPFS,SMOKER_VARIATION,"Shared stem DP; codes ['DPFN', 'DPFS', 'DPMN', 'DPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0023,DPFS,DPMN,SEX_VARIATION,"Shared stem DP; codes ['DPFN', 'DPFS', 'DPMN', 'DPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0024,DPMN,DPMS,SMOKER_VARIATION,"Shared stem DP; codes ['DPFN', 'DPFS', 'DPMN', 'DPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0025,HPFN,HPFS,SMOKER_VARIATION,"Shared stem HP; codes ['HPFN', 'HPFS', 'HPMN', 'HPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0026,HPFS,HPMN,SEX_VARIATION,"Shared stem HP; codes ['HPFN', 'HPFS', 'HPMN', 'HPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0027,HPMN,HPMS,SMOKER_VARIATION,"Shared stem HP; codes ['HPFN', 'HPFS', 'HPMN', 'HPMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0028,P7FN,P7FS,SMOKER_VARIATION,"Shared stem P7; codes ['P7FN', 'P7FS', 'P7MN', 'P7MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0029,P7FS,P7MN,SEX_VARIATION,"Shared stem P7; codes ['P7FN', 'P7FS', 'P7MN', 'P7MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0030,P7MN,P7MS,SMOKER_VARIATION,"Shared stem P7; codes ['P7FN', 'P7FS', 'P7MN', 'P7MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0031,P8FJ,P8FN,SMOKER_VARIATION,"Shared stem P8; codes ['P8FJ', 'P8FN', 'P8FS', 'P8MJ', 'P8MN', 'P8MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0032,P8FN,P8FS,SMOKER_VARIATION,"Shared stem P8; codes ['P8FJ', 'P8FN', 'P8FS', 'P8MJ', 'P8MN', 'P8MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0033,P8FS,P8MJ,SEX_VARIATION,"Shared stem P8; codes ['P8FJ', 'P8FN', 'P8FS', 'P8MJ', 'P8MN', 'P8MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0034,P8MJ,P8MN,SMOKER_VARIATION,"Shared stem P8; codes ['P8FJ', 'P8FN', 'P8FS', 'P8MJ', 'P8MN', 'P8MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0035,P8MN,P8MS,SMOKER_VARIATION,"Shared stem P8; codes ['P8FJ', 'P8FN', 'P8FS', 'P8MJ', 'P8MN', 'P8MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0036,P9FJ,P9FN,SMOKER_VARIATION,"Shared stem P9; codes ['P9FJ', 'P9FN', 'P9FS', 'P9MJ', 'P9MN', 'P9MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0037,P9FN,P9FS,SMOKER_VARIATION,"Shared stem P9; codes ['P9FJ', 'P9FN', 'P9FS', 'P9MJ', 'P9MN', 'P9MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0038,P9FS,P9MJ,SEX_VARIATION,"Shared stem P9; codes ['P9FJ', 'P9FN', 'P9FS', 'P9MJ', 'P9MN', 'P9MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0039,P9MJ,P9MN,SMOKER_VARIATION,"Shared stem P9; codes ['P9FJ', 'P9FN', 'P9FS', 'P9MJ', 'P9MN', 'P9MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0040,P9MN,P9MS,SMOKER_VARIATION,"Shared stem P9; codes ['P9FJ', 'P9FN', 'P9FS', 'P9MJ', 'P9MN', 'P9MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0041,Q1FN,Q1FS,SMOKER_VARIATION,"Shared stem Q1; codes ['Q1FN', 'Q1FS', 'Q1MN', 'Q1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0042,Q1FS,Q1MN,SEX_VARIATION,"Shared stem Q1; codes ['Q1FN', 'Q1FS', 'Q1MN', 'Q1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0043,Q1MN,Q1MS,SMOKER_VARIATION,"Shared stem Q1; codes ['Q1FN', 'Q1FS', 'Q1MN', 'Q1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0044,Q2FN,Q2FS,SMOKER_VARIATION,"Shared stem Q2; codes ['Q2FN', 'Q2FS', 'Q2MN', 'Q2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0045,Q2FS,Q2MN,SEX_VARIATION,"Shared stem Q2; codes ['Q2FN', 'Q2FS', 'Q2MN', 'Q2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0046,Q2MN,Q2MS,SMOKER_VARIATION,"Shared stem Q2; codes ['Q2FN', 'Q2FS', 'Q2MN', 'Q2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0047,Q3FN,Q3FS,SMOKER_VARIATION,"Shared stem Q3; codes ['Q3FN', 'Q3FS', 'Q3MN', 'Q3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0048,Q3FS,Q3MN,SEX_VARIATION,"Shared stem Q3; codes ['Q3FN', 'Q3FS', 'Q3MN', 'Q3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0049,Q3MN,Q3MS,SMOKER_VARIATION,"Shared stem Q3; codes ['Q3FN', 'Q3FS', 'Q3MN', 'Q3MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0050,QLFN,QLFS,SMOKER_VARIATION,"Shared stem QL; codes ['QLFN', 'QLFS', 'QLMN', 'QLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0051,QLFS,QLMN,SEX_VARIATION,"Shared stem QL; codes ['QLFN', 'QLFS', 'QLMN', 'QLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0052,QLMN,QLMS,SMOKER_VARIATION,"Shared stem QL; codes ['QLFN', 'QLFS', 'QLMN', 'QLMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0053,CP05,"CP10,CP20",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='CP05, CP10, CP20' → QLPlan=10CP05",HIGH,QLPlan 10CP05 (source codes remain distinct),Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0054,3PFN,"3PFS,3PMN,3PMS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='3PFN, 3PFS, 3PMN, 3PMS' → QLPlan=103PFN,103PFS, 103PMN, 103PMS",HIGH,"QLPlan 103PFN,103PFS, 103PMN, 103PMS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0055,3X1F,3X5M,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='3X1F, 3X5F 3X1F, 3X5M' → QLPlan=103X1F",HIGH,QLPlan 103X1F (source codes remain distinct),Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0056,9FMN,9PMN,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='9FMN, 9PMN' → QLPlan=109FMN/019PMN",HIGH,QLPlan 109FMN/019PMN (source codes remain distinct),Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0057,9PFN,9PFS,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='9PFN, 9PFS' → QLPlan=109PFN, 9PFS",HIGH,"QLPlan 109PFN, 9PFS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0058,9R2G,9RWG,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='9R2G, 9RWG' → QLPlan=109R2G, 9RWG",HIGH,"QLPlan 109R2G, 9RWG (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0059,ABFN,"ABFS,ABMN,ABMS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='ABFN, ABFS, ABMN, ABMS' → QLPlan=10ABFN, 10ABFS, 10ABMN, 10ADMS",HIGH,"QLPlan 10ABFN, 10ABFS, 10ABMN, 10ADMS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0060,ALP2,"ALPS,ALP6",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='ALP2, ALPS, ALP6' → QLPlan=10ALP2, ALPS",HIGH,"QLPlan 10ALP2, ALPS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0061,ALPF,ALPM,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='ALPF, ALPM' → QLPlan=10ALPF, ALPM",HIGH,"QLPlan 10ALPF, ALPM (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0062,DPFN,"DPMN,DPMS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='DPFN, DPMN, DPMS' → QLPlan=10DPFN, 10DPMN, 10DPMS",HIGH,"QLPlan 10DPFN, 10DPMN, 10DPMS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0063,DR2G,DRWG,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='DR2G, DRWG' → QLPlan=10DR2G, 10DRWG",HIGH,"QLPlan 10DR2G, 10DRWG (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0064,FW5,FW5C,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='FW5, FW5C' → QLPlan=100FW5, 10FW5C",HIGH,"QLPlan 100FW5, 10FW5C (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0065,LPI6,LPIS,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='LPI6, LPIS' → QLPlan=10LPI6,10LPIS",HIGH,"QLPlan 10LPI6,10LPIS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0066,P7FN,"P7FS,P7MN,P7MS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='P7FN, P7FS, P7MN, P7MS' → QLPlan=10P7FN, 10P7FS, 10P7MN, 10P7MS",HIGH,"QLPlan 10P7FN, 10P7FS, 10P7MN, 10P7MS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0067,P8FJ,"P8FN,P8FS,P8MJ,P8MN,P8MS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='P8FJ, P8FN, P8FS, P8MJ, P8MN, P8MS' → QLPlan=10P8FJ, 10P8FN, 10P8FS, 10P8MJ, 10P8MN, 10P8MS",HIGH,"QLPlan 10P8FJ, 10P8FN, 10P8FS, 10P8MJ, 10P8MN, 10P8MS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0068,P9FJ,"P9FN,P9FS,P9MJ,P9MN,P9MS",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='P9FJ, P9FN, P9FS, P9MJ, P9MN, P9MS' → QLPlan=10P9FJ, 10P9FN, 10P9FS, 10P9MJ, 10P9MN, 10P9MS",HIGH,"QLPlan 10P9FJ, 10P9FN, 10P9FS, 10P9MJ, 10P9MN, 10P9MS (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0069,PLP,PLP6,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='PLP, PLP6' → QLPlan=100PLP, 10PLP6",HIGH,"QLPlan 100PLP, 10PLP6 (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0070,Q1FN,"Q1MN,Q1MS,Q2FN,Q2MN,Q3FN,Q3MN",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='Q1FN, Q1MN, Q1MS, Q2FN, Q2MN, Q3FN, Q3MN, ' → QLPlan=10Q1FN, 10Q1MN, 10Q1MS, 10Q2FN, 10Q2MN, 10Q3FN, 10Q3MN, ",HIGH,"QLPlan 10Q1FN, 10Q1MN, 10Q1MS, 10Q2FN, 10Q2MN, 10Q3FN, 10Q3MN,  (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0071,QLFN,QLMN,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='QLFN, QLMN' → QLPlan=10QLFN, 10QLMN",HIGH,"QLPlan 10QLFN, 10QLMN (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0072,R28,"R28A,R28G",QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='R28, R28A, R28G' → QLPlan=100R28, 10R28A, 10R28G",HIGH,"QLPlan 100R28, 10R28A, 10R28G (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0073,R68,R68G,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='R68, R68G' → QLPlan=100R68, 10R68G",HIGH,"QLPlan 100R68, 10R68G (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
CIT-REL-0074,RW,RWC,QLADMIN_CONSOLIDATION,"Crosswalk row CFIC Plan='RW, RWC' → QLPlan=1000RW, 100RWC",HIGH,"QLPlan 1000RW, 100RWC (source codes remain distinct)",Source count unchanged; QLAdmin destinations fewer,Multiple CFIC codes → one QLAdmin plan,Y,Working mapping — not approved
