PLAN,BDCODE,BDDESCR,BDLOWVAL
10R28,00,NOT APPLICABLE,0.0
10R28A,00,NOT APPLICABLE,0.0
10R28G,00,NOT APPLICABLE,0.0
10R29G,00,NOT APPLICABLE,0.0
10R68,00,NOT APPLICABLE,0.0
10R68G,00,NOT APPLICABLE,0.0
10R69G,00,NOT APPLICABLE,0.0
10RW18,00,NOT APPLICABLE,0.0
10RW28,00,NOT APPLICABLE,0.0
10RW8,00,NOT APPLICABLE,0.0
10RW8A,00,NOT APPLICABLE,0.0
10RW8G,00,NOT APPLICABLE,0.0
10RW9G,00,NOT APPLICABLE,0.0
10S28G,00,NOT APPLICABLE,0.0
10SLPW,00,NOT APPLICABLE,0.0
10TAFA,00,NOT APPLICABLE,0.0
10TAFB,00,NOT APPLICABLE,0.0
10TAFC,00,NOT APPLICABLE,0.0
10TAFD,00,NOT APPLICABLE,0.0
9057G,00,NOT APPLICABLE,0.0
