MPOLICY,MSTATUS
010443646C,44
010444917C,22
010446088C,45
010446237C,22
010446741C,22
010447475C,22
010447559C,45
010448181C,22
010448375C,44
010448609C,22
010448806C,22
010448810C,41
010448828C,22
010449013C,22
010449017C,45
010449155C,41
010449158C,41
010449333C,22
010449334C,22
010449417C,22
010449498C,22
010449514C,22
010450135C,22
010450174C,22
010450300C,22
010450809C,41
010450811C,22
010450906C,22
010451148C,22
010451149C,22
010451385C,45
010451453C,22
010451650C,22
010452304C,22
010452305C,22
010452575C,22
010455341C,22
010456114C,22
010456182C,44
010456751C,44
010457536C,22
010457623C,22
010458525C,22
010458526C,22
010459011C,22
010459336C,41
010459421C,22
010459527C,22
010459723C,44
010459814C,22
010459850C,44
010460323C,22
010460406C,22
010460653C,41
010461210C,22
010462057C,22
010462415C,41
010462759C,22
010463017C,22
010463537C,22
010463553C,22
010465331C,41
010465363C,22
010466391C,22
010466392C,22
010466471C,44
010466472C,44
010466706C,22
010466978C,22
010467025C,22
010467154C,22
010467185C,22
010467500C,22
010467771C,22
010468945C,22
010469579C,22
010469666C,22
010469728C,44
010470522C,45
010471046C,22
010471532C,45
010471534C,45
010473867C,22
010473868C,22
010474317C,22
010474318C,22
010478048C,45
010478213C,22
010478214C,22
010478890C,44
010480683C,45
010481459C,22
010483386C,41
010484578C,22
010484864C,22
010486961C,41
010487125C,22
010487396C,22
010487886C,22
010487888C,22
010488273C,22
010488878C,22
010492604C,22
010495113C,22
010495120C,41
010495122C,22
010497263C,22
010497264C,22
010499349C,22
010500671C,41
010501142C,22
010502776C,22
010502995C,44
010503391C,22
010505481C,45
010506408C,22
010506497C,22
010507004C,22
010507005C,22
010510553C,45
010510671C,44
010510979C,22
010511203C,22
010511795C,22
010513607C,41
010513627C,22
010513711C,22
010513848C,22
010513849C,22
010514052C,22
010516466C,45
010518048C,22
010518049C,22
010518051C,22
010518545C,41
010520451C,22
010523097C,22
010524282C,22
010525250C,44
010527102C,22
010527103C,22
010527336C,22
010529613C,22
010529993C,22
010530033C,22
010540774C,22
010540781C,22
010541669C,44
010542288C,22
010543558C,22
010543559C,22
010544183C,22
010545623C,41
010546964C,22
010547021C,22
010547892C,22
010550088C,22
010552856C,22
010555054C,22
010555714C,22
010556634C,41
010556736C,45
010560185C,22
010565013C,22
010567983C,22
010576755C,44
010578323C,22
010580685C,22
010583923C,44
010590419C,22
010591112C,45
010598049C,22
010598050C,22
010615191C,22
010615192C,22
010713704C,22
010713705C,22
010713707C,22
010715467C,22
010716973C,22
010717034C,22
010717447C,22
010718276C,22
010718277C,22
010718278C,22
010718309C,22
010719553C,22
010719815C,22
010720088C,22
010720759C,22
010721848C,22
010721849C,22
010722516C,22
010722550C,22
010722734C,22
010723386C,22
010723387C,22
010723388C,22
010723523C,22
010723524C,22
010724510C,22
010725643C,22
010726922C,22
010728947C,22
010729500C,22
010729999C,22
010730145C,22
010730780C,22
010731277C,22
010731278C,22
010731296C,22
010731608C,22
010732078C,22
010732270C,22
010732271C,22
010732276C,22
010732280C,22
010732281C,22
010732975C,45
010733564C,22
010733665C,22
010734462C,22
010734951C,45
010734954C,45
010735160C,22
010735585C,22
010735918C,22
010736036C,22
010736643C,22
010736702C,22
010736703C,22
010736736C,22
010736935C,44
010737378C,22
010737417C,45
010737619C,22
010738161C,22
010738207C,22
010738672C,22
010738936C,22
010739212C,22
010739794C,22
010739795C,22
010739886C,22
010739887C,22
010740132C,22
010741231C,22
010741232C,22
010741302C,22
010742225C,22
010743395C,22
010743832C,22
010744223C,22
010744489C,22
010744818C,22
010745169C,22
010745456C,22
010745749C,22
010745750C,22
010745751C,22
010745752C,22
010746173C,22
010746670C,45
010746844C,22
010747013C,22
010747243C,22
010747320C,22
010747437C,22
010747636C,22
010747875C,22
010747876C,22
010748073C,22
010748253C,22
010748334C,22
010748335C,22
010748556C,22
010749038C,22
010749401C,22
010749463C,22
010749628C,45
010749842C,22
010749843C,22
010749849C,22
010749906C,22
010749907C,22
010749942C,22
010750265C,22
010751057C,22
010751933C,45
010751934C,45
010751937C,22
010752133C,22
010752138C,22
010752580C,22
010752698C,22
010752699C,22
010752702C,22
010752831C,45
010753409C,22
010754231C,22
010754233C,22
010754235C,22
010754355C,45
010754359C,22
010754480C,22
010754485C,22
010754538C,22
010754539C,22
010755152C,22
010755271C,44
010755495C,22
010755885C,22
010756091C,22
010756279C,45
010756540C,22
010756833C,22
010756895C,22
010756909C,22
010756916C,22
010756925C,22
010756926C,45
010756927C,45
010756928C,22
010756934C,22
010756936C,22
010756937C,22
010756972C,22
010757071C,22
010757538C,22
010757553C,22
010757561C,45
010757606C,45
010757607C,22
010757801C,22
010757826C,22
010757827C,22
010757840C,22
010758538C,45
010758540C,22
010758550C,22
010758940C,44
010759008C,22
010759385C,22
010759541C,22
010759548C,22
010759550C,22
010759552C,22
010759555C,22
010759705C,22
010760069C,45
010760160C,22
010760295C,22
010760296C,22
010760298C,22
010760304C,45
010760840C,22
010760851C,22
010760873C,22
010760874C,22
010760931C,22
010760943C,22
010761092C,44
010761357C,22
010761552C,22
010761635C,22
010761639C,22
010761653C,22
010761672C,22
010761673C,22
010761674C,22
010761885C,22
010761913C,45
010761965C,22
010761966C,22
010762047C,22
010762068C,22
010762079C,22
010762559C,45
010762560C,45
010763063C,22
010763377C,22
010763378C,22
010763416C,22
010764124C,45
010764158C,44
010764248C,44
010764319C,22
010764322C,22
010764341C,22
010764368C,22
010764369C,22
010764379C,22
010764392C,22
010764684C,22
010764810C,22
010764818C,22
010765068C,22
010765198C,22
010765270C,22
010765318C,22
010765320C,22
010765337C,22
010765339C,22
010765429C,22
010765929C,22
010765930C,22
010765931C,22
010765936C,22
010765949C,22
010766060C,22
010766062C,22
010766284C,44
010766554C,22
010766671C,22
010766679C,44
010766847C,45
010766896C,22
010766898C,22
010766920C,22
010766921C,22
010767171C,22
010767172C,22
010767222C,22
010767768C,22
010767770C,22
010767772C,22
010767776C,22
010768067C,22
010768384C,22
010768385C,22
010768802C,44
010769190C,22
010769191C,22
010769195C,22
010769198C,22
010769232C,22
010769233C,22
010769345C,22
010769554C,22
010769606C,22
010769711C,22
010770062C,22
010770572C,22
010770720C,22
010770721C,22
010770722C,22
010770844C,22
010770904C,22
010771065C,22
010771070C,22
010771339C,22
010771349C,22
010771354C,22
010771532C,22
010771658C,22
010771679C,22
010771763C,22
010771832C,22
010771833C,22
010772297C,22
010772298C,22
010772903C,22
010772913C,22
010772957C,22
010773468C,22
010773561C,44
010773575C,22
010773681C,22
010773682C,22
010773882C,22
010774328C,22
010774329C,22
010774490C,22
010774527C,22
010774643C,22
010774644C,22
010774772C,22
010774774C,44
010774793C,22
010774795C,22
010774868C,45
010774973C,22
010775239C,22
010775244C,22
010775418C,22
010775583C,22
010775722C,22
010775723C,22
010776005C,22
010776007C,22
010776025C,44
010776061C,44
010776062C,44
010776502C,22
010776651C,22
010776811C,22
010776812C,22
010776813C,22
010776831C,22
010776832C,22
010776900C,22
010776909C,22
010777042C,22
010777059C,22
010777133C,22
010777321C,44
010777322C,44
010777439C,44
010777501C,45
010777662C,22
010777665C,22
010778016C,22
010778303C,22
010778304C,22
010778361C,22
010778381C,45
010778653C,22
010778697C,22
010778707C,22
010779031C,22
010779032C,22
010779034C,22
010779456C,44
010779551C,22
010779552C,22
010779553C,44
010779563C,22
010779718C,22
010779719C,22
010779720C,22
010779727C,22
010779847C,22
010780046C,22
010780202C,44
010780205C,22
010780206C,22
010780393C,22
010780510C,22
010780526C,22
010780591C,22
010780870C,45
010781047C,22
010781128C,22
010781300C,22
010781702C,22
010781721C,45
010781852C,44
010781853C,44
010782062C,22
010782063C,22
010782064C,22
010782078C,22
010782119C,22
010782332C,22
010782571C,22
010782640C,22
010782671C,22
010783066C,22
010783070C,44
010783071C,44
010783085C,22
010783087C,22
010783101C,22
010783138C,22
010783269C,22
010783278C,22
010783296C,22
010783347C,44
010783747C,22
010783785C,22
010783786C,22
010783867C,22
010784075C,22
010784251C,22
010784370C,22
010784596C,45
010784731C,22
010784732C,22
010784756C,22
010784757C,22
010784914C,22
010784936C,22
010785059C,44
010785061C,22
010785163C,22
010785324C,22
010785834C,22
010786057C,45
010786316C,22
010786800C,22
010786872C,22
010786896C,22
010786945C,22
010787151C,22
010787237C,22
010787351C,45
010787513C,22
010787560C,22
010787639C,22
010787668C,22
010787669C,22
010787761C,22
010787952C,22
010788086C,22
010788102C,22
010788188C,22
010788679C,22
010788860C,22
010788886C,22
010789213C,22
010789546C,22
010789547C,22
010789876C,22
010790002C,22
010790054C,22
010790077C,22
010790170C,22
010790287C,22
010790531C,22
010790532C,22
010790754C,22
010790758C,22
010790759C,22
010790787C,22
010791323C,22
010791405C,22
010791457C,22
010791498C,22
010791597C,22
010791789C,44
010792068C,45
010792082C,45
010792456C,22
010792541C,22
010792607C,22
010792609C,22
010792713C,22
010792884C,22
010792961C,22
010793204C,22
010793292C,22
010793353C,22
010793451C,22
010793598C,22
010793830C,22
010793836C,44
010793968C,22
010794098C,22
010794099C,22
010794265C,22
010794367C,22
010794372C,22
010794435C,22
010794514C,22
010794629C,22
010794730C,22
010794731C,22
010794751C,22
010795121C,22
010795213C,22
010795215C,22
010795228C,22
010795229C,22
010795361C,22
010795840C,22
010795898C,22
010796058C,44
010796355C,22
010796356C,22
010796483C,22
010796535C,22
010796707C,22
010796767C,22
010796908C,22
010796912C,22
010796913C,22
010796916C,22
010796917C,45
010797196C,22
010797765C,22
010797766C,22
010797831C,22
010797832C,22
010798018C,22
010798029C,22
010798030C,22
010799270C,22
010799487C,22
010799590C,22
010799675C,22
010799703C,22
010800097C,22
010800286C,22
010800350C,22
010800356C,44
010800881C,22
010801256C,22
010801272C,22
010801730C,22
010801893C,45
010801948C,22
010801956C,22
010802045C,22
010802626C,22
010802643C,22
010802644C,22
010802647C,22
010802649C,22
010802656C,22
010802911C,22
010803046C,22
010803048C,22
010803049C,22
010803420C,22
010803421C,22
010803644C,22
010803649C,22
010803659C,22
010803660C,22
010803672C,22
010803676C,22
010803775C,22
010803776C,22
010803782C,22
010804004C,22
010804327C,22
010804520C,22
010804588C,22
010804616C,22
010804617C,22
010804711C,22
010804853C,22
010805041C,22
010805141C,22
010805142C,22
010805448C,22
010806350C,22
010806362C,22
010806653C,22
010806873C,22
010806912C,22
010807372C,22
010807373C,22
010807518C,22
010807566C,22
010807604C,22
010807605C,22
010807722C,22
010807941C,22
010807946C,22
010807963C,22
010808074C,22
010808545C,22
010808548C,22
010808553C,22
010808831C,22
010808895C,22
010808970C,22
010808976C,22
010808977C,22
010809294C,22
010809296C,22
010809300C,22
010809302C,22
010809303C,22
010809308C,22
010809317C,22
010809320C,22
010809331C,22
010809361C,22
010809968C,22
010809977C,22
010810194C,22
010810221C,22
010810225C,44
010810226C,44
010810228C,22
010810272C,44
010810275C,22
010811249C,45
010811250C,22
010811260C,22
010811318C,22
010811319C,22
010811343C,22
010811382C,22
010811385C,22
010811386C,22
010811998C,22
010812225C,22
010812235C,22
010812360C,22
010813120C,22
010813122C,44
010813156C,22
010813163C,44
010813164C,22
010813172C,44
010813185C,45
010813188C,22
010813196C,22
010813276C,45
010813388C,22
010813392C,22
010813426C,44
010813427C,44
010813433C,44
010813955C,22
010814115C,22
010814172C,22
010814362C,22
010814366C,22
010814390C,22
010814606C,22
010814693C,22
010814761C,22
010814931C,22
010814935C,22
010814963C,22
010814968C,44
010815117C,22
010815118C,22
010815150C,22
010815236C,22
010815416C,22
010815417C,22
010815522C,22
010815523C,22
010815524C,22
010815642C,22
010815680C,22
010815681C,22
010815768C,22
010815772C,44
010815946C,22
010816151C,22
010816232C,44
010816336C,44
010816337C,44
010816784C,22
010816803C,22
010816969C,22
010816990C,22
010816991C,22
010817116C,22
010817130C,22
010817132C,22
010817242C,22
010817304C,22
010817366C,22
010817367C,22
010817419C,22
010817483C,22
010817649C,45
010817650C,45
010817803C,22
010817808C,22
010817835C,22
010817836C,22
010817956C,22
010818008C,22
010818051C,22
010818314C,44
010818531C,22
010818663C,22
010818768C,22
010818794C,45
010819247C,22
010819271C,22
010819280C,22
010819774C,22
010819960C,22
010819961C,22
010820645C,44
010820704C,22
010820944C,22
010820995C,22
010820996C,22
010821435C,22
010821678C,22
010822097C,22
010822098C,22
010822238C,22
010822243C,22
010822635C,22
010822851C,22
010822990C,22
010823222C,44
010823332C,45
010823333C,45
010823335C,22
010823597C,22
010823600C,22
010823735C,44
010823737C,22
010823866C,22
010823867C,45
010823869C,45
010823870C,45
010824297C,22
010824561C,44
010824611C,22
010824689C,22
010824709C,22
010824810C,44
010825353C,22
010825649C,22
010825719C,22
010825759C,22
010825968C,22
010826040C,22
010826123C,22
010826130C,22
010826422C,45
010826524C,22
010826544C,22
010826547C,22
010826551C,22
010826627C,22
010826903C,41
010827081C,22
010827254C,22
010827434C,22
010827507C,22
010827528C,22
010827575C,22
010827674C,44
010827699C,22
010827700C,22
010827865C,45
010827956C,44
010828101C,22
010828369C,22
010828370C,22
010828599C,22
010829627C,22
010830094C,22
010830309C,22
010830330C,22
010830632C,22
010831097C,22
010831284C,44
010831478C,22
010831492C,22
010832106C,22
010832740C,22
010833377C,22
010833378C,22
010833382C,22
010833383C,22
010833409C,22
010833410C,22
010833411C,22
010833737C,22
010833858C,44
010833991C,22
010834192C,22
010834193C,22
010834274C,22
010834450C,41
010834451C,41
010834574C,22
010834575C,22
010834737C,22
010835892C,45
010836252C,22
010836254C,22
010836908C,22
010837136C,44
010837163C,44
010837532C,22
010837733C,22
010837734C,22
010838376C,22
010838710C,22
010838863C,22
010838982C,22
010839119C,22
010839122C,22
010839176C,22
010839177C,22
010839178C,22
010839784C,22
010839848C,44
010840186C,22
010840404C,22
010840436C,22
010840772C,44
010840778C,22
010840971C,22
010841215C,41
010841345C,41
010841421C,45
010841422C,45
010841760C,22
010841782C,22
010841783C,22
010841793C,22
010841972C,22
010841973C,41
010842016C,22
010842017C,22
010842282C,22
010842293C,22
010842315C,22
010842641C,41
010842857C,22
010843092C,22
010843241C,22
010843384C,41
010843714C,22
010844127C,22
010844313C,22
010844324C,22
010844402C,22
010844403C,22
010844428C,22
010844499C,41
010844607C,22
010844919C,44
010845099C,22
010845307C,22
010845709C,22
010845716C,22
010845863C,22
010845864C,22
010846539C,22
010846691C,22
010846692C,22
010846781C,22
010847118C,22
010847123C,22
010847191C,22
010847467C,22
010847479C,22
010847480C,22
010847481C,22
010847571C,22
010847947C,22
010848081C,41
010848255C,22
010848256C,22
010848292C,22
010848314C,45
010848398C,22
010849296C,22
010849672C,22
010849880C,22
010849882C,22
010850817C,41
010850880C,22
010850881C,22
010851112C,22
010851278C,22
010851579C,22
010851580C,22
010852368C,41
010852748C,22
010852966C,22
010853285C,22
010853539C,22
010854307C,22
010855165C,45
010855418C,22
010855945C,22
010856175C,41
010856189C,22
010856342C,44
010856920C,45
010857359C,22
010857632C,44
010857637C,22
010857727C,22
010858124C,22
010858434C,22
010858435C,22
010858585C,22
010858613C,22
010858614C,22
010859280C,22
010859658C,22
010862097C,22
010863394C,22
010863485C,22
010863838C,22
010863936C,22
010864397C,22
010864471C,22
010866751C,22
010866752C,22
010869344C,22
010871793C,22
010871903C,22
010872114C,44
010872324C,22
010872327C,22
010872328C,22
010872331C,22
010872404C,22
010872406C,22
010872415C,22
010872416C,22
010872522C,22
010873140C,22
010873154C,22
010873155C,22
010873283C,22
010873285C,44
010873725C,22
010874806C,22
010875130C,45
010875937C,22
010876736C,22
010876737C,22
010877009C,44
010877072C,22
010877469C,22
010877478C,22
010877715C,22
010878099C,22
010878315C,44
010878316C,22
010878559C,44
010878589C,22
010878592C,22
010879082C,22
010879083C,22
010879786C,22
010880362C,22
010880469C,44
010880950C,22
010880951C,22
010881277C,41
010881301C,22
010881307C,22
010881308C,22
010881309C,22
010882408C,22
010882416C,22
010882604C,44
010883172C,22
010883239C,22
010883244C,22
010883533C,22
010883564C,22
010883567C,22
010883731C,22
010884969C,44
010885441C,22
010885442C,45
010886099C,44
010887617C,22
010887923C,22
010887925C,22
010888312C,44
010888313C,44
010888941C,22
010889177C,22
010889439C,44
010889785C,22
010890614C,22
010891074C,45
010891087C,22
010891307C,22
010891309C,22
010891328C,22
010891993C,22
010892016C,22
010892688C,22
010892689C,22
010892690C,22
010892691C,22
010892695C,22
010893115C,22
010893394C,41
010894743C,22
010894939C,22
010894941C,22
010895689C,22
010895934C,22
010895937C,44
010895938C,22
010896854C,22
010896932C,22
010897295C,22
010897521C,22
010897662C,22
010897663C,22
010898471C,22
010899715C,22
010899716C,22
010899717C,22
010899718C,22
010900150C,41
010900355C,22
010900529C,44
010900530C,44
010900623C,44
010900975C,22
010901657C,44
010901775C,22
010901787C,22
010901830C,41
010901832C,22
010902903C,22
010902968C,22
010902972C,22
010902973C,22
010903411C,22
010903917C,41
010904578C,22
010904654C,22
010904802C,22
010904805C,22
010905200C,22
010905337C,45
010907726C,22
010908068C,22
010908075C,22
010908285C,22
010908667C,22
010908669C,22
010909687C,22
010911853C,22
010913059C,22
010913060C,22
010913589C,22
010913799C,22
010915810C,22
010916889C,22
010917522C,22
010917531C,22
010917599C,22
010917602C,44
010917603C,44
010917604C,44
010918786C,22
010918787C,22
010920186C,44
010921865C,22
010922547C,22
010922553C,22
010924513C,22
010924660C,22
010926025C,44
010926357C,22
010926969C,44
010926970C,44
010927421C,22
010927989C,22
010928016C,22
010928491C,22
010928498C,22
010928507C,22
010928775C,22
010933488C,22
010934017C,44
010934894C,44
010934895C,44
010936178C,22
010936179C,44
010936709C,44
010937087C,44
010937092C,44
010937739C,44
010938121C,22
010938321C,22
010942246C,22
010943847C,22
010943849C,22
010943851C,44
010944558C,22
010946647C,22
010947226C,44
010947245C,22
010947867C,45
010947870C,22
010948241C,22
010948270C,41
010948278C,44
010949672C,44
010950970C,44
010951159C,22
010951456C,22
010952064C,22
010952366C,22
010952386C,44
010953834C,22
010955021C,44
010955034C,22
010955783C,22
010956992C,22
010957790C,44
010958268C,22
010959100C,22
010961713C,44
010963588C,22
010969231C,22
010969329C,22
010969653C,22
010969839C,44
010971482C,22
010971527C,22
010971538C,22
010971570C,22
010974489C,22
010974858C,22
010975742C,41
010978024C,44
010978232C,22
010979005C,22
010980832C,44
010980836C,22
010983356C,22
010983357C,22
010983389C,44
010985217C,44
010986419C,22
010986699C,22
010987089C,22
010987095C,22
010987413C,22
010987414C,22
010987611C,22
010988150C,22
010988538C,22
010988590C,22
010988862C,44
010989860C,44
010990850C,22
010991108C,22
010991949C,22
010991950C,22
010992096C,22
010992126C,22
010992127C,22
010993098C,22
010993200C,44
010993841C,22
010995983C,22
010995984C,22
010996389C,22
010996690C,22
010997242C,22
010997243C,22
010998652C,44
010998890C,22
010999568C,22
010999694C,44
011000000C,22
011000026C,22
011001302C,44
011001744C,22
011001990C,41
011002254C,22
011002616C,22
011003325C,44
011004112C,22
011004272C,22
011005041C,44
011005635C,22
011006631C,22
011006697C,22
011006989C,22
011006990C,22
011008137C,22
011008198C,22
011008665C,22
011008707C,22
011011703C,22
011012401C,22
011013020C,22
011013645C,22
011014579C,22
011014580C,22
011015985C,44
011016480C,22
011017167C,45
011017289C,44
011018249C,44
011020938C,22
011022030C,22
011023481C,44
011023549C,22
011024164C,22
011025059C,22
011025405C,22
011027058C,22
011028990C,22
011029547C,22
011032090C,44
011032672C,22
011032897C,22
011032898C,22
011033576C,22
011034306C,22
011034609C,44
011036041C,22
011038645C,22
011038778C,22
011038780C,22
011038794C,22
011040294C,22
011041220C,22
011041375C,22
011041479C,22
011042316C,22
011042625C,22
011042946C,22
011044127C,22
011044907C,45
011045141C,22
011045350C,22
011045448C,22
011045583C,44
011045619C,22
011045768C,22
011045769C,22
011045850C,22
011047682C,22
011047683C,22
011047684C,22
011047873C,41
011048543C,22
011050114C,22
011050653C,22
011050803C,22
011050804C,22
011050972C,41
011050973C,41
011051051C,22
011052511C,22
011052512C,22
011052737C,22
011053767C,22
011053882C,22
011054089C,44
011054196C,22
011054839C,44
011054840C,44
011054841C,22
011054987C,22
011058218C,41
011058508C,22
011059175C,22
011060427C,22
011060621C,22
011060625C,22
011060710C,22
011060901C,22
011061044C,22
011061046C,22
011061723C,22
011061924C,22
011062606C,22
011063727C,22
011064334C,22
011064373C,22
011064625C,22
011064626C,22
011064715C,22
011064800C,44
011064803C,22
011064816C,41
011064956C,22
011064959C,22
011065555C,41
011066023C,22
011066175C,22
011066176C,22
011066572C,22
011066632C,22
011067856C,22
011067906C,22
011068374C,22
011068614C,45
011068615C,22
011068750C,22
011068751C,22
011068814C,22
011068815C,22
011068856C,22
011069253C,22
011069372C,22
011069610C,22
011069654C,41
011069655C,22
011069977C,45
011070359C,22
011071018C,22
011071154C,22
011071221C,22
011071480C,22
011072639C,22
011072813C,22
011073077C,22
011073327C,41
011073745C,22
011074105C,22
011074106C,22
011074378C,22
011074813C,22
011075278C,22
011075473C,22
011075596C,44
011075863C,22
011076204C,22
011077008C,22
011077285C,22
011077629C,22
011078050C,22
011078051C,22
011078137C,22
011078174C,22
011078175C,22
011078891C,22
011080481C,22
011080553C,22
011080719C,22
011080826C,41
011080827C,41
011081463C,22
011081464C,22
011081465C,22
011081939C,22
011082668C,22
011083518C,22
011083519C,22
011083820C,22
011084240C,22
011084302C,22
011084503C,22
011084516C,22
011085271C,22
011085421C,22
011085471C,22
011085559C,22
011085982C,22
011086283C,22
011086284C,22
011086714C,41
011086716C,41
011086717C,41
011086814C,22
011086965C,41
011087127C,22
011087128C,22
011087230C,22
011087325C,44
011087968C,22
011088218C,22
011088221C,22
011088338C,22
011088512C,22
011089156C,44
011089397C,22
011090113C,22
011090462C,22
011090463C,22
011090464C,22
011090543C,22
011092009C,22
011092456C,22
011093379C,22
011093876C,22
011093878C,22
011093883C,22
011094013C,22
011095161C,22
011095330C,22
011095600C,22
011096290C,22
011096291C,22
011096649C,22
011097649C,22
011097650C,22
011097702C,22
011098597C,22
011098654C,22
011100080C,41
011100498C,22
011102551C,22
011102586C,22
011103066C,22
011103507C,22
011103641C,22
011103642C,22
011105232C,22
011105386C,22
011105387C,22
011106176C,22
011106246C,22
011106422C,22
011106598C,22
011106727C,41
011107112C,44
011107137C,22
011107138C,22
011107796C,22
011107971C,44
011108572C,22
011108803C,44
011109255C,22
011109257C,22
011109258C,22
011109967C,22
011109996C,22
011110603C,44
011110635C,22
011110945C,22
011111218C,22
011111284C,22
011112850C,44
011113046C,22
011113093C,22
011113250C,22
011113459C,44
011114994C,22
011115707C,22
011115797C,22
011116227C,22
011116585C,22
011116597C,22
011116691C,44
011116692C,44
011117500C,22
011117818C,22
011118400C,22
011118463C,22
011118555C,22
011118615C,22
011119026C,22
011120163C,22
011120243C,22
011121071C,22
011121183C,44
011121309C,22
011122507C,22
011122680C,22
011124280C,22
011125470C,44
011127439C,22
011129184C,22
011129276C,22
011129591C,41
011129665C,22
011129666C,22
011129667C,22
011129883C,22
011129952C,22
011130019C,22
011130487C,22
011130781C,44
011131138C,22
011131139C,22
011132969C,22
011133747C,22
011133942C,41
011134001C,22
011134002C,22
011134770C,41
011136147C,22
011136510C,22
011136536C,22
011136641C,44
011136689C,22
011137089C,22
011137432C,22
011137567C,22
011137922C,41
011138044C,22
011138126C,22
011139002C,22
011139474C,22
011139778C,44
011140185C,22
011140523C,22
011140970C,41
011141863C,22
011142296C,22
011142643C,22
011143147C,22
011145521C,22
011145881C,22
011146243C,22
011147343C,22
011147430C,22
011147572C,22
011147665C,22
011147666C,22
011147759C,22
011148184C,22
011149711C,22
011150314C,22
011150316C,22
011150430C,22
011150947C,22
011150948C,22
011150969C,41
011151436C,22
011151540C,22
011151886C,22
011152065C,22
011152698C,22
011152870C,22
011153789C,22
011153921C,22
011154270C,41
011154281C,22
011154282C,22
011155354C,22
011155359C,22
011156094C,22
011156096C,22
011157556C,22
011157647C,22
011158320C,22
011158530C,22
011158531C,22
011158909C,22
011160182C,41
011160478C,22
011160479C,22
011160480C,22
011161035C,22
011161363C,22
011161810C,22
011161907C,22
011162365C,22
011162713C,22
011163353C,22
011174630C,22
011176412C,22
011176413C,22
011176525C,22
011176692C,22
011176837C,22
011176902C,22
011177459C,22
011177464C,22
011177896C,22
011177899C,22
011179151C,44
011179153C,22
011180292C,22
011180368C,22
011180715C,22
011181014C,22
011181335C,22
011181417C,22
011181432C,22
011181499C,22
011181565C,22
011182732C,22
011183020C,22
011183101C,22
011183288C,22
011183936C,22
011184199C,22
011184373C,22
011184467C,22
011184753C,22
011184813C,22
011184821C,41
011185537C,22
011185539C,45
011185623C,45
011185948C,22
011186130C,22
011186328C,22
011186457C,45
011186895C,22
011187013C,22
011187097C,22
011187175C,22
011187202C,41
011187557C,22
011188136C,44
011188277C,22
011188288C,22
011188556C,22
011188724C,22
011188773C,22
011188865C,22
011189170C,22
011189172C,22
011189249C,22
011189250C,41
011189255C,22
011189530C,22
011189575C,22
011189753C,22
011189788C,22
011189789C,22
011189851C,22
011189929C,22
011189930C,22
011189940C,22
011189989C,22
011190136C,22
011190297C,22
011190388C,22
011190448C,22
011190459C,22
011190668C,22
011190670C,41
011190724C,22
011190873C,22
011190905C,22
011190907C,22
011190908C,22
011190912C,22
011191043C,22
011191045C,22
011191055C,22
011191287C,45
011191288C,45
011191362C,22
011191390C,22
011191414C,22
011191579C,22
011191586C,22
011191664C,41
011191779C,22
