LifePRO Plan,QLA Plan,Description,QuikPlCv MORT,QuikPlCv ETIMORT,QuikPlCv NFOINT,QuikPlCv INTMETHCV,QuikPlTv (all 5 fields),QuikCvs CV grid,QuikTvs RV grid,QuikTvs NP grid,QuikNff NF grid,WHAT WE NEED FROM CSO
670 GL85-M,17085M,Life Paid Up at 85/88,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING + no RV/NP grids delivered,MISSING,MISSING,MISSING,MISSING,NFOINT rate by issue year; CV grid; RV (reserve) grid; NP grid
670 GL8588,170588,Life Paid Up at 85/88,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,NFOINT rate by issue year; RV (reserve) grid; NP grid
670 PUA,170PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); QuikPlTv 5 assumption codes; NP grid
675 61 PUA,,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
675 AD PUA,,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
679 CEN SD,1679CS,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,RV (reserve) grid; NP grid
960 65 PUA,165PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); QuikPlTv 5 assumption codes; NP grid
960 LP PUA,185PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); QuikPlTv 5 assumption codes; NP grid
960 LP65,196065,Life Paid Up at Age 65,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
960 LP85-M,196085,Life Paid Up at Age 85-88,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING + no RV/NP grids delivered,MISSING,MISSING,MISSING,MISSING,NFOINT rate by issue year; CV grid; RV (reserve) grid; NP grid
960 OL,1960OL,Ordinary Whole Life,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
960 OL PUA,1OLPUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
960 PO,1960PO,Preferred Ordinary Whole Life,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
960 PO PUA,1POPUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
961 ME65,2961ME,Modified Endowment at 65,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
961 PUA,261PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
970 JEB,1970JB,Juvenile Est Build PU at 85 Life,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
970 PUA,1970PA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); QuikPlTv 5 assumption codes; NP grid
980 END65,280END,Endowment at Age 65,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
980 PUA,280PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
991 PUA,,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); QuikPlTv 5 assumption codes; NP grid
991 PWL,1991PL,Pension Whole Life,O1,Q1,MISSING - graded (3.5% 1st 10 years and 2.5% thereafter),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT graded-rate handling; QuikPlTv 5 assumption codes
L01 10Y LT,5L0110,Ten Year Level Term to Age 95,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,MISSING,MISSING,MISSING,Nothing - complete
L01 10Y MA,5L01MA,Ten Year Level Term to Age 95,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,HAVE,HAVE,MISSING,Nothing - complete
L05 10Y LT,5L0510,Ten Year Term to Age 85,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,MISSING,MISSING,MISSING,Nothing - complete
L07 5Y LT,5L075Y,Five Year Term to Age 85,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,MISSING,MISSING,MISSING,Nothing - complete
L10 LP95,1L1095,L10 - LPU95 POST 1997 LIFE,A1,C1,C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
L10 LP95SR,1L10SR,L10 - LPU95 POST 1997 Senior Life,A1,C1,C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
L10 PRE97,1L10OD,L10 - LPU95 PRE 1997,A1,C1,C (5.00%),0,MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,HAVE,RV (reserve) grid; NP grid
L10 PREUNI,1L10PR,L10 - LPU95 PRE 1997,A1,C1,C (5.00%),0,MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,HAVE,RV (reserve) grid; NP grid
L10 SR OLD,1L10SO,L10 - LPU95 SR. PRE 1997,A1,C1,C (5.00%),0,MISSING + no RV/NP grids delivered,MISSING,MISSING,MISSING,MISSING,CV grid; RV (reserve) grid; NP grid
L14,1L14SC,Whole Life,A1,C1,C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
L15,1L15GD,Graded Death Benefit Whole Life,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
L16,1L16GD,Graded Death Benefit Whole Life,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
L17 1,10L171,Single Premium Whole Life,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
L17 1 JPO,117JPO,L17 Juvenile Purchase Option,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
L17 2+,10L172,Single Premium Whole Life,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
L17 2+ JPO,17MJPO,L17 Multi Juvenile Purchase Option,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
L17 BASE,1L17SP,Single Premium Whole Life,A1,BLANK (no ETI table in source),C (5.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
SAL ML,1SALML,Modified Life,O1,BLANK (no ETI table in source),4 (3.00%),0,MISSING + no RV/NP grids delivered,MISSING,MISSING,MISSING,MISSING,CV grid; RV (reserve) grid; NP grid
SAL OL,1SALOL,Ordinary Whole Life,O1,BLANK (no ETI table in source),4 (3.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
